year,mergecode,totaltest,mathpass
18,2825-2321,84,26.19
18,2855-2333,196,33.67
18,2865-2351,250,30.8
18,2920-2419,60,46.67
18,2940-2435,85,34.12
18,2950-2437,78,43.59
18,2960-2445,62,62.9
18,2980-2429,71,29.58
18,3005-2487,843,60.97
18,3005-2499,814,58.72
18,3025-2477,173,31.79
18,3030-2493,543,54.14
18,3055-2463,67,38.81
18,3060-2505,1250,73.92
18,3070-2517,742,47.57
18,3115-2565,286,41.96
18,3125-2595,335,28.36
18,3135-2569,304,48.03
18,3145-2585,112,53.57
18,3160-2613,68,26.47
18,3180-2629,134,37.31
18,3190-2640,182,54.4
18,3190-2670,61,22.95
18,3295-2731,138,55.8
18,3305-2709,662,64.5
18,3315-2737,731,48.02
18,3325-2741,227,44.49
18,3330-2749,430,52.09
18,3335-2692,102,39.22
18,3405-2801,43,13.95
18,3415-2773,55,20.0
18,3435-2817,105,34.29
18,3445-2825,240,27.92
18,3455-2869,84,29.76
18,3460-2894,99,29.29
18,3470-2897,152,51.32
18,3480-2919,149,63.09
18,3490-2921,196,43.37
18,3500-3013,367,14.17
18,3625-3065,335,30.75
18,3640-3093,11,0.0
18,3675-3133,372,23.92
18,3695-3126,153,43.79
18,3710-3121,27,7.41
18,3785-3181,262,41.98
18,3815-3201,116,34.48
18,3945-3239,256,34.77
18,3995-3309,186,28.49
18,4000-3337,71,19.72
18,4015-3345,312,28.21
18,4145-3421,447,32.66
18,4205-3437,624,63.62
18,4215-3447,56,35.71
18,4225-3445,375,35.73
18,4245-3473,293,45.39
18,4255-3419,146,34.25
18,4315-3537,97,17.53
18,4325-3490,106,53.77
18,4335-3553,154,33.77
18,4345-3639,204,29.9
18,4415-3647,500,36.4
18,4445-3602,118,25.42
18,4455-9191,94,28.72
18,4515-3690,111,35.14
18,4525-3697,92,60.87
18,4535-3730,138,23.19
18,4580-3785,162,27.78
18,4590-3791,106,13.21
18,4600-3809,538,18.4
18,4615-3833,779,37.1
18,4645-3865,274,39.78
18,4650-3869,152,13.16
18,4660-3901,672,44.49
18,4670-3924,280,11.79
18,4680-3965,90,18.89
18,4690-4163,173,22.54
18,4690-4168,68,8.82
18,4700-4173,177,37.85
18,4710-4411,184,12.5
18,4710-4413,214,21.96
18,4710-4415,190,5.26
18,4710-4417,316,7.91
18,4720-4281,287,42.86
18,4730-4305,308,37.66
18,4740-4332,366,60.11
18,4760-4353,117,29.91
18,4805-4689,248,32.26
18,4860-4701,75,30.67
18,4915-4692,43,37.21
18,4925-4795,383,15.67
18,4940-4737,68,36.76
18,4945-4741,429,39.63
18,5075-4911,377,34.48
18,5085-4925,118,28.81
18,5245-5005,114,25.44
18,5245-5011,111,44.14
18,5255-5053,323,34.67
18,5265-5041,113,29.2
18,5275-4945,450,21.11
18,5280-5149,100,18.0
18,5300-5177,448,25.45
18,5300-5188,56,5.36
18,5310-5193,658,50.76
18,5330-5275,569,24.08
18,5330-5276,636,26.57
18,5340-5307,592,32.26
18,5340-5309,536,28.92
18,5350-5353,726,30.44
18,5360-5361,912,19.52
18,5370-5451,824,30.7
18,5375-5213,1022,14.38
18,5375-5288,20,20.0
18,5375-5447,151,21.19
18,5380-5449,213,16.9
18,5385-5465,177,0.56
18,5385-5469,439,6.15
18,5385-5473,221,4.07
18,5385-5477,138,2.9
18,5385-5483,179,1.12
18,5385-5487,88,36.36
18,5385-5643,107,5.61
18,5400-5891,128,56.25
18,5455-5245,63,30.16
18,5470-5937,47,59.57
18,5480-5941,111,33.33
18,5485-5945,253,25.3
18,5495-5923,49,40.82
18,5520-5985,45,4.44
18,5615-6032,151,31.79
18,5620-6049,81,33.33
18,5625-6069,129,32.56
18,5635-6085,146,38.36
18,5705-6146,181,47.51
18,5740-6166,426,55.63
18,5740-6168,393,41.22
18,5740-6202,22,59.09
18,5740-6220,13,0.0
18,5835-6271,135,39.26
18,5845-6257,133,42.86
18,5855-6277,155,37.42
18,5900-6321,144,23.61
18,5910-6325,32,6.25
18,5925-6329,337,39.76
18,5930-6369,362,27.62
18,5945-6411,79,16.46
18,5995-6417,55,27.27
18,6055-6453,100,11.0
18,6060-6458,284,53.87
18,6065-6489,163,37.42
18,6080-6513,55,23.64
18,6145-6573,51,52.94
18,6155-6581,127,40.94
18,6160-6589,71,42.25
18,6195-6613,189,28.57
18,6260-6627,74,31.08
18,6325-6708,87,45.98
18,6340-6733,20,25.0
18,6350-6741,85,48.24
18,6375-6637,42,11.9
18,6375-6649,34,26.47
18,6445-6763,157,26.11
18,6460-6813,92,31.52
18,6470-6925,491,50.31
18,6510-6825,59,44.07
18,6510-6833,63,47.62
18,6510-6849,63,50.79
18,6520-6838,134,32.09
18,6530-6841,125,42.4
18,6550-6853,613,31.65
18,6560-6881,512,54.69
18,6590-6949,151,49.67
18,6600-6975,116,48.28
18,6620-6997,91,38.46
18,6630-7025,58,32.76
18,6705-7071,105,31.43
18,6715-7061,93,35.48
18,6750-7077,91,42.86
18,6755-7089,120,24.17
18,6795-7119,17,17.65
18,6805-7121,43,32.56
18,6820-7151,95,46.32
18,6825-7125,108,40.74
18,6835-7161,61,21.31
18,6865-7182,97,35.05
18,6895-7217,168,66.07
18,6900-7193,69,39.13
18,6910-7205,98,51.02
18,6995-7285,175,42.29
18,7150-7453,143,59.44
18,7175-7353,760,58.42
18,7200-7461,340,26.47
18,7205-7421,216,17.59
18,7205-7505,443,32.05
18,7205-7513,242,21.9
18,7205-7517,203,4.43
18,7215-7399,101,45.54
18,7230-7629,82,12.2
18,7255-7641,181,22.1
18,7285-7661,48,16.67
18,7285-7665,37,18.92
18,7350-7689,109,44.04
18,7360-7701,54,31.48
18,7365-7717,275,41.82
18,7385-7759,153,60.13
18,7445-7795,98,35.71
18,7495-7831,41,24.39
18,7515-7849,95,21.05
18,7525-7833,132,29.55
18,7605-7877,82,51.22
18,7610-7885,14,14.29
18,7615-7893,226,36.73
18,7645-7917,63,30.16
18,7715-7957,135,42.22
18,7775-7993,86,19.77
18,7855-8015,16,0.0
18,7855-8069,531,25.42
18,7865-8003,463,35.85
18,7865-8029,486,43.0
18,7875-8129,195,70.77
18,7935-8155,54,16.67
18,7945-8177,112,26.79
18,7950-8193,95,33.68
18,7995-8237,170,26.47
18,7995-8241,230,38.26
18,7995-8245,315,30.48
18,7995-8253,370,39.19
18,7995-8270,76,3.95
18,7995-8311,267,18.35
18,7995-8326,72,30.56
18,8010-8394,65,10.77
18,8020-8432,129,24.81
18,8030-8441,399,28.07
18,8030-8453,147,41.5
18,8030-8457,404,33.91
18,8030-8612,11,0.0
18,8045-8625,123,46.34
18,8050-8651,68,23.53
18,8050-8655,81,27.16
18,8050-8673,60,3.33
18,8060-8693,103,27.18
18,8115-8737,90,37.78
18,8130-8772,78,44.87
18,8130-8789,228,39.47
18,8130-8809,439,51.94
18,8205-8857,132,34.09
18,8215-8905,121,14.88
18,8220-8869,70,40.0
18,8305-8985,96,38.54
18,8355-8961,69,15.94
18,8360-8981,108,26.85
18,8375-8927,90,20.0
18,8385-8993,274,24.45
18,8425-9058,57,35.09
18,8435-9087,203,39.9
18,8445-9089,102,44.12
18,8515-9135,76,28.95
18,8525-9137,55,36.36
18,8535-9141,57,35.09
18,8565-9149,191,35.08
18,8625-9193,90,31.11
18,8665-9187,284,21.48
18,8810-5639,69,11.59
18,8815-5481,152,7.89
18,8820-4033,74,6.76
18,9035-7947,54,16.67
18,9120-2528,173,5.78
18,9155-5468,37,5.41
18,9200-A575,89,68.54
18,9200-B505,25,28.0
18,9200-C320,279,64.87
18,9200-C360,183,87.98
18,9200-C623,66,13.64
18,9200-C700,270,65.56
18,9200-C705,199,58.79
18,9200-C710,102,20.59
18,9200-C715,156,46.79
18,9200-D135,56,39.29
18,9200-D842,17,41.18
18,9205-B760,81,40.74
18,9205-B970,111,24.32
18,9205-C125,58,44.83
18,9210-B249,191,70.16
18,9210-D415,67,73.13
18,9215-A660,13,30.77
18,9215-B560,23,60.87
18,9215-D530,105,65.71
18,9215-D535,167,61.08
18,9220-A120,262,50.38
18,9220-A125,159,32.7
18,9220-D165,161,48.45
18,9220-D225,202,47.52
18,9230-A195,189,48.68
18,9230-B452,31,48.39
18,9230-C270,66,46.97
18,9305-9012,22,0.0
18,9315-8295,107,89.72
18,9320-1536,39,17.95
18,9325-2524,24,4.17
18,9330-1537,69,26.09
18,9335-5912,13,0.0
18,9345-8094,23,4.35
18,9355-2976,11,9.09
18,9380-5874,42,16.67
18,9445-6208,71,50.7
18,9460-4022,99,8.08
18,9535-4130,104,6.73
18,9545-4164,56,12.5
18,9575-5523,49,14.29
18,9605-C460,10,10.0
18,9610-C695,30,13.33
18,9620-1441,61,60.66
18,9625-1443,12,91.67
18,9640-2551,30,3.33
18,9650-5724,242,63.22
18,9670-5664,55,1.82
18,9705-4486,80,28.75
18,9710-5977,21,4.76
18,9730-6864,25,8.0
18,9770-5524,73,2.74
18,9790-5092,65,29.23
18,9805-2527,21,14.29
18,9865-5290,108,16.67
18,9875-771,21,57.14
18,9880-7567,79,35.44
18,9885-4027,10,0.0
18,9890-2488,163,5.52
18,9895-5444,54,25.93
18,9905-7944,566,15.37
18,9910-5669,10,20.0
18,9915-5903,21,0.0
18,9950-7952,34,11.76
18,9980-1113,65,12.31
18,9995-1117,15,0.0
