year,mergecode,totaltest,elapass
21,3055-2463,77,58.44
21,3060-2505,1302,90.4
21,3070-2517,735,79.73
21,3115-2565,275,76.73
21,3125-2595,314,64.97
21,3135-2569,325,70.77
21,3145-2585,97,72.16
21,3160-2613,56,75.0
21,3180-2629,182,57.69
21,3190-2640,172,70.35
21,3190-2670,49,53.06
21,3295-2731,144,76.39
21,3305-2709,697,83.07
21,3315-2737,755,75.76
21,3325-2741,178,67.98
21,3330-2749,430,84.65
21,3335-2692,121,83.47
21,3405-2801,39,38.46
21,3415-2773,63,46.03
21,3435-2817,101,70.3
21,3445-2825,185,52.97
21,3455-2869,72,69.44
21,3460-2894,69,49.28
21,3470-2897,150,80.67
21,3480-2919,106,84.91
21,3490-2921,198,68.18
21,3500-3013,324,47.84
21,3625-3065,315,54.6
21,3640-3093,10,20.0
21,3675-3133,323,54.49
21,3695-3126,127,63.78
21,3710-3121,24,70.83
21,3785-3181,237,68.78
21,3815-3201,115,71.3
21,3945-3239,200,51.5
21,3995-3309,162,62.35
21,3995-3358,13,7.69
21,4000-3337,92,50.0
21,4015-3345,248,61.29
21,4145-3421,457,71.12
21,4205-3437,625,77.76
21,4215-3447,47,65.96
21,4225-3445,372,69.35
21,4245-3473,297,79.8
21,4255-3419,129,65.89
21,4315-3537,84,71.43
21,4325-3490,86,77.91
21,4335-3553,143,49.65
21,4335-4319,17,29.41
21,4345-3639,213,56.81
21,4415-3647,509,68.76
21,4445-3602,134,63.43
21,4455-9191,101,60.4
21,4515-3690,96,78.13
21,4525-3697,83,59.04
21,4535-3730,147,51.02
21,4580-3785,167,70.66
21,4590-3791,111,49.55
21,4600-3809,490,55.31
21,4615-3833,773,74.0
21,4645-3865,250,75.6
21,4650-3869,131,30.53
21,4660-3901,711,80.31
21,4670-3924,198,57.58
21,4680-3965,83,42.17
21,4690-4163,144,43.06
21,4700-4173,164,63.41
21,4710-4411,152,49.34
21,4710-4413,191,47.64
21,4710-4415,165,37.58
21,4710-4417,280,53.21
21,4720-4281,222,64.86
21,4730-4305,286,65.03
21,4740-4332,395,91.65
21,4760-4353,117,62.39
21,4805-4689,248,68.55
21,4860-4701,73,53.42
21,4915-4692,26,57.69
21,4925-4795,56,35.71
21,4940-4737,78,60.26
21,4945-4741,379,57.78
21,5075-4911,280,63.57
21,5085-4925,98,67.35
21,5245-5005,123,61.79
21,5245-5011,126,71.43
21,5255-5053,329,77.2
21,5265-5041,106,39.62
21,5275-4945,337,51.63
21,5280-5149,102,31.37
21,5300-5177,420,49.05
21,5310-5193,695,68.92
21,5330-5275,470,54.04
21,5330-5276,657,59.06
21,5340-5307,545,64.77
21,5340-5309,501,53.49
21,5350-5353,687,56.62
21,5360-5361,807,47.46
21,5370-5451,811,65.47
21,5375-5213,771,45.14
21,5375-5288,31,58.06
21,5375-5447,127,66.93
21,5380-5449,197,47.21
21,5385-108,15,0.0
21,5385-5462,273,25.27
21,5385-5474,179,26.82
21,5385-5481,126,34.13
21,5385-5492,209,51.67
21,5385-5644,160,15.63
21,5400-5891,122,76.23
21,5455-5245,58,46.55
21,5470-5937,55,65.45
21,5480-5941,140,73.57
21,5485-5945,269,60.59
21,5495-5923,60,70.0
21,5520-5985,46,52.17
21,5525-6003,66,62.12
21,5615-6032,128,70.31
21,5620-6049,70,52.86
21,5625-6069,126,70.63
21,5635-6085,142,56.34
21,5705-6146,193,75.65
21,5740-6166,361,82.27
21,5740-6168,344,79.36
21,5740-6202,32,93.75
21,5740-6220,21,33.33
21,5835-6271,146,60.27
21,5845-6257,96,62.5
21,5855-6277,166,60.24
21,5900-6321,122,54.92
21,5910-6325,24,41.67
21,5925-6329,323,60.99
21,5930-6369,328,73.78
21,5945-6411,87,48.28
21,5995-6417,52,63.46
21,6055-6453,95,41.05
21,6060-6458,224,50.45
21,6065-6489,12,75.0
21,6080-6513,60,65.0
21,6145-6573,32,53.13
21,6155-6581,101,68.32
21,6160-6589,53,60.38
21,6195-6613,134,61.94
21,6260-6627,80,62.5
21,6325-6708,78,80.77
21,6340-6733,24,33.33
21,6350-6741,117,67.52
21,6375-6654,76,57.89
21,6445-6763,132,59.09
21,6460-6813,78,73.08
21,6470-6925,490,72.45
21,6510-6825,60,80.0
21,6510-6833,58,75.86
21,6510-6849,63,87.3
21,6520-6838,123,68.29
21,6530-6841,116,62.07
21,6550-6853,542,55.54
21,6560-6881,468,78.42
21,6590-6949,153,62.09
21,6600-6975,127,77.17
21,6620-6997,41,36.59
21,6630-7025,49,51.02
21,6705-7071,73,68.49
21,6715-7061,115,66.96
21,6750-7077,72,61.11
21,6755-7089,108,69.44
21,6795-7119,22,50.0
21,6795-7131,335,55.22
21,6795-7142,60,30.0
21,6805-7121,40,52.5
21,6820-7151,29,24.14
21,6825-7125,92,48.91
21,6835-7161,65,40.0
21,6865-7182,97,65.98
21,6895-7217,167,70.06
21,6900-7193,70,58.57
21,6910-7205,66,63.64
21,6995-7285,140,65.0
21,7150-7453,147,72.11
21,7175-7353,787,83.23
21,7200-7461,315,58.41
21,7205-7421,156,50.64
21,7205-7505,449,57.02
21,7205-7513,208,45.67
21,7205-7517,132,40.91
21,7205-7534,17,17.65
21,7215-7399,88,59.09
21,7230-7629,74,45.95
21,7255-7641,155,59.35
21,7285-7661,61,72.13
21,7285-7665,31,87.1
21,7350-7689,111,76.58
21,7360-7701,34,82.35
21,7365-7717,223,60.09
21,7385-7759,142,78.87
21,7445-7795,91,67.03
21,7495-7831,32,50.0
21,7515-7849,73,43.84
21,7525-7833,137,62.04
21,7605-7877,74,87.84
21,7610-7885,23,73.91
21,7615-7893,180,66.67
21,7645-7917,56,48.21
21,7715-7957,104,51.92
21,7775-7993,94,46.81
21,7855-8015,16,12.5
21,7855-8069,455,54.95
21,7865-8003,389,64.52
21,7865-8029,456,72.81
21,7875-8129,189,91.01
21,7935-8155,61,65.57
21,7945-8177,111,53.15
21,7950-8193,85,55.29
21,7995-8237,157,43.31
21,7995-8241,222,74.77
21,7995-8245,271,69.37
21,7995-8253,344,73.84
21,7995-8270,20,0.0
21,7995-8271,147,57.14
21,7995-8311,212,53.77
21,7995-8326,52,71.15
21,8010-8394,56,44.64
21,8020-8432,120,59.17
21,8030-8441,357,61.62
21,8030-8453,132,59.85
21,8030-8457,355,71.55
21,8030-8611,15,26.67
21,8045-8625,113,65.49
21,8050-8651,58,65.52
21,8050-8655,56,64.29
21,8050-8673,77,16.88
21,8060-8693,97,39.18
21,8115-8737,90,73.33
21,8130-8772,64,59.38
21,8130-8789,207,59.9
21,8130-8809,468,79.7
21,8205-8857,141,63.83
21,8215-8905,98,73.47
21,8220-8869,54,66.67
21,8305-8985,74,55.41
21,8355-8961,67,55.22
21,8360-8981,107,73.83
21,8375-8927,96,56.25
21,8385-8993,273,47.25
21,8425-9058,77,62.34
21,8435-9087,187,66.31
21,8445-9089,114,67.54
21,8515-9135,54,62.96
21,8525-9137,54,62.96
21,8535-9141,42,59.52
21,8565-9149,143,60.14
21,8625-9193,91,61.54
21,8635-7782,19,52.63
21,8665-9187,260,69.62
21,8940-9961,51,21.57
21,8970-9966,13,53.85
21,9015-4271,97,56.7
21,9035-7947,142,61.97
21,9050-2006,10,40.0
21,9100-5055,18,22.22
21,9100-5452,10,0.0
21,9120-2528,141,39.72
21,9145-1122,90,70.0
21,9160-1016,11,18.18
21,9315-8295,83,97.59
21,9325-2524,35,25.71
21,9325-2551,20,10.0
21,9325-9329,57,43.86
21,9330-1537,68,48.53
21,9345-8094,40,12.5
21,9355-2976,34,17.65
21,9380-5874,43,55.81
21,9445-6208,44,65.91
21,9460-4022,61,39.34
21,9505-5472,37,64.86
21,9535-4130,84,30.95
21,9545-4164,89,44.94
21,9575-5523,57,54.39
21,9620-1441,46,82.61
21,9625-1443,87,96.55
21,9650-5724,219,91.32
21,9670-5664,60,30.0
21,9705-4486,76,71.05
21,9730-6864,43,34.88
21,9750-4904,11,18.18
21,9790-5092,46,39.13
21,9875-771,28,57.14
21,9880-7567,89,64.04
21,9895-5444,54,37.04
21,9905-7944,649,70.11
21,9950-7952,38,34.21
21,9980-1113,39,64.1
21,9985-1114,12,100.0
21,-999-A120,213,88.73
21,-999-A122,118,88.14
21,-999-A125,112,78.57
21,-999-A170,59,94.92
21,-999-A195,153,84.97
21,-999-A575,82,82.93
21,-999-A660,16,75.0
21,-999-A740,41,97.56
21,-999-A875,11,90.91
21,-999-A990,43,95.35
21,-999-B009,78,17.95
21,-999-B015,32,100.0
21,-999-B045,60,90.0
21,-999-B136,14,92.86
21,-999-B160,16,93.75
21,-999-B190,22,72.73
21,-999-B249,181,98.9
21,-999-B290,22,86.36
21,-999-B452,45,88.89
21,-999-B469,28,78.57
21,-999-B493,11,72.73
21,-999-B505,21,80.95
21,-999-B560,14,71.43
21,-999-B595,19,94.74
21,-999-B760,87,94.25
21,-999-B815,10,40.0
21,-999-B970,105,79.05
21,-999-C125,53,86.79
21,-999-C175,16,81.25
21,-999-C225,34,76.47
21,-999-C270,53,77.36
21,-999-C275,113,91.15
21,-999-C320,294,88.78
21,-999-C325,12,100.0
21,-999-C360,206,96.6
21,-999-C375,33,84.85
21,-999-C495,19,100.0
21,-999-C527,86,91.86
21,-999-C561,11,72.73
21,-999-C580,14,100.0
21,-999-C623,42,57.14
21,-999-C628,16,75.0
21,-999-C677,44,86.36
21,-999-C700,232,82.33
21,-999-C705,160,90.0
21,-999-C710,96,58.33
21,-999-C715,139,72.66
21,-999-C927,23,95.65
21,-999-C940,21,95.24
21,-999-C966,25,84.0
21,-999-D073,15,86.67
21,-999-D135,52,90.38
21,-999-D165,145,88.97
21,-999-D217,30,93.33
21,-999-D225,207,87.92
21,-999-D415,67,95.52
21,-999-D452,56,87.5
21,-999-D489,42,95.24
21,-999-D530,122,90.98
21,-999-D535,129,90.7
21,-999-D842,12,100.0
