year,mergecode,totaltest,mathpass
21,8030-8441,360,25.28
21,8030-8453,134,26.12
21,8030-8457,355,37.18
21,8030-8611,16,0.0
21,8045-8625,113,47.79
21,8050-8651,58,37.93
21,8050-8655,56,37.5
21,8050-8673,74,4.05
21,8060-8693,98,26.53
21,8115-8737,90,33.33
21,8130-8772,64,37.5
21,8130-8789,208,31.25
21,8130-8809,469,55.65
21,8205-8857,139,28.06
21,8215-8905,98,27.55
21,8220-8869,55,16.36
21,8305-8985,77,23.38
21,8355-8961,69,26.09
21,8360-8981,107,37.38
21,8375-8927,95,17.89
21,8385-8993,281,19.93
21,8425-9058,77,36.36
21,8435-9087,187,42.78
21,8445-9089,114,42.11
21,8515-9135,55,36.36
21,8525-9137,54,33.33
21,8535-9141,42,28.57
21,8565-9149,144,38.19
21,8625-9193,91,40.66
21,8635-7782,19,36.84
21,8665-9187,256,35.94
21,8940-9961,53,0.0
21,8970-9966,13,15.38
21,9015-4271,99,32.32
21,9035-7947,148,19.59
21,9100-5055,20,0.0
21,9100-5452,10,0.0
21,9120-2528,137,5.84
21,9145-1122,91,36.26
21,9160-1016,13,0.0
21,9315-8295,83,93.98
21,9325-2524,33,6.06
21,9325-2551,24,4.17
21,9325-9329,60,6.67
21,9330-1537,70,11.43
21,9345-8094,44,2.27
21,9355-2976,38,5.26
21,9380-5874,43,13.95
21,9445-6208,44,29.55
21,9460-4022,59,5.08
21,9505-5472,38,26.32
21,9535-4130,78,3.85
21,9545-4164,88,19.32
21,9575-5523,58,18.97
21,9620-1441,46,50.0
21,9625-1443,86,89.53
21,9650-5724,223,53.36
21,9670-5664,62,1.61
21,9705-4486,76,27.63
21,9730-6864,43,6.98
21,9750-4904,11,0.0
21,9790-5092,45,26.67
21,9875-771,26,23.08
21,9880-7567,89,28.09
21,9895-5444,54,12.96
21,9905-7944,665,22.56
21,9950-7952,38,2.63
21,9980-1113,40,5.0
21,9985-1114,12,50.0
21,-999-A120,215,54.42
21,-999-A122,118,63.56
21,-999-A125,112,40.18
21,-999-A170,59,49.15
21,-999-A195,155,57.42
21,-999-A575,83,66.27
21,-999-A660,16,18.75
21,-999-A740,41,80.49
21,-999-A875,11,63.64
21,-999-A990,43,65.12
21,-999-B009,77,1.3
21,-999-B015,32,65.63
21,-999-B045,60,46.67
21,-999-B136,15,46.67
21,-999-B160,16,62.5
21,-999-B190,22,36.36
21,-999-B249,181,91.71
21,-999-B290,22,31.82
21,-999-B452,45,57.78
21,-999-B469,29,58.62
21,-999-B493,11,0.0
21,-999-B505,19,26.32
21,-999-B560,13,53.85
21,-999-B595,20,75.0
21,-999-B760,87,71.26
21,-999-B815,10,40.0
21,-999-B970,105,26.67
21,-999-C125,54,53.7
21,-999-C175,16,37.5
21,-999-C225,35,37.14
21,-999-C270,53,58.49
21,-999-C275,113,76.99
21,-999-C320,294,70.75
21,-999-C325,12,75.0
21,-999-C360,205,80.49
21,-999-C375,34,38.24
21,-999-C495,20,65.0
21,-999-C527,86,72.09
21,-999-C561,11,54.55
21,-999-C580,14,71.43
21,-999-C623,42,4.76
21,-999-C628,15,20.0
21,-999-C677,44,61.36
21,-999-C700,229,68.56
21,-999-C705,161,63.35
21,-999-C710,95,20.0
21,-999-C715,139,38.85
21,-999-C927,23,60.87
21,-999-C940,21,76.19
21,-999-C966,26,61.54
21,-999-D073,15,46.67
21,-999-D080,10,40.0
21,-999-D135,52,57.69
21,-999-D165,145,60.69
21,-999-D217,30,93.33
21,-999-D225,207,55.07
21,-999-D415,67,95.52
21,-999-D452,56,71.43
21,-999-D489,42,78.57
21,-999-D530,122,78.69
21,-999-D535,129,74.42
21,-999-D842,12,41.67
