year,mergecode,totaltest,elapass,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,districtcode,white,black,hispanic,lowincome,totalenroll,year_21,state
21,255-394indiana,79,87.34,180285002532,0.03,0.05,0.92,0.07,0,255indiana,36.9,8.63,13.99,57.74,336,1,indiana
17,365-397indiana,520,59.23,180036000066,0.0,0.0,1.0,0.0,0,365indiana,74.27,2.18,12.99,32.08,2017,0,indiana
18,365-397indiana,485,65.77,180036000066,0.0,0.0,1.0,0.0,0,365indiana,72.06,2.52,14.76,32.13,2026,0,indiana
19,365-397indiana,501,63.07,180036000066,0.0,0.0,1.0,0.0,0,365indiana,70.19,2.57,17.06,33.4,2063,0,indiana
21,365-397indiana,491,65.58,180036000066,0.16,0.26,0.58,0.34,0,365indiana,66.75,2.15,20.91,33.35,2090,1,indiana
17,365-399indiana,385,63.38,180036000065,0.0,0.0,1.0,0.0,0,365indiana,83.18,2.61,6.98,31.55,1534,0,indiana
18,365-399indiana,314,60.51,180036000065,0.0,0.0,1.0,0.0,0,365indiana,83.56,2.24,7.66,34.06,1515,0,indiana
19,365-399indiana,343,54.81,180036000065,0.0,0.0,1.0,0.0,0,365indiana,82.31,2.92,8.27,32.14,1475,0,indiana
21,365-399indiana,315,66.35,180036000065,0.16,0.26,0.58,0.34,0,365indiana,82.11,2.62,9.2,32.14,1565,1,indiana
17,370-410indiana,68,52.94,180357000509,0.0,0.0,1.0,0.0,0,370indiana,93.59,0.24,2.38,33.73,421,0,indiana
18,370-410indiana,56,64.29,180357000509,0.0,0.0,1.0,0.0,0,370indiana,92.47,0.46,2.97,40.18,438,0,indiana
19,370-410indiana,70,50.0,180357000509,0.0,0.0,1.0,0.0,0,370indiana,92.91,0.23,2.75,34.78,437,0,indiana
21,370-410indiana,84,51.19,180357000509,0.0,0.14,0.86,0.14,0,370indiana,93.06,0.0,2.24,36.12,490,1,indiana
17,395-445indiana,131,57.25,180048000097,0.0,0.0,1.0,0.0,0,395indiana,90.44,0.55,6.81,43.08,910,0,indiana
18,395-445indiana,128,62.5,180048000097,0.0,0.0,1.0,0.0,0,395indiana,90.35,0.67,6.73,44.0,891,0,indiana
19,395-445indiana,133,69.92,180048000097,0.0,0.0,1.0,0.0,0,395indiana,89.71,0.7,7.37,42.92,855,0,indiana
21,395-445indiana,138,73.19,180048000097,0.0,0.1,0.9,0.1,0,395indiana,86.78,0.49,9.18,39.9,817,1,indiana
17,515-489indiana,132,53.79,180057000102,0.0,0.0,1.0,0.0,0,515indiana,95.52,0.36,2.15,46.95,558,0,indiana
18,515-489indiana,136,43.38,180057000102,0.0,0.0,1.0,0.0,0,515indiana,94.46,0.18,2.58,52.03,542,0,indiana
19,515-489indiana,112,52.68,180057000102,0.0,0.0,1.0,0.0,0,515indiana,94.52,0.39,1.96,51.27,511,0,indiana
21,515-489indiana,113,53.98,180057000102,0.03,0.03,0.95,0.04,0,515indiana,92.23,0.28,3.61,46.32,721,1,indiana
17,615-539indiana,127,71.65,181299002066,0.0,0.0,1.0,0.0,0,615indiana,95.06,0.12,3.09,30.86,810,0,indiana
18,615-539indiana,125,61.6,181299002066,0.0,0.0,1.0,0.0,0,615indiana,95.22,0.13,2.64,32.2,795,0,indiana
19,615-539indiana,138,55.07,181299002066,0.0,0.0,1.0,0.0,0,615indiana,95.39,0.38,2.43,30.47,781,0,indiana
21,615-539indiana,122,70.49,181299002066,0.27,0.0,0.73,0.14,0,615indiana,94.52,0.6,3.1,32.74,840,1,indiana
17,630-512indiana,483,84.89,180283000341,0.0,0.0,1.0,0.0,0,630indiana,86.36,1.86,3.88,5.17,1935,0,indiana
18,630-512indiana,469,82.94,180283000341,0.0,0.0,1.0,0.0,0,630indiana,85.34,2.2,4.05,5.76,1998,0,indiana
19,630-512indiana,488,90.16,180283000341,0.0,0.0,1.0,0.0,0,630indiana,83.78,2.13,4.6,6.54,2065,0,indiana
21,630-512indiana,488,90.98,180283000341,0.22,0.36,0.42,0.47,0,630indiana,82.79,2.08,4.53,5.6,2161,1,indiana
17,665-553indiana,254,69.29,180579001041,0.0,0.0,1.0,0.0,0,665indiana,89.55,2.25,4.82,34.22,976,0,indiana
18,665-553indiana,228,54.39,180579001041,0.0,0.0,1.0,0.0,0,665indiana,87.91,2.38,5.95,35.58,1009,0,indiana
19,665-553indiana,216,68.52,180579001041,0.0,0.0,1.0,0.0,0,665indiana,88.49,1.75,6.17,34.12,973,0,indiana
21,665-553indiana,226,67.7,180579001041,0.36,0.15,0.49,0.33,0,665indiana,83.38,3.15,8.16,33.63,1017,1,indiana
17,670-573indiana,143,59.44,180096000169,0.0,0.0,1.0,0.0,0,670indiana,94.09,0.3,1.82,46.97,660,0,indiana
18,670-573indiana,162,48.77,180096000169,0.0,0.0,1.0,0.0,0,670indiana,92.93,0.0,2.11,42.11,665,0,indiana
19,670-573indiana,146,57.53,180096000169,0.0,0.0,1.0,0.0,0,670indiana,94.35,0.0,2.26,44.75,619,0,indiana
21,670-573indiana,116,70.69,180096000169,0.19,0.03,0.78,0.12,0,670indiana,92.71,0.18,2.91,40.26,549,1,indiana
17,750-621indiana,82,64.63,180129000203,0.0,0.0,1.0,0.0,0,750indiana,93.8,0.85,3.66,33.52,355,0,indiana
18,750-621indiana,73,63.01,180129000203,0.0,0.0,1.0,0.0,0,750indiana,91.98,0.93,3.7,29.01,324,0,indiana
19,750-621indiana,80,73.75,180129000203,0.0,0.0,1.0,0.0,0,750indiana,93.83,0.62,3.09,29.94,324,0,indiana
21,750-621indiana,65,55.38,180129000203,0.29,0.24,0.47,0.38,0,750indiana,92.17,0.3,4.52,34.94,332,1,indiana
17,755-637indiana,94,62.77,180270000326,0.0,0.0,1.0,0.0,0,755indiana,88.14,0.23,10.47,40.0,430,0,indiana
18,755-637indiana,98,59.18,180270000326,0.0,0.0,1.0,0.0,0,755indiana,86.78,0.24,9.86,44.95,416,0,indiana
19,755-637indiana,115,71.3,180270000326,0.0,0.0,1.0,0.0,0,755indiana,84.45,0.93,12.06,45.71,431,0,indiana
21,755-637indiana,103,65.05,180270000326,0.0,0.0,1.0,0.0,0,755indiana,85.59,1.33,10.2,45.45,451,1,indiana
17,775-645indiana,84,73.81,180894001491,0.0,0.0,1.0,0.0,0,775indiana,90.44,1.4,4.9,38.46,429,0,indiana
18,775-645indiana,62,62.9,180894001491,0.0,0.0,1.0,0.0,0,775indiana,90.02,0.89,5.76,42.79,451,0,indiana
19,775-645indiana,69,63.77,180894001491,0.0,0.0,1.0,0.0,0,775indiana,89.41,0.9,5.86,40.54,444,0,indiana
21,775-645indiana,77,66.23,180894001491,0.05,0.05,0.89,0.08,0,775indiana,88.82,0.86,6.24,47.31,465,1,indiana
17,815-689indiana,111,58.56,181068001755,0.0,0.0,1.0,0.0,0,815indiana,90.57,0.9,5.84,30.69,668,0,indiana
18,815-689indiana,114,53.51,181068001755,0.0,0.0,1.0,0.0,0,815indiana,90.31,0.88,7.05,32.16,454,0,indiana
19,815-689indiana,113,69.91,181068001755,0.0,0.0,1.0,0.0,0,815indiana,89.52,0.91,7.29,32.8,439,0,indiana
21,815-689indiana,80,47.5,181068001755,0.0,0.0,1.0,0.0,0,815indiana,89.67,0.0,6.81,37.56,426,1,indiana
17,875-701indiana,280,50.0,180603001060,0.0,0.0,1.0,0.0,0,875indiana,57.65,1.13,36.11,51.01,1235,0,indiana
18,875-701indiana,297,47.81,180603001060,0.0,0.0,1.0,0.0,0,875indiana,55.74,0.98,38.11,53.03,1220,0,indiana
19,875-701indiana,262,59.16,180603001060,0.0,0.0,1.0,0.0,0,875indiana,50.04,1.31,42.82,54.22,1219,0,indiana
21,875-701indiana,280,46.43,180603001060,0.41,0.11,0.49,0.31,0,875indiana,47.64,3.25,43.22,51.43,1291,1,indiana
17,1000-833indiana,103,51.46,180192000249,0.0,0.0,1.0,0.0,0,1000indiana,76.14,9.11,6.51,56.18,461,0,indiana
18,1000-833indiana,112,44.64,180192000249,0.0,0.0,1.0,0.0,0,1000indiana,72.27,9.09,8.41,60.0,440,0,indiana
19,1000-833indiana,84,53.57,180192000249,0.0,0.0,1.0,0.0,0,1000indiana,73.52,9.59,8.45,61.42,438,0,indiana
21,1000-833indiana,104,60.58,180192000249,0.03,0.16,0.82,0.17,0,1000indiana,69.97,9.63,11.61,39.09,353,1,indiana
17,1010-809indiana,61,63.93,180394000672,0.0,0.0,1.0,0.0,0,1010indiana,94.64,0.27,2.14,43.7,373,0,indiana
18,1010-809indiana,54,64.81,180394000672,0.0,0.0,1.0,0.0,0,1010indiana,93.6,0.0,3.78,49.42,344,0,indiana
19,1010-809indiana,43,62.79,180394000672,0.0,0.0,1.0,0.0,0,1010indiana,94.75,0.0,2.92,48.1,343,0,indiana
21,1010-809indiana,42,52.38,180394000672,0.0,0.17,0.83,0.17,0,1010indiana,93.5,0.0,2.17,43.65,323,1,indiana
17,1010-821indiana,172,65.7,180394000663,0.0,0.0,1.0,0.0,0,1010indiana,81.32,3.02,11.21,39.37,696,0,indiana
18,1010-821indiana,153,63.4,180394000663,0.0,0.0,1.0,0.0,0,1010indiana,82.61,3.3,9.34,41.24,696,0,indiana
19,1010-821indiana,172,65.12,180394000663,0.0,0.0,1.0,0.0,0,1010indiana,82.2,3.33,9.55,39.94,691,0,indiana
21,1010-821indiana,160,55.0,180394000663,0.0,0.15,0.85,0.15,0,1010indiana,81.83,3.77,10.63,40.65,743,1,indiana
17,1010-849indiana,524,62.21,180394000666,0.0,0.0,1.0,0.0,0,1010indiana,58.9,18.74,11.3,49.41,2044,0,indiana
18,1010-849indiana,497,55.53,180394000666,0.0,0.0,1.0,0.0,0,1010indiana,57.01,19.4,12.44,54.79,2026,0,indiana
19,1010-849indiana,485,61.65,180394000666,0.0,0.0,1.0,0.0,0,1010indiana,55.92,19.85,13.07,52.04,2035,0,indiana
21,1010-849indiana,427,51.76,180394000666,0.0,0.34,0.66,0.34,0,1010indiana,50.61,20.81,16.17,49.2,2134,1,indiana
17,1125-897indiana,55,56.36,180084000157,0.0,0.0,1.0,0.0,0,1125indiana,97.36,0.0,1.32,35.88,379,0,indiana
18,1125-897indiana,64,64.06,180084000157,0.0,0.0,1.0,0.0,0,1125indiana,96.3,0.26,1.59,39.95,378,0,indiana
19,1125-897indiana,62,56.45,180084000157,0.0,0.0,1.0,0.0,0,1125indiana,96.5,0.0,1.89,36.66,371,0,indiana
21,1125-897indiana,59,67.8,180084000157,0.0,0.11,0.89,0.11,0,1125indiana,96.04,0.0,2.64,37.47,379,1,indiana
17,1125-933indiana,241,55.19,180084000154,0.0,0.0,1.0,0.0,0,1125indiana,94.73,0.68,1.37,47.07,1024,0,indiana
18,1125-933indiana,237,43.46,180084000154,0.0,0.0,1.0,0.0,0,1125indiana,95.45,0.79,1.38,52.32,1011,0,indiana
19,1125-933indiana,234,47.01,180084000154,0.0,0.0,1.0,0.0,0,1125indiana,95.28,0.39,1.97,50.39,1016,0,indiana
21,1125-933indiana,211,66.35,180084000154,0.03,0.08,0.89,0.09,0,1125indiana,94.97,0.8,1.71,43.82,995,1,indiana
17,1150-957indiana,66,72.73,180213000257,0.0,0.0,1.0,0.0,0,1150indiana,96.76,0.23,1.85,38.19,432,0,indiana
18,1150-957indiana,70,54.29,180213000257,0.0,0.0,1.0,0.0,0,1150indiana,94.88,0.73,2.93,43.17,410,0,indiana
19,1150-957indiana,66,69.7,180213000257,0.0,0.0,1.0,0.0,0,1150indiana,93.59,0.95,4.28,37.05,421,0,indiana
21,1150-957indiana,60,65.0,180213000257,0.0,0.0,1.0,0.0,0,1150indiana,92.87,0.95,5.23,35.39,421,1,indiana
17,1160-977indiana,87,57.47,180216000258,0.0,0.0,1.0,0.0,0,1160indiana,90.14,0.19,8.12,37.91,517,0,indiana
18,1160-977indiana,87,60.92,180216000258,0.0,0.0,1.0,0.0,0,1160indiana,90.0,0.37,9.26,42.41,540,0,indiana
19,1160-977indiana,77,61.04,180216000258,0.0,0.0,1.0,0.0,0,1160indiana,88.29,0.35,10.49,41.96,572,0,indiana
21,1160-977indiana,95,56.84,180216000258,0.18,0.0,0.82,0.09,0,1160indiana,89.71,0.37,8.46,35.29,544,1,indiana
17,1170-997indiana,249,40.16,180366000574,0.0,0.0,1.0,0.0,0,1170indiana,50.29,0.81,46.69,68.87,861,0,indiana
18,1170-997indiana,195,38.46,180366000574,0.0,0.0,1.0,0.0,0,1170indiana,46.64,0.98,50.54,70.82,922,0,indiana
19,1170-997indiana,219,48.86,180366000574,0.0,0.0,1.0,0.0,0,1170indiana,46.46,1.0,50.88,71.35,904,0,indiana
21,1170-997indiana,196,41.33,180366000574,0.0,0.0,1.0,0.0,0,1170indiana,43.94,0.11,54.06,67.96,899,1,indiana
17,1180-1021indiana,66,72.73,180972001590,0.0,0.0,1.0,0.0,0,1180indiana,94.14,0.92,2.75,23.99,546,0,indiana
18,1180-1021indiana,80,60.0,180972001590,0.0,0.0,1.0,0.0,0,1180indiana,94.59,0.93,2.05,25.37,536,0,indiana
19,1180-1021indiana,85,72.94,180972001590,0.0,0.0,1.0,0.0,0,1180indiana,95.21,0.38,1.92,24.9,522,0,indiana
21,1180-1021indiana,69,88.41,180972001590,0.0,0.08,0.92,0.08,0,1180indiana,92.43,0.6,4.18,24.3,502,1,indiana
17,1300-1059indiana,98,67.35,180244000279,0.0,0.0,1.0,0.0,0,1300indiana,98.03,0.22,0.22,54.27,457,0,indiana
18,1300-1059indiana,119,57.98,180244000279,0.0,0.0,1.0,0.0,0,1300indiana,95.78,0.0,2.0,55.11,450,0,indiana
19,1300-1059indiana,98,67.35,180244000279,0.0,0.0,1.0,0.0,0,1300indiana,96.22,0.0,1.78,54.89,450,0,indiana
21,1300-1059indiana,89,70.79,180244000279,0.03,0.33,0.64,0.35,0,1300indiana,96.25,0.23,1.41,52.93,427,1,indiana
17,1315-1069indiana,46,93.48,180033000061,0.0,0.0,1.0,0.0,0,1315indiana,98.19,0.26,0.52,24.29,387,0,indiana
18,1315-1069indiana,58,79.31,180033000061,0.0,0.0,1.0,0.0,0,1315indiana,97.27,0.5,0.74,28.04,403,0,indiana
19,1315-1069indiana,59,89.83,180033000061,0.0,0.0,1.0,0.0,0,1315indiana,96.84,0.0,1.35,27.09,443,0,indiana
21,1315-1069indiana,55,83.64,180033000061,0.0,0.05,0.95,0.05,0,1315indiana,97.06,0.21,1.89,22.22,477,1,indiana
17,1375-1121indiana,71,77.46,180771001319,0.0,0.0,1.0,0.0,0,1375indiana,95.57,0.63,1.05,42.19,474,0,indiana
18,1375-1121indiana,84,51.19,180771001319,0.0,0.0,1.0,0.0,0,1375indiana,95.45,0.62,1.45,44.1,483,0,indiana
19,1375-1121indiana,80,68.75,180771001319,0.0,0.0,1.0,0.0,0,1375indiana,94.55,0.42,2.1,43.19,477,0,indiana
21,1375-1121indiana,60,66.67,180771001319,0.0,0.0,1.0,0.0,0,1375indiana,92.24,1.02,4.29,42.45,490,1,indiana
17,1405-1125indiana,183,36.61,181245002006,0.0,0.0,1.0,0.0,0,1405indiana,76.78,3.09,15.84,53.29,745,0,indiana
18,1405-1125indiana,179,45.81,181245002006,0.0,0.0,1.0,0.0,0,1405indiana,75.62,3.65,16.56,60.63,767,0,indiana
19,1405-1125indiana,187,53.48,181245002006,0.0,0.0,1.0,0.0,0,1405indiana,72.84,3.46,19.04,61.52,751,0,indiana
21,1405-1125indiana,154,59.09,181245002006,0.0,0.0,1.0,0.0,0,1405indiana,70.05,3.71,22.39,58.24,728,1,indiana
17,1560-7213indiana,299,65.55,181119001802,0.0,0.0,1.0,0.0,0,1560indiana,97.02,0.0,0.92,18.7,1310,0,indiana
18,1560-7213indiana,311,70.42,181119001802,0.0,0.0,1.0,0.0,0,1560indiana,96.85,0.24,0.63,19.16,1268,0,indiana
19,1560-7213indiana,305,74.1,181119001802,0.0,0.0,1.0,0.0,0,1560indiana,95.21,0.32,1.62,19.74,1231,0,indiana
21,1560-7213indiana,298,72.48,181119001802,0.0,0.03,0.97,0.03,0,1560indiana,95.02,0.39,1.24,19.67,1286,1,indiana
17,1600-1179indiana,227,55.07,180024000056,0.0,0.0,1.0,0.0,0,1600indiana,95.81,0.0,1.58,40.05,884,0,indiana
18,1600-1179indiana,190,55.26,180024000056,0.0,0.0,1.0,0.0,0,1600indiana,95.69,0.0,1.79,40.31,836,0,indiana
19,1600-1179indiana,205,58.05,180024000056,0.0,0.0,1.0,0.0,0,1600indiana,95.56,0.24,1.68,42.93,834,0,indiana
21,1600-1179indiana,165,52.73,180024000056,0.0,0.0,1.0,0.0,0,1600indiana,95.71,0.14,1.38,36.51,723,1,indiana
17,1620-1177indiana,149,64.43,180570001037,0.0,0.0,1.0,0.0,0,1620indiana,91.77,0.97,2.1,28.55,620,0,indiana
18,1620-1177indiana,164,65.85,180570001037,0.0,0.0,1.0,0.0,0,1620indiana,92.64,0.94,2.19,31.61,639,0,indiana
19,1620-1177indiana,156,69.23,180570001037,0.0,0.0,1.0,0.0,0,1620indiana,90.31,1.32,2.64,33.48,681,0,indiana
21,1620-1177indiana,169,72.78,180570001037,0.0,0.03,0.97,0.03,0,1620indiana,89.91,0.85,2.56,34.23,704,1,indiana
17,1655-1263indiana,80,57.5,180261000311,0.0,0.0,1.0,0.0,0,1655indiana,95.61,0.21,2.09,41.21,478,0,indiana
18,1655-1263indiana,82,51.22,180261000311,0.0,0.0,1.0,0.0,0,1655indiana,96.53,0.22,2.17,47.72,461,0,indiana
19,1655-1263indiana,83,66.27,180261000311,0.0,0.0,1.0,0.0,0,1655indiana,95.9,0.22,2.59,50.11,463,0,indiana
21,1655-1263indiana,72,66.67,180261000311,0.0,0.16,0.84,0.16,0,1655indiana,95.41,0.23,2.98,47.94,436,1,indiana
17,1655-1267indiana,82,57.32,180261000309,0.0,0.0,1.0,0.0,0,1655indiana,97.22,0.0,0.8,35.79,503,0,indiana
18,1655-1267indiana,90,67.78,180261000309,0.0,0.0,1.0,0.0,0,1655indiana,96.2,0.19,1.71,37.45,526,0,indiana
19,1655-1267indiana,94,70.21,180261000309,0.0,0.0,1.0,0.0,0,1655indiana,96.46,0.0,1.18,39.69,509,0,indiana
21,1655-1267indiana,69,66.67,180261000309,0.0,0.11,0.89,0.11,0,1655indiana,95.92,0.2,1.63,40.61,490,1,indiana
17,1730-1268indiana,160,51.88,180408000704,0.0,0.0,1.0,0.0,0,1730indiana,92.93,0.13,2.93,39.47,750,0,indiana
18,1730-1268indiana,171,59.06,180408000704,0.0,0.0,1.0,0.0,0,1730indiana,91.48,0.14,3.85,41.76,728,0,indiana
19,1730-1268indiana,156,54.49,180408000704,0.0,0.0,1.0,0.0,0,1730indiana,91.42,0.14,4.09,42.23,734,0,indiana
21,1730-1268indiana,166,64.46,180408000704,0.0,0.11,0.89,0.11,0,1730indiana,92.39,0.29,2.87,38.51,696,1,indiana
17,1805-1317indiana,92,58.7,180306000405,0.0,0.0,1.0,0.0,0,1805indiana,92.02,1.36,4.75,37.01,589,0,indiana
18,1805-1317indiana,100,51.0,180306000405,0.0,0.0,1.0,0.0,0,1805indiana,91.76,2.06,3.8,38.35,631,0,indiana
19,1805-1317indiana,101,64.36,180306000405,0.0,0.0,1.0,0.0,0,1805indiana,92.39,1.9,3.8,40.73,631,0,indiana
21,1805-1317indiana,89,60.67,180306000405,0.0,0.0,1.0,0.0,0,1805indiana,94.52,1.77,2.58,31.13,620,1,indiana
17,1820-1325indiana,143,58.04,180384000605,0.0,0.0,1.0,0.0,0,1820indiana,92.2,0.17,2.71,40.51,590,0,indiana
18,1820-1325indiana,157,43.31,180384000605,0.0,0.0,1.0,0.0,0,1820indiana,92.89,0.17,2.71,45.01,591,0,indiana
19,1820-1325indiana,135,62.96,180384000605,0.0,0.0,1.0,0.0,0,1820indiana,92.4,0.34,3.04,41.39,592,0,indiana
21,1820-1325indiana,151,50.99,180384000605,0.0,0.0,1.0,0.0,0,1820indiana,90.8,0.68,4.43,36.46,587,1,indiana
17,1835-1345indiana,269,55.02,180159000220,0.0,0.0,1.0,0.0,0,1835indiana,92.93,0.17,3.15,31.52,1174,0,indiana
18,1835-1345indiana,272,57.35,180159000220,0.0,0.0,1.0,0.0,0,1835indiana,93.01,0.17,3.14,34.76,1145,0,indiana
