year,mergecode,totaltest,mathpass
19,3115-2565,283,45.58
19,3125-2595,340,37.06
19,3135-2569,329,45.29
19,3145-2585,86,50.0
19,3160-2613,55,38.18
19,3180-2629,160,41.88
19,3190-2640,168,49.4
19,3190-2670,53,26.42
19,3295-2731,134,57.46
19,3305-2709,652,56.29
19,3315-2737,750,43.73
19,3325-2741,171,36.84
19,3330-2749,404,64.36
19,3335-2692,103,53.4
19,3405-2801,47,31.91
19,3415-2773,58,29.31
19,3435-2817,108,35.19
19,3445-2825,219,32.42
19,3455-2869,84,28.57
19,3460-2894,80,38.75
19,3470-2897,145,37.24
19,3480-2919,138,49.28
19,3490-2921,190,44.21
19,3500-3013,364,14.56
19,3625-3065,351,26.78
19,3675-3133,338,27.22
19,3695-3126,123,40.65
19,3710-3121,29,13.79
19,3785-3181,246,32.93
19,3815-3201,115,22.61
19,3945-3239,208,24.52
19,3995-3309,184,26.09
19,4000-3337,90,18.89
19,4015-3345,256,23.44
19,4145-3421,465,36.13
19,4205-3437,610,60.33
19,4215-3447,58,31.03
19,4225-3445,369,31.71
19,4245-3473,286,46.85
19,4255-3419,131,38.17
19,4315-3537,87,27.59
19,4325-3490,79,43.04
19,4335-3553,190,32.11
19,4345-3639,201,28.36
19,4415-3647,475,35.37
19,4445-3602,127,31.5
19,4455-9191,96,23.96
19,4515-3690,94,41.49
19,4525-3697,90,68.89
19,4535-3730,131,21.37
19,4580-3785,191,26.7
19,4590-3791,114,16.67
19,4600-3809,508,14.96
19,4615-3833,808,38.99
19,4645-3865,267,32.21
19,4650-3869,144,5.56
19,4660-3901,682,41.35
19,4670-3924,257,16.73
19,4680-3965,96,34.38
19,4690-4163,205,13.66
19,4700-4173,181,29.83
19,4710-4411,202,27.23
19,4710-4413,182,25.27
19,4710-4415,191,11.52
19,4710-4417,329,7.9
19,4720-4281,269,37.17
19,4730-4305,313,29.71
19,4740-4332,360,61.67
19,4760-4353,107,12.15
19,4805-4689,227,36.56
19,4860-4701,74,22.97
19,4915-4692,15,26.67
19,4925-4795,338,19.53
19,4940-4737,80,23.75
19,4945-4741,387,29.46
19,5075-4911,334,32.34
19,5085-4925,106,23.58
19,5245-5005,117,19.66
19,5245-5011,109,31.19
19,5255-5053,347,39.77
19,5265-5041,116,18.1
19,5275-4945,374,17.11
19,5280-5149,91,13.19
19,5300-5177,425,19.29
19,5300-5188,27,0.0
19,5310-5193,687,38.14
19,5330-5275,527,17.84
19,5330-5276,575,22.09
19,5340-5307,589,27.67
19,5340-5309,546,19.23
19,5350-5353,757,28.93
19,5360-5361,850,15.88
19,5370-5451,854,27.52
19,5375-5213,989,14.36
19,5375-5288,25,8.0
19,5375-5447,151,7.95
19,5380-5449,216,11.11
19,5385-108,14,0.0
19,5385-5462,478,1.88
19,5385-5474,275,3.27
19,5385-5492,237,23.63
19,5385-5644,115,0.87
19,5400-5891,129,71.32
19,5455-5245,47,17.02
19,5470-5937,43,46.51
19,5480-5941,118,41.53
19,5485-5945,247,31.17
19,5495-5923,63,55.56
19,5520-5985,48,33.33
19,5525-6003,60,31.67
19,5615-6032,161,33.54
19,5620-6049,62,16.13
19,5625-6069,130,24.62
19,5635-6085,144,29.86
19,5705-6146,157,47.13
19,5740-6166,425,54.82
19,5740-6168,376,44.68
19,5740-6202,26,50.0
19,5740-6220,14,0.0
19,5835-6271,121,20.66
19,5845-6257,122,30.33
19,5855-6277,157,31.85
19,5900-6321,118,30.51
19,5910-6325,38,5.26
19,5925-6329,318,39.31
19,5930-6369,321,36.76
19,5945-6411,88,15.91
19,5995-6417,57,33.33
19,6055-6453,90,16.67
19,6060-6458,286,42.66
19,6065-6489,148,28.38
19,6080-6513,72,18.06
19,6145-6573,56,60.71
19,6155-6581,88,37.5
19,6160-6589,58,44.83
19,6195-6613,159,25.79
19,6260-6627,72,33.33
19,6325-6708,83,43.37
19,6340-6733,32,6.25
19,6350-6741,84,58.33
19,6375-6654,89,15.73
19,6445-6763,131,22.14
19,6460-6813,86,40.7
19,6470-6925,472,46.19
19,6510-6825,64,59.38
19,6510-6833,63,30.16
19,6510-6849,69,49.28
19,6520-6838,108,40.74
19,6530-6841,118,47.46
19,6550-6853,556,25.0
19,6560-6881,446,51.12
19,6590-6949,121,54.55
19,6600-6975,86,27.91
19,6620-6997,68,51.47
19,6630-7025,66,19.7
19,6705-7071,98,23.47
19,6715-7061,95,57.89
19,6750-7077,82,45.12
19,6755-7089,138,32.61
19,6795-7119,14,28.57
19,6795-7131,313,7.35
19,6795-7142,43,2.33
19,6805-7121,28,21.43
19,6820-7151,76,30.26
19,6825-7125,102,27.45
19,6835-7161,63,11.11
19,6865-7182,85,36.47
19,6895-7217,164,64.63
19,6900-7193,77,24.68
19,6910-7205,91,37.36
19,6995-7285,174,50.57
19,7150-7453,161,50.31
19,7175-7353,814,62.41
19,7200-7461,334,28.44
19,7200-7467,19,0.0
19,7205-7421,209,22.01
19,7205-7505,457,25.38
19,7205-7513,268,22.76
19,7205-7517,164,5.49
19,7215-7399,88,42.05
19,7230-7629,85,27.06
19,7255-7641,208,29.33
19,7285-7661,37,24.32
19,7285-7665,46,41.3
19,7350-7689,127,40.16
19,7360-7701,44,40.91
19,7365-7717,292,44.18
19,7385-7759,138,68.84
19,7445-7795,95,37.89
19,7495-7831,27,11.11
19,7515-7849,68,20.59
19,7525-7833,142,19.72
19,7605-7877,64,40.63
19,7610-7885,12,8.33
19,7615-7893,195,32.31
19,7645-7917,74,17.57
19,7715-7957,134,42.54
19,7775-7993,94,20.21
19,7855-8015,14,0.0
19,7855-8069,459,22.0
19,7865-8003,427,33.26
19,7865-8029,503,45.53
19,7875-8129,184,71.74
19,7935-8155,59,27.12
19,7945-8177,131,35.88
19,7950-8193,121,38.02
19,7995-8237,155,20.0
19,7995-8241,261,35.25
19,7995-8245,312,30.77
19,7995-8253,377,44.83
19,7995-8270,45,0.0
19,7995-8271,53,3.77
19,7995-8311,243,26.75
19,7995-8326,69,30.43
19,8010-8394,57,12.28
19,8020-8432,147,26.53
19,8030-8441,369,27.37
19,8030-8453,144,26.39
19,8030-8457,402,27.11
19,8030-8611,13,0.0
19,8045-8625,107,42.06
19,8050-8651,76,32.89
19,8050-8655,71,42.25
19,8050-8673,21,0.0
19,8060-8693,125,20.8
19,8115-8737,87,47.13
19,8130-8772,80,62.5
19,8130-8789,225,39.11
19,8130-8809,444,51.35
19,8205-8857,132,33.33
19,8215-8905,103,16.5
19,8220-8869,81,27.16
19,8305-8985,84,32.14
19,8355-8961,63,7.94
19,8360-8981,117,40.17
19,8375-8927,100,22.0
19,8385-8993,282,15.6
19,8385-9056,10,0.0
19,8425-9058,70,37.14
19,8435-9087,209,36.84
19,8445-9089,116,53.45
19,8515-9135,50,28.0
19,8525-9137,48,29.17
19,8535-9141,50,34.0
19,8565-9149,182,28.57
19,8625-9193,87,29.89
19,8665-9187,273,19.41
19,8810-5639,74,12.16
19,8815-5481,147,7.48
19,8820-4033,40,2.5
19,9015-4271,124,38.71
19,9035-7947,109,6.42
19,9070-1003,10,10.0
19,9100-732,16,0.0
19,9100-5055,29,0.0
19,9120-2528,147,3.4
19,9145-1122,129,30.23
19,9155-5468,167,12.57
19,9200-A575,108,55.56
19,9200-B505,17,47.06
19,9200-C320,255,56.86
19,9200-C623,53,7.55
19,9200-C700,266,69.92
19,9200-C705,177,56.5
19,9200-C710,106,29.25
19,9200-C715,120,40.0
19,9200-D135,56,28.57
19,9200-D842,23,34.78
19,9205-B760,107,30.84
19,9205-B970,113,23.89
19,9205-C125,48,39.58
19,9210-B249,199,69.35
19,9210-D415,71,74.65
19,9215-A660,14,21.43
19,9215-B560,22,45.45
19,9215-D530,124,74.19
19,9215-D535,148,68.92
19,9220-A120,265,51.7
19,9220-A125,130,36.15
19,9220-D165,150,42.67
19,9220-D225,219,55.25
19,9230-A195,186,43.01
19,9230-B452,36,66.67
19,9230-C270,45,44.44
19,9315-8295,100,80.0
19,9320-1536,34,17.65
19,9325-2524,26,0.0
19,9330-1537,79,10.13
19,9345-8094,16,0.0
19,9355-2976,11,0.0
19,9380-5874,44,9.09
19,9445-6208,56,32.14
19,9460-4022,84,7.14
19,9505-5472,18,27.78
19,9535-4130,115,3.48
19,9545-4164,61,9.84
19,9575-5523,56,12.5
19,9610-C695,28,7.14
19,9620-1441,62,59.68
19,9640-2551,35,5.71
19,9650-5724,182,52.75
19,9655-5292,10,0.0
19,9670-5664,47,2.13
19,9705-4486,64,26.56
19,9730-6864,26,11.54
19,9770-5524,48,2.08
19,9790-5092,61,21.31
19,9805-2527,11,9.09
19,9875-771,31,32.26
19,9880-7567,60,40.0
19,9890-2488,31,32.26
19,9895-5444,61,9.84
19,9905-7944,533,13.7
19,9915-5903,12,0.0
19,9950-7952,32,6.25
19,9980-1113,39,2.56
