year,mergecode,droprate,totalenroll
17,672-0299,1.5,1733.0
17,667-1050,6.2,3226.0
17,721-0391,8.2,293.0
17,667-0176,0.6,3333.0
17,660-0205,0.7,2286.0
17,737-3052,2.7,667.0
17,757-0110,3.6,444.0
17,761-0403,16.0,288.0
17,676-1054,2.0,1450.0
17,682-0201,6.5,338.0
17,628-0115,2.0,1800.0
17,658-5050,1.8,2500.0
17,628-5050,4.3,2884.0
17,633-0373,3.1,1839.0
17,633-0101,2.9,2310.0
17,663-3552,2.0,1900.0
17,601-0103,3.6,1028.0
17,613-1050,5.6,1054.0
17,638-0389,2.8,3107.0
17,741-0387,3.1,1419.0
17,629-0102,2.6,1615.0
17,615-0502,4.4,636.0
17,623-1052,4.0,1000.0
17,7820108-0108,35.5,3400.0
17,667-0187,7.5,3800.0
17,623-4052,2.5,1120.0
17,631-0377,4.6,1522.0
17,648-0100,1.5,1533.0
17,751-0101,2.0,1600.0
17,667-5550,2.6,3000.0
17,675-0408,2.8,1607.0
17,611-0186,4.1,1268.0
17,636-0189,2.1,1810.0
17,644-2054,6.7,1284.0
17,648-0212,3.5,1857.0
17,633-4066,6.8,2824.0
17,660-0198,0.9,2222.0
17,673-3050,1.3,1000.0
17,631-0290,4.9,1592.0
17,755-0112,2.3,1087.0
17,667-4556,0.7,2857.0
17,621-0101,2.9,586.0
17,610-0101,2.7,852.0
17,634-0195,3.0,1433.0
17,761-0212,3.0,733.0
17,644-0105,5.4,1667.0
17,633-3056,5.8,2259.0
17,764-0191,1.1,1364.0
17,684-0192,3.2,1625.0
17,645-0103,1.5,867.0
17,772-4050,0.9,2111.0
17,688-0209,1.8,556.0
17,667-3750,3.1,2387.0
17,668-2052,2.1,1476.0
17,707-0173,3.6,2694.0
17,746-0198,4.8,1229.0
17,616-2054,3.6,1750.0
17,611-0286,3.5,829.0
17,644-4054,6.4,1547.0
17,784-0111,2.6,462.0
17,644-0176,3.9,1231.0
17,685-0175,3.6,806.0
17,660-0386,16.7,341.0
17,644-5052,6.1,1787.0
17,631-0115,8.5,1929.0
17,660-0392,0.6,2000.0
17,767-2050,1.3,1308.0
17,631-0104,7.0,2014.0
17,722-0192,6.4,1391.0
17,653-2050,3.5,371.0
17,606-0199,1.8,1000.0
17,638-5054,2.2,2409.0
17,766-1050,1.6,1625.0
17,639-0193,3.6,500.0
17,785-0193,2.1,1857.0
17,738-0192,3.0,900.0
17,667-0101,0.8,3000.0
17,667-0105,1.2,3917.0
17,615-0182,1.7,2235.0
17,733-0107,18.1,94.0
17,676-4056,1.9,1684.0
17,644-4053,7.6,1882.0
17,635-1554,3.5,1886.0
17,792-0273,4.5,2289.0
17,644-2055,4.3,1442.0
17,647-4062,4.4,1341.0
17,633-0175,0.8,2625.0
17,605-0189,1.4,1357.0
17,625-2052,2.5,1080.0
17,7820119-0119,59.7,2829.0
17,667-0185,3.8,2605.0
17,742-1050,50.0,26.0
17,625-5060,3.5,1143.0
17,674-0110,2.1,667.0
17,715-0102,4.2,952.0
17,636-4050,2.0,1950.0
17,676-0192,0.8,2000.0
17,676-0116,18.3,290.0
17,7820613-0613,36.0,2056.0
17,629-0104,13.2,189.0
17,667-1817,11.7,179.0
17,755-0212,31.2,298.0
17,691-0205,3.4,1059.0
17,676-2052,2.1,2000.0
17,644-0610,0.7,1429.0
17,618-0190,4.8,1021.0
17,644-0202,4.4,1636.0
17,714-0296,15.8,76.0
17,675-0391,3.6,1667.0
17,678-0107,1.0,1000.0
17,644-0172,6.4,1250.0
17,644-4069,5.1,1157.0
17,675-0315,3.2,1312.0
17,741-0201,3.9,923.0
17,669-4752,1.6,1625.0
17,761-4058,4.6,1087.0
17,644-0500,16.3,337.0
17,741-1052,5.2,1365.0
17,633-0381,0.6,2333.0
17,658-0107,1.2,2750.0
17,679-0108,3.8,711.0
17,660-0191,1.5,2267.0
17,625-0411,2.8,1071.0
17,721-0392,20.3,404.0
17,719-0177,2.9,690.0
17,759-0197,35.4,82.0
17,721-3756,6.2,710.0
17,658-0190,0.5,3200.0
17,644-0276,6.4,1234.0
17,891-0104,26.6,128.0
17,658-0195,1.2,2667.0
17,644-1070,4.2,1952.0
17,755-0175,1.3,1462.0
17,722-0176,4.9,1959.0
17,750-1052,1.6,875.0
17,655-0176,1.6,1000.0
17,644-0497,4.0,1775.0
17,710-0101,3.5,1800.0
17,726-0187,1.8,1556.0
17,761-0315,9.7,948.0
17,707-0206,4.1,2146.0
17,622-3050,3.4,471.0
17,608-0105,1.8,1000.0
17,644-5055,3.0,1967.0
17,651-0197,2.1,1714.0
17,644-0810,28.9,737.0
17,629-5556,2.9,1655.0
17,623-0109,2.1,1381.0
17,640-0196,2.8,1179.0
17,891-5001,42.3,130.0
17,704-1050,1.2,1000.0
17,637-0111,2.2,955.0
17,661-0196,1.3,1308.0
17,707-0295,1.1,1545.0
17,745-0195,1.5,1400.0
17,641-0195,2.0,650.0
17,667-1410,1.6,2562.0
17,667-0103,3.9,4179.0
17,675-0101,0.6,1667.0
17,644-0112,13.0,246.0
17,665-1050,1.1,1182.0
17,793-0273,2.0,800.0
17,759-0176,4.6,978.0
17,660-1320,41.4,543.0
17,660-0691,4.2,1881.0
17,644-3060,2.9,2379.0
17,711-2052,2.7,1074.0
17,667-1018,1.6,1875.0
17,610-0106,22.3,94.0
17,667-1214,19.5,405.0
17,734-0201,2.5,520.0
17,666-0401,5.6,482.0
17,668-0114,10.2,127.0
17,715-5050,3.8,1316.0
17,648-0187,1.4,1857.0
17,660-3066,1.2,1667.0
17,761-1409,4.4,1000.0
17,664-0106,1.3,1154.0
17,628-0197,2.2,2455.0
17,628-0176,2.7,2556.0
17,611-0204,5.4,1148.0
17,724-4052,4.3,698.0
17,761-1413,7.9,797.0
17,607-3052,3.1,2097.0
17,660-0291,2.4,1958.0
17,644-5067,5.4,1389.0
17,657-5050,1.6,750.0
17,648-0175,3.8,1763.0
17,614-0110,5.4,611.0
17,697-0192,4.0,1250.0
17,761-0182,6.9,1826.0
17,726-0208,15.1,73.0
17,669-0105,19.9,417.0
17,721-4060,1.7,1529.0
17,633-0707,1.5,2533.0
17,776-3050,2.0,2300.0
17,680-0199,3.4,941.0
17,643-3050,1.5,1533.0
17,671-3050,1.3,1154.0
17,667-4052,1.8,2222.0
17,891-0298,35.7,129.0
17,692-5050,2.5,3200.0
17,706-2062,2.5,1400.0
17,710-2552,3.4,1912.0
17,611-0386,3.7,919.0
17,761-1412,4.1,927.0
17,721-2056,4.1,1122.0
17,695-5050,2.0,1400.0
17,687-0197,2.1,571.0
17,638-0196,2.5,1880.0
17,709-2050,2.3,696.0
17,633-0192,0.8,2000.0
17,713-0182,2.5,1120.0
17,729-0105,2.1,952.0
17,772-0110,12.9,434.0
17,774-0412,14.7,95.0
17,667-1114,13.3,368.0
17,686-0201,4.8,479.0
17,660-0383,15.0,340.0
17,628-0191,2.4,2000.0
17,631-1056,5.1,1529.0
17,634-0308,4.0,550.0
17,660-4062,1.7,1706.0
17,727-5050,2.5,1200.0
17,625-0101,2.2,864.0
17,706-5062,6.0,883.0
17,633-0209,2.5,1800.0
17,646-0182,3.6,389.0
17,656-0198,0.7,1429.0
17,633-0103,2.7,1667.0
17,626-0206,7.4,473.0
17,627-0111,17.2,174.0
17,721-1052,5.3,1000.0
17,747-0199,2.7,1741.0
17,616-4052,6.7,269.0
17,656-0398,2.2,1455.0
17,705-0108,8.1,247.0
17,648-4050,2.6,2154.0
17,687-0110,2.9,1276.0
17,660-5069,2.7,2333.0
17,746-0190,2.9,1448.0
17,653-0189,4.8,771.0
17,714-0194,1.0,1100.0
