year,mergecode,districtcode,black,hispanic,white,lowincome,droprate,totalenroll,charter,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,state,year_21
19,620-0295georgia,620georgia,23.0,8.0,60.0,40.0,0.8,2625,0,130078000000.0,0.0,0.0,1.0,0.0,georgia,0
21,620-0295georgia,620georgia,22.0,8.0,60.0,41.0,2.1,2667,0,130078000000.0,0.0,0.0,1.0,0.0,georgia,1
17,622-2052georgia,622georgia,16.0,8.0,71.0,54.0,2.0,1250,0,130084000000.0,0.0,0.0,1.0,0.0,georgia,0
18,622-2052georgia,622georgia,14.0,8.0,72.0,54.0,2.0,1250,0,130084000000.0,0.0,0.0,1.0,0.0,georgia,0
19,622-2052georgia,622georgia,12.0,9.0,73.0,48.0,1.5,1200,0,130084000000.0,0.0,0.0,1.0,0.0,georgia,0
21,622-2052georgia,622georgia,10.0,11.0,74.0,43.0,1.6,1188,0,130084000000.0,0.1,0.0,0.9,0.05,georgia,1
17,622-5054georgia,622georgia,27.0,9.0,58.0,57.0,4.2,1714,0,130084000000.0,0.0,0.0,1.0,0.0,georgia,0
18,622-5054georgia,622georgia,26.0,9.0,58.0,53.0,1.7,1706,0,130084000000.0,0.0,0.0,1.0,0.0,georgia,0
19,622-5054georgia,622georgia,26.0,10.0,56.0,55.0,0.6,1667,0,130084000000.0,0.0,0.0,1.0,0.0,georgia,0
21,622-5054georgia,622georgia,26.0,11.0,55.0,48.0,1.4,1714,0,130084000000.0,0.1,0.0,0.9,0.05,georgia,1
17,623-0109georgia,623georgia,2.0,3.0,91.0,33.0,2.1,1381,0,130093000000.0,0.0,0.0,1.0,0.0,georgia,0
18,623-0109georgia,623georgia,2.0,2.0,90.0,31.0,2.3,1391,0,130093000000.0,0.0,0.0,1.0,0.0,georgia,0
19,623-0109georgia,623georgia,2.0,2.0,91.0,26.0,1.6,1312,0,130093000000.0,0.0,0.0,1.0,0.0,georgia,0
21,623-0109georgia,623georgia,2.0,3.0,91.0,23.0,1.2,1250,0,130093000000.0,0.4,0.4,0.2,0.6,georgia,1
17,623-1052georgia,623georgia,6.0,6.0,82.0,59.0,4.0,1000,0,130093000000.0,0.0,0.0,1.0,0.0,georgia,0
18,623-1052georgia,623georgia,7.0,7.0,80.0,57.0,3.0,1067,0,130093000000.0,0.0,0.0,1.0,0.0,georgia,0
19,623-1052georgia,623georgia,7.0,8.0,78.0,61.0,2.5,1040,0,130093000000.0,0.0,0.0,1.0,0.0,georgia,0
21,623-1052georgia,623georgia,7.0,7.0,79.0,51.0,2.5,1080,0,130093000000.0,0.4,0.4,0.2,0.6,georgia,1
17,623-4052georgia,623georgia,3.0,3.0,91.0,43.0,2.5,1120,0,130093000000.0,0.0,0.0,1.0,0.0,georgia,0
18,623-4052georgia,623georgia,2.0,3.0,92.0,42.0,1.9,1105,0,130093000000.0,0.0,0.0,1.0,0.0,georgia,0
19,623-4052georgia,623georgia,2.0,4.0,90.0,37.0,3.4,1088,0,130093000000.0,0.0,0.0,1.0,0.0,georgia,0
21,623-4052georgia,623georgia,2.0,3.0,90.0,29.0,1.4,1071,0,130093000000.0,0.4,0.4,0.2,0.6,georgia,1
17,625-0101georgia,625georgia,89.0,2.0,5.0,75.0,2.2,864,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
18,625-0101georgia,625georgia,87.0,3.0,6.0,61.0,3.3,848,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
19,625-0101georgia,625georgia,88.0,4.0,5.0,73.0,4.0,825,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
21,625-0101georgia,625georgia,88.0,4.0,4.0,72.0,5.0,800,0,130102000000.0,0.0,1.0,0.0,1.0,georgia,1
17,625-0210georgia,625georgia,92.0,1.0,2.0,82.0,4.8,667,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
18,625-0210georgia,625georgia,94.0,1.0,3.0,65.0,3.8,658,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
19,625-0210georgia,625georgia,94.0,1.0,3.0,80.0,3.0,600,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
21,625-0210georgia,625georgia,91.0,4.0,2.0,77.0,2.2,727,0,130102000000.0,0.0,1.0,0.0,1.0,georgia,1
17,625-0411georgia,625georgia,17.0,4.0,67.0,28.0,2.8,1071,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
18,625-0411georgia,625georgia,17.0,7.0,66.0,22.0,1.2,1083,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
19,625-0411georgia,625georgia,18.0,7.0,65.0,30.0,1.4,1071,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
