year,mergecode,droprate,totalenroll
21,667-5550,1.3,2769.0
21,669-0102,2.2,1318.0
21,761-1409,4.5,1000.0
21,633-0101,1.3,1846.0
21,675-0408,2.5,1480.0
21,648-4050,2.2,2091.0
21,644-0103,3.4,1500.0
21,610-0101,3.5,886.0
21,613-1050,1.7,1000.0
21,766-1050,1.6,1750.0
21,623-1052,2.5,1080.0
21,667-1214,18.7,561.0
21,658-0702,0.5,2200.0
21,747-0111,1.6,1438.0
21,687-0110,1.1,1273.0
21,633-1064,2.9,2552.0
21,633-0188,0.7,2000.0
21,625-5070,2.2,1045.0
21,682-0201,3.9,308.0
21,691-0205,1.1,1182.0
21,891-0298,40.3,67.0
21,660-0198,1.3,2000.0
21,667-2558,3.1,2903.0
21,667-1710,1.5,3000.0
21,745-0195,2.9,1241.0
21,667-0189,53.1,1047.0
21,706-2062,2.9,1241.0
21,644-5055,2.1,2238.0
21,633-0373,3.6,1917.0
21,675-3050,2.4,1250.0
21,724-4052,2.9,621.0
21,615-0502,2.2,591.0
21,7820108-0108,31.5,4146.0
21,675-0214,3.1,1677.0
21,722-3052,2.0,2250.0
21,655-0176,2.5,960.0
21,657-5050,3.0,700.0
21,637-0111,1.1,909.0
21,667-0182,1.6,3750.0
21,611-0198,1.7,1118.0
21,633-2056,2.7,2852.0
21,660-0392,0.6,2000.0
21,648-0187,0.7,2000.0
21,689-0192,1.4,1143.0
21,891-0405,22.6,84.0
21,761-1413,2.8,464.0
21,625-0411,1.9,1000.0
21,784-0111,2.8,429.0
21,772-0110,28.3,304.0
21,656-0192,3.7,1243.0
21,644-3060,3.6,2194.0
21,660-0106,0.5,2200.0
21,611-0105,2.7,1296.0
21,706-1064,2.9,1000.0
21,660-0176,2.3,1652.0
21,607-3052,4.1,2049.0
21,755-0212,21.5,260.0
21,789-4052,1.6,812.0
21,660-0691,4.5,1644.0
21,706-5062,3.0,967.0
21,651-0390,2.8,2036.0
21,676-1054,1.3,1462.0
21,633-1069,2.9,2379.0
21,676-4056,2.2,1773.0
21,721-2574,1.5,933.0
21,608-0105,0.9,1111.0
21,667-0187,5.6,2821.0
21,693-0101,0.9,1222.0
21,667-0195,3.5,3000.0
21,707-0295,1.8,1667.0
21,658-0107,0.8,2625.0
21,663-3552,1.5,2000.0
21,706-0378,2.7,1037.0
21,620-0295,2.1,2667.0
21,633-0808,14.6,479.0
21,606-0199,3.5,886.0
21,712-0198,1.1,1364.0
21,761-4560,4.0,1575.0
21,891-0598,23.9,46.0
21,761-0106,3.2,531.0
21,781-0101,1.7,2647.0
21,628-0191,1.3,2231.0
21,676-0111,1.0,1900.0
21,721-4060,1.5,1133.0
21,631-0104,2.1,1810.0
21,644-0610,1.5,1267.0
21,676-2052,3.2,2062.0
21,706-5052,4.3,930.0
21,631-0378,28.1,1164.0
21,632-1050,2.7,370.0
21,669-1552,1.8,1333.0
21,609-0392,34.6,81.0
21,633-2066,8.2,2585.0
21,648-0212,1.9,1842.0
21,726-0101,2.6,1346.0
21,633-3056,4.5,2200.0
21,675-0315,1.5,1333.0
21,786-0300,2.0,600.0
21,633-1054,3.4,3118.0
21,636-0112,1.4,2143.0
21,667-1114,11.5,252.0
21,667-4052,2.0,2550.0
21,628-0106,1.3,2154.0
21,741-1052,2.0,1250.0
21,667-0105,1.4,4000.0
21,761-0192,1.3,2231.0
21,711-2052,2.0,1050.0
21,627-1050,4.5,733.0
21,675-0295,2.9,1621.0
21,647-4062,1.4,1429.0
21,781-0207,50.0,22.0
21,644-2054,5.1,1059.0
21,751-0101,1.5,1467.0
21,704-1050,1.0,1000.0
21,793-0273,1.8,778.0
21,746-0190,4.4,1364.0
21,644-2055,4.9,1388.0
21,755-0112,1.9,1158.0
21,667-0388,24.3,267.0
21,644-0202,3.9,1462.0
21,721-0392,12.6,452.0
21,628-5050,2.1,3095.0
21,686-0201,3.6,472.0
21,667-0101,1.4,3500.0
21,636-0189,1.7,2059.0
21,754-0105,2.2,1227.0
21,611-0204,4.1,976.0
21,727-5050,2.0,1200.0
21,741-0201,2.6,923.0
21,633-0209,1.5,1867.0
21,741-0387,1.4,1357.0
21,7820613-0613,36.1,3765.0
21,707-0206,5.2,1981.0
21,663-4752,1.1,1909.0
21,721-3756,2.0,650.0
21,744-0101,1.5,867.0
21,628-0197,0.9,2333.0
21,7820618-0618,31.3,2188.0
21,644-0176,3.4,941.0
21,635-1554,2.1,1857.0
21,611-0386,3.9,846.0
21,772-4050,0.7,2286.0
21,618-0190,2.0,1050.0
21,625-0101,5.0,800.0
21,660-0291,3.2,1938.0
21,623-4052,1.4,1071.0
21,667-1817,33.3,544.0
21,660-1320,29.8,463.0
21,667-1018,1.0,2100.0
21,710-2552,3.7,2027.0
21,715-5050,2.1,1333.0
21,706-0203,0.9,1444.0
21,644-4053,5.3,1566.0
21,644-0503,20.4,54.0
21,644-3070,5.4,759.0
21,625-2052,6.1,1049.0
