year,mergecode,droprate,totalenroll
19,625-2052,2.9,1103.0
19,644-0500,18.7,342.0
19,697-0192,2.7,1074.0
19,667-0103,3.8,3421.0
19,755-0275,1.8,1500.0
19,628-5050,2.5,2960.0
19,667-1214,20.8,481.0
19,761-4058,5.2,1135.0
19,633-1054,3.5,3114.0
19,664-0106,1.2,1167.0
19,615-0502,3.5,600.0
19,667-0105,0.9,3667.0
19,615-0182,1.2,2417.0
19,644-0276,6.6,1318.0
19,669-0202,0.9,1444.0
19,706-5062,5.8,914.0
19,667-0195,1.4,3286.0
19,633-0188,1.0,2000.0
19,633-1064,2.3,2609.0
19,658-0107,0.7,2714.0
19,667-1050,3.7,3135.0
19,648-0212,2.4,1750.0
19,665-1050,1.8,1333.0
19,688-0193,1.8,1389.0
19,667-2558,1.8,2833.0
19,631-0377,3.6,1389.0
19,667-1114,12.5,464.0
19,625-3056,6.0,800.0
19,748-0195,0.7,1571.0
19,669-1556,1.2,1167.0
19,631-0104,2.9,1897.0
19,741-1052,3.7,1270.0
19,667-1410,1.8,2778.0
19,633-0381,0.7,2000.0
19,722-0176,4.3,1977.0
19,660-0119,0.6,2167.0
19,767-2050,2.0,1500.0
19,759-0197,36.7,60.0
19,633-0103,3.2,1594.0
19,643-3050,1.3,1538.0
19,891-0104,32.4,68.0
19,607-3052,1.7,2235.0
19,761-4560,2.4,1500.0
19,761-2664,43.4,389.0
