year,mergecode,districtcode,black,hispanic,white,totalenroll,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,state,year_21
17,4239-5040arizona,4239arizona,2.99,14.67,74.57,2945,17.0,1.13,40340000246,0.0,0.0,1.0,0.0,0,arizona,0
18,4239-5040arizona,4239arizona,2.96,15.1,74.08,2801,14.0,1.31,40340000246,0.0,0.0,1.0,0.0,0,arizona,0
19,4239-5040arizona,4239arizona,2.72,14.84,73.74,3012,14.0,0.87,40340000246,0.0,0.0,1.0,0.0,0,arizona,0
21,4239-5040arizona,4239arizona,1.34,15.63,74.74,2771,14.0,2.0,40340000246,0.9,0.1,0.0,0.55,0,arizona,1
17,4239-6007arizona,4239arizona,4.95,25.35,59.42,1779,30.0,1.82,40340001670,0.0,0.0,1.0,0.0,0,arizona,0
18,4239-6007arizona,4239arizona,5.29,28.25,55.96,1494,29.0,2.88,40340001670,0.0,0.0,1.0,0.0,0,arizona,0
19,4239-6007arizona,4239arizona,5.51,29.55,54.4,1489,33.0,1.88,40340001670,0.0,0.0,1.0,0.0,0,arizona,0
21,4239-6007arizona,4239arizona,3.85,32.17,52.24,1116,33.0,2.02,40340001670,0.9,0.1,0.0,0.55,0,arizona,1
17,4239-5021arizona,4239arizona,4.3,33.11,53.64,604,42.0,0.51,40340001216,0.0,0.0,1.0,0.0,0,arizona,0
18,4239-5021arizona,4239arizona,4.18,37.65,49.49,980,51.0,1.28,40340001216,0.0,0.0,1.0,0.0,0,arizona,0
19,4239-5021arizona,4239arizona,5.03,38.32,48.9,955,47.0,0.97,40340001216,0.0,0.0,1.0,0.0,0,arizona,0
21,4239-5021arizona,4239arizona,3.61,38.15,46.39,692,42.0,2.0,40340001216,0.9,0.1,0.0,0.55,0,arizona,1
17,4271-5342arizona,4271arizona,14.58,64.36,10.46,679,93.0,1.52,40342001402,0.0,0.0,1.0,0.0,0,arizona,0
18,4271-5342arizona,4271arizona,17.48,63.38,10.68,721,99.0,0.5,40342001402,0.0,0.0,1.0,0.0,0,arizona,0
19,4271-5342arizona,4271arizona,20.18,63.89,8.48,684,98.0,4.03,40342001402,0.0,0.0,1.0,0.0,0,arizona,0
21,4271-5342arizona,4271arizona,20.79,63.37,7.67,404,98.0,5.34,40342001402,0.2,0.8,0.0,0.9,0,arizona,1
17,4271-5337arizona,4271arizona,6.87,85.07,5.8,931,93.0,1.15,40342000270,0.0,0.0,1.0,0.0,0,arizona,0
18,4271-5337arizona,4271arizona,8.87,82.49,6.29,891,97.0,0.65,40342000270,0.0,0.0,1.0,0.0,0,arizona,0
19,4271-5337arizona,4271arizona,8.15,83.93,5.86,871,95.0,0.93,40342000270,0.0,0.0,1.0,0.0,0,arizona,0
21,4271-5337arizona,4271arizona,8.26,82.98,5.95,605,95.0,3.5,40342000270,0.2,0.8,0.0,0.9,0,arizona,1
17,4285-5429arizona,4285arizona,11.19,56.22,18.38,1197,75.0,1.82,40345000277,0.0,0.0,1.0,0.0,0,arizona,0
18,4285-5429arizona,4285arizona,11.42,57.54,19.09,1121,75.0,1.02,40345000277,0.0,0.0,1.0,0.0,0,arizona,0
19,4285-5429arizona,4285arizona,14.17,57.25,18.45,1214,75.0,0.48,40345000277,0.0,0.0,1.0,0.0,0,arizona,0
21,4285-5429arizona,4285arizona,16.41,58.97,12.01,1182,71.0,3.11,40345000277,0.1,0.7,0.2,0.75,0,arizona,1
17,4285-5426arizona,4285arizona,11.12,74.04,9.77,1853,77.0,0.88,40345000278,0.0,0.0,1.0,0.0,0,arizona,0
18,4285-5426arizona,4285arizona,11.11,73.55,10.6,1773,76.0,0.59,40345000278,0.0,0.0,1.0,0.0,0,arizona,0
19,4285-5426arizona,4285arizona,10.83,73.9,9.95,1709,79.0,0.44,40345000278,0.0,0.0,1.0,0.0,0,arizona,0
21,4285-5426arizona,4285arizona,9.63,74.88,8.82,1859,75.0,3.45,40345000278,0.1,0.7,0.2,0.75,0,arizona,1
17,4285-5434arizona,4285arizona,9.15,73.42,10.84,2141,69.0,1.37,40345000284,0.0,0.0,1.0,0.0,0,arizona,0
18,4285-5434arizona,4285arizona,8.02,76.51,9.86,1958,64.0,0.77,40345000284,0.0,0.0,1.0,0.0,0,arizona,0
19,4285-5434arizona,4285arizona,9.01,75.79,9.96,2119,67.0,0.96,40345000284,0.0,0.0,1.0,0.0,0,arizona,0
21,4285-5434arizona,4285arizona,7.22,79.03,7.41,2079,64.0,2.0,40345000284,0.0,0.8,0.2,0.8,0,arizona,1
17,4285-5430arizona,4285arizona,8.74,43.5,39.23,1499,58.0,0.48,40345000280,0.0,0.0,1.0,0.0,0,arizona,0
18,4285-5430arizona,4285arizona,8.32,46.33,36.41,1431,53.0,0.36,40345000280,0.0,0.0,1.0,0.0,0,arizona,0
19,4285-5430arizona,4285arizona,6.86,48.19,35.69,1384,53.0,0.46,40345000280,0.0,0.0,1.0,0.0,0,arizona,0
21,4285-5430arizona,4285arizona,7.76,51.27,30.68,1418,51.0,2.0,40345000280,0.1,0.7,0.2,0.75,0,arizona,1
17,4285-5427arizona,4285arizona,4.73,48.89,41.1,2029,48.0,0.65,40345000281,0.0,0.0,1.0,0.0,0,arizona,0
18,4285-5427arizona,4285arizona,4.94,49.42,41.29,2066,47.0,1.03,40345000281,0.0,0.0,1.0,0.0,0,arizona,0
19,4285-5427arizona,4285arizona,4.39,49.49,42.44,2142,47.0,1.01,40345000281,0.0,0.0,1.0,0.0,0,arizona,0
21,4285-5427arizona,4285arizona,4.26,50.96,37.34,2231,47.0,2.0,40345000281,0.1,0.7,0.2,0.75,0,arizona,1
17,4285-5432arizona,4285arizona,6.86,38.43,48.17,1530,46.0,0.78,40345000282,0.0,0.0,1.0,0.0,0,arizona,0
18,4285-5432arizona,4285arizona,6.98,39.36,45.87,1489,46.0,0.42,40345000282,0.0,0.0,1.0,0.0,0,arizona,0
19,4285-5432arizona,4285arizona,7.3,41.52,44.68,1616,47.0,0.59,40345000282,0.0,0.0,1.0,0.0,0,arizona,0
21,4285-5432arizona,4285arizona,6.87,43.74,39.82,1630,47.0,2.0,40345000282,0.1,0.7,0.2,0.75,0,arizona,1
17,4285-5428arizona,4285arizona,12.43,61.77,14.17,1729,71.0,1.11,40345000283,0.0,0.0,1.0,0.0,0,arizona,0
18,4285-5428arizona,4285arizona,11.47,64.12,13.54,1639,72.0,0.72,40345000283,0.0,0.0,1.0,0.0,0,arizona,0
19,4285-5428arizona,4285arizona,11.26,64.83,12.42,1723,69.0,1.07,40345000283,0.0,0.0,1.0,0.0,0,arizona,0
21,4285-5428arizona,4285arizona,10.29,65.52,10.51,1807,72.0,2.0,40345000283,0.1,0.7,0.2,0.75,0,arizona,1
17,4208-4855arizona,4208arizona,0.0,29.17,33.71,528,65.0,4.88,40350000287,0.0,0.0,1.0,0.0,0,arizona,0
18,4208-4855arizona,4208arizona,0.0,30.48,34.86,479,43.0,6.04,40350000287,0.0,0.0,1.0,0.0,0,arizona,0
19,4208-4855arizona,4208arizona,0.0,27.5,37.3,571,48.0,4.19,40350000287,0.0,0.0,1.0,0.0,0,arizona,0
21,4208-4855arizona,4208arizona,0.0,27.38,35.53,515,45.0,5.71,40350000287,0.8,0.2,0.0,0.6,0,arizona,1
17,4208-85831arizona,4208arizona,0.0,31.55,37.8,336,65.0,4.78,40350002422,0.0,0.0,1.0,0.0,0,arizona,0
18,4208-85831arizona,4208arizona,0.0,32.91,35.14,313,61.0,1.59,40350002422,0.0,0.0,1.0,0.0,0,arizona,0
19,4208-85831arizona,4208arizona,0.0,31.58,34.9,361,63.0,1.16,40350002422,0.0,0.0,1.0,0.0,0,arizona,0
21,4208-85831arizona,4208arizona,0.0,35.88,30.34,379,56.0,5.46,40350002422,0.8,0.2,0.0,0.6,0,arizona,1
17,4248-92259arizona,4248arizona,5.24,17.95,68.06,936,21.0,0.89,40378003381,0.0,0.0,1.0,0.0,0,arizona,0
18,4248-92259arizona,4248arizona,5.33,20.26,64.45,844,22.0,0.1,40378003381,0.0,0.0,1.0,0.0,0,arizona,0
19,4248-92259arizona,4248arizona,4.55,22.3,61.21,879,25.0,0.18,40378003381,0.0,0.0,1.0,0.0,0,arizona,0
21,4248-92259arizona,4248arizona,5.84,25.48,53.87,891,22.0,2.0,40378003381,0.9,0.1,0.0,0.55,0,arizona,1
17,4248-79374arizona,4248arizona,5.13,20.2,65.47,1639,14.0,0.81,40378002119,0.0,0.0,1.0,0.0,0,arizona,0
18,4248-79374arizona,4248arizona,4.74,19.4,67.43,1624,14.0,0.59,40378002119,0.0,0.0,1.0,0.0,0,arizona,0
19,4248-79374arizona,4248arizona,3.55,19.26,68.53,1802,13.0,0.32,40378002119,0.0,0.0,1.0,0.0,0,arizona,0
21,4248-79374arizona,4248arizona,3.04,19.48,67.42,2069,13.0,2.0,40378002119,0.9,0.1,0.0,0.55,0,arizona,1
17,4248-89581arizona,4248arizona,5.55,21.77,62.12,1856,17.0,1.28,40378002835,0.0,0.0,1.0,0.0,0,arizona,0
