year,mergecode,districtcode,droprate,black,white,hispanic,totalenroll,lowincome,charter,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,state,year_21
18,0020-9431colorado,0020colorado,0.0,0.49,69.27,21.95,205,16.1,1,80690006417,0.0,0.0,1.0,0.0,colorado,0
19,0020-9431colorado,0020colorado,0.0,0.89,64.29,23.21,224,14.9,1,80690006417,0.0,0.0,1.0,0.0,colorado,0
21,0020-9431colorado,0020colorado,0.9,2.37,65.4,17.06,211,17.7,1,80690006417,0.3,0.5,0.2,0.65,colorado,1
17,0030-0022colorado,0030colorado,34.7,3.23,8.87,86.02,372,78.7,0,80195001307,0.0,0.0,1.0,0.0,colorado,0
18,0030-0022colorado,0030colorado,31.7,2.55,12.75,81.87,353,83.7,0,80195001307,0.0,0.0,1.0,0.0,colorado,0
19,0030-0022colorado,0030colorado,31.35,3.37,12.69,82.12,386,84.2,0,80195001307,0.0,0.0,1.0,0.0,colorado,0
21,0030-0022colorado,0030colorado,33.6,1.74,9.57,87.25,345,66.5,0,80195001307,0.4,0.6,0.0,0.8,colorado,1
17,0030-0024colorado,0030colorado,6.0,2.68,11.31,84.03,2167,80.2,0,80195000010,0.0,0.0,1.0,0.0,colorado,0
18,0030-0024colorado,0030colorado,5.7,2.0,10.45,85.64,2201,85.9,0,80195000010,0.0,0.0,1.0,0.0,colorado,0
19,0030-0024colorado,0030colorado,5.32,2.68,9.81,85.33,2161,81.9,0,80195000010,0.0,0.0,1.0,0.0,colorado,0
21,0030-0024colorado,0030colorado,3.4,1.51,8.03,88.84,1981,74.9,0,80195000010,0.4,0.6,0.0,0.8,colorado,1
17,0040-1021colorado,0040colorado,19.8,1.59,37.57,57.41,378,44.9,0,80258000729,0.0,0.0,1.0,0.0,colorado,0
18,0040-1021colorado,0040colorado,16.8,1.14,38.07,56.25,352,44.9,0,80258000729,0.0,0.0,1.0,0.0,colorado,0
19,0040-1021colorado,0040colorado,11.61,2.11,37.47,57.52,379,43.1,0,80258000729,0.0,0.0,1.0,0.0,colorado,0
21,0040-1021colorado,0040colorado,8.3,0.96,33.01,61.22,312,33.3,0,80258000729,0.7,0.3,0.0,0.65,colorado,1
17,0040-1022colorado,0040colorado,2.4,0.97,42.55,51.87,2167,37.3,0,80258000144,0.0,0.0,1.0,0.0,colorado,0
18,0040-1022colorado,0040colorado,1.8,1.2,43.91,50.65,2166,38.4,0,80258000144,0.0,0.0,1.0,0.0,colorado,0
19,0040-1022colorado,0040colorado,2.39,1.26,42.56,51.45,2138,33.7,0,80258000144,0.0,0.0,1.0,0.0,colorado,0
21,0040-1022colorado,0040colorado,1.8,1.02,40.16,54.57,2164,30.9,0,80258000144,0.7,0.3,0.0,0.65,colorado,1
17,0040-2399colorado,0040colorado,0.4,1.77,55.14,38.12,564,25.5,1,80258006474,0.0,0.0,1.0,0.0,colorado,0
18,0040-2399colorado,0040colorado,0.2,1.93,52.98,41.05,570,25.8,1,80258006474,0.0,0.0,1.0,0.0,colorado,0
19,0040-2399colorado,0040colorado,0.34,2.35,50.08,42.55,597,23.3,1,80258006474,0.0,0.0,1.0,0.0,colorado,0
21,0040-2399colorado,0040colorado,0.7,2.37,46.78,46.1,590,16.1,1,80258006474,0.7,0.3,0.0,0.65,colorado,1
17,0040-7129colorado,0040colorado,1.7,3.2,45.0,43.77,2440,33.4,0,80258002003,0.0,0.0,1.0,0.0,colorado,0
18,0040-7129colorado,0040colorado,1.2,3.78,43.83,43.94,2592,34.7,0,80258002003,0.0,0.0,1.0,0.0,colorado,0
19,0040-7129colorado,0040colorado,1.85,3.25,43.4,45.3,2212,30.5,0,80258002003,0.0,0.0,1.0,0.0,colorado,0
21,0040-7129colorado,0040colorado,0.7,4.22,37.62,50.75,1943,25.4,0,80258002003,0.7,0.3,0.0,0.65,colorado,1
17,0050-0775colorado,0050colorado,1.0,0.78,75.0,21.35,384,19.8,0,80243000092,0.0,0.0,1.0,0.0,colorado,0
18,0050-0775colorado,0050colorado,1.0,0.74,72.46,24.57,403,18.7,0,80243000092,0.0,0.0,1.0,0.0,colorado,0
19,0050-0775colorado,0050colorado,1.01,0.51,66.84,29.37,395,19.4,0,80243000092,0.0,0.0,1.0,0.0,colorado,0
21,0050-0775colorado,0050colorado,1.0,1.97,57.25,36.12,407,31.0,0,80243000092,0.1,0.1,0.8,0.15,colorado,1
17,0060-8334colorado,0060colorado,1.4,0.85,83.24,13.35,352,20.6,0,80675001161,0.0,0.0,1.0,0.0,colorado,0
18,0060-8334colorado,0060colorado,0.6,1.17,79.01,16.91,343,17.8,0,80675001161,0.0,0.0,1.0,0.0,colorado,0
19,0060-8334colorado,0060colorado,0.0,0.27,76.65,19.51,364,20.1,0,80675001161,0.0,0.0,1.0,0.0,colorado,0
21,0060-8334colorado,0060colorado,1.1,0.28,68.73,26.48,355,18.8,0,80675001161,0.7,0.1,0.2,0.45,colorado,1
17,0070-3931colorado,0070colorado,17.0,0.88,14.69,81.24,565,73.9,0,80723001877,0.0,0.0,1.0,0.0,colorado,0
18,0070-3931colorado,0070colorado,16.6,1.35,17.43,78.0,591,71.9,0,80723001877,0.0,0.0,1.0,0.0,colorado,0
19,0070-3931colorado,0070colorado,13.45,1.95,16.81,76.81,565,68.0,0,80723001877,0.0,0.0,1.0,0.0,colorado,0
21,0070-3931colorado,0070colorado,17.4,1.19,19.17,74.7,506,73.7,0,80723001877,0.0,0.2,0.8,0.2,colorado,1
17,0070-9466colorado,0070colorado,2.0,1.17,15.89,76.18,3090,79.8,0,80723001254,0.0,0.0,1.0,0.0,colorado,0
18,0070-9466colorado,0070colorado,2.0,1.23,14.35,76.94,2919,78.3,0,80723001254,0.0,0.0,1.0,0.0,colorado,0
19,0070-9466colorado,0070colorado,1.6,1.29,14.32,76.5,2877,78.1,0,80723001254,0.0,0.0,1.0,0.0,colorado,0
21,0070-9466colorado,0070colorado,1.1,1.59,13.56,77.08,2640,72.5,0,80723001254,0.0,0.2,0.8,0.2,colorado,1
17,0100-0118colorado,0100colorado,0.5,1.51,33.53,60.57,662,54.0,0,80207000027,0.0,0.0,1.0,0.0,colorado,0
18,0100-0118colorado,0100colorado,1.9,1.17,32.8,61.08,686,29.7,0,80207000027,0.0,0.0,1.0,0.0,colorado,0
19,0100-0118colorado,0100colorado,1.16,1.01,32.46,61.16,690,61.4,0,80207000027,0.0,0.0,1.0,0.0,colorado,0
21,0100-0118colorado,0100colorado,0.9,0.75,32.52,61.47,532,63.2,0,80207000027,0.3,0.1,0.6,0.25,colorado,1
17,0110-7630colorado,0110colorado,0.0,3.64,65.45,24.85,165,57.7,0,80642001116,0.0,0.0,1.0,0.0,colorado,0
18,0110-7630colorado,0110colorado,0.7,2.67,61.33,32.0,150,57.5,0,80642001116,0.0,0.0,1.0,0.0,colorado,0
19,0110-7630colorado,0110colorado,0.0,1.28,58.97,33.97,156,56.4,0,80642001116,0.0,0.0,1.0,0.0,colorado,0
21,0110-7630colorado,0110colorado,0.0,0.8,53.6,34.4,125,45.3,0,80642001116,0.0,0.0,1.0,0.0,colorado,1
17,0120-0206colorado,0120colorado,16.8,1.79,57.27,35.35,447,53.9,0,80378001310,0.0,0.0,1.0,0.0,colorado,0
18,0120-0206colorado,0120colorado,14.4,1.49,62.03,31.02,403,45.1,0,80378001310,0.0,0.0,1.0,0.0,colorado,0
19,0120-0206colorado,0120colorado,10.86,1.98,63.46,30.62,405,43.9,0,80378001310,0.0,0.0,1.0,0.0,colorado,0
21,0120-0206colorado,0120colorado,7.1,0.32,62.38,30.87,311,42.7,0,80378001310,0.0,0.2,0.8,0.2,colorado,1
17,0120-2746colorado,0120colorado,4.2,5.04,46.11,42.65,694,64.7,0,80378000491,0.0,0.0,1.0,0.0,colorado,0
18,0120-2746colorado,0120colorado,5.4,5.2,45.98,43.78,635,66.9,0,80378000491,0.0,0.0,1.0,0.0,colorado,0
19,0120-2746colorado,0120colorado,2.2,2.98,44.27,46.31,637,66.9,0,80378000491,0.0,0.0,1.0,0.0,colorado,0
21,0120-2746colorado,0120colorado,2.9,3.51,44.02,44.98,627,63.1,0,80378000491,0.0,0.2,0.8,0.2,colorado,1
17,0123-7842colorado,0123colorado,1.7,6.05,13.8,75.79,413,92.7,0,80654001134,0.0,0.0,1.0,0.0,colorado,0
18,0123-7842colorado,0123colorado,0.7,6.6,12.5,75.94,424,92.8,0,80654001134,0.0,0.0,1.0,0.0,colorado,0
19,0123-7842colorado,0123colorado,0.95,5.71,12.62,75.24,420,91.4,0,80654001134,0.0,0.0,1.0,0.0,colorado,0
21,0123-7842colorado,0123colorado,0.5,4.22,11.61,77.31,379,73.3,0,80654001134,0.6,0.3,0.1,0.6,colorado,1
17,0130-1551colorado,0130colorado,0.9,10.76,57.58,16.32,3272,15.6,0,80291001951,0.0,0.0,1.0,0.0,colorado,0
18,0130-1551colorado,0130colorado,0.9,10.67,56.96,16.28,3169,14.7,0,80291001951,0.0,0.0,1.0,0.0,colorado,0
19,0130-1551colorado,0130colorado,0.78,10.08,57.27,15.97,3075,13.4,0,80291001951,0.0,0.0,1.0,0.0,colorado,0
21,0130-1551colorado,0130colorado,0.7,9.35,57.8,17.1,3071,13.9,0,80291001951,0.7,0.1,0.2,0.45,colorado,1
17,0130-1570colorado,0130colorado,0.5,3.15,66.65,12.44,3874,12.4,0,80291000186,0.0,0.0,1.0,0.0,colorado,0
18,0130-1570colorado,0130colorado,0.7,3.36,66.34,12.45,3928,12.9,0,80291000186,0.0,0.0,1.0,0.0,colorado,0
19,0130-1570colorado,0130colorado,1.24,3.35,65.51,13.17,4033,13.0,0,80291000186,0.0,0.0,1.0,0.0,colorado,0
21,0130-1570colorado,0130colorado,0.8,3.49,64.0,14.59,4125,13.7,0,80291000186,0.7,0.1,0.2,0.45,colorado,1
17,0130-2357colorado,0130colorado,1.0,14.56,51.21,20.74,2884,32.0,0,80291006156,0.0,0.0,1.0,0.0,colorado,0
18,0130-2357colorado,0130colorado,1.1,13.88,49.84,22.25,3106,31.5,0,80291006156,0.0,0.0,1.0,0.0,colorado,0
19,0130-2357colorado,0130colorado,1.06,14.04,48.99,22.73,3313,30.3,0,80291006156,0.0,0.0,1.0,0.0,colorado,0
21,0130-2357colorado,0130colorado,1.0,14.68,47.85,23.12,3352,30.7,0,80291006156,0.7,0.1,0.2,0.45,colorado,1
17,0130-2653colorado,0130colorado,15.9,18.18,42.89,29.37,429,51.1,0,80291006649,0.0,0.0,1.0,0.0,colorado,0
18,0130-2653colorado,0130colorado,15.6,15.35,44.88,32.09,430,44.6,0,80291006649,0.0,0.0,1.0,0.0,colorado,0
19,0130-2653colorado,0130colorado,9.75,12.75,48.0,33.5,400,49.8,0,80291006649,0.0,0.0,1.0,0.0,colorado,0
21,0130-2653colorado,0130colorado,11.3,16.13,37.63,35.75,372,53.4,0,80291006649,0.7,0.1,0.2,0.45,colorado,1
17,0130-3589colorado,0130colorado,1.0,9.03,56.96,17.51,2867,22.6,0,80291001625,0.0,0.0,1.0,0.0,colorado,0
18,0130-3589colorado,0130colorado,0.8,8.75,56.41,17.27,3005,22.9,0,80291001625,0.0,0.0,1.0,0.0,colorado,0
19,0130-3589colorado,0130colorado,0.77,8.59,56.23,17.08,3121,22.3,0,80291001625,0.0,0.0,1.0,0.0,colorado,0
21,0130-3589colorado,0130colorado,1.1,9.19,55.12,16.3,3122,21.5,0,80291001625,0.7,0.1,0.2,0.45,colorado,1
17,0130-6625colorado,0130colorado,3.0,29.5,23.14,34.9,2688,64.4,0,80291001272,0.0,0.0,1.0,0.0,colorado,0
18,0130-6625colorado,0130colorado,2.5,28.17,21.56,37.59,2751,67.4,0,80291001272,0.0,0.0,1.0,0.0,colorado,0
19,0130-6625colorado,0130colorado,1.69,27.56,20.41,38.99,2783,66.8,0,80291001272,0.0,0.0,1.0,0.0,colorado,0
21,0130-6625colorado,0130colorado,2.6,27.92,18.91,41.16,2607,66.7,0,80291001272,0.7,0.1,0.2,0.45,colorado,1
17,0130-8020colorado,0130colorado,1.5,19.0,43.34,23.52,2321,37.4,0,80291000203,0.0,0.0,1.0,0.0,colorado,0
18,0130-8020colorado,0130colorado,1.2,18.93,43.14,23.52,2309,40.8,0,80291000203,0.0,0.0,1.0,0.0,colorado,0
19,0130-8020colorado,0130colorado,1.68,18.44,42.53,24.49,2262,40.4,0,80291000203,0.0,0.0,1.0,0.0,colorado,0
21,0130-8020colorado,0130colorado,1.5,17.61,41.58,25.86,2436,42.6,0,80291000203,0.7,0.1,0.2,0.45,colorado,1
17,0140-0298colorado,0140colorado,0.5,1.09,81.47,9.08,2391,7.6,0,80531000873,0.0,0.0,1.0,0.0,colorado,0
18,0140-0298colorado,0140colorado,0.7,1.26,80.99,8.94,2383,6.0,0,80531000873,0.0,0.0,1.0,0.0,colorado,0
19,0140-0298colorado,0140colorado,0.54,1.25,80.78,9.13,2398,7.2,0,80531000873,0.0,0.0,1.0,0.0,colorado,0
21,0140-0298colorado,0140colorado,0.6,1.48,78.6,10.89,2168,9.1,0,80531000873,0.5,0.2,0.3,0.45,colorado,1
17,0140-3930colorado,0140colorado,1.3,0.89,76.75,14.76,1802,13.9,0,80531000881,0.0,0.0,1.0,0.0,colorado,0
18,0140-3930colorado,0140colorado,0.9,0.81,77.31,14.44,1842,12.0,0,80531000881,0.0,0.0,1.0,0.0,colorado,0
19,0140-3930colorado,0140colorado,0.28,0.94,77.36,14.99,1815,10.5,0,80531000881,0.0,0.0,1.0,0.0,colorado,0
