,elapass_wi_virtualper_inf
240,0.00012512777117067378
241,-0.0001253614716523224
242,0.0011020314160165086
243,0.0029173224375351114
244,-0.0014385797580264432
245,-0.0003337755443727425
246,0.0003597895987926243
247,-0.0031127006419465844
248,0.0002572768384584657
249,-2.818496662382251e-05
250,-8.09590735202254e-05
251,0.00018801249043230906
252,0.0007919485681612143
253,0.0008365920954342068
254,-0.0007198787222878457
255,0.008621452838966962
256,-1.8859972548780218e-05
257,0.00012881526150468206
258,-0.00013588771694500286
259,0.00030764636664236053
260,0.0036831243016871872
261,0.0008489010303170109
262,-0.0019673262574862356
263,0.0065124262032899855
264,-0.0006166723144730274
265,0.00016632996859468775
266,0.0003149788565593886
267,0.00045711913038001595
268,-1.846798313750312e-05
269,-3.989245916536382e-05
270,-7.267715537878725e-05
271,-0.0007563579122895516
272,6.851230451911722e-06
273,9.953407000849949e-05
274,2.5788504117932926e-05
275,9.603081078673108e-05
276,0.00012374983951658387
277,-0.0001369521173016962
278,-7.944486552175944e-05
279,-0.001112694595310749
280,2.9802847097475648e-05
281,-0.000460696637394596
282,0.00025378379710278443
283,0.0002522261591699472
284,0.0004260454452573042
285,-0.0005592272319385196
286,-0.0006080618521372036
287,-0.0010531238509159356
288,6.515873134863011e-06
289,0.0001349872667582931
290,-4.946078792702142e-06
291,-7.427890006666948e-05
292,0.0003006104991132952
293,8.698180636784934e-05
294,-0.00028804537614143843
295,0.0004026607958903422
296,-0.0008206862217875246
297,-0.0001871966370952159
298,0.0008083068737581208
299,-0.0006746745738272513
300,-3.8118676328761086e-05
301,-4.791083665674416e-05
302,-9.969927074127895e-05
303,1.6518965308535864e-05
304,5.4144293763131166e-05
305,4.8920919960151636e-05
306,7.713835367634082e-05
307,-5.253901797298795e-05
308,-4.1705353827301484e-05
309,0.00023551496364935547
310,6.162334683344828e-05
311,0.0001637487217586932
312,0.0002677990231115728
313,1.7688407467935583e-05
314,1.7562222189162877e-05
315,0.0002872696552189567
316,0.00037331470909070957
317,-7.056334309539148e-05
318,0.0006976823883436875
319,-5.213771694212807e-05
320,0.0001925053622800312
321,-3.937427941781682e-05
322,-6.794328750128285e-05
323,0.0002686152048665383
324,1.0393530441733884e-05
325,1.2770862810801472e-06
326,-5.762503629462858e-05
327,8.6325557967055e-05
328,-2.026724863059835e-05
329,0.0001067570762985043
330,0.00010836858605146653
331,0.0005098346439959402
332,-2.227505938279211e-05
333,0.00030777417890719946
334,6.378564330716753e-05
335,0.00035318048467374247
336,-0.0003735314574071479
337,0.0004642560103020915
338,0.0002673743123913526
339,0.0014528052290126204
340,-1.5328207581631527e-05
341,0.00019886454473913768
342,3.5408537067614974e-05
343,9.535079913256133e-05
344,0.00039165991166879437
345,0.0004006686595654469
346,-0.0010015335415073864
347,0.0008838051724902957
348,-0.0003338278009223831
349,0.0004768575575285972
350,0.00035977259907340456
351,0.001307879453368301
352,0.0005759997063216092
353,-0.0003132634127563724
354,8.08848117978734e-05
355,0.0007511691560365626
356,0.00013797650327623934
