,mathpass_ed_virtualper_inf
388,-0.0010227784974369365
389,1.4235067075797153e-05
390,0.00011700704744671924
391,-0.0008096092847491534
392,-0.0003431649924413271
393,0.0004872942679523152
394,0.00025532798570974654
395,0.00010139249393501255
396,-3.4292577339125024e-05
397,-0.000750347725664216
398,0.000126637394249381
399,-0.0006503710922558524
400,6.696911463927388e-05
401,0.0005615562319333815
402,-0.0013071732066834642
403,-0.0001769901356738772
404,-0.0003309349986240035
405,-4.288091711879102e-05
406,-0.00028012195025146566
407,-0.00013893704186682167
408,0.0005906560355563863
409,0.0008677168906879534
410,-0.0002450053878934388
411,-0.000254901846821319
412,-0.004626833003391375
413,0.0061355739072930585
414,-0.004107947458065036
415,-0.014972875462551717
416,0.00011779644868580626
417,-0.0007529816271782478
418,-0.00024128922154025787
419,-6.396644905156647e-05
420,-0.0005905732068231453
421,0.00011936030660510042
422,2.5541377921732193e-05
423,-0.001161418596674843
424,-0.0016179026608154254
425,0.001216890861272676
426,-8.831839936818901e-06
427,0.0009708598867167184
428,0.00014252661735970925
429,-0.00011885042055660796
430,7.529109424903474e-06
431,0.00010916299025148558
432,0.00012898391055188923
433,0.0011026142368648435
434,-0.0006718972643845742
435,-0.0005984798521782093
436,-0.0003592121586977849
437,2.1095933058218674e-05
438,-1.887053489120826e-05
439,-0.0005548075369796782
440,0.0014962541735648537
441,0.0031310837447398676
442,-3.396363470574193e-05
443,0.0077099733941416735
444,0.0003228487497630846
445,0.00036975940306000843
446,-0.00011933328966199458
447,0.0019024793642997099
448,0.00043519631274704663
449,0.00017851357426586464
450,-1.5285329892399195e-05
451,0.00014601168133598872
452,-0.0017863270990157174
453,0.00018403135745104747
454,0.0007491830587855182
455,-0.0011089911566404998
456,0.00036879799192943375
457,-0.0011299752881755655
458,0.0007633041893318031
459,0.0027431946953702466
460,0.0006848965314167983
461,-0.0007572667561460371
462,2.8605720804980012e-05
463,0.008734458688039808
464,-0.0003044066878850711
465,-1.9598189129691215e-05
466,6.806248483178644e-05
467,-0.00032221902340921413
468,-0.0036934453958917322
469,0.0009124335824561058
470,0.0007938542453146566
471,-0.0044019037382602546
472,-0.0035496335245327046
473,0.00037861071310401256
