,mathpass_wi_virtualper_inf
422,1.7058584258232427e-05
423,-0.00036555537685247066
424,-3.640573430425613e-05
425,-0.0005888067210932823
426,3.517649153795882e-05
427,-0.0002702988426623704
428,-5.244579938220646e-05
429,3.66800994344096e-05
430,-7.92868100364862e-05
431,-6.158255664694435e-05
432,-0.0005580942930677209
433,0.0002760628456550943
434,-0.00025378135252190404
435,0.0014688689068286
436,-0.00012071383603302752
437,-9.661547175504366e-05
438,7.556179592140897e-05
439,0.0004405181974421347
440,-0.001956846895834882
441,-0.0019743342345504254
442,6.095042102651257e-06
443,-0.00714316249650091
444,-0.00022616824561423298
445,-0.00038935884441744793
446,8.643615795637843e-05
447,-0.0015333498065861404
448,-0.0004946123482227598
449,-0.00013016662023424645
450,5.0839448622048905e-06
451,-0.00014193193647735582
452,0.00017028287398032887
453,-5.2805865907079546e-05
454,0.00019052190854982075
455,0.0007300572788871679
456,-0.00039628036089547853
457,0.0004078499811178214
458,-7.25628049697389e-05
459,-0.0015981355032413567
460,-0.00026282594470909687
461,0.00014131631612177578
462,-0.0020435865465901655
463,-0.004528427730559352
464,0.0007469574271467961
465,-0.000231890408707785
466,1.4425855922161141e-05
467,0.0007798415390883963
468,0.0018675551788956408
469,-0.0004749629823234584
470,-0.0006014932154740478
471,0.0025966302704313235
472,0.001894795373186397
473,-0.00023229901330324598
474,-0.0012186449628687423
475,0.0019244620988294987
476,-0.000515392494092476
477,-0.00023330720995739515
478,-5.21872139196081e-05
479,-0.0012866720666369319
480,0.00018978860379842882
481,-0.00012885367876917372
482,-0.0007532558970953558
483,-0.00040805948082586903
484,1.798552908475725e-05
485,-0.00010930586781372444
486,-0.0001376281296040106
487,8.281231177409838e-05
488,5.5681233006151606e-06
489,3.446463246056522e-05
490,0.0007991135350643661
491,0.0013330107964894685
492,0.0017440544393967968
493,0.00026243918433811893
494,-0.0014362148698767278
495,0.0006926462156745112
496,-0.0003112586095561073
497,-0.0007207932452819678
498,0.00017265928201634704
499,-0.003249351228930079
500,0.000215704859629434
501,-6.212466454756486e-05
502,-7.905195583113745e-05
503,0.00016838644728339044
504,4.274238856238038e-06
505,-8.649873277566184e-05
506,2.9231469498360218e-05
507,-0.00010607191210366578
508,-0.00014437959609151844
509,0.00012904279983437527
510,-4.404985994324945e-06
511,-6.050667163137675e-05
512,-0.0017990920679465674
513,0.00017057120993908213
514,-1.8958533786343466e-06
515,-0.0007806293637744573
516,4.294456541155541e-05
517,-0.00046702554754456246
518,6.701631420296262e-05
519,-0.0003706008945473704
520,0.0005733745206665566
521,1.7845015772500255e-05
522,-5.826803954541544e-06
523,0.0004957174740144337
524,-0.0007667057403537872
525,0.0006967052833843236
526,-0.00014438417295015366
527,0.0007305842249243912
528,-7.351236144764461e-05
529,-4.9824441259435445e-06
530,7.83265371257137e-05
531,-0.0005463568558326138
532,-7.780301128730556e-06
533,-0.00019878093726658866
534,0.00015651377538412718
535,7.642511182065953e-05
536,0.00029149151208215576
537,0.00021013555174688664
538,-9.277235562431011e-05
539,0.001297604021569721
540,0.014073696124797145
541,-0.012386986573537755
542,-0.0008054511166190212
543,0.015435171905479024
544,0.0005420467581704226
545,0.0009456592055011587
546,-0.001739803162423972
547,0.002766556114039501
548,0.001667555462055547
549,0.0007873194892064085
550,-3.869629766196995e-05
551,0.00029717109834949184
552,-0.0063962392427871365
553,0.004768796248531058
554,-0.003749682674357515
555,-0.016807167154645364
556,-0.0022889919422960643
557,0.00029772204937297695
558,-0.00018040061441037676
559,0.0004338506321892373
560,4.2653018534710955e-06
561,0.0002498318401470853
562,-0.00011344920667934212
563,0.00017609402741816373
564,-0.00028444724003450313
565,0.00022023061565601063
566,1.780857445537327e-05
567,0.0007351393443785357
568,-0.0002861604334551097
569,-9.608032982378385e-06
570,-5.092698149742704e-06
571,-0.0003081335098799979
572,0.0010983519556326436
573,-4.651257090314733e-06
574,-0.0019460723962152972
575,-0.002247019426642585
576,-0.00017314231588647395
577,-0.0001404072014642659
578,0.0005490628331848381
579,-0.0004118993331039223
580,-0.0002609714604125878
581,0.00033358223547521053
582,-0.00014612233971265622
583,0.0011281426740206164
584,-0.002791647175047581
585,0.0013075582240378687
586,-0.0006275818796341526
587,-0.006593833962338464
588,-0.00015902683044442697
589,4.239369923337889e-05
590,-0.00011160960407233094
591,0.0004968683498789344
592,-5.966696704397583e-05
593,-0.0001075604319699958
594,4.134998237792919e-05
595,1.8251016848899573e-05
596,-0.0008913704571512751
597,0.0002714799290373574
598,0.00013374768680498255
599,-1.3695829440269526e-05
600,0.001740905475495538
601,-0.000567902277247501
602,0.00012017224533001638
603,-0.0005393972206597625
604,-9.975058277154775e-05
605,-2.5027478026861405e-06
606,-0.00015956635221821782
607,-0.0006316641522761306
608,0.0013679216586031488
609,-0.00027863400889768726
610,-0.0008172034437393441
611,0.0007219904826765887
612,0.00010016459642082977
613,-0.00013203962412011914
614,0.0005023728232132428
615,-0.0004214895521796689
616,0.00020807757744163632
617,0.00096353111783241
618,0.0003262272937664602
619,-0.0002645976193975591
620,0.0011682151484822528
621,-0.005873116271942313
622,0.0032152466097751524
623,-0.006173774067559339
624,-0.00044751322898128974
625,-0.00021317522202291033
626,0.00018137911192621272
627,0.00010735655062372247
628,0.008485594279817637
629,0.004588453236877338
630,-0.005471099061461115
631,0.006269741999749599
632,-0.0007373647779333629
633,-0.00046102044446381566
634,0.001739853177626245
635,-0.0010607018435546628
636,0.0012247457296266267
637,-0.000945446417723831
638,-0.010150641735939221
639,-0.009867419063743695
