,drop_co_virtual
218,0.0022415842674330883
219,0.0004587905868242309
220,5.4817312240450564e-05
221,-0.001083734196167823
222,0.0006450530405418903
223,-0.0006875671827895013
224,-0.0005917949297938352
225,-0.0009717492058394582
226,-0.00012662303581902615
227,-0.004429121267122648
228,-0.001552118884760853
229,0.001365185947752064
230,0.0020691871461207276
231,0.007160362301023764
232,-0.0005923911670926806
233,-0.00041034165776459355
234,0.0013129559724452075
235,0.0009370229971894014
236,-7.870029615842796e-05
237,-7.81109594962607e-06
238,-2.810743110579787e-05
239,-0.00041308129903531543
240,-2.0737272439469122e-05
241,-0.00012511076323700883
242,-0.0007661413801005035
243,-0.002318102458352791
244,-0.00011267052896730236
245,-0.0003702499715158631
246,0.0003345961178703776
247,-0.0007612667272760235
248,0.0005568661250172364
249,-0.0014397588391473228
250,0.00012669255844646642
251,0.00022049559541608666
252,0.00031296433548379785
253,-0.00029990789142888717
254,-0.0019807639876197867
255,-0.005818030940744587
256,0.0015508108734047248
257,9.025554470114563e-05
258,-0.0003415193241895446
259,0.0034116350926899548
260,0.0001749835228343744
261,-0.00020119596763805504
262,0.00012020014015132331
263,0.000346479417138194
264,2.6725522372679027e-05
265,-2.459292499899149e-05
266,2.0556517557004253e-05
267,2.7610334566937775e-05
268,-0.00015214348840183008
269,-1.0552449995935893e-05
270,-0.0004478283257062429
271,-0.0001304580088575596
272,0.0006037770622281442
273,0.0006798837410031156
274,-0.0006368458616183461
275,0.0021774903358516536
276,4.875480834177396e-05
277,0.00019743367067764624
278,2.0800735702407186e-05
279,0.0008839105310381154
280,0.0003241624412035662
281,7.835978296808989e-05
282,-0.000873428377953686
283,0.0001185194676839974
284,0.0006401085587527908
285,-0.0041874239314852735
286,0.002737150147296936
287,-0.002489295325995511
288,-7.070655107339214e-05
289,0.0002321367570002892
290,-0.00042570594111529796
291,-0.0008223367525798072
292,-8.925879499759718e-06
293,0.0002914446260383021
294,0.0007478093658805471
295,0.0030330458348599614
296,-0.0007018747381416352
