,mathpass_hispanic_hybridper_inf
117,2.5879851374954356e-05
118,0.0004395920018636594
119,-2.4249207071948364e-07
120,0.0020138541586627325
121,0.00028676742518941444
122,5.458221662084594e-05
123,-0.00022551936235218461
124,-9.538027966115084e-05
125,-1.485786384676276e-05
126,-0.0004405891053266457
127,8.995524063356683e-05
128,-5.457465421863004e-05
129,0.00046754300436442257
130,-0.0015489997806794038
131,-0.004882754793660294
132,0.0003486664005124344
133,-9.461447397302717e-05
134,2.4723640206419697e-05
135,0.0001580268973860925
136,0.00014383002837099025
137,-0.00022846214604774998
138,8.346101891964796e-05
139,0.00040819225227871976
140,-0.000904026592544993
141,0.000579171035451679
142,-8.631620794616768e-05
143,0.00017853315369408145
144,-0.0009052402265161527
145,-5.231480972944029e-06
146,-2.597163111502582e-05
147,-0.0016941759074876885
148,0.0005138502468856102
149,-0.00016296612589783752
150,0.00020284028269343193
151,-0.00011993038234445434
152,0.0018173730553994094
153,-0.0005647974149138131
154,-0.00012659193183265721
155,-0.0009290172233634865
156,0.000853450863291099
157,0.0005265632024400521
158,-0.00036596777116251696
159,0.0004279755912965238
160,0.0007072537631615742
161,-0.001261703420624317
162,-4.383112583042597e-07
163,-0.0004722425653257256
164,0.00030921788739979094
165,-0.0013584592652222816
166,0.00011385900225382258
167,-0.0020934100410631845
168,-0.00031938267378828596
169,0.00018218854943250393
170,0.00018771221514985473
171,0.0003252272395212345
172,0.0003079057074580581
173,-4.018636794869521e-05
174,0.00019327930317566798
175,-0.00040478648396637714
176,0.00146964888462197
177,-0.0001532437862508956
178,1.2435423007672354e-05
179,0.002511225143973973
180,-2.2906506875106226e-05
181,0.002634286002296802
182,0.00014038630787018992
183,0.011635399151284902
184,-4.5798645494212224e-05
185,0.00018280752804058226
186,-0.00024751025486744127
187,0.0002526329129826658
188,0.000471270187435696
189,-2.410058938479015e-05
190,-0.00011282555912423392
191,0.00043159124250821457
192,-0.00019121499587713148
193,2.111302531657845e-05
194,2.9216113933277112e-05
195,-0.00022421892721380537
196,0.00040439600231880954
197,0.0005349419451925002
198,0.00043557759960127784
199,0.000433439895493724
200,-3.4854390147293136e-06
201,-0.00010107469919302204
202,-1.618192342484789e-05
203,2.2600966004781606e-05
204,7.708489568439646e-06
205,-0.001117478949748808
206,-0.00048154154972411973
207,6.737812921512205e-05
208,0.0005974439925320124
209,-0.0013484310936138417
210,1.612969021144661e-05
211,-0.0010198212646728758
212,-3.804267865706824e-05
213,8.247416360440428e-06
214,0.0001246640776239072
215,-0.00015706241993549406
216,0.0009501616474426905
217,-0.00038457025616286104
218,0.0004338024008350165
219,-0.0004975891609609714
220,-0.0006786239023754291
221,1.4516547681874883e-05
222,-0.001993626776665542
223,-7.724305678545331e-05
224,0.00022648622818385264
225,1.7034262772183488e-05
226,-0.0008136294174879997
227,0.0003526997415943387
228,0.0002785015166634578
229,-0.0007758474176675601
230,0.0006168729205721359
231,-0.0013523642799152093
232,0.0028341871091726234
233,0.004526257347865182
234,-0.017099595967234628
235,0.015921355008641815
236,5.835717956947418e-05
237,-7.777527144705672e-05
238,-0.001192769818439192
239,-0.0006028562906808408
240,0.002088163066932609
241,0.000543241310272701
242,0.0006381540103812802
243,0.0023054442981444495
244,0.0014320030808264576
245,9.993332301859637e-05
246,-0.0003863264780741483
247,0.0022804151592104665
248,-0.0006274756562335644
249,5.8816656661805526e-05
250,-8.269482508900625e-05
251,-0.0010566383216738533
252,-0.0002921578707368531
253,-0.00016508802111728327
254,0.0015800399064335637
255,0.0016142270926857818
256,0.0017547450359744767
257,-0.002106127946832919
258,-5.854290101889119e-05
259,0.002575341493126921
260,-3.525553279749286e-05
261,-1.5114880253993558e-05
262,5.914551685910908e-06
263,0.00011904521952790774
264,-0.0002570040719937171
265,5.702563508853108e-05
266,0.00011171242812591028
267,-0.0001293833477787078
268,0.0004993115145995817
269,0.0001806290218113761
270,0.0005218428218314294
271,0.00014880903400642354
272,0.0023100528745769308
273,-0.002087832903320919
274,-0.0006777636348841445
275,-0.0006213800274595267
276,0.0006374491833476115
277,-0.0014968584131263185
278,0.00027665065918713275
279,0.0012985544475099594
280,5.9373374810376037e-05
281,-0.0002664160292214728
282,-0.0002812683583892177
283,0.00011795270472820099
284,-0.00012707652108916162
285,-0.00010534251815991291
286,-0.00034233817548776644
287,-0.0002255837033949168
288,0.0006099540835180068
289,0.0004013482850912934
290,-0.00047945582967408486
291,-0.0007524288068064248
292,-0.0007886036335748816
293,-1.0542997869011793e-05
