,drop_co_hybrid
209,-0.00037538254371906825
210,-0.007749405526358709
211,0.000115486908299781
212,0.0019720658964427957
213,3.6501197805870474e-05
214,-0.00022860155795610004
215,0.005482061108802564
216,0.0059134198060333395
217,0.0009526347200569684
218,-0.007501989132273157
219,-0.0014924474120742365
220,-0.00017790760629784718
221,0.0030271447669440402
222,-0.0021208572983147586
223,0.002127238064779224
224,0.0018658623329432186
225,0.001939368021781483
226,0.000346279642898121
227,0.011396781176185795
228,0.0006083399352121142
229,-0.0005634210227495676
230,-0.0008827180739962487
231,-0.002934072791861685
232,0.0012155070167648764
233,0.0007547072930293342
234,-0.0027292562275426017
235,-0.0018696624912270588
236,-0.00024556929199111613
237,-9.044593978381956e-06
238,-3.934476167458082e-05
239,-0.0007008824327341003
240,7.908643686479528e-05
241,0.0004382659328070599
242,0.0017080151876588659
243,0.007034152210327193
244,0.00039324519839611385
245,0.0019903320058663274
246,-0.001250384565388691
247,0.0031133310220141765
248,-0.00012462391140442304
249,-0.00039883757604319934
250,7.843504577851169e-06
251,2.148276060288247e-05
252,9.947211775773406e-05
253,-4.3011743722056154e-05
254,5.725084573816189e-05
255,-0.0008971418174693131
256,0.0004404642995335009
257,1.6872225840107205e-05
258,-4.7392682252902695e-05
259,0.0007034290080336237
260,0.0002669917766510703
261,-0.00048371460591816763
262,0.00031155862587819706
263,0.0007192742928570265
264,5.0401726356755797e-05
265,-8.71940714414696e-05
266,3.8796427613224546e-05
267,6.314355634229186e-05
268,0.001526944008573212
269,-0.0005104115592575927
270,-0.0036698167898350886
271,-0.007540648519726623
272,0.004076007403994195
273,0.0036071120835821633
274,-0.0037044243778062685
275,0.01282842517080116
276,0.0008032955010493531
277,0.0017270900658142411
278,0.00019663575781614262
279,0.009372010029632031
280,0.0035959312684408482
281,0.0007895439357030065
282,-0.0045189278376990515
283,0.0009091181672245743
284,-0.00020239624352847465
285,0.0015030276997388804
286,-0.0011103181066355943
287,0.0009028576078018144
288,2.9296824927270267e-05
289,-9.863114938840955e-05
