,mathpass_black_hybridper_inf
144,-0.00034394157467155715
145,-1.261972786241961e-05
146,-1.9444144234042728e-05
147,-0.0011244531432225366
148,0.00014867135746027743
149,-7.65503959611168e-05
150,-4.5506034962633755e-05
151,-7.353761247597843e-05
152,0.0008394890894308321
153,-0.0004868189908878851
154,-0.0004947748015200167
155,-0.0007298890736897072
156,0.0006756724832301514
157,0.00085639078065613
158,-0.001182245322208513
159,0.0005753395067836083
160,0.0005472159781669667
161,-0.0009559544233816719
162,1.8755190918130955e-06
163,-0.0004935889986235915
164,0.000292702255134105
165,-0.001153599268013039
166,0.0001261156491381352
167,-0.001989128610304039
168,-6.478291978377806e-05
169,0.00018648517550489142
170,-1.3964047343633781e-05
171,0.00014447045445735955
172,-6.284034971261086e-06
173,-1.9372944575496356e-06
174,-6.610448434940515e-05
175,3.87318534966725e-05
176,0.0002658872043518186
177,1.5165580015967441e-05
178,0.00014887556234917374
179,0.0019468482426179077
180,-1.1078255878853067e-05
181,0.0028670465484234176
182,0.0002587141680581416
183,0.009916903757820542
184,-9.329701062552295e-06
185,5.3741190303595676e-05
186,-3.11613585593275e-06
187,0.00014376168105075158
188,0.0001241922069316626
189,-1.4227493094118555e-05
190,-7.963991374223246e-05
191,0.00019109210794276868
192,1.781185786837528e-05
193,2.1353440989544022e-05
194,-4.6733703314000546e-06
195,-0.0001155162533549638
196,0.0002945135624012038
197,0.0005333962097495559
198,9.626222073882679e-05
199,0.0009917352312065787
200,1.7260379823533567e-06
201,-1.73420286057067e-05
202,1.1321426060151988e-05
203,-1.2971638233309589e-06
204,8.708918761406168e-05
205,0.00026847111312675866
206,-0.00037349134930677707
207,-0.00016098752986873962
208,0.00022535732954678342
209,-0.00048136684947068807
210,3.636685630484934e-07
211,-0.00048759100199278045
212,-2.7465136192764788e-05
213,1.6062906642848786e-06
214,5.997808325713016e-05
215,-3.8125910145605597e-07
216,0.0002503278599267056
217,-0.00011357570444938382
218,3.277274760320241e-05
219,-0.00032084891847531153
220,-0.0002978835728409072
221,5.124781626178654e-06
222,-0.0004437540458355432
223,7.742516973574763e-05
224,4.15403904212688e-05
225,-4.650582807525136e-05
226,0.00019224201937395995
227,0.00021807835192397403
228,0.00032971803640977656
229,-0.0028700142178951405
230,0.0010169724192429345
231,-0.0025628882354476303
