,elapass_wi_hybridper_inf
193,0.0002523563761180005
194,-0.00015492824331421568
195,0.0008778682158787975
196,-8.589155506273026e-05
197,-6.141028173685404e-05
198,0.00019243703505204474
199,0.0004848975501099975
200,-0.0003767212574218092
201,-0.00022527491114649278
202,4.352832518016739e-05
203,-0.0002226821069859449
204,0.00020713736593505394
205,-4.612674521842975e-05
206,1.415134032554022e-07
207,-0.00019489542164888746
208,-0.00011886865790661261
209,-0.0005508825088742894
210,0.0008342128273568255
211,-0.00035569501257854476
212,-1.8316273085048734e-05
213,0.0008487346177171501
214,-0.0005591351551863639
215,-0.00040913977066234426
216,1.5050988916067755e-05
217,4.725788776250373e-05
218,-7.986342958495437e-07
219,0.00016818368435761333
220,-0.00033923576605467755
221,-2.5360530063193128e-05
222,-0.0011950696089206448
223,-0.0020078663476641046
224,0.00011526846454477748
225,-1.2656156678853636e-05
226,1.8304848736456557e-06
227,0.00027189236058773787
228,-0.0011494579597237861
229,0.0003928126743727051
230,0.0008309318316804314
231,0.0028764298998310792
232,-0.0007780050324938399
233,2.56988968956542e-05
234,-6.717178414356494e-05
235,-0.0018613078168516672
236,-0.0001226201772960781
237,-0.00035612667085736533
238,-0.0005109525041808405
239,-0.00025213237505240446
240,0.0009251677906080857
241,-0.0002703884975817628
242,0.0013686815374693265
243,0.005431322975357551
244,-0.0014620297227598718
245,-3.341092663358148e-05
246,0.0003412882397121753
247,-0.0023669388542927002
248,-0.0004009172602928936
249,-8.741917447302509e-06
250,-0.00038973718010906294
251,-0.0015418540804138332
252,-0.0013998419904987741
253,0.0003981855161380921
254,0.00028197800686328224
255,-0.0015715234205658493
256,6.887007866768623e-05
257,0.00015825847090354317
258,-0.0004216009531527183
259,-0.0019963759131946574
260,-0.00046635407580155464
261,-0.0004547992915337021
262,0.0007064181217985943
263,-0.002103935220714311
264,6.693295761952952e-05
265,-0.00015211481038489449
266,-0.0003328974157909195
267,-0.0002711409085192935
268,-0.00024721668676680236
269,-4.664747104176253e-05
270,-4.620556034603326e-05
271,-0.001082212993940612
272,-6.847974336581144e-05
273,1.2213673518910948e-05
274,0.00019222972465115086
275,-0.00060244119224765
276,0.00028507304809725193
277,-7.221218382362067e-06
278,-6.070865033153374e-05
279,-0.0013090178699645785
280,0.0010176693895427677
281,-0.0019977721986285863
282,0.001186758604851588
283,0.0015296315795908673
284,0.0004265990108266246
285,-0.00037000477313211714
286,-0.00012511600909395127
287,-0.0005639164637210243
288,-0.00035270247931840716
289,0.00034461597437004834
290,3.681465136166134e-05
291,-0.0005217442427481189
292,0.00042973849740332056
293,7.001470643029313e-05
294,5.855832925168978e-05
295,0.00027950248275464387
296,-8.760009363804028e-05
297,0.00016363596820420727
298,0.0006395044727540063
299,-7.189624622557224e-06
300,0.000267962313079641
301,5.651126551848502e-05
302,-0.00032149702242299945
303,-0.00017891951466089692
304,0.00032509995728046174
305,-4.379182543507474e-05
306,0.00043733669024494267
307,-0.0013411107600553697
308,9.36734390114816e-06
309,0.00018177458866044181
310,0.0001805984916296006
311,-0.00023192801439239443
312,0.00029778287114397934
313,5.361381238636052e-05
314,-0.00013817093964489758
315,-0.0004075385516694526
316,0.00025170741367402445
317,-0.000283194535039379
318,0.001426287138813418
319,-0.0005084791912468092
320,-0.0003015737393032534
321,-0.00020267335112734948
322,-0.0006806830982463075
323,-0.003477974049245768
324,-6.727358781306206e-05
325,-6.523972347352038e-05
326,-0.00024121269598029912
327,-0.0019152293733080566
328,0.0001541763029967091
329,0.0005116070956151748
330,0.00038831868973313505
331,0.003859301997509597
332,-0.00025820352339143776
333,4.88975438855669e-05
334,1.1661844189956569e-05
335,0.00019092610628740952
336,-0.00030559733626838
337,0.0006054151622911025
338,0.0006785240416834106
339,0.0021431313652044365
340,7.717315397135247e-07
341,0.0002607310645633407
342,-0.00016798955547334322
343,0.00010563989860077114
344,-0.00048581378358757555
345,-0.0012652952293534443
346,0.00013342493563868967
347,-0.000988098306196234
348,-0.00020965945602301412
349,-0.00010891225545702639
350,0.0002718848207687537
351,0.0005257941535134254
352,0.001294563944555022
353,-8.782685304128309e-05
354,-4.062837418349927e-05
355,0.0006852128510402789
356,-0.0010100955024505303
357,-5.4421458457261e-05
358,0.0007833445540125031
359,-0.0015329438381362164
360,-0.00012884486525785771
361,-0.000765024861695663
362,0.00017845962378167237
363,-0.0006687596835762695
364,-0.0003305781712374838
365,0.0006171238953264655
366,-0.0005120770813221365
367,-0.000490048641653559
368,0.00032790689272145783
369,-1.6400194929285554e-06
370,0.0001045173250717748
371,7.12292354980735e-05
372,0.00014455225513348494
373,-0.000105180281605255
374,1.9803103539275447e-05
375,-0.0007575766609344214
376,0.00019362613090396583
377,-0.00023332929823043425
378,-4.321688506753609e-05
379,-0.00028952122126830153
380,6.361543547151235e-05
381,3.4160357116189833e-06
382,6.441641491576729e-05
383,-0.0001289596729459222
384,0.00013562874094903498
385,-6.55780644595793e-05
386,-1.657434315308886e-05
387,0.0005238106545046504
388,-0.000758854481884839
389,0.000275055562985598
390,6.700264749973239e-06
391,-0.0002636380082421071
392,-2.0115296653709938e-05
393,-0.0002996795962466576
394,-0.0005948507783061078
395,-0.0030406814206735623
396,-4.702087950036107e-05
397,2.992975861077436e-05
398,-8.92793881302296e-05
399,0.0002662561555719649
400,0.0005870727030082926
401,-0.0001612996257612385
402,0.00016745718659051364
403,2.5276303505498135e-05
404,-0.0012743496380295668
405,-8.221558473040695e-05
406,0.0006399956714463703
407,-0.0021108404089519124
408,-0.00014570390399938865
409,-0.0008299920263787453
410,0.000167063102968863
411,-0.0015243068612512962
412,-0.00047946695541236327
413,-1.8146108187002328e-05
414,-2.5553357654322913e-05
415,-0.000551607119656672
416,-8.106353357987568e-05
417,-5.285994646222655e-06
418,-0.0001697806187401496
419,0.00029464249468763603
420,-0.00019658721771274878
421,-7.804111456548567e-05
422,0.00016575101895741683
423,-2.2684727183219668e-05
424,0.0005471001330404182
425,0.0012299842466355758
426,-0.0009120770197038576
427,-0.000167886750298205
428,0.00029762341325127506
429,-4.453817383293496e-05
430,1.7380044912155788e-05
431,0.0006927630844705642
432,-0.0008677002237039838
433,0.0005428766190004027
434,-7.364962113715745e-05
435,-0.0008003919701264254
436,-0.0015132340387753705
437,0.0006001657370152737
438,-7.484863535702569e-06
439,-0.0014402959113709536
440,0.00010428365008214835
441,0.00048163209602857275
442,-3.986551325171785e-05
443,0.0006679283397430254
444,5.0252652830733976e-05
445,0.0006076387384883178
446,0.0013049923556132852
447,-0.0015572135352783436
448,-0.001688122573192799
449,0.000465227243400971
450,0.000205529654861396
451,0.0018217752618327836
452,-0.0042376103976750875
453,2.5586155434442517e-05
454,2.9347064951793627e-05
455,-0.001467516713081507
456,-0.00060941885419829
457,4.822758116831132e-05
458,7.510853427199145e-05
459,-0.000799307445336125
460,-2.5784468994606113e-05
461,-1.640555132008621e-05
462,-0.00020013388562589916
463,-0.0007464359123136945
464,-0.002821053091876879
465,0.0001794315672412653
466,-7.966247912791194e-05
467,-0.002785857522177232
468,0.0002521564094400994
469,0.00019728624208139626
470,8.741774984145113e-05
471,-6.609903980529095e-05
472,-4.879632589919002e-05
473,-0.00018074005693522174
474,-0.001991901746167041
475,0.0001301618647869831
476,-0.00011601111106361074
477,1.0122962749356263e-05
478,-7.673712988234213e-05
479,-0.0008527612204491002
480,0.00024225209689786978
481,-1.03512494262472e-05
482,0.0006596892765168449
483,8.805130150959102e-05
484,0.0002562499054788161
485,0.000570236062021293
486,-0.0005131695122087624
