,mathpass_in_virtualper_inf
1729,-3.4359243754925343e-05
1730,-5.660832196014231e-05
1731,-1.3278638264893109e-05
1732,-0.0001327741328426569
1733,0.00014301147223594711
1734,-9.530815006775837e-05
1735,0.00011735743410039207
1736,2.655417195208841e-05
1737,-9.165770705689266e-05
1738,-2.7514736562577137e-05
1739,-4.42156982079485e-05
1740,5.655878173513382e-05
1741,9.564057498769285e-05
1742,0.0007058598139529464
1743,0.0006987676307529599
1744,-0.0006487138444158895
1745,0.0002053270707455689
1746,0.00024138950830754113
1747,-0.0002623247120171607
1748,-7.441623837285524e-05
1749,4.938332398707484e-05
1750,1.3655271993698386e-05
1751,5.777941955793578e-05
1752,0.00023135142783065808
1753,-4.226729623571847e-05
1754,-0.00039943753249342825
1755,0.0003575711846075134
1756,7.757065092346638e-05
1757,-2.3160374459708533e-05
1758,-7.265870652485347e-05
1759,0.0005662144181457036
1760,5.083593910749727e-06
1761,6.444210231983642e-05
1762,6.64465998896294e-05
1763,0.0011896862376321667
1764,1.089681204105312e-05
1765,2.589054291653662e-05
1766,9.046546334693993e-05
1767,0.0002663297636525879
1768,0.00023215538272844548
1769,-0.0010350249146771847
1770,8.001481182043317e-05
1771,0.0011298141602527209
1772,1.0787737129992681e-07
1773,0.00013457114466614785
1774,-0.00014579965605953258
1775,-1.8855422981350115e-05
1776,5.899415231422693e-05
1777,0.00037148878057650063
1778,-0.00022218237549795176
1779,-9.4346051860363e-05
1780,-8.283987231324364e-06
1781,1.9294276763273783e-05
1782,3.642554085902782e-05
1783,-3.4258653433764175e-06
1784,2.45630415861303e-05
1785,0.0005158256572052593
1786,-0.0004083859181708946
1787,-0.00034138430758769633
1788,-3.09260654729424e-05
1789,-5.29892223450278e-05
1790,0.00013022592463194594
1791,-2.5353495268794823e-05
1792,-0.0005461312234180789
1793,-9.084353344451478e-05
1794,-1.962576615259789e-05
1795,-4.2284966636372736e-05
1796,-0.00010221262904099758
1797,0.00012267568576946122
1798,-0.00019112556399352029
1799,0.0001396980341185929
1800,-0.00021344327821811986
1801,0.00011438302309053176
1802,5.937125936223128e-05
1803,0.0004533148526676059
1804,-0.00017604993650726527
1805,-0.0006988318937523007
1806,0.0002116915309979802
1807,-0.0022328397500870965
1808,0.00012850727090373364
1809,0.0002541569144125583
1810,-0.0005534714054813922
1811,-0.0002896322894693156
1812,-0.00022461680644927958
1813,0.0007080387284012092
1814,-3.91998015454755e-05
1815,0.0005731630406468514
1816,0.00012953943006891692
1817,0.0006461717878588125
1818,0.00020917974587508276
1819,0.0007981311214144311
1820,-0.00015067298666481997
1821,0.0006630020536076408
1822,5.61558441209743e-05
1823,0.0020945047879150865
1824,0.00019983969043069888
1825,0.00020239697289585858
1826,3.191596143670231e-06
1827,0.0013193654384396724
1828,-0.0019750969460842964
1829,0.002026420472535688
1830,-0.0007636772596737467
1831,-0.00043281255968774686
1832,-0.00013975774602004761
1833,0.0004175467011709344
1834,-0.000767990081775186
1835,-0.0006190458962982939
1836,5.640924989674367e-05
1837,-0.00024428532538856154
1838,0.00015093257140168196
1839,-7.688604613818238e-06
1840,-3.1999137719980544e-05
1841,1.728408705055288e-05
1842,-2.9487708604912963e-06
1843,0.00013304543580107842
1844,-4.057767672468861e-05
1845,-9.216525222122338e-06
1846,-1.2865077489018858e-05
1847,-2.6583561763143272e-05
1848,-6.739826775530876e-05
1849,-1.0040598885458795e-05
1850,1.0242385034335456e-05
1851,8.822591856622813e-05
1852,-0.00013127947800260366
1853,-0.001679419510216654
1854,0.00034401446753087227
1855,-0.00033177703976526867
1856,0.00017270475182460957
1857,6.265508521954495e-07
1858,1.149458631160693e-05
1859,0.0002555436359518294
1860,3.956174796246764e-05
1861,-5.798483828676764e-05
1862,-5.921837438619549e-05
1863,1.2930212081558754e-05
1864,0.004190218694948225
1865,-0.0020286220981563918
1866,-0.0011982126948462451
1867,-0.0005143968584405526
1868,-0.00035556145129351705
1869,-6.106830833901931e-05
1870,-0.00017283968223948034
1871,-0.00417857815994792
1872,6.343278310308559e-06
1873,-0.0002428222423828949
1874,-0.00037070516265578954
1875,0.00036620623481377985
1876,0.00019994636477001275
1877,-0.00031500515823259834
1878,0.00017551562261140414
1879,3.824238250061092e-05
1880,0.0006948955581326959
