,elapass_black_virtualper_inf
364,-8.950560674549145e-05
365,0.00047500782952641484
366,-0.00027730469202028794
367,-0.0002539871196976427
368,-4.403223321710084e-05
369,-0.0002670314143275548
370,-9.130172220900981e-06
371,2.1428726703962362e-05
372,-8.99123875746018e-05
373,6.355652725861062e-05
374,-2.6221584747443627e-05
375,0.00043294436542531977
376,0.0023463039840575816
377,0.000893519490862623
378,-0.0006595654174191739
379,0.007109326336034972
380,-1.9015020977470693e-05
381,4.228592595180817e-05
382,-0.00018227433150688706
383,-6.758882590801562e-05
384,-3.147913171145362e-05
385,-7.224439185228613e-06
386,0.00013484616956831077
387,0.00017044274310093978
388,0.00022478130601946749
389,1.2522812180659255e-05
390,0.00010159518041524114
391,-4.287822416256918e-05
392,3.108781475856178e-05
393,0.00025473977373334094
394,0.00029258829448594766
395,0.00310962852017668
396,9.36893834795971e-05
397,-0.00041389728779997416
398,-5.234622653639266e-05
399,-0.0015773688024036598
400,-0.0005687520254071119
401,-1.7819964311329162e-05
402,3.6929589052605804e-05
403,-1.5339359523833745e-05
404,0.00127693612056525
405,0.0002712969622411362
406,-0.00027197908613776895
407,0.0020530886629085165
408,7.938803772824833e-05
409,0.0004854021976465118
410,-0.00018023990103125572
411,0.0010620772060214348
412,0.001058877686694374
413,-2.7760937950053297e-05
414,0.00010488435522120908
415,0.0030482988850806425
416,5.197344412397146e-05
417,3.6723004134143652e-06
418,0.00019011422635408732
419,-0.00013527119571212737
420,0.00021198652838648862
421,6.69745003794885e-05
422,-8.547071170775934e-05
423,1.5236817354518138e-05
424,0.002308219837371016
425,-0.007698591939922465
426,0.004786087567218339
427,0.00250692105844306
428,-0.0003469060435286619
429,0.00014031395879941954
430,-9.40434911320897e-05
431,-0.0012795697624707536
432,0.0006152889860174127
433,-8.428361599389784e-05
434,0.00013585551955641543
435,0.00048883274999934
436,0.0010342031607161128
437,-0.0003139225321092976
438,5.850204018831102e-05
439,0.0009999040443524703
440,-8.286962162472231e-05
441,-0.00042661803020528145
442,2.3218557122799524e-05
443,-0.0005475042160434801
