,elapass_in_hybridper_inf
83,-0.019392616606292143
84,-8.970532507329797e-05
85,-0.0003088235553474302
86,-2.0246065048575263e-05
87,-7.202951053602159e-05
88,-0.0005869025364499565
89,0.00022482192880995396
90,0.00018611535887578552
91,-0.0001798267423412059
92,-2.7197733129626604e-05
93,-1.4690812279002025e-05
94,0.00016650009630791039
95,0.0003595105904672772
96,-0.0003510618018566231
97,-0.0009084933183450188
98,0.00025415266425964404
99,-0.002836638926662257
100,0.00016026498690608346
101,0.00041588650975751243
102,0.00019099648309973697
103,0.002748074941278425
104,0.000604878350331793
105,0.0006652568586492414
106,0.0014308957344019615
107,0.008106043325425291
108,0.006996092726844459
109,-0.0021029396567290117
110,0.009243740973105532
111,0.049034629128967826
112,-0.0004904271072761077
113,0.0003835674629458099
114,-0.0003981818777007277
115,-0.0016078913481085539
116,-3.166948044528812e-05
117,-0.0002046394661262187
118,-0.00019054690725895624
119,-0.0005124159806846882
120,0.0002580487953888078
121,-0.0003488967511538612
122,1.5245699637224153e-05
123,-2.2770343275366056e-05
124,0.0018032531350872171
125,-0.0017923979369136535
126,-0.0016791364592897773
127,-0.004526465571159229
128,-0.0010476271012535923
129,-6.213880454357067e-05
130,0.0002731480837281781
131,8.420359232095135e-05
132,-8.820723081331516e-05
133,-0.001157062496609924
134,6.167966657854608e-05
135,-0.0040659656322904626
136,0.0003633906758474349
137,-0.0016313524492320077
138,0.0008891163716799481
139,-0.0013955166887444207
140,0.00020371552379285415
141,-0.00032505627359861143
142,0.00025856474800650886
143,0.0004170035034963959
144,0.0002509570831142625
145,-0.00047989077514844105
146,0.00012584848003302707
147,-0.00016595508045692136
148,-0.0019257636849826837
149,-0.00024144619443771835
150,0.000252452962400635
151,-0.0033471726231831312
152,-0.0011381632525808546
153,6.632434995720919e-05
154,0.0007010322013232517
155,-0.0012442847011329805
156,-5.4275283622785025e-05
157,1.6314554335394922e-05
158,0.00024282638939731238
159,0.00027715243379119103
160,-0.00040038018568393094
161,-0.00021931069962795896
162,0.00017348516966324577
163,-0.001460855624551179
164,-0.0005270716957928132
165,-0.0012745119533806367
166,0.0012157920048039947
167,-0.002313222008187124
168,-0.0009548956651927451
169,0.0002850861821612059
170,0.0007628357452331358
171,-0.00013081347142365038
