,elapass_hispanic_hybridper_inf
1799,0.002592138545298932
1800,-3.822650873761899e-05
1801,0.00020942816403877307
1802,0.00012753908070588195
1803,-1.640820262467759e-05
1804,-7.572922058105609e-05
1805,-2.343631276694055e-05
1806,-2.235137809937064e-05
1807,-0.0006871449859090423
1808,0.00042384549298516057
1809,-0.00040657211435319565
1810,-0.0002628533089620378
1811,-0.0021874669117110785
1812,-0.0007947091115762132
1813,9.839240310323333e-05
1814,6.777589127776183e-05
1815,-0.0010533695291077222
1816,-0.00011350067783580907
1817,1.1644855656064602e-05
1818,-6.987816048038225e-05
1819,-6.984160026371898e-06
1820,0.00018381543255633378
1821,-0.0002974861760016428
1822,0.0001381307541121618
1823,-0.0013386011089379065
1824,0.0006020959268043153
1825,0.0028960406831778176
1826,-0.0039118797361813035
1827,-0.0029581800962464612
1828,0.0012263534535946342
1829,0.00020578773486037454
1830,-0.001988212002927212
1831,-0.00012093651099129567
1832,4.814717119515782e-05
1833,-2.0003138541740656e-05
1834,-0.0004841709014109893
1835,-0.00012106588843831847
1836,2.562815758503884e-05
1837,-5.0705876733830666e-05
1838,5.484332045302382e-06
1839,-0.0007204191375437913
1840,-0.0003724921840266159
1841,-1.2660138796223635e-05
1842,-0.00031641868753938166
1843,-0.0013470432006386338
1844,-0.0002093579624435972
1845,5.252363757383633e-06
1846,0.00010892856445483976
1847,8.74840225641204e-05
1848,0.0007678458711346978
1849,0.0002963530397789271
1850,-0.0001736222875621258
1851,0.0037139068312305058
1852,-0.00029284339726460927
1853,-8.660636326001474e-05
1854,-0.00011326124697811374
1855,-0.001301751060913333
1856,-0.0005513340925054466
1857,0.00011689127899608103
1858,-0.00023661212223525168
1859,-0.0013308169944242138
1860,0.00023443483732078638
1861,0.000442657326359173
1862,-0.0005048170513644915
1863,0.0007843405128279096
1864,9.33361451752412e-05
1865,-0.0005020006186274174
1866,0.00015216778161668498
1867,-0.0007686558476007078
1868,-0.00012283913053786542
1869,-7.33016158847645e-05
1870,0.0004026412655291371
1871,0.00012593138511748613
1872,-0.0007930457703841956
1873,-0.00042843434613182497
1874,-2.5666816890331987e-05
1875,0.0005480414117856285
1876,-0.00010329414503734347
1877,4.5511770739821844e-05
1878,-0.00026759869445366387
1879,-0.001598559393447347
1880,-7.742319780602322e-05
1881,-1.665131987078348e-05
1882,-2.647528958477917e-06
1883,0.0018294797815151785
1884,-0.00030946289148277745
1885,0.00010396135798201988
1886,0.00013655194242075935
1887,-0.0013016393973972996
1888,0.0014505843015698665
1889,0.004347025322885898
1890,-0.002935121642084791
1891,0.008458665093315897
1892,0.00013151058423653447
1893,-1.6745985174688058e-05
1894,0.00016822356486268202
1895,0.00017785158675584796
1896,0.00016033852791645826
1897,-0.00011687250076646312
1898,-7.598264949624786e-05
1899,-0.0007187827308497313
1900,0.001556924417610759
1901,8.343302668916735e-05
1902,0.0012774668890200751
1903,-0.0005374191848275602
1904,-0.0016919791119952917
1905,0.00048805771538329586
1906,0.0014900954230135548
1907,-8.251152128316156e-05
1908,-0.0024869588379595477
1909,-0.0012993743453128858
1910,0.002478481560864695
1911,-0.004422707189528085
1912,-0.002524757328410158
1913,-0.002908050160463752
1914,0.005056465832644563
1915,-0.0010156277477673047
1916,5.9523349589829794e-05
1917,1.8173373135388077e-05
1918,-0.0002778947601258579
1919,-0.00023632520314392089
1920,0.0012361812294455657
1921,-0.0009583836821566977
1922,0.00020462493714029536
1923,0.0008577992726415962
1924,-0.0013567871133092775
1925,0.00021791185205169276
1926,0.0022617806768360066
1927,0.004813875379307309
1928,0.0003436770572628337
1929,9.303449391462391e-05
1930,-0.000556448098164005
1931,-0.0003771633573309237
1932,-0.0035241515066335325
1933,0.004469281919254144
1934,-0.0005198239792463558
1935,-0.0014304119549528194
1936,0.006062324599819761
1937,-0.004444301945775373
1938,0.00295321471767294
1939,0.019151765912323482
1940,-0.0028390798217939827
1941,0.002107605381831424
1942,0.00016944211998074914
1943,-0.00466716018039048
1944,9.776899467919111e-05
1945,-0.00024205513270538515
1946,-2.2117852615203227e-05
1947,-6.53148903959021e-05
1948,0.004249352162018864
1949,-0.0017622582712521005
1950,-0.004708408507064618
1951,-0.0060330322897557305
1952,0.014612357113602897
1953,-0.014010246271590561
1954,-0.00018261470130128034
1955,0.008528489886613966
1956,0.004161338571013912
1957,0.0005209520116807029
1958,-0.00011100749982086179
1959,0.0070296006516374285
1960,0.00048321867396881424
1961,0.00036234363253661136
1962,0.0039848136340404315
1963,0.0004608743329579239
1964,0.0005660165384505921
1965,-0.00028137138327331997
1966,0.0001357194205028867
1967,0.0009070911473310852
1968,1.6385799958968303e-06
1969,7.498957642545725e-05
1970,0.0003187838912775189
1971,4.937104960388398e-05
1972,0.0016061689489442678
1973,-0.00028276962986782114
1974,-0.00041840274966699147
1975,0.0018980893508392545
1976,-0.0003610403052018701
1977,5.208687726992627e-05
1978,0.00046950087340333845
1979,-0.00128938469919212
1980,-0.00023764602491926036
1981,3.050183126669849e-05
1982,-4.630799451484316e-06
1983,-0.00019043198096818165
1984,-3.203924811526183e-05
1985,-3.973240491032146e-05
1986,0.00031933787162434263
1987,0.0001562314174753832
1988,0.0001904473786446975
1989,6.693395899562463e-05
1990,-1.980397008688774e-05
1991,3.333742752037233e-05
1992,-2.1935057356253487e-05
1993,-0.0002447139910985829
1994,-0.0003428519581557208
1995,-0.0017054099631644815
1996,2.4949526621969314e-05
1997,-4.055401493892938e-05
1998,2.1283587475315854e-05
1999,0.00010925859402291962
2000,0.0012079283406409014
2001,-0.0020304528178090825
2002,0.0009170620688426697
2003,0.0041680458378819795
2004,-8.21699518487696e-05
2005,1.888327432084407e-05
2006,-0.0001038292833799526
2007,-0.00040060687708421203
2008,-6.702891906184458e-05
2009,-7.707223454524722e-05
2010,-0.0019633284138128545
2011,-0.0016719526798075488
2012,-8.394431657624743e-05
2013,-5.892108852306869e-06
2014,0.0004929767687457303
2015,-7.970487564461284e-05
2016,-0.00017123410020543784
2017,-0.0005020990487802267
2018,-0.0002265552396313142
2019,-0.003309293827326611
2020,-4.0865264856930485e-05
2021,-2.7933145117795224e-05
2022,2.7289313360908056e-05
2023,7.922677999005162e-05
2024,-0.0026165167143299703
2025,-0.00137064887601952
2026,-0.0002267065682832214
2027,-0.002282151613137539
2028,0.0004969858572766484
2029,-0.0005836779382329903
2030,-0.00034659057253353
2031,0.00034515367843404837
2032,-0.00023283120721372713
2033,2.9416314749407806e-05
2034,0.0004601762422254267
2035,5.727684884675278e-06
2036,9.60334124769744e-05
2037,-3.4123299685370166e-05
2038,1.747805495318932e-05
2039,0.0002926362682916654
2040,-0.000192074586202829
2041,-9.217020463151572e-05
2042,-0.0015653532065986833
2043,0.0009006800756372658
2044,-0.0008813628512638336
2045,0.0013794052813527222
2046,1.2335014102564653e-05
2047,-0.0015000018523534512
2048,-0.0018312454579860829
2049,0.0010617471457582597
2050,9.540191359433592e-05
2051,0.00027651326386787643
2052,0.0008623311218468605
2053,-0.00029424596117820755
2054,0.00018446180366425246
2055,-0.0012875330226450232
2056,0.000371423208223843
2057,-0.0007817485219932006
2058,-0.0006622175145346625
2059,9.22237126090583e-06
2060,-0.00043170391622073326
2061,-1.5190724662966763e-05
2062,-2.7981688677529214e-05
2063,0.00022898337099585075
2064,9.77342654263991e-05
2065,0.006231756550473701
2066,-0.00532112898019122
2067,0.00915990388956428
2068,-0.003507305733104926
2069,0.0004740889206567715
2070,-0.0009258818200726399
2071,-1.791092504846019e-05
2072,0.0007196442712407659
2073,-0.000879360435622233
2074,0.0002073377487556907
2075,-0.0008875624469373002
2076,-4.624483152336702e-05
2077,9.379633608409244e-06
2078,2.471929563193467e-05
2079,-5.895472034148109e-06
2080,-0.0015852273660858555
2081,0.0003324849771669578
2082,-7.601583336737729e-05
2083,-0.0028816872010448925
2084,0.007796576795657122
2085,-0.0016246692137346262
2086,-0.004827991330572854
2087,-0.002038204601686943
2088,0.0001864000398675685
2089,7.770583347132428e-05
2090,0.0004393038808460431
2091,0.0031519581124849943
2092,-0.0025726934150102957
2093,-0.0020314325944386044
2094,0.0003930254775150773
2095,-0.013046538387524901
2096,-0.001870170061516775
2097,0.0015527837107500377
2098,0.00018100965378914138
2099,0.002697564432201571
2100,-0.0007685621106903707
2101,-0.0001887736493511212
2102,0.0002506760875120067
2103,-0.0016776569027042642
2104,0.0005142865291530821
2105,-0.00022838171746643625
2106,0.0001674418311742929
2107,0.0013532859853946657
2108,0.030018307709141833
2109,-0.0038556755976715284
2110,-0.002641780764904735
2111,0.034774160868611605
2112,0.001370800901709274
2113,7.548535530548378e-05
2114,8.726969651830807e-05
2115,-0.0002018511816598861
2116,-0.00028196758208027747
2117,0.002585562059966084
2118,0.0017548242053119808
2119,0.008340006578215774
2120,-0.003128019801746059
2121,-0.0004842488878843059
2122,6.2819853787554385e-06
2123,-0.004455748195859037
2124,0.0005396867944632464
2125,0.005463483805802815
2126,-0.0005171934218022012
2127,0.0180216408297052
2128,9.511994153033805e-05
2129,0.00032908008360082384
2130,-0.00040679605530086584
2131,0.008452482360079078
2132,0.001322190440327243
2133,0.002338082088419634
2134,-0.0008944304452014354
2135,0.012047918107510667
2136,-0.0025472380237255145
2137,0.0007031323086451988
2138,0.0011636371594042692
2139,-0.004703287216685644
2140,8.950197936323505e-05
2141,-0.0006916827658481197
2142,-0.0003710499718723762
2143,-0.0047178679147047795
2144,-0.00039931087082555923
2145,-0.00020165653519714922
2146,-0.00011003986347876407
2147,-0.0003106569474672732
2148,-0.0013680904935704755
2149,-0.0018400955134317072
2150,0.002185615234142146
2151,-0.005454237061416302
2152,0.00132640832125334
2153,-4.3519095210383524e-05
2154,0.0004325073827530018
2155,0.0006768120426933368
2156,-0.0005516735324802796
2157,0.004826199058138312
2158,0.004958533417553752
2159,0.02262873950101458
2160,0.006193133578783872
2161,0.0034976050447298695
2162,-6.469348808335e-05
2163,0.01961003074393909
2164,-0.001653883486087937
2165,-0.00012416420953262997
2166,0.0013203862766177972
2167,-0.0014202322877007933
2168,0.0039194568620094265
2169,0.00011799378945317035
2170,0.0019348285266701812
2171,0.002467320369125356
2172,-0.0008868981701167457
2173,-4.9521993159649345e-05
2174,-0.0008481721067686272
2175,0.0013269283291416371
2176,-0.00013494389297257818
2177,3.6594989268353645e-05
2178,0.00024800735050313456
2179,1.793651515703298e-05
2180,4.2880957673631866e-05
2181,2.2735861072255004e-05
2182,2.820309437912445e-05
2183,4.443799909890612e-05
2184,-0.0003364532665666295
2185,-0.00020517318441594663
2186,6.19560964810004e-06
2187,0.00013396284648828694
2188,-0.0001912464039681575
2189,-1.2805170236776612e-05
2190,-0.00016316160523374544
2191,4.933489484036793e-05
2192,0.0018534064969591615
2193,0.0005404706827714415
2194,-0.0010668865771516467
2195,0.004107164312938709
2196,0.0009297526302046727
2197,0.0008105237607397438
2198,-0.001700727868022319
2199,0.0054378741060318895
2200,0.0002877818027528094
2201,-0.00044136761705047383
2202,9.412697382585385e-05
2203,0.0012557282406537164
2204,0.0009027004205350817
2205,-6.9808960341876e-05
2206,-0.0006909617026075915
2207,0.0010169364264037619
2208,-0.00016592103842230407
2209,0.00080359837773316
2210,-8.748012918963993e-05
2211,0.0027649406296730546
2212,-2.832822438514525e-06
2213,2.389006202363925e-06
2214,9.815526874849672e-06
2215,0.00020532452034081894
2216,0.0008485291878687168
2217,-0.0003205632387011273
2218,-0.0002981468958929443
2219,9.04252191754723e-05
2220,-0.0004114987157256841
2221,-0.00036569275843557246
2222,-0.0001744779274482908
2223,-0.0028815825014035855
2224,-0.0006680628966815764
2225,-3.3320593021946687e-06
2226,8.900068334896534e-05
2227,0.00037222581706677335
2228,0.00010144189691914001
2229,-1.0497596252735792e-06
2230,0.00022587720085105823
2231,0.0023499443409538264
2232,2.003318560887309e-05
2233,-4.8673852234654334e-05
2234,-8.902659933291132e-07
2235,-0.00010664152993562958
2236,-0.00031803119054262804
2237,4.328349375242677e-05
2238,0.002781496319365743
2239,0.004128436607196589
2240,0.00014835245948986681
2241,3.208060129779261e-05
2242,-3.882828436118843e-05
2243,-0.0016452881102975915
2244,-0.0008321942582042374
2245,1.4650019599464105e-05
2246,-0.0002173083737872661
2247,-0.00020842749074394444
2248,-0.00011040102829417675
2249,-6.547220302748436e-05
2250,-0.00030421295084733955
2251,-4.5492256035412575e-05
2252,-0.0002813148762213272
2253,0.001273121331556901
2254,0.002457189574995295
2255,-0.000987696891365887
2256,-0.0018055019010635245
2257,0.00035768548340145293
2258,0.0007786576587045147
2259,-0.0025715171452250726
2260,5.2030928378726476e-05
2261,-1.9838574223486454e-05
2262,0.00016829083583871533
2263,-0.0005925167716775018
2264,1.8831702705897848e-05
2265,0.0015622673909877847
2266,-0.0001991714387274305
2267,0.002920483380742651
2268,-0.0007637320254019551
2269,0.0015110594545121243
2270,0.0010412988692235076
2271,0.004569924374310678
2272,-0.0022417920526188457
2273,-0.001267985900435588
