,drop_ed_hybridper_inf
174,0.0005751938417849475
175,-0.007971324375168863
176,-1.1755445997094406e-05
177,-0.0005254297344320527
178,-0.0009191033199558881
179,-0.004334004701272833
180,-2.4039890757402397e-05
181,-0.0009460753353894104
182,0.0006564053340881371
183,0.0008197068755890515
184,8.481548099543986e-05
185,9.223961337302633e-05
186,-0.0003214649311405265
187,-0.00047126191894281464
188,0.001831624940949799
189,-0.0008524702737245007
190,-0.002197855814153442
191,-0.00421447224341565
192,-0.0008964906965863389
193,-0.00048211733601888834
194,-0.0014739043986453503
195,-0.009384252841664647
196,0.0014648641478669435
197,0.0007500249093809849
198,-0.0071331884670237985
199,-0.015230771404835681
200,0.00024222247180395425
201,3.729723531554111e-05
202,-0.00015275165625290877
203,0.0002081392945399982
204,0.00431864524161518
205,0.004643788110127608
206,-0.0052354578834073046
207,0.010516629084533685
208,0.005207082190826467
209,-0.0002598448470220156
210,-0.004961659032547504
211,7.594242905146513e-05
212,-0.0013803118156731934
213,-1.9038554612098614e-05
214,0.00012927844918731596
215,-0.00326298543724566
216,0.006231319648588714
217,0.0009608743458355632
218,-0.007487803779126779
219,-0.0015225131832043563
220,-0.00016251915558438326
221,0.0029964427851047236
222,-0.0019778933360230008
223,0.002011048246791679
224,-0.000647573219703203
225,-0.0007616722627397455
226,-0.000127768339559246
227,-0.004192609932460605
228,-0.0014597405253620307
229,0.0012867254713887562
230,0.0019498417281911017
231,0.006743245219268073
232,-0.0008481857610627735
233,-0.0005572127342485224
234,0.00199287345029983
235,0.0013482099426117714
236,-0.0002947667903192468
237,-8.533469400154833e-06
238,-4.737362004653634e-05
239,-0.000791556368581284
240,-8.079204868032996e-05
241,-0.00045573898208305953
242,-0.0016222936557981663
243,-0.007066042318185609
244,-0.0007407436448921997
245,-0.0033641919279919683
246,0.0023019915544129905
247,-0.0056065863589320275
248,-0.00041424479631814844
249,0.0013966867885298595
250,-8.943626830536178e-05
251,-0.00018511247598576713
252,-0.00026597685191948555
253,0.00024219128994461294
254,0.0013424073736939277
255,0.004552993563535577
256,-0.0018898650200506334
257,-0.00012473188073604667
258,0.0004926342751112373
259,-0.004579983436708844
260,-0.0002734074351921698
261,0.0002785149231045698
262,-0.0002776469460390359
263,-0.0005816933790029503
264,4.071941903556852e-05
265,-5.927594911397468e-05
266,2.7629424512956376e-05
267,4.620531624068217e-05
268,-0.000978680429287606
269,0.00038575716163667597
270,0.0023386368628398662
271,0.005084306065286547
272,0.0021587109943564447
273,0.001652537391762361
274,-0.0018064006966934149
275,0.006303710750126883
276,-0.00043928970479574714
277,-0.0008144832191282148
278,-6.665800437031312e-05
279,-0.004186305667941745
280,0.0024092531326322148
281,0.0005113614084544789
282,-0.0023490495049777334
283,0.0005533015693330506
284,4.1460436419374e-05
285,-0.0002794626177716135
286,0.00013223252751639437
287,-0.00014822428141007693
288,-7.340392154544018e-06
289,1.121601247344725e-05
290,-1.3887694655200072e-05
291,-5.009163223890695e-05
292,-7.699502287422744e-07
293,9.81882916504914e-06
294,2.458215534668233e-05
295,0.00015290279129157356
296,-0.000744438822417417
297,-0.0003558042636946381
298,0.00013412533067123214
299,-0.0031854692414244852
300,0.0009773212836486232
301,-0.00027145021186299217
302,-0.0018527925978306806
303,-0.0035657407144473454
304,0.0003644605620784202
305,0.0005592143622235495
306,-0.0005265250542621352
307,0.0005796461698131248
308,-0.00010086227232716838
309,6.312731088249063e-05
310,0.0001486423959068579
311,0.0002835081451654345
312,0.00030315438346351466
313,-2.5114055289435702e-05
314,0.00023868066510961746
315,-0.00018103217854491081
316,0.00010520708256079217
317,-0.003398879252646373
318,0.0037236474334529537
319,-0.00042873621366067854
320,0.0012087678804458429
321,0.00044545226914165806
322,0.00023895856450541954
323,0.005063595729830032
324,4.382481872365843e-05
325,2.0811602606145852e-05
326,1.2075524081727684e-05
327,4.7734525730237556e-05
