,mathpass_ed_hybridper_inf
124,1.7351409569736606e-05
125,4.092790607012559e-06
126,0.0001983839687152146
127,0.0001447993957576886
128,0.00010070564711848226
129,-0.0004386623589776158
130,0.002019132101448773
131,0.005993518373163208
132,-4.123237347560798e-05
133,3.690441809538516e-05
134,-0.00013982333121551665
135,0.00016528782772735345
136,-3.742285077928079e-05
137,-1.9343794581802106e-05
138,-2.015293971481344e-05
139,-3.742621029162061e-05
140,0.0002205728458506617
141,-7.019415554919172e-05
142,1.6457167665712398e-05
143,-3.0334004768970464e-05
144,0.00013322009679338998
145,4.535987498166599e-06
146,6.388198647976355e-06
147,0.0004045484873238835
148,-9.043314073392566e-05
149,5.93067141227654e-05
150,3.124199914738954e-05
151,5.1033960949117484e-05
152,-0.0006206883815129795
153,0.0003982665478608249
154,0.0002843604892017317
155,0.0005348810465918519
156,-0.0005506605486245079
157,-0.0006900857221610013
158,0.0009326043696409454
159,-0.0004624223952365547
160,-0.00036641086404339804
161,0.0006900234339239727
162,-9.893577431660205e-07
163,0.00032637589584910096
164,-0.0001700803753802633
165,0.00062655137021379
166,-7.232202971221879e-05
167,0.0011243082733905468
168,4.277291049958643e-05
169,-9.767001181328588e-05
170,-4.884302793376942e-06
171,-7.870150478543649e-05
172,0.00011724864262016634
173,8.068419923853625e-06
174,7.214836306562165e-05
175,6.95586991652211e-05
176,-0.0001059885040356477
177,8.339956671830772e-05
178,-0.0001393067602410678
179,-0.0011935789360922723
180,5.357708660772449e-06
181,-0.0012007682794656078
182,-0.00012640523344776495
183,-0.004590964958922301
184,4.043550718377035e-07
185,-8.673416529111593e-06
186,-6.521045730969725e-06
187,-2.605009384394246e-05
188,-8.801018750901529e-05
189,1.1931228797517409e-05
190,7.101995536352799e-05
191,-0.00015654696699526937
192,-1.9355447626473296e-05
193,-2.0792476332302052e-05
194,1.157217582170102e-05
195,0.00013630222911037158
196,-0.0004944499732511636
197,-0.0007706542997280746
198,3.53918306315758e-05
199,-0.0019840965478888713
200,-2.3496438984563466e-05
201,3.592575205899563e-05
202,-1.5785301688585127e-05
203,-2.164795720992733e-06
204,-7.997049808813826e-05
205,-0.0001682278016458146
206,0.00031650135962951346
207,0.00012180107133100098
208,-0.00019666288057151038
209,0.00038959660897139564
210,-1.006172583515521e-06
211,0.00039623116233728953
212,-0.00029989429761031236
213,1.3524781826500788e-05
214,-0.00038205192088379663
215,-0.0017127589075380445
216,-0.00014845791396740594
217,-4.053172030926945e-06
218,-1.706003064523881e-05
219,0.0001420283070713814
220,-0.0005532801346342045
221,1.4016797344838205e-05
222,0.0015459564558930451
223,0.0009372729048455124
224,-2.9523919103021394e-05
225,-3.3440656557961224e-06
226,-0.00021994444786000518
227,-0.00016843668360404368
228,-2.3796772397881576e-05
229,0.0008575113605948753
230,-0.00018396955096001895
231,0.0005162424620986703
232,-0.002820074684068717
233,-0.002397963011938627
234,0.006461625544641962
235,-0.007826782164105784
236,-0.0002045156741776043
237,0.00027748734512984276
238,-0.000433596310245355
239,-0.0014781538416184926
240,-0.00012728678654008212
241,-0.00021718972731787255
242,0.00015643389418848434
243,-0.0005088564573243728
244,-0.0002427939551076478
245,1.034315821391005e-05
246,0.00012082606395674513
247,-4.99056971553379e-06
248,0.00022319387212637007
249,-5.612912500151713e-05
250,6.59641394388819e-05
251,0.0005408546815960706
252,0.0006064691000487252
253,0.0002980388613272338
254,-0.002730358297862779
255,-0.0029421135644670305
256,-0.003583597606733405
257,0.006107378214969513
258,-0.004573927128071516
259,-0.00879753459619621
260,-7.714171286005716e-05
261,4.619017660303867e-05
262,-6.341390933472927e-06
263,9.981500579966938e-05
264,6.360334309857149e-05
265,1.5313432100862365e-05
266,-0.00010479298051618556
267,-0.0002589050882236433
268,-0.00035547144222167383
269,-4.229821846963046e-05
270,-0.00029651972470269144
271,-3.483038308848112e-05
272,-0.0027435347834389888
273,0.0021384927377632416
274,0.0006093924821462315
275,0.000639190009267813
276,-0.00016412808395629622
277,0.0005772280036255884
278,-0.0003835029343626281
279,-0.0007318807625655302
280,-6.852280525773678e-06
281,2.4285748544671928e-05
282,0.00011856232633032255
283,-0.0001629135558695377
284,-1.029015715667824e-06
285,5.306111699365429e-05
286,9.86791811590698e-05
287,9.845410757370022e-05
288,-0.00037311558902435374
289,-0.0004051163243755447
290,0.00033887889117176434
291,0.0005580976565718197
292,0.0006225946394393205
293,0.00048134732219544857
294,-0.0006764224162926694
295,0.000348757456323715
296,6.410795903422334e-06
297,-1.8147957691742096e-05
298,-0.00014589068219649775
299,-0.0001960621562327778
300,-3.155938198273187e-05
301,0.00012496714434840822
302,9.702444288914745e-05
303,-4.8916431214935406e-05
304,-0.000779427749809759
305,0.00046211572843278054
306,-7.576742608286366e-07
307,-0.00013241783661827443
308,-0.00020847418033196447
309,0.00013117786703375876
310,0.0004699785376798072
311,0.002958719449576902
312,-4.642177917496818e-05
313,3.921579863352256e-05
314,0.0010085673092276647
315,0.00318907920987342
316,0.00042576223899255296
317,5.690904816152064e-05
318,-1.7290950227649406e-05
319,-0.00047179248078851215
320,0.000579648563186759
321,-0.0024443534110128403
322,0.00015047952853737036
323,-0.005126978465405997
324,-4.679218946855719e-06
325,-0.00044618550329520573
326,0.0004126903317235488
327,-0.0003697848765959793
328,-0.0003532349812821926
329,-0.0005477379757795819
330,2.9525927479912915e-05
331,-0.0024739636293147145
332,-0.004218333040044073
333,-0.009648546264290188
334,0.009074838940343355
335,-0.016427232636823344
336,-0.0006664199563647284
337,-0.0003230038617762187
338,0.0013948441937258048
339,0.0012746069918660179
340,0.00025144648737720034
341,-0.00012379467235786018
342,-0.00016672933232367708
343,-6.112534662844846e-05
344,3.1983073888929204e-05
345,-0.00011962348959697789
346,0.0003983230674429179
347,-9.640239049717525e-05
348,-6.630191305689547e-05
349,-0.00022371862623699615
350,0.000271356314042331
351,-0.0011050319712549352
352,-0.013618385171940648
353,0.01229865980594668
354,0.011549850416200476
355,0.030089782552474492
356,-0.0006278240088802952
357,0.0003437395917357575
358,9.655206652298084e-05
359,-0.0010271873464774966
360,-0.00018554117461657733
361,-0.00020773443849516298
362,-1.6630700009070086e-05
363,-0.0006293158737115492
364,0.0008052477722713565
365,-9.805806677609023e-05
366,0.00021872359284819988
367,0.00196621341208768
368,0.00011507329737819028
369,0.0001540215084988023
370,-0.00010331413472784095
371,-0.00025750761107989315
372,-6.854449177536253e-06
373,-5.9947071762980724e-05
374,1.866432459673059e-06
375,-2.0182720703397176e-05
376,-0.0013573716356110991
377,0.0005406478139777452
378,0.00010770994515004179
379,0.0019847690956085943
380,-6.0868833724221294e-05
381,0.00024267268251309973
382,-0.0004131193099129467
383,-0.00015722509691869961
384,-0.0014924919415766293
385,0.0009992137832830557
386,-0.0007495202089443047
387,-0.003801635113196658
388,-0.0002597475429250882
389,-7.458637237253551e-05
390,-0.00010118102669208202
391,-0.0002639698758343181
392,-0.0004845032112616991
393,0.000355605587542987
394,0.0012313855420478276
395,-0.000805070262616026
396,1.9778512754603147e-06
397,-0.00026708016514278383
398,0.000188724163453062
399,-0.00024483077325214783
400,-1.1189944111452785e-05
401,-0.0001959113852642933
402,-3.0238515140087726e-05
403,2.1597629924993555e-05
404,-8.187960804663224e-05
405,-9.647695279894435e-05
406,-3.083481022075057e-05
407,-0.00013884535907372273
408,0.00023990969363358035
409,0.00015436761529632125
410,-0.00011012944134534295
411,-0.00028526279183825056
412,0.0015057476704698242
413,-0.0008826320518924228
414,0.0008828497786253527
415,0.0032370363673780668
416,4.7858665501981365e-06
417,-3.8804399239399485e-05
418,0.0002117083102429712
419,-2.7485438959109514e-05
420,-0.0002811255227179352
421,0.0003271688679298738
422,-0.0004924096407834126
423,-0.0018351176205990047
424,-0.00015973552122745845
425,0.0006074848701451885
426,-5.4753446153900034e-05
427,0.00041091765422619666
428,0.00012216679846325664
429,3.637982661676452e-05
430,0.00016061206635729984
431,0.00010703937408594565
432,0.00019994465474181377
433,5.660461861820644e-05
434,-8.107093060523408e-05
435,-0.0007293893524067621
436,-0.00020051525838358657
437,6.74580163969499e-05
438,-0.00014211037476599328
439,-0.0009121803233437173
440,0.0011018755164341665
441,0.0013368878702700098
442,-9.522342614512635e-06
443,0.004341012099908393
444,-1.3068023147533418e-05
445,-2.28141767710499e-05
446,-1.0871562640497563e-05
447,-1.5752605324443617e-05
448,-0.0002566168498170166
449,1.1515943805592294e-05
450,-3.281896434548078e-05
451,6.031694626465006e-05
452,-0.0003606343854920633
453,0.0002852268705239613
454,-6.339909306645541e-05
455,-0.0013463468538858943
456,3.3304072179201857e-05
