,drop_il_hybrid
205,0.005821141644131854
206,-0.006852712882913064
207,0.013131316772377742
208,0.007473276522393627
209,-0.0003380314122169785
210,-0.007034672732303673
211,0.00010506940700903338
212,0.0019631977651432026
213,3.199365298332699e-05
214,-0.00020702016460392352
215,0.0050739724377792065
216,0.007948300337445915
217,0.0012903381678663933
218,-0.010096771796215343
219,-0.0020119150781193655
220,-0.00024787318706634626
221,0.004121515638203762
222,-0.002955673271893755
223,0.00294175980601581
224,0.0015867593230359806
225,0.001733077169244647
226,0.0003102819058882273
227,0.01000451563839295
228,0.0010496750150803128
229,-0.0009413023094661269
230,-0.0014441957133796996
231,-0.004922810541783804
232,0.001575610547192548
233,0.0010094455449740052
234,-0.0035863831127839908
235,-0.00245764558842097
236,-0.00011971808801579305
237,-5.938518285255051e-06
238,-2.759369579819601e-05
239,-0.00041925758446075
240,8.881054958552903e-05
241,0.0005033702915661972
242,0.0019325741966536797
243,0.007977014221829046
244,0.000622706829592378
245,0.0029486590873453087
246,-0.0019611801080212776
247,0.004801433347778081
248,-0.00014134831285697694
249,-0.0006652153682183919
250,9.397271645179269e-07
251,3.566889100072047e-05
252,0.00010219755795764391
253,-5.3031094204691805e-05
254,2.867806426247309e-05
255,-0.0010034805033893853
256,0.0005848793685089242
257,2.4333912597601108e-05
258,-9.81173061542663e-05
259,0.0010767298374529536
260,2.0956085787798344e-05
261,-2.7233465919597223e-05
262,-6.020613332096451e-05
263,-7.547446228641284e-06
264,-1.4434108172310933e-05
265,1.5852566567997565e-05
266,-8.23504239006899e-06
267,-1.4232701752429655e-05
268,0.001894608984288793
269,-0.0006757128716403549
270,-0.004441633629729713
271,-0.009461760214133072
272,0.006055570540885932
273,0.005316224479457046
274,-0.00552957772095994
275,0.019037204121540224
276,0.001203645594053419
277,0.0024409577991648837
278,0.0002540632947979146
279,0.013080045398998767
280,0.005363113030839102
281,0.0011793041486088183
282,-0.0065531907032424916
283,0.001342913528609406
284,-0.0002446102785175512
285,0.001720913824129769
286,-0.0011913614062045593
287,0.0010229048448812193
288,3.322311024574936e-05
289,-0.00010325146134390743
290,0.00016021067794574095
291,0.00035340035547847773
292,3.5946171539618132e-06
293,-0.0001115217902032484
294,-0.0002971588591794406
295,-0.001196054676629239
296,0.0017994040536976224
297,0.0010701870040684936
298,-0.00046599383537892835
299,0.009188576099268209
300,0.0025755930417851974
301,-0.0006983561509566203
302,-0.004549535670615241
303,-0.009098744402578744
304,0.002284312281821528
305,0.004389385306264641
306,-0.005477156290120277
307,0.004558265092240994
308,-0.0004536846029139398
309,0.0002321331310642389
310,0.0005093222686023011
311,0.0010791037617773403
312,-6.174208627117128e-05
313,0.0008779764089081456
314,-0.0006622179898930786
315,0.0013033913035570125
316,-5.960212808488536e-05
317,0.0009664937344384028
318,-0.001007062065911087
319,0.00013689489269772364
320,-4.9127757573111e-05
321,-0.00013759893337331034
322,7.785366623149386e-05
323,-2.376959887136647e-05
324,-0.0001257677286811943
