,elapass_ed_hybridper_inf
619,-0.0012249098666271849
620,-0.00010891206214926238
621,-5.5098042133329764e-05
622,-1.0577766787424284e-05
623,-0.0004702784272962591
624,4.776921233088537e-05
625,-0.00043266101619295327
626,-0.00019954116258717928
627,-0.001634586510927991
628,0.0006004357622036007
629,-0.001408496490421813
630,-0.0002888775354355879
631,-0.002649639842423387
632,4.0574733846649155e-06
633,0.0012045709491218047
634,-0.0005654969936174357
635,-0.0015874934252404673
636,0.00037474619134636895
637,0.0004959106829038519
638,-5.01510314456535e-05
639,0.002147641291160578
640,0.0025260748693556106
641,-0.001987320034082733
642,-0.0001365835070200871
643,-0.001989100999357638
644,1.7833740032342667e-05
645,-5.607863908776332e-05
646,-0.0005526661599597145
647,-0.002987669353268029
648,0.002011170724385787
649,-0.002857585058896082
650,0.004230279846004538
651,0.009687992888221914
652,-0.002180013150836379
653,0.0003039661432712338
654,0.0032628017829298334
655,0.005400266311073319
656,-0.0006279175882805529
657,-0.0024226719633446865
658,0.012837244408361924
659,0.029690654282298005
660,-0.001058000343086329
661,0.0005412134246423696
662,-3.650064190611845e-05
663,0.0005039451416852817
664,-6.380325672390152e-06
665,0.0005991673857883185
666,-0.00012951179833137606
667,0.0015519233468194089
668,0.00041582253540312515
669,-0.00012758956457780627
670,-0.0008781352748061136
671,-8.445317832565811e-05
672,-0.00021843730914250823
673,4.9385876679211216e-05
674,0.00033650752935550767
675,-1.3237835245658938e-05
676,-4.595046361892405e-06
677,-6.5039581520423226e-06
678,-4.3773891808639476e-07
679,6.918899356289856e-05
680,-0.00019195387062881215
681,0.00011237273484488515
682,-8.051993803273499e-05
683,-8.651182337028661e-05
684,-9.870031118118402e-05
685,2.3253410675011985e-05
686,0.00012162015732221159
687,-0.00019353211400187007
688,0.0004214735550085357
689,0.00016465661539081576
690,0.0005012605260029966
691,0.00017036624331776874
692,0.0002926924433720653
693,-4.062137760835578e-05
694,-1.3357357993629605e-06
695,0.00010393721477811626
696,-1.7268413701931458e-05
697,-0.00016410134760020393
698,5.710235311702274e-05
699,0.00015599398574175113
700,5.796730175340085e-07
701,-6.690413626506547e-05
702,-6.988596800021065e-05
703,-0.00024265683954591264
704,-1.433327905804244e-05
705,1.8687145634808794e-05
706,4.2882209277450154e-05
707,0.00019724290542694553
708,-8.273818561013962e-05
709,-6.258397796668918e-06
710,0.00013125684058172066
711,0.00020775303095750409
712,-8.006957692115453e-05
713,1.743975434953596e-05
714,0.00020598420747733372
715,-0.0002653108956778052
716,-8.600904625503586e-05
717,0.00035618293698605686
718,-0.00011767555692702621
719,0.000451063639100616
720,-0.0006330602129664399
721,-0.001157881230824982
722,-0.000894515395435307
723,-0.009377620661533801
724,0.0031273606095591267
725,-0.0002793847410081032
726,-0.0040360052593387844
727,-0.0044405921861198515
728,-0.00014115539559118417
729,9.760469057511894e-05
730,0.00010540616761396977
731,4.461816805929685e-05
732,-0.0008357926401084972
733,1.754390183021402e-05
734,4.8872814016522285e-06
735,-0.0004640985522298659
736,-0.0007051757172418769
737,0.00035067592187894346
738,-8.943076246501139e-05
739,-0.0006502808516391658
740,1.3367229791673499e-05
741,-4.3921139282488905e-05
742,-1.3174062797982403e-06
743,0.00013723648801404776
744,0.0007608136974547994
745,0.00070400903600998
746,-1.1269795057453753e-05
747,0.00410414317277209
748,3.4794013594258205e-05
749,-5.660103036418064e-05
750,0.0002474514223894362
751,4.0860641786361284e-05
752,-2.845500520487587e-05
753,-0.00011123004863659744
754,6.427981087200073e-05
755,0.00014175741964704493
756,0.0006026815206269519
757,0.0003777197732412536
758,-0.0005810542760839034
759,0.0010556866391610127
760,2.21149428219153e-05
761,-0.0006569990564676344
762,0.0002563045494208991
763,-0.0010391188301435397
764,2.8207877340776885e-06
765,-7.148879079977621e-06
766,0.00014262702930141453
767,0.0001520570297939052
768,-0.00012416563150130812
769,5.826830808359353e-05
770,-4.501942620211384e-05
771,3.174416346394198e-05
772,-5.5247266390670964e-05
773,5.1172697964671e-06
774,-5.6468235911017455e-05
775,0.0004054554945968006
776,-0.00020965476347617162
777,0.0002329192107974876
778,0.00021772006386256516
779,0.001232036504769256
780,-0.00026617292527631787
781,3.923927248042211e-05
782,-0.00030600836756469697
783,-3.0108458293568697e-05
784,0.00011668379633747205
785,-7.649396622352185e-05
786,-5.237076220758655e-05
787,-0.0003344819229310755
788,0.0003369323387614633
789,-6.993743630258823e-05
790,2.060150446277505e-05
791,0.0014317146942253584
792,3.745844026198375e-05
793,-0.00016939107458485586
794,6.662139704181253e-07
795,-0.0003816643662051067
796,-1.7741179778756367e-05
797,-0.00010019049092380183
798,6.213936678338141e-05
799,5.3067524645254546e-05
800,1.6099653406956077e-05
801,-8.566059321876224e-06
802,9.996194290577606e-05
803,-0.0005512151395197308
804,0.000754632046728698
805,-0.0002373399073110868
806,-6.982858608830573e-05
807,0.001418792358040814
808,3.2329119910623594e-05
809,6.97892495552522e-05
810,6.319436057865887e-05
811,0.0005443724026283163
812,-0.0003025716787000238
813,0.00011076379188755535
814,2.393752751307822e-06
815,0.00017105584491509243
