,drop_black_virtual
107,-0.0023119233444286505
108,3.0246696108587552e-05
109,0.0002885115580102258
110,0.0008061365299868215
111,0.00269598138093478
112,8.791197388783796e-05
113,0.00021931769505392806
114,-0.00024086596336520694
115,-0.00012986226634067037
116,-0.00048665046561881167
117,1.1687424731133214e-05
118,0.0003899709565539066
119,-0.00020809783297774816
120,0.0001524306755872693
121,0.00014210674838990457
122,-0.00036331930723143763
123,-9.533493675163501e-05
124,-2.701043395930036e-05
125,7.304084154789744e-06
126,0.00015201217850469893
127,-0.0002097519540724
128,0.0002499472941906924
129,-0.0007233527441081009
130,-0.0012306710343110666
131,-0.00501222076815435
132,-8.604325739069674e-05
133,6.159521305999962e-06
134,0.00011565248766146103
135,0.00011221026682318635
136,-0.002068841743172505
137,-0.0007877758293890728
138,9.261647197855042e-05
139,-0.006275991876645033
140,-8.121493770507338e-06
141,-0.0018333504552379635
142,0.0012662936530198094
143,-5.9358255743900805e-06
144,0.00041497309761321803
145,-0.00011811983308391456
146,0.0005786645177464548
147,0.002776865763677051
148,0.0001435456868172628
149,-0.002220758105192225
150,0.0005944064856273672
151,-0.00473683425677274
152,4.0332590826451734e-05
153,1.4136620653782684e-05
154,-7.023397221243079e-05
155,-0.0001410310782999546
156,0.0006799093126701974
157,-0.0005196453222498497
158,-0.0009402786288505755
159,-0.0037447596619176785
160,7.097440469235566e-05
161,-8.771046745219774e-05
162,-0.0005897390682440491
163,-0.004709324025060752
164,-0.00013942352332357066
165,-8.736249455722953e-05
166,0.0009839572596449877
167,0.002301113793363102
168,-5.749500404730502e-05
169,-4.699501000230102e-05
170,-0.00012787399213405105
171,-0.0009021810104064169
172,0.004334042136205274
173,0.0015397426164724263
174,-0.0011348993943296063
175,0.015291879442232384
176,1.6904164148080453e-05
177,0.0008035211334907876
178,0.0008746139176520924
179,0.005641793123004895
180,-2.1360962060499085e-05
181,-0.0009088147075405694
182,0.0035812394597580562
183,0.0016096403191092465
184,-0.0004438295965536456
185,-0.0008797836902298779
186,0.004942107886916726
187,0.004660005261779865
188,-5.934970864097868e-05
189,2.350419894716786e-05
190,1.6237976482490313e-05
191,9.601147329513011e-05
192,0.0001787559747176628
193,3.690265791531918e-05
194,3.13074431022832e-05
195,0.000858336984135939
196,0.00021413745163121223
197,0.00011728013836883637
198,-0.0011393606061552855
199,-0.0023492759912644196
200,-0.0023305962922399687
201,-0.0005287102928612584
202,0.001507440470758615
203,-0.002262955767478133
204,0.0007964525542266662
205,0.0009275312182685445
206,-0.0005143052956663873
207,0.0017069849121575744
208,1.4472148141727448e-05
209,-2.2744059833544353e-05
210,-0.0005376495414266678
211,5.070997146322821e-06
212,-6.664442616101228e-05
213,-4.950339295972239e-07
214,-3.1027759129245268e-06
215,-6.33780535724874e-05
216,0.0008854130791769781
217,0.0001724485780284056
218,-0.0009006748969824845
219,-0.00022333966661043978
220,-2.727988335599151e-05
221,0.00048432581496432077
222,-0.00031708453726423216
223,0.0003280271336472732
224,0.00010549514833626659
225,0.00024681163653739993
226,-2.211546863362511e-05
227,0.0004655225099470993
228,-0.004909933183322973
229,0.004349629156853237
230,0.006615531404116641
231,0.02278133821260744
232,-0.00011307267964007262
233,-4.372306110274643e-05
234,0.0002286927691808048
235,0.00014894165504849134
236,0.00016488326401680877
237,-6.332242309303693e-06
238,3.0107854086576922e-05
239,0.00022030641901443825
240,1.0006668433571767e-05
241,3.464196523462121e-05
242,-0.00031067238597121035
243,8.54001525476227e-05
244,7.30430187581662e-05
245,0.00020468631669743316
246,-0.0001089182302903447
247,0.0003869429697638877
248,0.000763705220464758
249,-0.0006207780797431715
250,0.00011299359823143332
251,0.0001731265577093905
252,8.581610404787187e-05
253,-0.0001574199776249451
254,-0.0009060080009261936
255,-0.0023887383931946943
256,0.001535333238817286
257,0.00012200533558029885
258,-0.00041513381307009187
259,0.003992954586616878
260,-8.916249593892136e-05
261,0.00014984228121764457
262,-0.00013778099229388513
263,-0.00025637870493353383
264,-4.7516858161616784e-05
265,8.183208291045618e-05
266,-5.234712035253556e-05
267,-6.699597453363125e-05
268,0.0003362125632146973
269,-0.0001342241737068068
270,-0.0006965617317591175
271,-0.0016743711765769972
272,0.0009128374547279422
273,0.0008166190920299653
274,-0.001014129509589722
275,0.0030963468639747496
276,0.0002608506539463751
277,0.00041318433485279456
278,3.376084267725234e-05
279,0.002262266149894007
280,0.0007924718590697004
281,0.0001817197585515855
282,-0.0008232892886574912
283,0.00019052100072803458
284,-0.0003430364521653009
285,0.00218764351770424
286,-0.0013451304246648171
287,0.0012830339828193125
288,5.0520880439275574e-05
289,-0.0001566803456848095
290,0.0002651595454305009
291,0.0005510589101367229
292,-2.8737915565717055e-06
293,9.722419921729921e-05
294,0.00022685160553617283
295,0.0009680155096500895
296,0.00020419591531110152
297,0.00011366662660697939
298,1.2786660603595786e-05
299,0.0006062511641363106
300,0.000327764185873107
301,-9.124661501196436e-05
302,-0.0004289093750435947
303,-0.0010674058346872184
304,0.00010860532942608874
305,0.0005749380403192428
306,-0.0004413343719514563
307,0.0003965276451287724
308,-3.497616413083549e-05
309,3.402841914837026e-05
310,6.745550462887323e-05
311,0.00012851658301078257
312,0.00039639459105093633
313,0.0014568509834234713
314,-0.000786235906794894
315,0.0019879500010718367
316,2.2672196574025814e-05
317,-0.0002711730700533814
318,0.000532865490643451
319,-5.63820355840305e-05
320,0.00014114129394239414
321,3.607668498517452e-05
322,-1.0430744064473995e-05
323,0.0002598730669765697
324,0.0008316414835081201
325,-0.000929561561181583
326,0.0012884992104343711
327,0.004201838532106155
328,7.912812744514932e-05
329,-0.00021008282768360983
330,0.0004040131799437699
331,0.0005299081843770618
332,0.004608109892188643
333,0.0005612636955572542
334,-0.0025535812096640306
335,0.006341833954807649
336,0.00028326839197483436
337,0.00016240770461766474
338,5.426636963774365e-05
339,0.001815295420495521
340,0.0006203104167248428
341,8.774815842768311e-05
342,0.000427072231254215
343,0.0032148275831147726
344,-0.00017393194126366277
345,-3.2324785865440916e-05
346,0.0002265590414751176
347,3.498989035119294e-05
348,-0.00044498070555466367
349,0.00017164605694761713
350,-0.00010024094799111427
351,-0.001308293689264883
352,0.0007436655043783299
353,-0.000575902464093626
354,-0.0020094316131750068
355,-0.007084643752973543
356,3.177153858517763e-05
357,-7.686669416785737e-07
358,7.980083892038458e-05
359,6.9191765287236755e-06
360,0.0009614689788237856
361,0.0004105793349319921
362,0.0001425046853212187
363,0.004695704461911434
364,0.000339874148791942
365,0.00017817359555455508
366,-0.0007937974981017793
367,-0.0004740335305421944
368,0.00024391204804212425
369,0.00019917879815966824
370,-0.00017563607264661806
371,0.0012348070797633137
372,0.0005367807620362913
373,0.0006342762401120254
374,-0.0007927617368888572
375,0.0004909156682867956
376,4.174765134479693e-06
377,0.00010990349362254632
378,-0.00034135448632297087
379,0.0009329480565312433
380,6.510215188127556e-05
381,0.00033725206392209094
382,-8.372979891115023e-05
383,4.2294132329821714e-05
384,-0.00033898383161620044
385,-0.0025827171979250652
386,0.0023835478505422
387,-0.0038726157784028862
388,0.00040256714256380055
389,-0.00029376823114212765
390,-0.00066294486936274
391,-0.001394815709192444
392,-0.0009352787356971938
393,-0.000126215718581571
394,0.0004994286648739542
395,0.00012054703273226111
396,-0.0003347918897015031
397,0.00018136067053498692
398,0.0012278164169886735
399,0.004044670320322784
400,-9.678305566645777e-05
401,-0.00028330667419748786
402,0.0002963551507419825
403,-0.0009028391296334618
404,6.283429138539951e-05
405,3.652277072843415e-05
406,-9.747758484408885e-05
407,0.00034153618665211334
408,6.927221274220182e-05
409,4.5680878667758544e-05
410,2.374584898527892e-05
411,-4.07723303074693e-06
412,0.00029561903465478306
413,-0.00032255567228044163
414,-6.543787459016165e-05
415,0.0005385564535303324
416,0.0004345675664944988
417,-6.719980122805095e-05
418,-0.00031443026308610594
419,-0.00043734580752822957
420,0.00029125992125677273
421,-0.0001605237028197565
422,-0.0006147459169996035
423,-0.001036951355282319
424,0.000462667714836433
425,0.0001782411400096893
426,-0.0011240635074714006
427,-0.001810186597779016
428,0.0007380718381144602
429,0.00022119463151607706
430,-0.0012278721850163144
431,0.0002059096157104726
432,9.592857497732569e-05
433,0.000835506201130611
434,-0.0007708066077406119
