,drop_wi_virtual
127,0.004803142742198789
128,0.00017592948104501178
129,-0.0006877603490475476
130,-0.0017249795398230246
131,-0.005197964401867596
132,0.00018958007642103206
133,-6.470780828704896e-05
134,-0.00017402622287999433
135,-0.00026462744116398894
136,-0.0022360279427103653
137,-0.0011365639614054806
138,0.00024035178532456637
139,-0.010474450868216576
140,0.00047461067859337494
141,-0.0031889259970802864
142,0.0033489956082754834
143,-1.7599908471902468e-05
144,0.000928243480028148
145,-0.0001817254040321655
146,0.0007620607375082737
147,0.004541223173053808
148,0.00018857238290886905
149,-0.0014755924975561128
150,0.0004273353414823944
151,-0.004343847032872289
152,-0.0011104380544140285
153,0.0007162823796408466
154,0.0026533366789845084
155,0.01052915406579585
156,-0.0014812057066976225
157,0.0013716828033692719
158,0.0028398176408522377
159,0.009655323169371614
160,-0.0001682481218729252
161,0.00022855855304315269
162,0.005796768623413156
163,0.01734831401912596
164,-0.000575600257520556
165,-0.0002843266626547633
166,0.0028987296299096913
167,0.0077644520576131025
168,0.0008739849002062916
169,0.00027476297361798773
170,0.0011524678587301843
171,0.0077963249177866595
172,0.003874106362315937
173,0.0012930605393862127
174,-0.0008593537319554383
175,0.012578391902019969
176,4.3488253575249666e-05
177,0.001962567541233622
178,0.0035114925320823102
179,0.01626403924853728
180,0.00021975781423483651
181,0.006083673109298205
182,-0.009090321144192124
183,-0.0073280132229625716
184,0.001649970299721912
185,0.0020727515171065263
186,-0.007342262132212989
187,-0.010126371329908901
188,1.9908945883630017e-05
189,-3.6860414865266126e-05
190,-0.0002978146312837328
191,-0.00025946072286405083
192,-0.00016647626750058024
193,-2.0982225121384845e-05
194,-0.00011527326683645665
195,-0.0008909931946748452
196,-0.001156170607329794
197,-0.0005909008573550507
198,0.005597484557886988
199,0.011990066526299619
200,-0.0030348081839999177
201,-0.0008362006866950669
202,0.0025009825364509385
203,-0.0034183274170355854
204,-0.0012462353184173839
205,-0.0012931027226911584
206,0.0013821458658948781
207,-0.002917677285745223
208,-0.0020345555215778993
209,0.00012675965672487988
210,0.0022297589562415014
211,-3.367109838771561e-05
212,-0.0003417122268283356
