,elapass_in_virtualper_inf
117,0.0002266464136797966
118,0.0001622260411257985
119,0.0028025000551637662
120,0.0005046889452655442
121,-0.0009834218268654925
122,0.0001118419718234878
123,-5.70788916915055e-05
124,-0.0010310299611658775
125,0.0010156965077675027
126,0.0008664659949786117
127,0.0025007554651140596
128,-0.0017257867812790965
129,-0.0003493217906626114
130,0.0011256143118918579
131,0.00018514110898868304
132,0.00015388031567346454
133,0.0009672364153284603
134,-2.1850203806220285e-05
135,0.0032288015812137723
136,-0.0006775145397561595
137,0.003637374809342654
138,-0.0017439597624901943
139,0.0028254143871684293
140,-0.00012179847517911292
141,7.515762286861251e-05
142,-2.2935466441353247e-05
143,-0.00011194382471907737
144,0.000576609758757197
145,-0.0011461519561780944
146,0.00028419009813042477
147,-0.0003845156693287947
148,-0.002767841708312163
149,-0.0004971463480688908
150,0.0010048121478596103
151,-0.0068405825217137456
152,-4.3871631030375e-05
153,1.5245760641455487e-05
154,2.7880944078333475e-05
155,-0.00014080843793939173
156,-0.00025641878269804674
157,5.6979992404059244e-05
158,0.0006883345799323511
159,0.0009418909035402857
160,0.00021791336722691177
161,-3.074756366822599e-05
162,4.018284841655434e-05
163,1.4477494627738084e-05
164,0.0009447039710277304
165,0.0015390706935772037
166,-0.0012415678752961774
167,0.0030324347545148834
168,0.0012342932611447471
169,-0.0004609046863304542
170,-0.0005355768887454116
171,0.00014928085769460187
172,0.0020167417904791963
173,-0.0007817476731361186
174,0.0005395453868160544
175,0.0053062582329952215
176,-6.501064821915056e-05
177,-0.0004859421591363993
178,0.0007669771627144507
179,-0.0004747724237465741
180,0.000397245136959765
181,-0.002213439872135737
182,0.0014086521493429773
183,0.0009909960580058224
184,-0.001291156510958372
185,-0.0009568782557696738
186,0.0006740280270996164
187,-0.005861346596227564
188,2.132969409091194e-05
189,0.002700273631272563
190,0.00017311146743567872
191,0.009721436495197232
192,0.00011077898772888902
193,0.0006648530451622464
194,-0.000395348651806185
195,0.0012082550344942576
196,-0.0001459916377239603
197,-9.694925865247946e-05
198,0.000446686178543131
199,0.0008653120880903314
200,-0.00016022738860503932
201,-9.844714842069879e-05
202,0.0004683718213079407
203,-0.00019041450712048368
204,-0.0005123046535070419
205,0.001031504373952314
206,-8.879040265572924e-05
207,0.0010123289600684664
208,-0.00010217728379464753
209,-0.001250104576709937
210,0.0009469686742535477
211,-0.0004599465724762027
212,-0.0013589369442843573
213,-0.0013355704518718849
214,0.0013399021745375984
215,0.00131914894826758
216,7.483991405808708e-06
217,1.8663865043218474e-05
218,3.2332365909908745e-05
219,0.0001713874628481546
220,-0.0009929234366161915
221,0.0011413349915501878
222,-0.002834924073148563
223,-0.009237199403039393
224,-0.00020294015435106403
225,4.1067113588408886e-05
226,-1.2744376551746598e-05
227,-0.0009061034602129352
228,-0.0011609359097912728
229,0.000861867639211141
230,0.0008134579407436638
231,0.003665724376580648
232,-0.00011042330943092353
233,-0.0002902639902203063
234,-0.00024954305657146053
235,-0.0022824714286681057
236,0.0007805202620354123
237,-0.0028703360374043637
238,0.003850605200327771
239,0.005394448012381275
240,-0.00015379776749758573
241,-0.00018135880346182066
242,0.0008804979495218505
243,0.0022023615385665094
244,0.009748925805492295
245,0.003722287732734683
246,-0.004250630257949594
247,0.02902734753526953
248,-0.0006592836510413452
249,0.00026184479273362495
250,-0.00020478526904297426
251,-0.002438141676301583
252,0.010803951567845653
253,0.003449002593328091
254,-0.002993975069098045
255,0.044712824125970926
256,3.065817382311482e-05
257,-0.00078498943789937
258,-0.000458344793435902
259,-0.003019434461423194
260,-0.014536070193471499
261,-0.004382118775660256
262,0.01069467652087845
263,-0.03104076196052448
264,0.003197405985824006
265,-0.0012990225291937929
266,-0.0027690434506844534
267,-0.0031513898443242413
268,-0.00013691719142179063
269,-4.0186366230436356e-05
270,-3.1192508561360994e-05
271,-0.0007430156613127962
272,-0.0007485313502201719
273,-0.000533117679766574
274,0.00013099890975920266
275,-0.002192396207554182
276,2.250911636166751e-05
277,0.00027281923543745685
278,6.539926720887977e-05
279,0.0006906802311390567
280,0.0033425222245136864
281,-0.0049147299908031735
282,0.003062638840525122
283,0.004201551511899245
284,-0.001054606357520365
285,0.0009722000637890877
286,0.0005495263705175796
287,0.0016131425427933527
288,-0.000679294812527864
289,0.00039475691885513793
290,2.40473502557912e-05
291,-0.0006116884624147943
292,0.00028769444230471294
293,0.00024002525571965866
294,-0.0007036381020490127
295,0.000745216887590017
296,0.0018537067535735205
297,0.00039908284008075896
298,-0.0014760869187846692
299,0.0014021653496257187
300,0.0004295399354707183
301,0.0005188085979862907
302,-0.0014375380275423759
303,-0.0006145378138190526
304,0.00019281543049104875
305,-0.00037686422518294437
306,-0.001013838347648089
307,-0.0031358522462759456
308,0.00012544706674671278
309,-0.0009152961909827366
310,0.00020116322218658814
311,-0.0012161801930168008
312,-0.000684528216096586
313,0.00010084515413506348
314,-0.0007111480178715523
315,-0.003839669003208102
316,-3.8664596919876315e-05
317,-0.0005016564265672173
318,0.00025820368795502946
319,-0.00039126507877242024
320,-0.0010641395604814427
321,-0.0011316584204893452
322,-0.0017070666047664066
