,drop_il_virtualper_inf
250,0.0001196281963316188
251,0.00023344473985244504
252,0.00043497610651962434
253,-0.0004038359904214093
254,-0.0024744753253683137
255,-0.007750374929093598
256,0.0015522712897194527
257,0.00010142562624385426
258,-0.0004003576609654343
259,0.003736080746551291
260,0.0002653243186732254
261,-0.0002808242285671437
262,0.0002670212691242415
263,0.0005690053081942975
264,4.521318745408145e-05
265,-7.333343602053546e-05
266,3.8978007124959665e-05
267,5.732317054111459e-05
268,-3.746099730903756e-05
269,-1.896787396473851e-05
270,-7.090280408052611e-05
271,-7.567210378464615e-05
272,0.000333245644150132
273,0.000502375204480297
274,-0.0004800722458812439
275,0.0015034670088586836
276,0.0001115556682950346
277,0.0001503453057455705
278,-3.638628962705524e-06
279,0.0006061232223407788
280,0.0001674718167511058
281,5.5556986926086524e-05
282,-0.0006147281358592824
283,7.854435988865331e-05
284,0.0008328027879899786
285,-0.005490798643438029
286,0.003660974618030975
287,-0.0032797883884491327
288,-9.442665932177234e-05
289,0.0003141008732789891
290,-0.0005594081221921982
291,-0.0010971802854302084
292,-1.122108084667289e-05
293,0.0003723144425575343
294,0.0009609279499013453
295,0.003862732929276971
296,-0.0006259800089649443
297,-0.0005713015916894329
298,0.00028207788777601946
299,-0.0045161121546303746
300,-0.0008066416652857457
301,0.00022240460200282036
302,0.0015238837510565379
303,0.0029322727443348933
304,-0.0010426289377747603
305,-0.00168290815134032
306,0.0020369532623317945
307,-0.001837198988160092
308,0.0001312807508080779
309,-7.93278067435497e-05
310,-0.00018219603152716987
311,-0.0003563920491688242
312,-0.0007941595713550215
313,-0.0032846353701955757
314,0.0016061355259678997
315,-0.004234174175172785
316,4.233615930827938e-05
317,-0.0032259270934358797
318,0.003627718311993399
319,-0.0003775044309604577
320,-4.2246811491159644e-05
321,-0.00018839462876383268
322,5.122437701575555e-05
323,-0.0003906781784011284
324,0.000705798995189461
325,-0.0006826636584013618
326,0.0009067772442952388
327,0.0031725658623854786
328,7.01246696966581e-05
329,-4.0076410016730516e-05
330,-0.00011541338845605503
331,0.00010993882568538788
332,-0.001733161588900168
333,7.309016955092019e-05
334,0.00024008248920241726
335,-0.0008833510146994705
336,-3.237317773050431e-05
337,2.7117757812254027e-05
338,-7.855989593407253e-06
339,-5.4644600585572655e-05
340,-5.7525600542531e-05
341,1.6614954200795723e-05
342,0.00022220644596562082
