,elapass_hispanic_virtualper_inf
200,0.00011593249419492191
201,2.6513907835426264e-05
202,0.00015088453227784165
203,2.0507207202280573e-05
204,0.00027271050945355384
205,-0.0010900884761978855
206,0.0002967785062676784
207,-0.0012798316624670172
208,3.821376308169428e-05
209,-0.00023735094908546093
210,-0.0005846134893749754
211,9.795743740203538e-05
212,0.00012004500919473789
213,-0.0009357337259141772
214,0.0003191883282952385
215,0.00036182653113368
216,-1.2725682939732148e-05
217,-3.494148253874641e-05
218,8.625931304963731e-06
219,-0.00010969308318879733
220,0.00017574238243249396
221,0.00022646675164878782
222,0.0006689707159598951
223,0.00038977000872972387
224,-4.3704627440166724e-05
225,1.778722622453872e-05
226,-4.329579497461288e-06
227,-0.00030751086457591454
228,0.00023081028091142077
229,0.00043915157382235263
230,-0.0005853360260530474
231,-5.9573332525361345e-05
232,0.0005738082409055256
233,-5.468970820216423e-05
234,-9.491501451856183e-06
235,0.0010182369889051223
236,-0.00013608385462717272
237,0.0011788259253814944
238,-0.0009280616793801915
239,-0.0015167355473696981
240,0.0005399737719004588
241,-0.00042203514403329654
242,0.0006830983507667576
243,0.003976629141037337
244,-0.0008504939086887282
245,-0.0007544655502571151
246,0.00026246236830426364
247,-0.00330441242793832
248,0.00039667193610793886
249,1.8739176298728937e-05
250,0.00015448945258701084
251,0.0008267123006514623
252,0.005768532776738721
253,0.0015539376862231948
254,-0.0018454536297822911
255,0.024044362348563733
256,-4.507588945258041e-05
257,-0.00017057487312893907
258,0.0003597816774501996
259,0.0013691639451650426
260,0.00751705062826827
261,0.0024080301016273504
262,-0.005356394919841704
263,0.016221636106616234
264,-0.0004269814452761582
265,0.0003749829052935717
266,0.0010551006144945755
267,0.0008404734666539409
268,-0.00032318132469465454
269,-7.208482306859795e-05
270,-2.567125229438442e-05
271,-0.0013049761730545791
272,-0.00016985379879709106
273,-0.00017062244598013926
274,-9.46864814673674e-05
275,-0.00023212957087963285
276,0.0003899005800320762
277,-0.0012735990204571122
278,-4.3049101729858906e-05
279,-0.0024300464005621815
280,0.0003484633822085725
281,-0.00013781961748040927
282,0.0002512887108027727
283,0.00030418153585406435
284,0.001350897454208364
285,-0.0008771091744504781
286,-0.0006608266485108982
287,-0.0017884596652948683
288,-4.878785344985991e-05
289,-0.00018442434095173942
290,-3.3849239134559086e-05
291,0.00026077179907303943
292,0.00013778508446311407
293,0.00034504168415205817
294,-0.0009146073093193205
295,0.0008581607394863966
296,-0.0012614024746597737
297,-0.0005597295629548426
298,0.0014832068152241377
299,-0.0014183935797813258
300,-0.00022575228760602446
301,2.2539128214413566e-05
302,5.3251135596185324e-05
303,8.570070790556931e-05
304,-0.00021306022210688513
305,-4.55678167668339e-05
306,-0.0005480348286245099
307,0.0003918010537246523
308,-1.9077292789919253e-05
309,-0.000348957132642
310,-5.179624045617364e-05
311,-2.4367553896423437e-05
312,-0.00013333716691416676
313,-2.7270371209142555e-05
314,-7.806538241664886e-05
315,-3.342756518001563e-05
316,-0.0005901766171162007
317,0.0001574467926209795
318,-0.0012213923058412603
319,0.00015016799408610465
320,7.88665306017504e-05
321,-4.480415522350361e-05
322,0.00022639945377937411
323,0.0006394419548585172
324,7.671949810772627e-05
325,-2.0933564891056394e-05
326,8.578687249615148e-05
327,0.001381222905883252
328,1.1034335402766072e-05
329,0.00023248007540069832
330,-9.650995854891268e-05
331,-5.1203674568852814e-05
332,-0.000582752480452786
333,0.0008662114562186531
334,0.0001398238899039897
335,0.001136946802900961
336,-0.0005071340389224139
337,0.0003988419980986521
338,-1.7934105812579755e-05
339,0.0011395465163619276
340,-3.951374639734864e-05
341,0.00023082847295871948
342,-0.0007159637712238941
343,0.0004309416507303915
344,0.0013960950036614333
345,0.003351314480132991
346,-0.002453329431628789
347,0.0034801821006683158
348,-0.0006177175281678119
349,0.001371108981069493
350,0.0006090674090161035
351,0.0027714640747368096
352,-2.342587592733924e-05
353,-0.0004785180768691097
354,0.00017390310567275716
355,0.0007687762236119948
356,0.0008950727243900082
357,-1.3204961888298656e-05
358,-0.0007899111255094207
359,0.0012475519682084541
360,9.76460446607583e-05
361,0.00029810082240017735
362,-2.0405641126383624e-06
363,0.00040077904138034667
364,-9.678335593970832e-05
365,0.0005174241524615896
366,-0.0003492829437993184
367,-0.00029203539687951813
368,-1.3838652938640227e-05
369,-0.000323926845215309
370,2.943363376089552e-06
371,3.498850797138168e-05
372,-9.980226981274607e-05
373,5.3117949653226506e-05
374,-5.53816288668504e-05
375,0.00038950811326924907
376,0.0021885216548829674
377,0.0009080233378899496
378,-0.0006664947812256793
379,0.007009009319783023
380,-1.682692190430172e-05
381,5.233192877495222e-05
382,-0.0002319889035748456
383,-0.00010212675945106413
384,-1.8375426757204424e-05
385,-1.0113179422244404e-05
386,0.00016070213677280246
387,0.00024501604667519753
388,0.0006551771019368091
389,-6.213296731606756e-05
390,0.0001317741207316702
391,4.937060104036912e-05
392,2.2053714268775355e-05
393,0.0001377882195998412
394,0.00018132052692046725
395,0.0020666909292005793
396,8.586391735727802e-05
397,-0.00035796213634714486
398,-6.808353280265184e-05
399,-0.001457663598141458
400,-0.0006059969174240842
401,-0.0002200576029210574
402,5.6278177189757975e-05
403,-1.2354138401360787e-05
404,0.0010382953763652886
405,6.277627430515657e-05
406,-0.0002642207113736242
407,0.001346127282969322
408,4.4632637166472e-05
409,0.0004616484307313437
410,-0.00016150707046485403
411,0.0008901958397829813
412,0.0010552551272432456
413,-2.5313533459568955e-05
414,0.00011281951859310226
415,0.0031031810173194267
416,5.3054825219358745e-05
417,2.9683716369337812e-06
418,0.00027846562044250324
419,-6.421248792527732e-05
420,0.0002270759852710229
421,9.935100246517123e-05
422,-8.621889628986507e-05
423,8.968530931288102e-06
424,0.0020990717351777803
425,-0.0077805471575565065
426,0.004635999279016085
427,0.002431137080407441
428,-0.0003186851819323957
429,0.00011833485456043856
430,-9.499620880590731e-05
431,-0.0011506891592497114
432,0.0006261774682524979
433,-0.0001448243390296839
434,0.000125064980898248
435,0.0005157974129544672
436,0.001072351103509531
437,-0.00035303444331117646
438,5.695885541976306e-05
439,0.0010534813854429456
440,-0.00011135834204205253
441,-0.0002591919560933577
442,6.6206516832585e-05
443,-0.000593954001259975
444,-0.0001349522491074741
445,-0.0016138799163994875
446,-0.001184347007720427
447,0.00013217504932943873
448,0.0008286125814884732
449,2.5443227114561373e-05
450,-0.0003857017827344652
451,-0.0008201675317155431
452,-0.001693500206623184
453,0.0009851256372853344
454,0.00029254745892842216
455,-0.0019923922585384844
456,0.000262553431039088
457,-8.090549021953299e-06
458,-5.407680242233307e-05
459,0.00036003388944595417
460,-8.14773836183686e-06
461,5.919144955400497e-06
462,0.00022077950149944204
463,0.000375710967937083
464,0.0012430104957437548
465,-2.4190887126226924e-05
466,0.0003052588496789323
467,-0.00021500959060352106
468,7.566640597755629e-05
469,-0.00050708605145323
470,-0.00038393647841425616
471,-0.0013292373607155551
472,0.0021379477729287517
473,0.00040780828860990416
474,0.001014189140536078
475,0.0005996289271450926
476,1.7401141810560427e-05
477,3.915080871416342e-05
478,5.7140246720542344e-05
479,0.00013866626963746382
480,-0.0009435799656257464
481,-0.0001612961231026754
482,0.0011475073698389978
483,0.0008861161884142924
484,0.0008019648769194074
485,0.0014122922202243892
486,-0.0014545786580800377
487,0.001939447441468259
488,0.0005719993621427874
489,-0.00013822935871206905
490,-1.007818154216313e-06
491,0.002857230309423352
492,0.0015402369473559024
493,-2.0573804866331523e-05
494,-7.328724897623843e-05
495,0.0011254583288453695
496,0.0004883867246903103
497,1.4932233173923617e-05
498,-0.00013162276442817055
499,0.0002249971519818633
500,-7.566448082838665e-05
501,-0.0010651847647850942
502,-7.703575522601302e-05
503,-0.004357807432405203
504,-0.001310642499237942
505,0.00023060556729676704
506,1.4303746857654113e-05
507,-0.0006791865612828009
508,-0.000542352361820663
509,-0.0006728953065127254
510,0.0005092815272704717
511,-0.0032234038815845485
512,0.00029239842216184495
513,5.457374579457288e-05
514,-0.0001332106956563219
515,-9.34508939619481e-05
516,0.0007288139991252313
517,6.5334044735174e-05
518,2.6870610473998327e-05
519,0.00016924096411345037
520,0.0016735464486920507
521,-3.937357429374995e-05
522,-0.00043234166073919837
523,0.0013773780780653407
524,0.00047911382884001754
525,1.3362050674160042e-06
526,8.459241138609544e-05
527,0.0012311147358133306
528,-0.00023259584134881223
529,-0.00012619119848924953
530,3.9081566036767995e-05
531,-0.00030873847818355094
532,0.0002502976362079351
533,0.00013528151407674808
534,0.0003147692267756065
535,4.260438864596892e-05
536,3.0312705556535794e-05
537,9.859920911301669e-05
538,0.00018919516557850194
539,-1.6205774508275864e-05
540,-2.3722749970214645e-05
541,-5.17855392004118e-05
542,-0.00016045161877721866
543,-0.00022865560078326949
544,-3.8197295518614876e-05
545,0.00020937781612122386
546,-0.0005278032573240954
547,-0.0004279512257421969
548,0.0004572304887283668
549,-0.0003361468865900766
550,-1.4861581068766727e-05
551,0.00027851895637672045
552,8.209816942092347e-05
553,-0.0002229664525671224
554,1.3497631109726594e-05
555,9.367005695592185e-05
556,0.0049683738865491465
557,0.0012092268315804864
558,-0.002242867186138372
559,0.007274190139405041
560,0.0003347034880299444
561,0.00046001995739467584
562,-0.0011214926088824765
563,-0.0030800855123538713
564,0.00039794410866614364
565,-0.000668378870644856
566,-0.0006131419756364603
567,0.0014332002575964766
568,-0.000828107698627666
569,0.0004610593358597449
570,-0.0008037090166041832
571,-0.003952597861479079
572,0.0018615575456271348
573,-0.0003500162526724747
574,0.00030734810492717257
575,-0.002603519997198312
576,0.0061228899193521815
577,-0.0034147936657097887
578,0.001886170026623987
579,0.013803647186581698
580,0.000841369257245839
581,-0.00023401768700632294
582,-3.1032477568106484e-05
583,-0.0006940055715617707
584,0.0032215765562011787
585,-0.001006941061395053
586,-0.00364881947973681
587,-0.005002613144910693
588,2.5537428789825467e-05
589,-7.50210340360604e-05
590,-0.00020785886535114044
591,0.0002424051471340905
592,5.084334179400621e-06
593,0.00023586118341824134
594,-0.00031584152785276847
595,-0.0010424734288342378
596,2.4873460517341926e-05
597,0.00010033781257751933
598,-0.00018591489449193836
599,0.00010841820514393704
600,0.00019353765678365066
601,0.0007158789877965828
602,0.0005223332177060037
603,0.004045406468644291
604,-0.0009028675198837718
605,0.00029425256837431934
606,0.00011126104375315647
607,0.0005952824245291848
608,0.001659855615460682
609,0.00022314048873865787
610,1.5345761009064582e-05
611,0.0030251385742900896
612,-0.007258807921976907
613,0.004811051983441507
614,-0.0005234221310294329
615,-0.015877246663804766
616,-0.00024922665588750123
617,-6.342326224713528e-05
618,0.00018252884310325363
619,0.0006019564418586323
620,-3.238642038157203e-05
621,2.3303563385173465e-06
622,2.2608139889197053e-05
623,0.00019597545505729882
624,-0.00024469916689688913
625,0.00015948169373306543
626,-0.00016817401873139954
627,0.0023927717120304543
628,0.0004751338014726759
629,-0.0006376514080554341
630,-0.00013970390490378548
631,-0.001476870541739163
632,0.0001459693993406041
633,-0.004110268983299654
634,0.0011632292322665482
635,-0.0029768767575915067
636,0.0008455755625140332
637,0.003959863435562569
638,-0.0006287101489966723
639,0.012047459544597577
640,-0.002600344279738752
641,0.0016929705378710316
642,0.0003629384389892145
643,0.002569558801322474
644,-2.9840078053962574e-05
645,2.7716934100546936e-05
646,0.0010774399360370043
647,0.0035453890421708687
648,-0.007975448833820972
649,0.010410026138835116
650,-0.014404721760221702
651,-0.035434103000699435
652,0.0018474842009197948
653,-0.0004011565502060012
654,-0.004277734142817979
655,-0.006235183838383804
656,0.0010504000894912444
657,0.004105798669024941
658,-0.020119110743761572
659,-0.04871747013742221
660,-0.005733582917460527
661,0.006194270896654687
662,-0.0010308049726769684
663,0.004574953217956946
664,0.00010981175049035783
665,-0.0010093219662086002
666,0.00012128787384795075
667,-0.0023517047837944088
668,-0.0010963075073377696
669,0.0004088123424347704
670,0.001050338761968751
671,5.284558704457549e-05
672,-0.0006000799590083549
673,-0.0001252687481397243
674,-0.00024008823244933298
675,-4.1897974874724494e-05
676,-5.205061220631567e-06
677,-7.405250427053863e-05
678,8.059885726623015e-06
679,1.4208028681775105e-05
680,0.0006109160846944548
681,-0.00021274890527218224
682,-7.62244709724289e-06
683,0.00017855682188307762
684,0.0008970531752904764
685,-0.0002008147174920876
686,-5.264223795558762e-05
687,0.00046359473255267223
688,-0.0016109349011529058
689,0.0005967030849893362
690,-0.000722528469463133
691,0.0010813759118106366
692,0.0003478551350875899
693,-0.00023865224722518182
694,3.944587321691623e-05
695,0.0003242157060535123
696,2.7694837291993788e-05
697,8.828880216123218e-05
698,0.00019491495086077827
699,-8.98958799354005e-05
700,0.001056415069814511
701,-0.0015741687122369956
702,-0.0004071823421620586
703,-0.003716883382121125
704,3.453203951084447e-05
705,1.1600694509627165e-05
706,-3.603403800236553e-05
707,-0.0001478781592605419
708,3.102960247234829e-05
709,-5.3806341110702164e-05
710,0.0004824293615022584
711,0.0004677004310362012
712,4.304591578392618e-05
713,-0.00015653282001870666
714,-0.00012646423686684026
715,-0.00034315317189113724
716,-0.0009495337166092291
717,-0.0024958013123895497
718,0.0008439451291640772
719,-0.006404218046241256
720,0.001203404105281629
721,0.0023971995992856355
722,0.0019712929326560075
723,0.019331564555721874
724,-0.0079206303344202
725,0.0007996347844675277
726,0.010545957605802892
727,0.011807568985357442
728,-0.0007599164777738501
729,0.0007023322323663899
730,-0.0002158151816030418
731,-0.00042196851997879537
732,-0.002894739749407775
733,0.00048425475285050523
734,0.0007829564360407268
735,-0.00466631079495195
736,0.0006551664829403469
737,0.00012113432546881864
738,7.621621072057733e-05
739,0.00039788616142632713
740,0.0005190394987472301
741,0.00014238778901208272
742,1.440888505132191e-07
743,9.616842822421686e-05
744,0.0004231598434339192
745,0.00010392610564237162
746,-1.881685196476481e-06
747,0.0012447419188862784
748,0.00029331083241815293
749,-2.7602634866324423e-05
