,mathpass_virtualper_inf
122,-0.00027229043916046966
123,-0.00038250776537293384
124,-1.1018823335855248e-06
125,-5.171483581417047e-05
126,-0.00032428669905583965
127,-0.0006508672871525809
128,-8.441947548041905e-05
129,0.0003845179752079426
130,-0.0016003604773036234
131,-0.005028696925004978
132,-0.0003166095032768936
133,-0.0004268027336777182
134,0.00043541669177063426
135,-0.0012556176354020089
136,0.000658706069630039
137,-0.0008775676455409833
138,0.0004642639432774335
139,0.001840111416353272
140,-0.0008941519168779789
141,0.0005703390009691634
142,0.0007014892875120492
143,0.00028179097156792276
144,0.0008440429920763583
145,4.3599451877181426e-05
146,5.590069832362713e-05
147,0.003272322530281688
148,-0.0006653993267116269
149,0.00033141316922248126
150,0.0007304520146267635
151,0.0004577398004781566
152,-0.0010927425360293956
153,0.0010806773850049586
154,0.0013701569864266539
155,0.0014959209213908857
156,0.0005087246081781642
157,4.64882007612055e-05
158,9.503449159343727e-05
159,0.00014566369786266168
160,0.00014504168438932968
161,-2.6901352484651112e-05
162,-8.914489851230057e-07
163,6.464479377894561e-06
164,1.665045107310359e-05
165,1.0457295030413591e-06
166,-2.892623560571122e-05
167,0.00010247575108641784
168,0.00016735216160824033
169,-0.0008484415387537119
170,0.0005864738264236974
171,-0.0008333945705987876
172,-0.001404387152870174
173,-0.0001353833567972142
174,0.0011070940740452004
175,-0.003000151649571181
176,-0.001879315295028086
177,-0.0016742020033390808
178,-0.0007184743825461466
179,-0.0162111197696544
180,-2.2148165793825766e-05
181,0.00400658158179809
182,0.0002729601027957291
183,0.014708722528305913
184,7.718049005206e-05
185,-0.0004979495465854522
186,-0.0005765138498961961
187,-0.00209821815237744
188,-0.000990816142344189
189,0.0001366471398565491
190,0.0004127561880839291
191,-0.001369402124224752
192,0.00022142913683348309
193,-5.599052481668883e-05
194,0.00014195488930792755
195,0.0010875340074694496
196,0.0005513393046069548
197,0.0009175940773322757
198,-0.000508371224616885
199,0.0033703212644720453
200,0.00029887896939707843
201,-0.00025725508464995405
202,-0.0001242929291745334
203,0.00011894208680881219
204,0.001596656122495333
205,-0.0025723507389329866
206,0.0010154907488893132
207,0.0014422384681788468
208,-0.0006572064757819772
209,0.0012667056219879025
210,4.765496398768312e-05
211,0.0023459022398578996
212,-0.0004852221288037044
213,2.8435775614227454e-05
214,-0.0004439989065628777
215,-0.0027099742379938156
216,-0.0007418364581269516
217,0.0011863274501290673
218,0.0005244300966550515
219,0.0029644573010274523
220,-0.0010533566065080652
221,2.704400970936302e-05
222,0.0015805571172471436
223,0.00137536332904336
224,-8.087561255467636e-05
225,0.0012471896534268952
226,-0.0016456448069615383
227,-0.0014761738498719036
228,0.00010396055303287149
229,0.0003110241602271014
230,0.00045365079293811203
231,-0.0004309968764958081
232,-0.0024858920285071133
233,-0.0010156646609922122
234,0.001666764835070636
235,-0.003542877234504871
236,-0.0004509360148007728
237,0.0007638110217362286
238,-0.0018647895562426326
239,-0.004207011135036952
240,-0.0019792529349056407
241,-0.003376968959626305
242,0.001864069226615612
243,-0.007357618536962217
244,0.0007653033788958246
245,0.00025466697482430414
246,0.0003386341426676255
247,0.00450621173762525
248,0.000589844190739102
249,-0.00045338918477879156
250,0.00036450605728493825
251,0.0025647025241508025
252,-0.0016723114064617366
253,-0.00046444313417345976
254,0.004031991076461781
255,0.005245355719784097
256,0.0064926650774448135
257,-0.011646528898349644
258,0.010833655625556632
259,0.017655282313266973
260,9.026738782592867e-05
261,-0.000485682541210096
262,-3.445116692818687e-05
263,-0.0009483098412065618
264,-0.0006723862218411728
265,-0.0009580860386355135
266,-0.00023758847219298326
267,-0.004799966193668462
268,-2.748718059521733e-05
269,-0.00013832702473792194
270,-0.0003650617829212836
271,-0.00019238344439162375
272,-7.682961746667037e-05
273,1.734149867996575e-05
274,1.7699613801506825e-05
275,1.4121677467839081e-05
276,0.0004896514050412203
277,-0.0004772817390491169
278,-2.3406292865287928e-05
279,0.00035698394485142557
280,0.00014958247764726624
281,-0.0013544769528855479
282,0.00033036541876514674
283,-0.0018373634296485126
284,-6.514788247312382e-05
285,3.063849900650367e-05
286,-3.738261048333773e-05
287,2.8080494641321838e-05
288,-0.0001895570610428116
289,-0.00041428052894365444
290,8.545572214025042e-05
291,0.0003799149113146403
292,0.0013913127991825264
293,0.0019025936102991462
294,-0.0033846865738725055
295,0.0012086057022610431
296,0.0005560399347991527
297,-0.0004295475411523338
298,-0.002257732378242873
299,-0.00478338221244081
300,-0.0008433816697564114
301,-0.0013458257577934965
302,0.0009587852442410294
303,-0.0033765254793091323
304,-0.004575112252777308
305,0.003947306400660185
306,-1.258227760057659e-05
307,-0.0011396551741435553
308,-0.000281469686575965
309,0.0018740377200455332
310,0.001189488854592134
311,0.008611981347178001
312,3.198725499897506e-05
313,-4.64127795377192e-05
314,-0.0010063603455004288
315,-0.0031589801353122484
316,0.0004603815447820663
317,-0.0005971560874719103
318,-0.0010272169440719175
319,-0.0025142190861995365
320,-8.512127532339595e-05
321,0.001317343068379854
322,-6.476809678186258e-05
323,0.001876918142646774
324,0.00019691269083505812
325,9.392365213573833e-05
326,-0.00011857548867811286
327,-9.953806600440711e-05
328,0.00013726090209953935
329,0.0002382497872918129
330,-2.7179552664356784e-06
331,0.0008157362607016018
332,-0.0015837041060121836
333,-0.004114691013886889
334,0.004426604333079472
335,-0.007111547108507206
336,0.0002334905408629454
337,6.502234970658054e-05
338,-0.0005424416335166024
339,-0.00040489254673374884
340,-0.0002148914119006209
341,-0.00018370293191182735
342,-0.0003766929443825169
343,-5.808152425076463e-05
344,0.00013902871863610532
345,-0.0017045120855393998
346,0.0012695774574878495
347,-0.00048170725503751834
348,-0.0002950321369714236
349,-0.004313568956229392
350,0.0023048533082501493
351,-0.008786948575648827
352,-0.004606822022314017
353,0.0041911032475748155
354,0.0038408495884963666
355,0.010141056297271687
356,-0.00043420444427095715
357,0.0004412014143176768
358,9.873818688065867e-05
359,-0.0010728818300133418
360,-0.0003984611566075188
361,-0.001316196616333562
362,0.0004185619384020968
363,-0.005878155018538802
364,-0.0009158961304871222
365,0.00011626123710839721
366,-0.00033504732198751753
367,-0.0024322785568515115
368,-0.0004588545287770506
369,0.002053173411512702
370,0.0011624577590695802
