,elapass_hybridper_inf
400,0.0012254997393847434
401,-0.002406719780105197
402,0.0009838223706771434
403,0.00010803238396021478
404,-0.005579982695569871
405,-0.00190121672492552
406,0.003010964661526907
407,-0.013288798785851874
408,-0.0006567660689096697
409,-0.002204753376564269
410,0.0008084888679750199
411,-0.005733451046134317
412,0.001033024048986016
413,-5.6849727384682553e-05
414,9.125485759846188e-05
415,0.0033595301800206827
416,-0.00018668721943200845
417,-3.661337482701612e-05
418,0.0009428945730648346
419,0.0020508229439740516
420,-0.0007243844460964911
421,0.0002384783633363904
422,0.0003761825474242227
423,-0.000175641755154245
424,0.001061712078708194
425,-0.002569458363611167
426,0.0016321172738834847
427,0.0009254424939020806
428,0.0005288292202398476
429,-0.00030574489894327945
430,0.0004668510191870523
431,0.0028892608914678035
432,-0.0015959257995410991
433,0.0018004435674588818
434,-0.001034338137192006
435,-0.0026731113207942186
436,-0.00172727207944361
437,0.0016498774822437245
438,-0.0007470467125641456
439,-0.003815610110198635
440,0.0003388847857946125
441,0.0019464741774299944
442,-0.00124098416702627
443,0.0033376640597768317
444,-0.0009333222857370045
445,-0.00480884073637432
446,0.0019946798748440094
447,-0.011894776234024863
448,-0.004236090374372027
449,0.002778855188090065
450,0.00465225323676216
451,0.009120512256443032
452,-0.002250202076095248
453,0.0008996216758350335
454,0.001967584709634258
455,-0.003258323440353992
456,0.00023300871959590203
457,-4.013173577382429e-05
458,-4.342456355933085e-05
459,0.0004323001037722008
460,-0.00015829619843993648
461,-0.00036329866420080207
462,-0.0006904011922901468
463,-0.0043821365569647885
464,-0.004240242663363
465,0.0005617242740386892
466,0.0007989110827149035
467,-0.009720627559621607
468,0.0005243615605057401
469,-0.0007284137052266798
470,-0.0010839153516337097
471,-0.00325276227822398
472,0.002460493143743967
473,0.000578206118526113
474,-0.002358805405726586
475,0.0013235220696071026
476,-0.002381694030455384
477,0.00027974849813068993
478,-0.00028284651893213967
479,-0.007773940477352083
480,-0.0010152006194156704
481,-0.0001402072229794785
482,0.001343591198460039
