,drop_hispanic_virtualper_inf
180,3.050705569030826e-05
181,0.000771126464299228
182,0.0011741418808776983
183,-0.00029383865854797303
184,0.00011129230441940645
185,-0.00024060857561356008
186,0.0021219974533828534
187,0.0011738942808786523
188,-9.228852560913801e-05
189,8.782891375038092e-06
190,-8.277797892971425e-05
191,3.7313806371897694e-05
192,-2.5663801423167878e-05
193,2.7473895426020907e-05
194,-5.6378982355779954e-05
195,2.7139238062236897e-06
196,-0.000822676170463628
197,-0.0004178697322288822
198,0.0039510044107188445
199,0.008490573045493973
200,-0.003134998997159922
201,-0.0007328355884412738
202,0.002586254521556825
203,-0.0033458825678149597
204,-0.0007983008940728928
205,-0.0007250857410806767
206,0.0012230964874159734
207,-0.0020052066771235463
208,0.0012642374871892049
209,-7.623733218518144e-05
210,-0.001763265774370998
211,2.2588548865292796e-05
212,0.0008113070333061215
213,1.3865307797378283e-05
214,-9.246222721128358e-05
215,0.002183549127165508
216,-0.0012916842433156703
217,-0.00014712597142952386
218,0.0015882593243456086
219,0.00029177763952342007
220,3.4842272884874415e-05
221,-0.0007047021919103152
222,0.00046288318145698055
223,-0.00045917994600459496
224,0.0008836036469259851
225,0.0011036737758138683
226,0.00011609139509905831
227,0.005241587189101165
228,-0.006308832806978446
229,0.0055807133078590344
230,0.008485237118372436
231,0.029241199158898706
232,-0.00015935832025747791
233,-8.745832529336724e-05
234,0.0003035559641708489
235,0.0002235361260769007
236,0.00015065887923782485
237,-1.156682904703081e-05
238,1.7068275004322476e-05
239,2.059274803962328e-05
240,3.592178006853877e-05
241,0.00016188115982205452
242,3.8641957128694665e-05
243,0.0020268049640468377
244,0.00010031698509112034
245,0.00040528751384527476
246,-0.00018895231819867427
247,0.0006324403828098212
248,0.0008915494316970804
249,-0.001428492514739255
250,0.0001489459543424855
251,0.00026181579210318994
252,0.0002712186031806867
253,-0.00031039069454747955
254,-0.0015883412352317194
255,-0.005232252694916011
256,0.0022676959308788602
257,0.0001676575416197439
258,-0.0005933942622940114
259,0.0056952992729297795
260,0.00021362599634363002
261,-0.0002525476215793595
262,0.000220767853165163
263,0.00047751660809814084
264,1.0981535882180328e-06
265,4.213883104152882e-09
266,-1.2333613837911958e-05
267,-5.463485715413754e-06
268,0.0007542589237365493
269,-0.0002846281103943147
270,-0.00167175525984402
271,-0.0037643129429946556
272,0.00044241631785961027
273,0.000570606721897624
274,-0.0007038594597297598
275,0.001956464703921174
276,0.00039725452502081544
277,0.0006558884361399324
278,5.0996244332443855e-05
279,0.0034840246777385637
280,0.00024052426621177107
281,7.37814256790608e-05
282,-0.0005037882546028013
283,8.300494241067541e-05
284,-0.0009609696096411412
285,0.006323915408335646
286,-0.004060204800874595
287,0.0037286887737025542
288,0.00012373768183820575
289,-0.00038453071921809676
290,0.0006488266235644946
291,0.0013502171571652434
292,6.624675857211141e-06
293,-0.0001983036138226412
294,-0.0005454563238504565
295,-0.002176806365723348
296,0.001253741227899751
297,0.0006543409343536453
298,-0.0002155448429446042
299,0.005455260275993793
300,-8.141079271359241e-05
301,2.184826831057944e-05
302,0.00034378848892743135
303,0.0004210234680946761
304,0.0003251718703168215
305,0.0012341838220676677
306,-0.0012208968032692612
307,0.0009875922735413467
308,-5.679861729405601e-06
309,1.1692551437665337e-05
310,1.8553549427043392e-05
311,3.585934562811755e-05
312,0.00023534365297683225
313,0.0017679516008359338
314,-0.0011435222695754534
315,0.0025423194885425076
