,drop_black_hybridper_inf
157,-5.640757367406473e-06
158,0.00021121306113306757
159,0.00026619318816195506
160,3.566086132267744e-06
161,-6.696139006591457e-07
162,-1.6354748526791927e-05
163,-0.00013776232078491357
164,-4.22750941693258e-05
165,1.4139358573480832e-05
166,-0.00017071236850171086
167,-8.25809289120417e-05
168,0.00028796614200560304
169,4.375239426538817e-05
170,0.0001511298670658864
171,0.0016494802864413251
172,0.001380213167553837
173,0.00042904120195849335
174,-0.0003233296703146095
175,0.0044760428145658206
176,7.949839862635096e-06
177,0.000350324596531235
178,0.0006434723619885047
179,0.0029526575146629173
180,3.4625174272711714e-05
181,0.001161154971442812
182,-0.0012690158128540097
183,-0.001190671080965153
184,0.00038147573097063996
185,0.00044434835998834817
186,-0.0019804633228401305
187,-0.0024241336432466237
188,-0.000861880534164632
189,0.0003807175204481039
190,0.0009804024981727563
191,0.0019165456994042027
192,0.00023840815406058657
193,0.00022135188481535868
194,0.0006450942171010867
195,0.0037362345261610272
196,-0.0006728306901190633
197,-0.0003547393076179973
198,0.0033625322334846115
199,0.007128591252189646
200,6.690806681275886e-05
201,4.20756544320397e-05
202,0.00030900426399100217
203,-6.766210208457719e-05
204,-0.002584137896673293
205,-0.00274380065987853
206,0.0029619723073233154
207,-0.0061581067947232455
208,-0.005273820343013417
209,0.0002550190498487544
210,0.005013526820531637
211,-7.604167449476595e-05
212,0.0003751459206166343
213,5.664366233557036e-06
214,-2.884994727358328e-05
215,0.0008635687283679098
216,-0.003641532255198369
217,-0.0005446062908658913
218,0.0042590786769558945
219,0.000873240177332318
220,9.207880947605705e-05
221,-0.0017436238887920833
222,0.001161418642649097
223,-0.001164317950949336
224,0.00033436271831637453
225,0.00034288892705956585
226,4.387825669495177e-05
227,0.0018482035435166502
228,0.0007231008929885838
229,-0.0006416796992955628
230,-0.0009746453768862834
231,-0.0033573997087726895
232,0.0006809852468853883
233,0.00044074925033583967
234,-0.0015890287621290722
235,-0.0010750297552863904
236,0.00029208831028260476
237,9.28404510761815e-06
238,5.649126127730787e-05
239,0.0008526709096818722
240,6.506594612823527e-05
241,0.00034767501174360813
242,0.0012197394025469028
243,0.005474666037156609
244,0.00047777815544188847
245,0.0021908514261884393
246,-0.0014677676232309786
247,0.003614263380886271
248,0.00025470302539326773
249,-0.0010527182489835185
250,5.5465179056722525e-05
251,0.00012809772107265246
252,9.708001358641648e-05
253,-5.757073679574548e-05
254,0.0002133666724360968
255,-0.0008257572689963866
256,0.0007481730773147232
257,4.903157079394033e-05
258,-0.00019700405592417352
259,0.0018163025723729853
260,0.00029264837962884204
261,-0.000361473442677489
262,0.00034221885927611357
263,0.0006903436032011199
264,1.5933625303093713e-05
265,-3.972836049471236e-05
266,1.558302165713233e-05
267,2.4849738834256052e-05
268,0.0001654538445530683
269,-5.693506175263143e-05
270,-0.00026056035116880515
271,-0.0007218691620733521
272,-0.000851685594536002
273,-0.0005494391697367589
274,0.0006265510687155469
275,-0.002263988771702097
276,0.00013023872269207396
277,0.0001696809399490302
278,1.9179512478053225e-06
279,0.000805230685225884
280,-0.0011640996054807292
281,-0.0002385486013573692
282,0.001028908133934942
283,-0.00025655480949406963
284,2.1026941163011832e-05
285,-9.906582426169835e-05
286,9.773499164322024e-05
287,-7.65674225011979e-05
288,1.1947479122789153e-07
289,8.211290484111825e-06
290,-2.5600648717045975e-05
291,-2.6139061678231494e-05
292,6.680088368988859e-08
293,8.084185883300598e-06
294,1.542534081734793e-05
295,4.19500174755169e-05
296,0.00021129321239687305
297,-5.413333585025755e-05
298,3.777201343741079e-05
299,-1.291920220509367e-05
300,-0.0006264780928126169
301,0.00016940391102280997
302,0.0011229228453965058
303,0.0022220918978022
304,-0.0007583480158277589
305,-0.0011032762445413824
306,0.001414748257703434
