,drop_wi_hybridper_inf
262,-0.00016482603317539624
263,-0.00017896188509484268
264,-4.712979949259626e-05
265,5.9204505385338306e-05
266,-2.3567887915880557e-05
267,-4.689563882221213e-05
268,0.0015799556314855235
269,-0.0005673371943581296
270,-0.003998427158215599
271,-0.008127602834901142
272,0.005242497794619813
273,0.004619339351557983
274,-0.004671968543045558
275,0.016368719801846822
276,0.0010503983217169525
277,0.0022445927733931756
278,0.00024282799942966886
279,0.011981421081023569
280,0.004474761288917794
281,0.0009784093685374173
282,-0.0057072849354846845
283,0.0011359626525755196
284,-0.00012908796637372408
285,0.001034872520755684
286,-0.0008141887933748617
287,0.0006257152103431416
288,2.135738756502887e-05
289,-6.850951224534327e-05
290,9.932708558970437e-05
291,0.00022735889714163853
292,2.1464189049641326e-06
293,-6.935716138336256e-05
294,-0.00017125891984933467
295,-0.000714647774027434
296,0.0011297462940300154
297,0.0006642127710675945
298,-0.0003220152323850298
299,0.0059330883274056265
300,0.00208805044606484
301,-0.0005584880718855253
302,-0.0037115329174322127
303,-0.007358491011743928
304,0.0016670877194590785
305,0.0029965686389570234
306,-0.0039255954026409965
307,0.003233703798119193
308,-0.0003762669377357185
309,0.00017580642166626926
310,0.0003918462460007626
311,0.0008470044640451358
312,-0.00026083148456600586
313,0.00040510222474392726
314,-0.0004266674261170515
315,0.000652566687422281
316,-4.1442752422340905e-05
317,-0.0003921494655873488
318,0.00018317030916631443
319,-2.9060508283337716e-06
320,-5.291631916140185e-05
321,-0.00016081503800267807
322,0.00011502285215612356
323,0.00014954313173009344
324,7.792923755280572e-06
325,0.00018112104272253354
326,-0.00026022368501913903
327,-0.0005858108646078242
328,0.00035980758716124727
329,-0.00092987849430069
330,0.0011203003035625994
331,0.0019941890235923177
332,0.007446345228506996
333,0.0032699838703247673
334,-0.005549944906079038
335,0.01795057002734843
336,0.0011958848428931614
337,0.0005790337709704811
338,0.00020915311486952468
339,0.007053438896596623
340,0.001535140515178989
341,0.0002788064562654303
342,0.001930720505742378
343,0.010930515638892682
344,0.00027270162746391907
345,3.518742847640829e-05
346,-0.00018015013204548033
347,1.3792238208679469e-05
348,-0.0002879628409675996
349,5.056386169619265e-05
350,-0.00022286871851892294
351,-0.0009475327023820196
352,0.0005117018266127696
353,-0.0005962066122669798
