,elapass_black_hybridper_inf
265,7.930409418877352e-05
266,0.00037419820056080837
267,0.00022380326988547333
268,-9.55909078054868e-05
269,-8.411086885690442e-06
270,1.541050761487464e-05
271,-0.0001551797655880416
272,-0.00012768519859220347
273,-7.117614257675277e-05
274,-2.1026108547310932e-05
275,-0.0002224614603727217
276,0.00019295122057510385
277,-0.00013762867994156292
278,2.3935992294587113e-05
279,-0.00044736399432182886
280,0.0028731987971770774
281,-0.004227366424733421
282,0.002704630251056515
283,0.0036437920589930564
284,0.0001136797328097341
285,9.3345881647864e-05
286,4.575821309160255e-05
287,3.719701579576709e-05
288,8.697362160066282e-05
289,-0.00010198888768393826
290,-3.248899017859649e-05
291,0.00024037319526764843
292,0.0004384296179620221
293,0.0003346677228661766
294,-0.0008012325263061801
295,0.0009651659091988583
296,0.0008055547173489746
297,0.00015058381886561768
298,-0.00026351317333899636
299,0.00048102574947747606
300,-0.00015663073927383003
301,-6.300135615937405e-05
302,9.163319515167577e-05
303,0.00010008967846958673
304,-9.036647047320036e-05
305,9.499828255474772e-05
306,0.00012034930337718683
307,0.0008652987152638114
308,-4.679757587369262e-05
309,7.351261757847139e-05
310,-5.832166100741538e-05
311,0.0002932740820996318
312,0.0003170749263984246
313,-3.9796388584188206e-05
314,0.00015373644342642076
315,0.0013659262129695044
316,9.461862976147293e-05
317,0.00018269938121546212
318,-0.0004846704211642751
319,0.00033480049050479727
320,-0.0005873882613972476
321,-0.0005976982750837352
322,-0.0009463657235742432
323,-0.006627261440442059
324,4.85145867483773e-05
325,1.6388708558822434e-05
326,0.00010258878005636208
327,0.0011046102367087208
328,0.00028428592444635644
329,0.0015829156473212095
330,0.0005695225948145845
331,0.007304400234680867
332,-0.00036395000524799256
333,0.0005891158880483809
334,0.00011240656611753129
335,0.0008102201232778429
336,-0.0014195490932668025
337,0.002062344392382136
338,0.0009492756123069613
339,0.005694338962255594
340,-6.842791045100056e-05
341,0.0012079463007607554
342,-0.0011170429919171816
343,0.0008864662037620906
344,0.0001842134634265343
345,5.074996641840856e-05
346,-0.00021468746918586065
347,0.00027031060221544966
348,-0.0010546318596555194
349,0.0014796843474752768
350,0.0009772146765108538
351,0.0038818795112989172
352,-0.0004493801282347698
353,0.00024078090428880097
354,-7.473443648375149e-05
355,-0.0006127394681319029
356,0.0009047740960108387
