,drop_hispanic_hybridper_inf
230,-0.001975900752440418
231,-0.006933429376045477
232,0.0006550914227906832
233,0.0004499589134779422
234,-0.0016483077747897082
235,-0.001082213139038217
236,0.0004286297326892042
237,9.344068023933516e-06
238,3.751506186117157e-05
239,0.0009191142640561786
240,4.158106189444919e-06
241,1.7218318475448372e-05
242,-0.0002233463973933158
243,-7.41777495225499e-05
244,0.0005839350223527194
245,0.00259746670558167
246,-0.001839210608232829
247,0.0044089708515838285
248,-0.00035169011588355247
249,-0.0014968052092559556
250,-4.48743385108248e-05
251,5.296407567467511e-05
252,4.296777431370185e-05
253,6.404535889028779e-07
254,0.0008660184642743777
255,0.0005046853915361029
256,0.0006327732655001066
257,2.0956626758460047e-05
258,-0.00015622723431074254
259,0.0012814068914116937
260,-0.0008638235363211234
261,0.001537225282176713
262,-0.0013674119222214219
263,-0.0025560024495856534
264,-0.00023762806073226474
265,0.0003526727690225192
266,-0.00016964757278038788
267,-0.000275507212714534
268,-4.110309964729644e-05
269,-0.0001004544865089365
270,-0.00019996403064044543
271,-0.0005293746162790454
272,0.0036339736605717414
273,0.0034020474076591934
274,-0.0035570161603495475
275,0.011955031287732761
276,0.0007116299680924572
277,0.001218405543693832
278,7.611236735861927e-05
279,0.0060501542714362635
280,0.0028752997619622997
281,0.0006569262458208059
282,-0.003907701076555753
283,0.0007575557071526361
284,6.623255946215051e-05
285,-0.0005178983994023461
286,0.000509386865692519
287,-0.0003482459939706512
288,-5.902922564887866e-06
289,4.8502468420092134e-05
290,-6.426720590122569e-05
291,-0.00012243609760860126
292,-4.3920075973991956e-07
293,5.031088477843942e-05
294,0.0001560089158306427
295,0.00044098885029745805
296,-0.001993528855714031
297,-0.0014845791818415917
298,0.000692342302761225
299,-0.01213599108344477
300,0.0005336392758340666
301,-0.00014772096952461654
302,-0.000949634981018366
303,-0.001903112508504273
304,-0.0012767966444657735
305,-0.0025518916826970457
306,0.0024242580547445664
307,-0.0024026348639464624
308,-7.23752117841479e-05
309,2.61151218625269e-05
310,2.1896104267764295e-05
311,0.00011185308475427878
312,-0.0007332901225457486
313,0.00014655161983433303
314,-0.0005405513112564545
315,0.0004424421046820473
316,0.00023622572640653316
317,-0.010925647105020852
318,0.011242476383548217
319,-0.0012747410291484298
320,0.0024736500630971204
321,0.0002805290633449372
322,0.0005508494255783027
323,0.008474708469248696
324,0.00014274645320754305
325,-0.00022124425285000165
326,0.00020126275201000474
