,drop_ga_virtual
255,-0.006341795103787248
256,0.0012393764734395323
257,7.351282759212746e-05
258,-0.0003142403205676701
259,0.002884573878956985
260,0.00024241969918672413
261,-0.00019510545285749418
262,0.00020828339388335952
263,0.0004596437160764088
264,3.6091961847063406e-05
265,-6.187298057385903e-05
266,3.6541379714872644e-05
267,4.9266004021911404e-05
268,4.460735588104161e-05
269,-6.146432028626286e-05
270,-0.0002564559417613512
271,-0.0005393713359947471
272,0.00037684946394728457
273,0.0005875711504693799
274,-0.0005477759101483029
275,0.0017293066904568164
276,0.00018637804420812692
277,0.0002661039060635591
278,4.687908014073407e-08
279,0.0011454788239806993
280,0.00014807104821857827
281,5.512352371388323e-05
282,-0.000705568700142097
283,8.34119962398672e-05
284,0.00045416168669381543
285,-0.002984874818428206
286,0.0020343973822197366
287,-0.0017990388190633156
288,-5.216033167483514e-05
289,0.0001836723563880985
290,-0.0003270998049452549
291,-0.0006301070509121433
292,-4.459432587860902e-06
293,0.00016258195202839394
294,0.0004251295269722087
295,0.0016462229214931968
296,-0.0003171815508280845
297,-0.00042032520866956187
298,0.00021067795230550262
299,-0.0030856884409789184
300,-0.0007468930021526032
301,0.00020549039812104716
302,0.0013870599222024645
303,0.00269705719389892
304,-0.0008661791946078628
305,-0.0014220766305542353
306,0.0015400355420070178
307,-0.001491763218896238
308,0.00010340771218697202
309,-6.80245228912521e-05
310,-0.0001623306661351371
311,-0.00030300790103420856
312,-0.0008610708115629447
313,-0.002579354240390661
314,0.0011109856958572734
315,-0.003239964882377096
316,-4.004163254162154e-07
317,-0.001757225520353192
318,0.0019671822285514647
319,-0.0001909323927362072
320,-0.00011012566338559631
321,-0.00025954771608288824
322,4.222761449082741e-05
323,-0.0008137371358426262
324,0.00046792599302146215
325,-0.00047259524005545265
326,0.000596039308772984
327,0.002126313671484013
328,0.00011861509824578794
329,-0.0001203668561655674
330,-8.981266610527818e-05
331,0.00027926290047526067
332,-0.001816244670859292
333,0.00029780648060917004
334,-0.0002181800300710136
335,0.00014805502488735318
336,1.9800469994776598e-05
337,5.742621263575437e-05
338,-2.883755085282253e-06
339,0.00022767230511249844
340,-5.143511899093157e-05
341,3.3838470856560085e-05
342,0.0003859306433376188
343,0.0013082620655613237
344,-0.002741986086356202
345,-0.00012979840948211405
346,0.00022266873494030848
347,-0.0007805392047872432
348,-0.0010444294176695861
349,0.0003197969204037403
350,-0.00041551323862591265
351,-0.0031412421861948337
352,0.00013669546972522136
353,-8.752988917361265e-05
354,-0.00032984529611907153
355,-0.0012057598860681056
356,-0.0012904322263037943
357,-0.00016220844554220575
358,0.0026229641922238286
359,0.003172126482228371
360,0.0007373324762344218
361,0.0003198543419879151
362,9.946265424343317e-05
363,0.00352529180611388
364,-0.0017975733343450018
365,-0.0007274616773326563
366,0.0030206313189621646
367,0.0020528147159116373
368,-0.0018240141596465298
369,-0.0018266066086467091
370,0.0010396472806582628
371,-0.008971916715906265
372,-0.0022201545266992773
373,-0.004223497442457955
374,0.005280810066119201
375,-0.002710988830495195
376,-6.923813065812415e-05
377,-0.0038547989940248876
378,0.001527905626439533
379,-0.008948602808748683
380,0.00028338938810245923
381,-0.0013426978615452242
382,0.0009494394985796861
383,-0.000479346887210972
384,-0.0009837673129288887
385,-0.003713955782047681
386,0.002776883885673195
387,-0.006254522790024938
388,0.0008037825738049186
389,-0.00042280207051602185
390,-0.0010262475834164914
391,-0.0022570043198747365
392,0.0070710510326381084
393,0.0010149102665842629
394,-0.007193097990930785
395,-0.0010953392870532213
396,0.0013837738715587063
397,-0.0007301793405175113
398,-0.006873403383024361
399,-0.018129753523734436
400,0.0026028899659386426
401,0.002171839087823503
402,-0.0018187228029983217
403,0.00847812526788048
404,0.0053791907631845675
405,0.002229604171951679
406,-0.002399364121614124
407,0.014909408400114949
408,0.004538294620791575
409,0.0015919047147602075
410,-0.0005303940345513955
411,0.015803827797441904
412,-4.3579199864809114e-05
413,-0.001230503538106521
414,0.0005516065370679225
415,-0.0010262171281375967
416,-0.0006298065607390134
417,0.0002866792265727698
418,0.00022616309188492402
419,0.0007201400803118857
420,-0.001495320255318593
421,0.0006996524372782147
422,0.002017650345449936
423,0.004318103839540337
424,-0.0018625048711511274
425,-0.000682128470684149
426,0.005367738240361737
427,0.007574665773767165
428,-0.003551430184712708
429,-0.0008770021542702776
430,0.0039838163718458434
431,-0.0008065817758379574
432,0.00010328057900438338
433,0.0014112758678212238
434,-0.0014192841117920607
435,0.000748274603661674
436,-0.004009192093130844
437,-0.0012946121323230528
438,0.0010509528865109718
