,drop_ed_virtual
203,0.0014299288766205494
204,-0.0011589325884668771
205,-0.0012208332251337187
206,0.0007272810998035159
207,-0.002373100317672441
208,5.547841656148016e-05
209,3.82531139275469e-05
210,0.0003915722543534783
211,-5.544893803698014e-06
212,2.8623607050670806e-05
213,3.197062904258797e-06
214,3.1032613163569006e-06
215,0.00016783079214101424
216,-0.0011416373461100857
217,-0.0002440278078602812
218,0.0013588277630744805
219,0.000312383560647513
220,4.2687606355440914e-05
221,-0.0006996362646768057
222,0.00045006973774206215
223,-0.00048367076975114754
224,0.00019662936597669782
225,-0.0004528316507263755
226,6.18701192488238e-05
227,0.0002758267771849214
228,0.004971362182786198
229,-0.004439080421833668
230,-0.006790320040574031
231,-0.023227750574120656
232,0.00012157229741343572
233,-1.3274493285148555e-05
234,-0.00017364203239527264
235,-9.957462763486681e-05
236,-0.00016070301753311046
237,1.6445692792726157e-05
238,1.0907382610064522e-05
239,0.0002207260023995939
240,-8.88033888593344e-07
241,2.3038127850400946e-05
242,0.00043642185293859105
243,0.0006690862630258415
244,-7.229443051303535e-05
245,9.588346636679484e-05
246,5.948980885369075e-05
247,-0.0001774034137492097
248,-0.000701671463776621
249,0.00022828423315546692
250,-5.943716722394271e-05
251,-0.00011144381248103643
252,-7.713991658396311e-05
253,0.00017391403620420993
254,0.0010317122885195756
255,0.002545316918445275
256,-0.0009368987702494565
257,-0.00010927105606632125
258,0.0004070579208376196
259,-0.0033412810430919282
260,9.951271977588933e-05
261,-0.0003119780758978609
262,5.216997857553746e-05
263,0.0003013844705085652
264,5.485496947917842e-05
265,-7.267871167381582e-05
266,5.058828779877378e-05
267,6.671498226761533e-05
268,-0.0004555693318702626
269,0.00014816982531601624
270,-0.00029868663873370557
271,0.0011897846413002145
272,-0.000131258339278109
273,-0.00010114788510492812
274,0.00042317585040325717
275,-0.0007454178370802409
276,-0.0003292911899436802
277,-0.00019864106732482903
278,2.9121717034994986e-05
279,-0.001043970463464619
280,-0.000349216111974549
281,-0.00010003967096153115
282,-0.0001823615655887161
283,-5.1324198730894634e-05
284,0.00030018494315123875
285,-0.0016991808000653243
286,0.0008293498168383798
287,-0.0009662083441623815
288,-4.1427506253121375e-05
289,0.00011470859522384572
290,-0.0002409152389037218
291,-0.0004506338480552831
292,4.870912154211741e-06
293,-0.00017762979004448716
294,-0.0004594959339124236
295,-0.001791318706849983
296,-0.00023578830979882265
297,9.240561790304617e-06
298,-4.0140865464433875e-05
299,-0.00014286462832766836
300,-0.00012423924112040703
301,6.845432622156179e-05
302,0.0005001606902144694
303,0.0007793851205390743
304,-0.0001291637196546102
305,-0.00045849563212881496
306,0.0006720614589584787
307,-0.0004339246043729117
308,1.5976623631132037e-05
309,-4.6863747569099454e-05
310,-7.576395742377835e-05
311,-0.00013950812802325676
312,-7.730269055993153e-05
313,-0.0011594747418896094
314,0.0007407667079335871
315,-0.0016233357174952688
316,-4.981263268063807e-05
317,0.0004968639660510073
318,-0.0011504784729416484
319,0.00011830917697953191
320,-0.0003422845351700602
321,-0.00010505874198307209
322,6.161641456922735e-05
323,-0.00043672145890003976
324,-0.0007513373860249997
325,0.000989080321627469
326,-0.0013216251266925166
327,-0.00421596916472283
328,-7.520379125012039e-05
329,0.00011586327174119707
330,-1.526364463795353e-05
331,-0.00024330080454329492
332,0.00023265424532271925
333,0.0006127374651215994
334,0.0023743867270708194
335,-0.0007674227841508994
336,-8.850289356029931e-05
337,-9.179864088161343e-05
338,-2.4896782279559642e-05
339,-0.0008049619389382029
340,-0.00021171915636786063
341,-1.5861199690448516e-05
342,-6.992995557301304e-05
343,-0.0007312653180594265
344,0.002967942413769575
345,0.001174388372481478
346,-0.0011314558774129773
347,0.0002799426259791469
348,0.0005523775011574277
349,-0.00023050390647231197
350,9.138201168206191e-05
351,0.001618090609785591
352,-0.0006433200124754277
353,0.000426773764209765
354,0.001592259985268251
355,0.005762131572877979
356,-0.0006151488021028904
357,-5.7013845375848735e-05
358,0.0008624834650288868
359,0.0012462669050824445
360,-0.0012466446614792044
361,-0.0004891288885134507
362,-0.00018105378565576048
363,-0.005875918317971939
364,-0.0007155281246613772
365,-0.00043064737909016506
366,0.0014104410849456678
367,0.0009884975529512615
368,-0.0005922492277224696
369,-0.0004700990178012299
370,0.0002456624611804179
371,-0.002460996426366068
372,-0.0009505377416849557
373,-0.0013271338803086247
374,0.0018302197743212342
375,-0.0009849372563095304
376,-2.8833894556362602e-05
377,-0.000276206668485697
378,0.00043748436542138144
379,-0.0023024880489052454
380,6.840292679224277e-06
381,-0.0005571956972649923
382,0.00015128266803160782
383,-0.00010974889248285369
384,0.0007257468362930888
385,0.004740931853563646
386,-0.003801559492924622
387,0.0069613235693921065
388,-0.0007099446516605621
389,0.0004915853305202165
390,0.0012054683591168922
391,0.002433973050709609
392,-2.704193403011326e-06
393,-0.0001071672857294627
394,0.0012509981574251542
395,9.620205510634867e-05
396,0.0002144409259500814
397,-6.189668377582851e-05
398,8.475426711561363e-05
399,-0.0013904939775749863
400,0.00012183109650120672
401,0.0005214621839034462
402,-0.0004749713895308262
403,0.0014929970135678246
404,0.00041133184067021874
405,0.0002587455629382557
406,-0.0002340905745092811
407,0.0014412134374107758
408,-0.0004732592273881185
409,-0.000277383525410352
410,2.6593377658696366e-05
411,-0.0017135030936314944
412,-0.0002604391144776164
413,0.0008992654606749886
414,0.00010612872822653506
415,-0.00022896796555081417
416,-0.0006202065553653146
