,elapass_virtualper_inf
336,-0.00044890113709415924
337,0.0005534797125264721
338,-5.118309258212931e-06
339,0.001215055825504599
340,5.284600992595754e-05
341,-0.0012920968861177455
342,0.0012228032874866685
343,-0.000873876225993762
344,0.0028566357094747413
345,0.006912607359439244
346,-0.007254226275888555
347,0.007951009736097291
348,0.0006300185966423395
349,-0.0004998765691564532
350,-0.0005184187915647699
351,-0.0018868509907250437
352,-6.391864365216337e-05
353,-0.00041149161960119576
354,0.00017100472630929487
355,0.0006906562727843241
356,-0.0022806326250723657
357,-0.0005317147225305941
358,0.0016304557219823683
359,-0.004672832032721418
360,-0.000137401374734844
361,-0.002463860771733215
362,0.002524985906065661
363,-0.0017784096101354245
364,0.00025341154008494014
365,-0.0005389685920173615
366,0.00041664227001843697
367,0.00039975993417604546
368,4.304194286296029e-06
369,-0.00016501779966366292
370,3.5695578532151706e-05
371,2.9409865413709105e-05
372,3.519530725334219e-05
373,-0.000449838095934321
374,-0.00029053315459791774
375,-0.001515569390755041
376,-0.00045956687499841575
377,-4.727085922090163e-05
378,-2.6715805958980586e-06
379,-0.0005959936603960402
380,3.0119391909048194e-05
381,0.00013861748893054856
382,-0.00038572153454999016
383,-0.00035737966993626045
384,0.00015642603936925396
385,-0.00010464772641965861
386,0.00037449337413439284
387,0.0013059962928403134
388,-0.0006114121696846834
389,0.0006122521824425214
390,0.00031723360904811353
391,-0.0006141024843644269
392,-8.502113506577298e-05
393,-0.002159724681357291
394,-0.0022076964657033104
395,-0.014190311827158306
396,-8.568687151533541e-05
397,0.0005436371688720812
398,0.0002820623735315465
399,0.002211110067732843
400,0.0006864360972125749
401,-0.0016970203230852895
402,0.0007085110582254323
403,7.138803036984648e-05
404,-0.004888256293187758
405,-0.0018047669249053823
406,0.0022235835032086556
407,-0.011395174531126701
408,-0.00043730610688693587
409,-0.0014090465111982944
410,0.0006866885112696646
411,-0.004108718223332678
412,0.000390387333185435
413,-1.1556696317878392e-05
414,2.425503946261533e-05
415,0.0009612241120145437
416,-0.00010679386883017025
417,-2.7379083613787487e-05
418,0.0007832437399057942
419,0.0014572925542046045
420,-0.00044746168786381877
421,0.00022881879689329676
422,0.00024391785813819604
