,mathpass_hybridper_inf
116,5.1847413412024476e-05
117,0.0006594232884180687
118,-0.0006151243289513872
119,0.0003916179378332215
120,0.0008238277799989236
121,-0.0008823365668547017
122,-0.0002949488309720684
123,-0.00039314802940916473
124,0.00013730777236960572
125,-0.0002587066345150725
126,-0.00094171672077225
127,-0.0034643589144447407
128,1.669775970456423e-05
129,-0.00011236779338074282
130,0.0004174293383716522
131,0.0012795508835943728
132,-0.0011406326666034761
133,-0.0010531286357513465
134,0.0011408869090607635
135,-0.003478160882344094
136,0.0009115465588248749
137,-0.0008855145458156162
138,0.0005248538155422194
139,0.0021057691948804876
140,-0.0010016993912295102
141,0.00046268735273268853
142,0.0008753890000765575
143,0.00029339898546029594
144,0.0017659026714209162
145,6.90927377826145e-05
146,0.00011169537618135891
147,0.0061134725745048985
148,-0.0010828875356245118
149,0.0004201641829237633
150,0.0007107540261021721
151,0.0005734107431159712
152,-0.0026846720095752355
153,0.001321700987879632
154,0.0022517620064105835
155,0.0024243786408832246
156,-0.0005436359772965037
157,-0.0007173199060667054
158,0.0011682350910054067
159,-0.0005020485530151324
160,-0.0008976261657054658
161,0.0012022827466667415
162,-4.732480361620249e-06
163,0.0008220843100898221
164,-0.0005294122870857908
165,0.0020857898440775156
166,-0.0002411274375151956
167,0.0036603143956799216
168,0.00032968200172020333
169,-0.0012449338007518788
170,0.0005928372062552409
171,-0.0011557097695093009
172,-0.0023561188611957128
173,-0.00013564897170699797
174,0.0011305759195472218
175,-0.0034998359359305173
176,-0.003535175472904153
177,-0.002016927585413445
178,-0.0007283568864317582
179,-0.020813424174870226
180,1.817003538579849e-05
181,-0.004530724943231338
182,-0.0004219093262050675
183,-0.01603049595231627
184,0.00016969194860802167
185,-0.0007415664879030872
186,-0.0005764311846779184
187,-0.0030742452082260638
188,-0.0013416582838686828
189,0.00015957159271585343
190,0.0004980501055360303
191,-0.0017082889700769058
192,0.0005403264946774642
193,-8.290511987056247e-05
194,0.00013767226889647898
195,0.001580669111045142
196,-1.8917085039020556e-06
197,-7.676168086210612e-05
198,4.2337556175279623e-05
199,-0.00018866747429294924
200,0.0005273440023132039
201,-0.00035575951493296116
202,-0.00012862452427196724
203,0.00015888478386240362
