,elapass_ed_virtualper_inf
347,-0.010111217585308342
348,0.00022066724369430626
349,-0.0010414064842665743
350,-0.0002842991344412193
351,-0.0015721395709986036
352,0.0005606310913348353
353,0.0004386864890801532
354,-0.00018531598694505812
355,-0.000468280106207987
356,-0.0007773093947246925
357,0.00010790308996735113
358,0.0004181175684406787
359,-0.0005122521686453204
360,-0.00011383582394709792
361,4.9778132187808907e-05
362,-0.0006323676880229821
363,-0.00018985862157821451
364,-0.00025938738800524293
365,0.0002870389654194395
366,-0.0002813063913173685
367,-0.00029627133647320793
368,9.303694606981114e-05
369,0.00029484130283649276
370,-3.747082942289976e-07
371,-2.138199050138246e-05
372,0.0001434779493386007
373,-1.3771299900199215e-05
374,0.00014298605437880737
375,-0.0003126697320828997
376,-0.0013801506667914306
377,-0.0006893720893985601
378,0.0005419374825583064
379,-0.005151823708966184
380,2.123935235835663e-05
381,-6.22948444600415e-05
382,0.00029965206407899485
383,0.00012800949852828712
384,4.763549569146056e-05
385,1.569013202309277e-05
386,-0.00021960292285793032
387,-0.00030214626979539766
388,-0.0011462261197852904
389,0.00016558156918560944
390,-0.00010987343670998267
391,-0.00020896860780275634
392,5.366957997013259e-06
393,0.00029768678031970764
394,8.931857163645924e-05
395,0.0011473324554577707
396,-5.8596603402391054e-05
397,0.00016303630196637346
398,2.3258488237303187e-05
399,0.000820126917899966
400,0.0005906074933653949
401,0.0003211122903055664
402,-0.00011851689369438624
403,8.236627628695406e-06
404,0.00013017029476908645
405,0.0004146405608655126
406,-4.999311392264644e-05
407,0.0011826676918637485
408,-2.965230412142589e-05
409,-0.00039268579030911783
410,-5.937007490783994e-06
411,-0.0004029260971995323
412,-0.0009869739134056711
413,1.7998767764571103e-05
414,-9.309612250638877e-05
415,-0.0026411875276333326
416,-5.6477643571405465e-05
417,1.2578617541690998e-06
418,-0.00039574053926098846
419,-7.773914988149534e-05
420,-0.00019501712627862993
421,-0.00014918680083466824
422,7.214660951866541e-05
423,7.813426584816416e-06
424,-0.0013344948555800678
425,0.0064527440016640845
426,-0.004097298022259214
427,-0.0019468163006196775
428,0.00015001814127095834
429,-5.3422995412544916e-05
430,-0.00013228007165973522
431,0.0002115733065638138
432,-0.0003992457752004237
433,0.0001278634067392028
434,9.563112347126455e-05
435,-0.00019199314670654375
436,-0.0011812138819155024
437,0.0004014517903188338
438,6.138464096278681e-05
439,-0.000944315804475032
440,0.00010133379271416943
441,7.329554442321859e-06
442,7.24413914518585e-05
443,0.0003009588020702174
444,2.7200747130288152e-05
445,0.0021589692232380823
446,0.0007766566011147909
447,0.00048345842653371143
448,-0.0005197179966508228
449,-0.0001332205962316254
450,-0.00042825005794724534
451,-6.98933397691784e-05
452,0.0036775799214378638
453,-0.001562077354501052
454,-0.0005933491845660798
455,0.0035822676062491985
456,-0.0003287952351993716
457,-2.1793082214222832e-05
458,1.3766796821618932e-05
459,-0.00016876330274704043
460,-2.0199500542423127e-05
461,0.00013959615401723912
462,-0.00019921761450083825
463,-0.00015524517146607935
