year,mergecode,districtcode,schoolcode,droprate,black,white,hispanic,totalenroll
16,120-206,120,206,21.0,2.15,52.74,40.33,419
16,120-2746,120,2746,4.2,4.34,48.23,40.74,761
16,120-2750,120,2750,0.0,0.0,74.55,20.0,55
16,120-2752,120,2752,0.8,2.17,48.64,45.38,368
16,123-7837,123,7837,0.4,5.47,13.87,73.72,274
16,123-7842,123,7842,1.4,5.44,14.74,76.42,441
16,123-8123,123,8123,22.5,4.17,11.67,82.5,120
16,130-18,130,18,0.5,7.79,55.88,18.23,834
16,130-141,130,141,0.0,12.38,55.56,18.89,630
16,130-1510,130,1510,0.0,5.33,50.67,11.33,150
16,130-1551,130,1551,0.8,11.95,57.39,15.49,3112
16,130-1566,130,1566,0.1,3.05,63.24,13.71,1050
16,130-1568,130,1568,0.1,2.23,73.13,13.6,897
16,130-1570,130,1570,0.6,3.1,67.57,11.78,3811
16,130-1571,130,1571,0.8,6.87,53.44,8.4,131
16,130-2357,130,2357,1.1,14.98,51.42,20.68,2824
16,130-2653,130,2653,10.6,18.69,44.44,28.79,396
16,130-2897,130,2897,0.3,8.23,59.6,18.9,693
16,130-3030,130,3030,0.3,7.17,68.18,12.33,949
16,130-3589,130,3589,0.9,9.59,57.32,17.05,2856
16,130-4100,130,4100,0.7,20.0,40.53,25.83,755
16,130-4975,130,4975,0.2,18.1,46.95,22.4,884
16,130-6367,130,6367,0.8,1.95,76.65,11.67,257
16,130-6625,130,6625,2.6,30.58,23.5,34.15,2668
16,130-7158,130,7158,0.1,24.8,23.25,38.6,1355
16,130-8020,130,8020,1.4,17.43,46.88,21.49,2261
16,130-8848,130,8848,0.0,8.9,60.29,17.91,977
16,140-298,140,298,0.5,1.08,81.76,9.58,2401
16,140-2804,140,2804,0.0,0.81,71.34,21.34,492
16,140-3472,140,3472,0.0,1.26,56.83,34.53,556
16,140-3930,140,3930,0.8,0.9,76.22,15.07,1884
16,140-4316,140,4316,0.0,1.55,78.71,10.2,451
16,140-4447,140,4447,0.0,1.3,79.94,10.1,693
16,140-5224,140,5224,2.7,2.27,60.7,29.08,1496
16,140-5229,140,5229,0.0,0.9,80.18,3.6,111
16,140-5233,140,5233,0.0,0.8,65.6,26.4,125
16,170-2140,170,2140,0.0,0.0,75.26,22.68,97
16,180-213,180,213,0.0,38.83,20.39,34.95,103
16,180-219,180,219,21.7,17.89,19.49,52.72,313
16,180-458,180,458,0.0,23.3,29.13,39.81,103
16,180-464,180,464,0.5,23.43,12.72,55.79,794
16,180-465,180,465,0.0,15.7,40.12,23.84,172
16,180-914,180,914,0.0,13.33,1.9,57.14,105
16,180-1458,180,1458,5.8,17.95,4.84,64.21,2931
16,180-1720,180,1720,0.0,13.73,19.61,59.48,153
16,180-1800,180,1800,0.0,17.99,30.13,40.93,667
16,180-2384,180,2384,0.7,17.35,7.74,67.06,853
16,180-2673,180,2673,2.3,14.2,15.34,60.23,176
16,180-3354,180,3354,6.5,26.18,15.46,49.07,2368
16,180-3471,180,3471,0.0,20.56,13.33,57.78,180
16,180-4024,180,4024,5.0,16.17,8.65,66.87,2647
16,180-5298,180,5298,0.4,38.87,20.38,36.55,476
16,180-6160,180,6160,0.9,24.42,18.77,47.3,778
16,180-6189,180,6189,0.0,17.24,31.61,36.78,174
16,180-6310,180,6310,0.3,15.86,6.95,70.24,719
16,180-6546,180,6546,0.0,1.49,81.55,11.9,336
16,180-7232,180,7232,0.0,10.92,44.83,20.11,174
16,180-7250,180,7250,2.5,23.86,27.18,36.52,2741
16,180-8078,180,8078,0.1,21.11,7.78,64.52,668
16,180-8356,180,8356,0.3,12.39,23.6,56.64,339
16,180-9056,180,9056,0.8,15.38,16.15,63.85,130
16,180-9083,180,9083,1.3,6.75,31.65,50.63,237
16,180-9125,180,9125,2.8,16.68,27.21,43.39,1415
16,180-9189,180,9189,0.3,28.09,27.78,37.65,324
16,180-9396,180,9396,1.3,9.53,4.85,70.99,1196
16,190-1176,190,1176,0.0,0.0,83.27,11.55,251
16,190-1752,190,1752,1.5,2.79,87.08,6.61,681
16,190-2356,190,2356,0.4,4.8,34.0,58.4,500
16,190-3362,190,3362,0.0,3.41,73.86,14.77,88
16,190-6263,190,6263,0.3,2.0,85.67,7.33,300
16,220-6657,220,6657,0.0,0.38,76.23,0.75,265
16,220-6658,220,6658,2.1,0.93,72.45,19.21,432
16,230-9226,230,9226,1.5,0.0,83.33,16.67,66
16,240-7176,240,7176,0.0,0.0,92.31,7.69,13
16,240-7180,240,7180,5.3,0.0,84.21,15.79,19
16,250-8168,250,8168,1.5,1.46,77.37,16.79,137
16,260-9085,260,9085,0.0,20.0,80.0,0.0,10
16,260-9100,260,9100,0.0,0.0,76.19,23.81,21
16,270-1252,270,1252,0.0,0.0,100.0,0.0,16
16,290-4986,290,4986,0.0,0.0,64.76,34.29,105
16,290-4990,290,4990,4.0,0.0,45.64,52.35,149
16,310-5670,310,5670,0.7,0.0,96.4,0.0,139
16,470-120,470,120,0.0,0.35,85.81,8.65,289
16,470-226,470,226,0.0,0.71,74.56,12.9,566
16,470-1284,470,1284,0.0,0.0,55.0,37.5,40
16,470-2760,470,2760,0.0,0.47,81.82,11.91,638
16,470-2761,470,2761,0.7,1.07,78.08,15.52,1031
16,470-2964,470,2964,0.0,0.53,83.68,7.89,190
16,470-3192,470,3192,0.0,0.0,42.92,53.98,226
16,470-3194,470,3194,0.0,1.32,72.69,23.16,531
16,470-3196,470,3196,2.1,0.46,65.93,31.3,1080
16,470-4333,470,4333,0.0,0.94,75.47,18.87,106
16,470-5282,470,5282,0.8,1.36,58.76,34.57,1319
16,470-5286,470,5286,0.2,0.68,52.25,41.22,444
16,470-5288,470,5288,0.3,1.99,34.55,59.8,301
16,470-5368,470,5368,0.0,0.27,86.06,6.7,373
16,470-5722,470,5722,0.7,0.45,76.82,18.78,1113
16,470-5730,470,5730,0.0,0.3,80.77,15.98,338
16,470-6010,470,6010,0.0,0.71,17.44,80.43,281
16,470-6276,470,6276,0.5,1.6,61.12,24.42,1376
16,470-6498,470,6498,23.8,0.9,37.67,59.64,223
16,470-7565,470,7565,0.0,0.0,100.0,0.0,14
16,470-7789,470,7789,1.3,1.82,74.34,18.08,1372
16,470-7839,470,7839,6.2,1.03,68.56,24.74,194
16,470-7954,470,7954,2.3,1.24,38.85,55.61,1534
16,470-8903,470,8903,0.0,1.81,42.57,50.2,498
16,470-8927,470,8927,0.8,1.58,47.11,37.89,380
16,470-9430,470,9430,0.2,0.74,71.38,21.0,538
16,480-125,480,125,6.9,2.96,35.96,56.16,203
16,480-441,480,441,0.0,1.25,75.7,10.59,321
16,480-866,480,866,0.0,0.0,72.73,18.18,11
16,480-924,480,924,0.2,1.09,69.1,21.19,2194
16,480-930,480,930,2.1,2.07,79.31,8.97,145
16,480-934,480,934,11.9,1.99,63.68,22.89,201
16,480-1066,480,1066,0.0,1.23,69.21,21.18,406
16,480-1070,480,1070,0.6,1.29,72.29,17.87,1707
16,480-1136,480,1136,0.0,1.02,64.47,21.83,394
16,480-1352,480,1352,0.0,1.33,52.65,39.6,452
16,480-1380,480,1380,0.6,1.18,59.58,31.26,1190
16,480-1390,480,1390,0.0,0.45,65.47,19.28,446
16,480-2589,480,2589,0.0,0.93,74.61,8.36,323
16,480-2892,480,2892,0.1,0.85,72.06,11.12,2348
16,480-3499,480,3499,11.8,2.94,55.88,32.35,34
16,480-4496,480,4496,8.2,4.55,41.82,46.36,110
16,480-4878,480,4878,0.0,0.94,52.25,40.26,534
16,480-5306,480,5306,0.2,0.68,76.13,14.64,444
16,480-5999,480,5999,0.3,0.73,78.38,10.03,1924
16,480-6000,480,6000,0.0,1.46,77.78,7.89,342
16,480-6195,480,6195,0.3,0.88,73.02,17.6,341
16,480-6212,480,6212,1.0,0.33,84.11,5.96,302
16,480-6224,480,6224,0.0,0.74,81.57,9.83,407
16,480-6642,480,6642,0.0,1.25,85.0,5.0,80
16,480-6816,480,6816,0.0,0.68,69.46,9.84,884
16,480-8135,480,8135,0.0,0.26,82.35,6.65,391
16,480-8387,480,8387,0.0,0.0,60.42,6.67,240
16,490-1130,490,1130,0.0,1.03,82.13,12.03,291
16,490-1132,490,1132,0.0,1.22,85.98,9.76,164
16,490-1508,490,1508,15.5,1.72,84.48,5.17,58
16,500-1554,500,1554,0.0,0.0,86.67,6.67,15
16,500-4085,500,4085,13.2,1.89,77.36,15.09,53
16,500-4680,500,4680,0.0,0.56,79.89,14.53,179
16,500-7568,500,7568,0.8,0.0,81.92,13.97,365
16,510-4742,510,4742,1.5,0.0,83.58,13.43,67
16,520-1612,520,1612,0.0,0.0,82.72,16.05,81
16,540-1660,540,1660,0.8,1.52,78.79,15.15,132
16,540-4216,540,4216,1.5,0.0,81.2,12.03,266
16,550-1276,550,1276,0.0,0.68,45.27,54.05,148
16,550-1378,550,1378,0.0,0.93,38.51,59.32,322
16,550-6339,550,6339,8.5,2.82,22.54,74.65,71
16,560-7616,560,7616,0.0,0.0,68.93,28.25,177
16,580-250,580,250,2.6,0.0,7.89,89.47,38
16,580-252,580,252,0.0,0.0,2.5,96.25,80
16,640-1398,640,1398,1.6,1.61,16.13,80.65,124
16,740-7880,740,7880,2.1,0.0,23.78,72.03,143
16,770-2054,770,2054,0.0,0.0,52.54,45.76,59
16,770-2058,770,2058,0.0,0.42,65.0,31.25,240
16,860-2091,860,2091,0.0,1.39,91.67,2.78,72
16,860-2092,860,2092,3.3,0.0,92.67,2.0,150
16,870-1372,870,1372,0.3,0.68,85.27,9.93,292
16,870-1375,870,1375,0.6,0.0,82.5,12.5,160
16,870-2152,870,2152,0.0,0.0,84.21,15.79,19
16,870-2155,870,2155,20.1,0.0,70.41,26.63,169
16,870-2160,870,2160,0.8,0.0,65.86,29.03,372
16,870-2164,870,2164,0.3,0.15,68.03,25.99,685
16,870-2166,870,2166,3.0,2.36,85.19,9.43,297
16,870-4124,870,4124,0.0,0.85,88.14,10.17,118
16,870-4128,870,4128,0.0,0.45,77.03,18.02,222
16,870-6708,870,6708,0.4,0.78,84.44,12.06,257
16,880-10,880,10,3.6,2.7,2.7,89.66,1741
16,880-40,880,40,28.5,24.7,31.42,41.11,506
16,880-67,880,67,24.4,11.93,3.98,78.41,176
16,880-1106,880,1106,0.0,0.0,2.97,97.03,101
16,880-1295,880,1295,3.7,33.8,4.5,55.5,645
16,880-1319,880,1319,0.6,2.05,6.78,87.27,487
16,880-1345,880,1345,0.0,0.77,5.38,92.31,130
16,880-1489,880,1489,13.1,31.14,14.88,48.1,289
16,880-1748,880,1748,9.0,18.95,9.48,67.08,401
16,880-1866,880,1866,9.3,4.63,3.24,90.74,216
16,880-2115,880,2115,0.0,28.53,23.42,36.64,333
16,880-2125,880,2125,0.7,22.7,39.01,29.08,141
16,880-2127,880,2127,0.0,19.23,46.15,26.92,26
16,880-2145,880,2145,0.0,22.13,7.2,56.6,583
16,880-2167,880,2167,1.6,5.47,33.59,52.34,128
16,880-2175,880,2175,1.7,21.37,12.82,60.68,351
16,880-2181,880,2181,0.0,27.52,7.95,49.54,327
16,880-2183,880,2183,0.4,4.31,25.14,54.86,720
16,880-2184,880,2184,0.1,5.41,69.29,14.17,1016
16,880-2185,880,2185,0.5,24.65,29.9,35.14,572
16,880-2186,880,2186,0.0,8.57,56.19,25.4,315
16,880-2188,880,2188,8.6,37.46,7.08,50.44,339
16,880-2209,880,2209,0.9,13.94,3.34,78.37,897
16,880-2218,880,2218,0.6,32.72,20.99,35.19,162
16,880-2223,880,2223,0.3,20.86,10.43,65.64,326
16,880-2227,880,2227,0.0,21.26,52.76,13.39,127
16,880-2241,880,2241,0.0,14.73,33.33,40.31,129
16,880-2244,880,2244,0.0,1.12,7.26,83.24,179
16,880-2398,880,2398,1.0,20.45,43.67,25.19,2826
16,880-2641,880,2641,15.7,4.13,6.06,86.5,363
16,880-2726,880,2726,43.0,23.86,15.33,54.26,809
16,880-2755,880,2755,0.9,29.05,7.65,59.02,327
16,880-2757,880,2757,3.4,19.19,4.46,70.14,740
16,880-2789,880,2789,0.0,0.0,1.22,98.78,82
16,880-3000,880,3000,31.3,9.35,9.35,77.57,214
16,880-3378,880,3378,1.2,27.88,27.64,32.34,1704
16,880-3540,880,3540,0.7,13.43,30.6,44.78,134
16,880-3600,880,3600,0.0,3.77,15.63,73.32,371
16,880-3605,880,3605,0.9,2.26,35.29,51.58,221
16,880-3639,880,3639,1.6,7.29,41.15,44.79,192
16,880-3647,880,3647,0.0,10.0,0.71,84.29,140
16,880-3746,880,3746,0.4,18.92,34.14,37.98,703
16,880-3987,880,3987,0.0,21.95,48.78,23.58,123
16,880-3990,880,3990,0.5,22.71,31.69,35.56,568
16,880-4140,880,4140,0.0,17.21,1.86,78.14,215
16,880-4381,880,4381,0.6,0.3,6.65,85.8,331
16,880-4444,880,4444,1.6,3.2,13.69,72.68,1563
16,880-4494,880,4494,17.2,23.67,5.33,64.5,169
16,880-4507,880,4507,0.4,22.34,7.45,65.96,282
16,880-4509,880,4509,0.6,17.65,6.47,68.82,170
16,880-4656,880,4656,1.6,3.42,3.65,89.04,438
16,880-4730,880,4730,1.6,2.02,0.45,95.96,446
16,880-4732,880,4732,0.0,0.5,0.5,97.0,200
16,880-4795,880,4795,0.0,2.38,11.89,79.08,631
16,880-5044,880,5044,11.3,51.61,1.61,40.32,62
16,880-5255,880,5255,1.4,9.75,6.86,78.34,277
16,880-5448,880,5448,5.8,30.07,5.59,59.44,429
16,880-5605,880,5605,1.2,22.73,5.23,64.27,1223
16,880-5826,880,5826,0.9,16.67,39.83,34.85,462
16,880-5844,880,5844,9.9,31.75,12.3,49.6,252
16,880-5897,880,5897,0.0,13.95,58.67,16.33,588
16,880-6088,880,6088,5.6,21.11,21.11,45.56,90
16,880-6098,880,6098,1.5,21.48,44.44,23.7,270
16,880-6239,880,6239,2.5,25.91,6.26,62.24,911
16,880-6308,880,6308,22.1,7.14,6.43,82.86,140
16,880-6314,880,6314,1.2,7.35,10.16,78.5,1279
16,880-6350,880,6350,0.6,11.37,1.97,83.99,862
16,880-6368,880,6368,0.8,27.45,32.55,31.37,255
16,880-6479,880,6479,0.0,18.87,43.4,20.75,53
16,880-6508,880,6508,0.9,44.91,6.94,34.26,216
16,880-6509,880,6509,6.8,9.42,49.21,34.82,382
16,880-6957,880,6957,0.0,1.2,0.0,98.8,83
16,880-6970,880,6970,1.3,37.93,6.9,41.38,232
16,880-7045,880,7045,0.4,28.86,4.88,39.02,246
16,880-7163,880,7163,5.0,27.09,8.36,60.2,299
16,880-7188,880,7188,15.5,28.04,2.7,60.47,296
16,880-7246,880,7246,21.8,3.03,4.85,89.7,165
16,880-7361,880,7361,29.3,13.3,8.51,72.87,188
16,880-7861,880,7861,13.3,66.67,6.67,13.33,15
16,880-7942,880,7942,0.9,4.9,21.11,67.38,469
16,880-7972,880,7972,0.0,2.63,76.32,7.24,152
16,880-8054,880,8054,0.5,5.06,11.58,74.39,613
16,880-8085,880,8085,1.5,0.37,0.74,97.78,270
16,880-8086,880,8086,1.8,23.21,26.33,33.71,1857
16,880-8132,880,8132,3.6,0.0,4.35,92.89,253
16,880-8145,880,8145,8.0,5.23,5.92,85.37,287
16,880-8347,880,8347,2.9,3.68,3.95,88.16,380
16,880-8822,880,8822,1.4,21.27,39.59,28.92,1359
16,880-8909,880,8909,20.0,0.0,0.0,100.0,5
16,880-8995,880,8995,4.4,25.44,5.62,65.38,338
16,880-9336,880,9336,0.7,3.68,1.84,92.28,272
16,880-9348,880,9348,25.2,10.08,10.08,73.95,119
16,880-9389,880,9389,0.0,0.74,1.85,95.19,270
16,880-9390,880,9390,0.3,3.72,4.05,88.18,296
16,880-9548,880,9548,2.1,41.67,2.08,43.75,48
16,880-9623,880,9623,0.7,28.26,46.38,14.49,138
16,880-9639,880,9639,1.9,0.17,0.85,97.95,585
16,880-9693,880,9693,3.4,7.94,4.86,83.89,844
16,880-9702,880,9702,0.3,3.96,3.37,90.76,682
16,880-9730,880,9730,0.0,18.27,8.31,65.12,301
16,880-9735,880,9735,1.3,15.53,4.85,69.9,309
16,880-9739,880,9739,1.5,20.77,0.0,76.92,130
16,890-2216,890,2216,0.8,0.0,86.07,6.56,122
16,900-11,900,11,0.0,0.0,83.24,12.14,173
16,900-135,900,135,0.0,0.53,80.53,7.37,190
16,900-201,900,201,8.8,0.0,77.09,15.86,227
16,900-215,900,215,0.0,0.29,78.17,6.78,339
16,900-264,900,264,0.0,0.48,82.09,9.78,1033
16,900-267,900,267,0.1,1.31,78.04,15.51,1070
16,900-1367,900,1367,0.7,1.21,78.68,13.59,2223
16,900-1503,900,1503,0.2,1.85,75.36,13.89,2427
16,900-1512,900,1512,0.0,2.02,77.78,5.05,99
16,900-1555,900,1555,0.0,0.0,84.62,8.97,78
16,900-1579,900,1579,0.0,2.44,69.92,16.26,123
16,900-1873,900,1873,0.0,0.67,80.0,5.33,150
16,900-2012,900,2012,0.1,2.18,71.22,15.83,1011
16,900-2226,900,2226,0.1,0.7,77.39,15.58,995
16,900-2230,900,2230,0.4,1.28,75.87,15.11,2105
16,900-2338,900,2338,12.8,1.71,77.35,14.96,234
16,900-3847,900,3847,1.6,6.38,18.35,71.85,643
16,900-3980,900,3980,0.3,2.47,71.03,14.62,1902
16,900-3995,900,3995,8.5,6.38,22.5,67.25,800
16,900-4271,900,4271,0.4,1.41,80.54,11.02,2205
16,900-5259,900,5259,0.4,0.35,76.58,10.06,1153
16,900-5405,900,5405,3.8,0.58,80.41,9.36,342
16,900-5997,900,5997,0.0,0.0,83.54,7.59,79
16,900-6019,900,6019,0.0,1.53,80.15,11.45,131
16,900-6164,900,6164,0.0,0.95,78.33,11.27,1260
16,900-6165,900,6165,0.2,1.09,78.6,10.53,2393
16,900-6365,900,6365,0.0,1.57,73.39,12.6,635
16,900-6772,900,6772,0.0,0.28,76.24,13.58,707
16,900-6773,900,6773,0.2,1.48,77.02,12.79,1079
16,900-7047,900,7047,0.0,1.13,72.32,12.43,177
16,900-7118,900,7118,0.1,0.91,79.48,12.86,1423
16,900-7245,900,7245,0.0,0.38,79.66,10.69,1057
16,900-7435,900,7435,0.0,0.67,79.31,8.5,2248
16,900-7448,900,7448,0.0,0.65,80.99,7.36,1073
16,900-8847,900,8847,0.1,0.83,78.86,11.79,2290
16,910-39,910,39,0.0,0.0,31.7,65.28,265
16,910-205,910,205,15.9,0.43,27.9,69.53,233
16,910-604,910,604,1.4,0.84,41.26,54.24,955
16,910-793,910,793,0.7,0.72,27.96,69.89,279
16,910-2340,910,2340,0.0,0.0,95.0,1.25,80
16,910-2350,910,2350,0.9,0.11,44.04,52.95,897
16,910-2355,910,2355,1.6,0.39,67.05,29.07,258
16,910-5742,910,5742,0.0,1.55,41.97,50.26,193
16,910-9061,910,9061,0.0,0.0,89.57,3.07,163
16,910-9701,910,9701,10.6,1.52,60.61,31.82,66
16,920-2572,920,2572,0.0,0.0,90.65,4.67,107
16,920-2604,920,2604,0.0,0.0,87.35,8.13,332
16,920-2608,920,2608,2.1,0.62,86.79,8.64,810
16,920-3236,920,3236,5.8,1.45,88.41,7.25,69
16,930-4726,930,4726,0.0,0.0,72.92,22.92,48
16,930-4728,930,4728,0.0,0.0,89.22,9.8,102
16,940-7918,940,7918,0.0,0.0,81.63,10.2,49
16,940-7922,940,7922,1.8,0.0,78.57,12.5,112
16,950-2574,950,2574,0.0,0.0,84.55,6.5,123
16,970-1215,970,1215,0.0,12.04,76.85,9.26,108
16,970-1218,970,1218,1.1,7.26,81.01,10.61,179
16,980-469,980,469,1.0,18.44,13.05,63.55,705
16,980-1306,980,1306,0.0,21.99,18.93,51.15,391
16,980-3522,980,3522,0.2,15.07,30.15,40.55,471
16,980-3806,980,3806,1.4,18.65,27.07,45.49,1330
16,980-3870,980,3870,9.6,18.27,24.04,51.92,104
16,980-4378,980,4378,0.4,9.88,40.52,38.1,496
16,980-4379,980,4379,0.0,10.34,38.24,39.81,319
16,980-5763,980,5763,0.0,2.27,76.52,18.18,132
16,980-6162,980,6162,0.0,11.49,32.77,46.81,235
16,980-6686,980,6686,0.2,23.64,24.73,42.52,461
16,980-7882,980,7882,1.2,29.24,19.19,41.14,1084
16,990-4394,990,4394,0.0,13.09,46.2,29.08,619
16,990-5841,990,5841,2.1,13.5,47.82,26.31,1608
16,990-8178,990,8178,0.6,9.36,45.32,33.89,481
16,990-9294,990,9294,0.3,10.18,47.08,28.38,599
16,990-9560,990,9560,18.3,7.63,48.85,32.06,131
16,990-9566,990,9566,1.4,9.68,49.88,26.34,1602
16,1000-203,1000,203,5.5,10.13,46.41,30.8,237
16,1000-1332,1000,1332,0.0,16.16,43.46,26.33,619
16,1000-3106,1000,3106,0.3,9.1,49.54,28.48,769
16,1000-3110,1000,3110,0.5,12.88,47.34,26.98,2368
16,1010-269,1010,269,5.8,6.24,58.99,26.62,417
16,1010-517,1010,517,0.0,0.0,87.1,3.23,62
16,1010-871,1010,871,5.0,7.43,55.94,24.26,202
16,1010-1126,1010,1126,0.0,0.0,100.0,0.0,2
16,1010-1616,1010,1616,2.9,5.83,67.08,17.92,240
16,1010-1870,1010,1870,2.2,5.02,60.41,26.34,1993
16,1010-1885,1010,1885,12.9,8.24,46.7,33.79,364
16,1010-2202,1010,2202,1.1,7.38,58.12,23.71,2493
16,1010-2400,1010,2400,3.0,6.53,50.75,32.16,199
16,1010-2528,1010,2528,8.8,9.97,43.7,36.36,341
16,1010-3360,1010,3360,1.3,11.78,43.9,35.97,467
16,1010-4070,1010,4070,0.0,4.86,63.54,19.27,576
16,1010-4090,1010,4090,0.5,8.4,51.97,28.87,381
16,1010-4424,1010,4424,0.0,6.21,64.73,19.02,757
16,1010-5146,1010,5146,10.7,17.1,33.8,40.64,497
16,1010-5948,1010,5948,2.6,13.68,39.33,37.15,1930
16,1010-6306,1010,6306,0.5,8.86,44.12,35.95,587
16,1010-6680,1010,6680,2.1,8.51,48.31,31.91,2244
16,1010-7523,1010,7523,0.0,7.68,54.95,25.94,586
16,1010-7556,1010,7556,0.6,8.68,44.57,35.89,691
16,1010-8359,1010,8359,0.0,4.35,17.39,73.91,23
16,1010-8457,1010,8457,0.8,13.86,26.51,48.39,498
16,1010-9404,1010,9404,0.4,4.66,56.78,30.51,236
16,1020-1588,1020,1588,0.0,2.28,77.17,12.18,657
16,1020-1590,1020,1590,0.4,2.63,76.39,12.52,1406
16,1020-9051,1020,9051,0.0,4.74,63.79,21.98,232
16,1020-9057,1020,9057,0.0,5.31,60.77,18.29,339
16,1030-5464,1030,5464,0.0,1.97,85.25,7.21,305
16,1030-5468,1030,5468,1.0,0.99,83.53,9.56,607
16,1040-74,1040,74,0.0,2.91,73.3,10.36,618
16,1040-76,1040,76,0.3,4.13,72.98,13.64,1525
16,1040-110,1040,110,0.0,2.5,76.25,17.5,80
16,1040-209,1040,209,2.5,1.99,73.63,16.42,201
16,1040-1629,1040,1629,0.0,1.82,80.77,9.31,494
16,1040-1630,1040,1630,0.0,1.79,85.25,8.05,671
16,1040-1901,1040,1901,0.0,2.44,70.73,24.39,41
16,1040-1921,1040,1921,0.3,2.98,75.32,11.63,705
16,1040-2195,1040,2195,0.5,2.35,76.01,11.85,1317
16,1040-2358,1040,2358,0.0,3.79,73.61,12.58,739
16,1040-5126,1040,5126,0.5,4.45,71.7,14.21,1774
16,1040-6140,1040,6140,0.0,5.31,65.31,15.59,885
16,1040-6937,1040,6937,0.3,2.98,74.83,11.61,1645
16,1040-7240,1040,7240,0.9,4.41,65.81,16.71,1837
16,1040-8779,1040,8779,0.0,1.47,82.39,7.89,545
16,1040-8851,1040,8851,0.0,4.5,70.35,15.67,823
16,1050-2640,1050,2640,0.0,3.92,61.27,31.37,204
16,1050-2642,1050,2642,1.0,4.62,63.7,27.72,303
16,1060-1346,1060,1346,25.5,11.22,51.02,29.59,98
