County Name,Org. Code,Organization Name,School Code,School Name / Category (include or exclude alternative schools),Grade,Total Pupil Count,Total Dropouts,Total Dropout Rate,Black Or Aftican American Pupil Count,Hispanic or Latino Pupil Count,White Pupil Count
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,ALL,765,1,0.0010,12,277,423
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL, 7,379,0,0.0000,13,227,114
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL, 8,351,0,0.0000,13,201,121
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,ALL,730,0,0.0000,26,428,235
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL, 9,742,7,0.0090,20,462,215
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,10,634,7,0.0110,26,384,192
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,11,512,33,0.0640,15,311,158
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,12,437,17,0.0390,11,265,135
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,ALL,2325,64,0.0280,72,1422,700
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY, 7,119,0,0.0000,0,6,105
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY, 8,119,0,0.0000,0,13,93
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY, 9,133,0,0.0000,3,17,101
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,ALL,371,0,0.0000,3,36,299
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER, 7,6,0,0.0000,0,2,4
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER, 8,3,0,0.0000,0,1,2
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER, 9,15,2,0.1330,1,6,8
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,10,12,3,0.2500,0,2,9
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,11,84,17,0.2020,4,36,35
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,12,454,123,0.2710,11,232,188
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,ALL,574,145,0.2530,16,279,246
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM LAB, 7,56,0,0.0000,0,8,44
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM LAB, 8,55,0,0.0000,1,7,42
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM LAB,ALL,111,0,0.0000,1,15,86
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8310,STEM LAUNCH, 7,178,1,0.0060,3,126,42
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8310,STEM LAUNCH, 8,136,1,0.0070,5,99,27
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8310,STEM LAUNCH,ALL,314,2,0.0060,8,225,69
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER, 7,41,0,0.0000,0,9,29
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER, 8,35,0,0.0000,0,9,25
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER, 9,37,0,0.0000,0,5,32
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,10,26,0,0.0000,0,1,24
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,11,14,0,0.0000,0,2,12
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,ALL,153,0,0.0000,0,26,122
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL, 7,429,0,0.0000,5,93,286
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL, 8,395,0,0.0000,4,81,273
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,ALL,824,0,0.0000,9,174,559
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (ALTERNATIVE SCHOOLS ONLY), 7,42,9,0.2140,0,22,19
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS), 7,3728,40,0.0110,73,1367,1993
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS), 7,3770,49,0.0130,73,1389,2012
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (ALTERNATIVE SCHOOLS ONLY), 8,64,8,0.1250,2,36,23
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS), 8,3524,30,0.0090,83,1257,1937
