year,mergecode,lowincome
17,880-9639,90.7
17,880-9693,93.3
17,880-9702,94.7
17,880-9730,72.3
17,880-9735,87.5
17,880-9739,93.4
17,890-2216,58.8
17,890-7764,59.0
17,900-11,6.5
17,900-12,23.9
17,900-135,3.2
17,900-215,4.3
17,900-264,11.8
17,900-265,16.8
17,900-266,6.1
17,900-267,19.2
17,900-354,21.1
17,900-651,9.5
17,900-1131,5.0
17,900-1362,34.2
17,900-1367,12.7
17,900-1503,13.0
17,900-1512,6.0
17,900-1579,5.0
17,900-1899,4.5
17,900-1925,13.3
17,900-1934,8.2
17,900-2012,14.9
17,900-2226,16.4
17,900-2230,15.4
17,900-2232,21.5
17,900-2233,21.7
17,900-2234,14.0
17,900-2656,7.3
17,900-2952,14.4
17,900-2954,9.8
17,900-2965,13.4
17,900-3138,9.0
17,900-3172,12.7
17,900-3241,9.7
17,900-3327,18.2
17,900-3847,62.9
17,900-3863,62.9
17,900-3928,4.5
17,900-3980,13.1
17,900-3995,52.0
17,900-4271,7.6
17,900-4292,15.2
17,900-4980,13.5
17,900-5045,15.5
17,900-5259,5.6
17,900-5607,9.4
17,900-5745,11.8
17,900-5843,4.7
17,900-6019,6.4
17,900-6152,10.6
17,900-6164,7.3
17,900-6165,6.7
17,900-6365,8.1
17,900-6396,11.2
17,900-6406,9.7
17,900-6719,11.6
17,900-6772,12.3
17,900-6773,16.5
17,900-6938,4.8
17,900-6940,26.5
17,900-6961,18.2
17,900-7096,8.0
17,900-7118,9.2
17,900-7134,5.5
17,900-7245,7.0
17,900-7297,3.1
17,900-7319,5.4
17,900-7435,3.6
17,900-7448,3.9
17,900-7562,3.7
17,900-7610,14.9
17,900-7718,50.3
17,900-8106,9.7
17,900-8126,46.2
17,900-8382,4.3
17,900-8847,5.0
17,900-8897,11.1
17,900-9592,5.0
17,910-37,43.6
17,910-38,13.0
17,910-39,52.3
17,910-205,57.0
17,910-471,77.6
17,910-604,36.4
17,910-793,58.5
17,910-2346,43.0
17,910-2350,34.1
17,910-2355,25.5
17,910-2530,50.0
17,910-3710,74.0
17,910-4838,76.9
17,910-5742,48.4
17,910-7296,25.7
17,920-2572,10.4
17,920-2604,20.3
17,920-2608,14.7
17,920-3236,47.4
17,920-7517,28.7
17,920-7925,16.3
17,930-4724,48.0
17,930-4726,40.3
17,930-4728,28.9
17,940-7914,41.4
17,940-7918,45.2
17,940-7922,34.4
17,950-2570,29.6
17,950-2574,28.7
17,970-1210,53.5
17,970-1215,45.2
17,970-1218,46.1
17,980-369,92.4
17,980-469,87.2
17,980-1000,87.6
17,980-1306,92.0
17,980-1383,92.0
17,980-3392,84.3
17,980-3522,80.9
17,980-3806,79.6
17,980-3870,80.8
17,980-4378,33.8
17,980-4379,46.2
17,980-4380,41.4
17,980-5763,21.9
17,980-6018,91.3
17,980-6162,81.0
17,980-6460,81.8
