Org. Code,Organization Name,School Code,School Name,Grade Level,American Indian or Alaskan Native Female,American Indian or Alaskan Native Male,Asian Female,Asian male,Black or African American Female,Black or African American Male,Hispanic or Latino Female,Hispanic or Latino Male,White Female,White Male,Native Hawaiian or Other Pacific Islander Female,Native Hawaiian or Other Pacific Islander Male,Two or More Races Female,Two or More Races Male,PK-12 Total
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,020 (2nd),0,0,0,1,0,1,9,16,7,2,0,0,0,0,36
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,030 (3rd),0,0,0,0,0,0,10,13,3,4,0,0,1,0,31
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,040 (4th),0,0,0,0,0,0,11,9,1,1,0,0,1,0,23
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,050 (5th),1,0,0,0,0,1,12,8,2,3,0,0,0,0,27
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,060 (6th),0,0,0,0,2,0,15,6,1,1,0,0,1,0,26
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,ALL GRADE LEVELS,2,2,3,3,4,3,163,131,43,29,0,0,4,0,387
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,004 (PK),0,0,2,0,0,1,21,30,10,11,0,0,0,1,76
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,007 (Full Day K),0,0,1,0,0,0,20,11,1,4,0,0,0,0,37
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,010 (1st),0,0,0,0,1,0,19,23,2,5,0,0,0,0,50
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,020 (2nd),0,0,0,1,0,1,20,15,3,6,0,0,0,0,46
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,030 (3rd),0,0,1,0,0,0,24,26,3,1,0,0,1,0,56
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,040 (4th),0,1,0,1,0,0,23,20,2,5,0,0,0,1,53
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,050 (5th),0,0,0,2,0,2,28,21,1,0,0,0,0,0,54
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,060 (6th),0,1,0,1,0,0,27,22,3,4,0,0,3,0,61
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,070 (7th),0,0,2,0,2,1,23,21,4,1,0,0,0,2,56
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,080 (8th),0,0,1,3,1,0,26,22,1,2,0,0,0,1,57
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,ALL GRADE LEVELS,0,2,7,8,4,5,231,211,30,39,0,0,4,5,546
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,004 (PK),0,0,0,0,0,0,27,23,3,8,0,0,0,0,61
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,007 (Full Day K),0,0,0,0,0,0,14,14,6,14,0,0,0,0,48
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,010 (1st),0,0,0,0,0,1,11,20,8,4,0,2,1,2,49
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,020 (2nd),1,0,1,0,1,0,14,18,8,4,0,0,2,2,51
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,030 (3rd),0,1,0,0,0,0,8,15,7,10,0,0,0,2,43
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,040 (4th),0,0,0,0,0,2,18,19,7,4,1,0,0,0,51
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,050 (5th),0,2,0,2,0,1,22,16,5,11,0,1,0,1,61
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,060 (6th),0,1,1,0,0,1,11,24,5,8,0,0,1,2,54
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,ALL GRADE LEVELS,1,4,2,2,1,5,125,149,49,63,1,3,4,9,418
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,004 (PK),0,0,1,0,1,0,31,23,2,6,0,0,0,0,64
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,007 (Full Day K),0,0,1,0,0,0,10,27,3,6,0,0,0,0,47
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,010 (1st),0,0,0,0,1,0,21,11,3,1,0,0,0,0,37
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,020 (2nd),0,0,0,1,0,0,19,20,2,4,0,0,0,2,48
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,030 (3rd),0,1,0,0,0,0,13,18,3,3,0,0,0,0,38
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,040 (4th),0,0,0,0,1,0,21,18,4,1,0,0,0,1,46
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,050 (5th),0,0,1,1,0,0,22,21,2,1,0,0,0,1,49
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,060 (6th),0,1,0,0,0,0,16,14,4,3,0,0,0,0,38
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,ALL GRADE LEVELS,0,2,3,2,3,0,153,152,23,25,0,0,0,4,367
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,007 (Full Day K),0,0,0,1,1,0,14,14,3,3,0,0,1,1,38
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,010 (1st),0,0,1,0,0,0,24,18,4,5,0,0,1,0,53
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,020 (2nd),0,0,0,1,0,0,24,19,3,4,0,0,0,0,51
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,030 (3rd),0,0,0,2,1,0,23,18,3,3,0,0,0,1,51
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,040 (4th),0,0,2,2,1,2,22,19,1,2,0,0,1,2,54
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,050 (5th),0,0,0,1,1,2,19,24,4,5,1,0,0,0,57
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,060 (6th),0,0,2,0,0,0,19,21,3,5,0,0,0,0,50
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,070 (7th),0,0,1,4,0,0,19,20,2,3,0,0,1,0,50
