1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,8310,STEM LAUNCH,854,506,126,222,632,59%,15%,0.74,50%-75%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,8361,STUKEY ELEMENTARY SCHOOL,410,270,70,70,340,66%,17%,0.829,75%-100%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,8842,THORNTON ELEMENTARY SCHOOL,383,229,61,93,290,60%,16%,0.757,75%-100%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,508,58,24,426,82,11%,5%,0.161,0% - 25%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,1166,214,76,876,290,18%,7%,0.249,0% - 25%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,9494,WESTVIEW ELEMENTARY SCHOOL,432,211,50,171,261,49%,12%,0.604,50%-75%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,9682,WOODGLEN ELEMENTARY SCHOOL,436,184,62,190,246,42%,14%,0.564,50%-75%
1,ADAMS,30,ADAMS COUNTY 14,20,ADAMS CITY MIDDLE SCHOOL,831,621,107,103,728,75%,13%,0.876,75%-100%
1,ADAMS,30,ADAMS COUNTY 14,22,LESTER R ARNOLD HIGH SCHOOL,227,164,26,37,190,72%,12%,0.837,75%-100%
1,ADAMS,30,ADAMS COUNTY 14,24,ADAMS CITY HIGH SCHOOL,1798,1263,282,253,1545,70%,16%,0.859,75%-100%
1,ADAMS,30,ADAMS COUNTY 14,186,ALSUP ELEMENTARY SCHOOL,519,389,65,65,454,75%,13%,0.875,75%-100%
1,ADAMS,30,ADAMS COUNTY 14,1426,CENTRAL ELEMENTARY SCHOOL,511,395,57,59,452,77%,11%,0.885,75%-100%
1,ADAMS,30,ADAMS COUNTY 14,2308,DUPONT ELEMENTARY SCHOOL,576,442,68,66,510,77%,12%,0.885,75%-100%
1,ADAMS,30,ADAMS COUNTY 14,4516,KEARNEY MIDDLE SCHOOL,785,581,114,90,695,74%,15%,0.885,75%-100%
1,ADAMS,30,ADAMS COUNTY 14,4536,KEMP ELEMENTARY SCHOOL,492,362,73,57,435,74%,15%,0.884,75%-100%
1,ADAMS,30,ADAMS COUNTY 14,5982,MONACO ELEMENTARY SCHOOL,439,322,50,67,372,73%,11%,0.847,75%-100%
1,ADAMS,30,ADAMS COUNTY 14,6534,HANSON ELEMENTARY SCHOOL,242,174,35,33,209,72%,15%,0.864,75%-100%
1,ADAMS,30,ADAMS COUNTY 14,7500,ROSE HILL ELEMENTARY SCHOOL,397,307,57,33,364,77%,14%,0.917,75%-100%
1,ADAMS,40,SCHOOL DISTRICT 27J,700,BELLE CREEK CHARTER SCHOOL,662,215,78,369,293,33%,12%,0.443,25%-50%
1,ADAMS,40,SCHOOL DISTRICT 27J,1013,BRANTNER ELEMENTARY SCHOOL,516,56,16,444,72,11%,3%,0.14,0% - 25%
1,ADAMS,40,SCHOOL DISTRICT 27J,1021,BRIGHTON HERITAGE ACADEMY,207,N/A,N/A,114,93,N/A,N/A,0.449,25%-50%
1,ADAMS,40,SCHOOL DISTRICT 27J,1022,BRIGHTON HIGH SCHOOL,1808,519,176,1113,695,29%,10%,0.384,25%-50%
1,ADAMS,40,SCHOOL DISTRICT 27J,1052,BROMLEY EAST CHARTER SCHOOL,1252,184,94,974,278,15%,8%,0.222,0% - 25%
1,ADAMS,40,SCHOOL DISTRICT 27J,1560,BOLT ACADEMY,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0% - 25%
1,ADAMS,40,SCHOOL DISTRICT 27J,2399,EAGLE RIDGE ACADEMY,519,84,50,385,134,16%,10%,0.258,25%-50%
1,ADAMS,40,SCHOOL DISTRICT 27J,2945,FOUNDATIONS ACADEMY,770,113,36,621,149,15%,5%,0.194,0% - 25%
1,ADAMS,40,SCHOOL DISTRICT 27J,3900,HENDERSON ELEMENTARY SCHOOL,321,147,27,147,174,46%,8%,0.542,50%-75%
1,ADAMS,40,SCHOOL DISTRICT 27J,4950,LANDMARK ACADEMY AT REUNION,708,92,19,597,111,13%,3%,0.157,0% - 25%
1,ADAMS,40,SCHOOL DISTRICT 27J,5615,MARY E PENNOCK ELEMENTARY SCHOOL,581,204,63,314,267,35%,11%,0.46,25%-50%
1,ADAMS,40,SCHOOL DISTRICT 27J,6294,NORTH ELEMENTARY SCHOOL,288,189,36,63,225,66%,13%,0.781,75%-100%
1,ADAMS,40,SCHOOL DISTRICT 27J,6395,NORTHEAST ELEMENTARY SCHOOL,560,271,83,206,354,48%,15%,0.632,50%-75%
1,ADAMS,40,SCHOOL DISTRICT 27J,6638,OVERLAND TRAIL MIDDLE SCHOOL,597,262,84,251,346,44%,14%,0.58,50%-75%
1,ADAMS,40,SCHOOL DISTRICT 27J,6702,OTHO E STUART MIDDLE SCHOOL,855,237,86,532,323,28%,10%,0.378,25%-50%
1,ADAMS,40,SCHOOL DISTRICT 27J,7129,PRAIRIE VIEW HIGH SCHOOL,2138,547,195,1396,742,26%,9%,0.347,25%-50%
1,ADAMS,40,SCHOOL DISTRICT 27J,7131,PRAIRIE VIEW MIDDLE SCHOOL,871,273,59,539,332,31%,7%,0.381,25%-50%
1,ADAMS,40,SCHOOL DISTRICT 27J,7318,REUNION ELEMENTARY SCHOOL,442,55,22,365,77,12%,5%,0.174,0% - 25%
1,ADAMS,40,SCHOOL DISTRICT 27J,7714,SECOND CREEK ELEMENTARY SCHOOL,575,172,55,348,227,30%,10%,0.395,25%-50%
1,ADAMS,40,SCHOOL DISTRICT 27J,8032,JOHN W THIMMIG ELEMENTARY SCHOOL,611,200,68,343,268,33%,11%,0.439,25%-50%
