Org. Code,Organization Name,School Code,School Name,Grade Level,American Indian or Alaskan Native Female,American Indian or Alaskan Native Male,Asian Female ,Asian Male,Black or African American Female,Black or African American Male,Hispanic or Latino Female,Hispanic or Latino Male,White Female,White Male,Native Hawaiian or Other Pacific Islander Female,Native Hawaiian or Other Pacific Islander Male,Two or More Races Female,Two or More Races Male,PK-12 Total
0180,Adams-Arapahoe 28J,1720,Clyde Miller K-8,010 (1st),0,0,2,0,3,4,14,11,4,3,0,0,3,0,44
0180,Adams-Arapahoe 28J,1720,Clyde Miller K-8,020 (2nd),0,0,0,0,2,6,14,15,2,1,0,1,3,2,46
0180,Adams-Arapahoe 28J,1720,Clyde Miller K-8,030 (3rd),0,0,0,0,1,4,12,12,6,1,0,0,0,4,40
0180,Adams-Arapahoe 28J,1720,Clyde Miller K-8,040 (4th),0,0,1,0,2,3,18,19,0,1,0,0,1,0,45
0180,Adams-Arapahoe 28J,1720,Clyde Miller K-8,050 (5th),0,0,1,0,1,3,13,14,1,2,0,0,2,1,38
0180,Adams-Arapahoe 28J,1720,Clyde Miller K-8,060 (6th),0,0,0,0,4,2,24,27,0,3,0,0,4,2,66
0180,Adams-Arapahoe 28J,1720,Clyde Miller K-8,070 (7th),0,0,1,2,1,1,23,17,3,4,0,1,1,0,54
0180,Adams-Arapahoe 28J,1720,Clyde Miller K-8,080 (8th),0,1,1,1,3,1,16,29,6,2,1,0,3,1,65
0180,Adams-Arapahoe 28J,1720,Clyde Miller K-8,,0,1,6,7,20,26,158,165,28,21,1,2,19,11,465
0180,Adams-Arapahoe 28J,1800,Columbia Middle School,060 (6th),0,1,2,5,20,22,53,58,28,32,1,0,11,13,246
0180,Adams-Arapahoe 28J,1800,Columbia Middle School,070 (7th),0,1,2,7,14,21,56,55,22,25,0,0,9,9,221
