,drop_ed_hybrid
525,1.3470417407670409e-05
526,0.00032580816028246435
527,0.0016501649090326779
528,0.0023301473844853683
529,-0.00015480450441943662
530,0.0017712989839251529
531,0.013949284350836472
532,0.0005894593359558578
533,0.002674785971492132
534,0.0010955754466679126
535,0.01253809518963832
536,-1.9854469805240033e-05
537,0.00012779869293615687
538,-0.0006375994226816936
539,0.0003167657279841081
540,0.0004866319520288093
541,0.002349525353626533
542,-0.0022507375424404845
543,0.0032938830690829655
544,-0.0007517447067809672
545,-2.8672937135960923e-05
546,-0.00017050946593039589
547,-0.0020949942437603936
548,0.0007294397515851106
549,0.0002714898691212861
550,0.0006435431742837113
551,0.005131024677031613
552,-0.0015862288715704157
553,-0.00039785063322671525
554,0.0007535607421182419
555,-0.003893740182696714
556,-4.314116462485204e-05
557,-2.4853541998837427e-05
558,-1.892789435173967e-06
559,-0.00021045807538198514
560,0.0031443893580108463
561,-0.0010495353681502196
562,0.0036130451636301477
563,0.019595851337638283
564,-0.010596950080633428
565,0.0017916682087359165
566,0.0037522322525734586
567,-0.013385646338372215
568,-7.656720587746262e-06
569,-0.001214060578072357
570,0.0015108448512561848
571,0.0005406614450299393
572,-0.0002832180614562768
573,0.0009139453205438303
574,-0.00046029332490391537
575,0.00026136355299053495
576,2.9788030308593102e-06
577,-0.00010096693159768713
578,0.00012936546418855738
579,0.0002733482876457503
580,0.00023633183252040632
581,-0.0003967381777963501
582,0.0003916424385232607
583,7.72062726588623e-05
584,-0.0015919493443290048
585,0.0001943740058498668
586,0.0010023894085695892
587,-0.001167156024850573
588,-0.0008643104356678002
589,-0.0005693388006307457
590,1.3125850920216388e-05
591,-0.004500168209996115
592,-0.0018919395529852748
593,0.002269160162452571
594,0.009120539705759
595,0.026738926587653658
596,0.009426492583556245
597,-0.013137746106466803
598,0.0026294183531187032
599,-0.0037445072576840544
600,-0.0010661577391310182
601,0.007562157564582963
602,0.0012327438675317605
603,0.02284936652093319
604,0.0016631193288182378
605,-0.005879006188057934
606,0.003258386069442184
607,-0.0034349238829546698
608,0.002398193566878097
609,0.006911671659160123
610,0.0019771135502000036
611,0.0347742126007805
612,0.003291089374476365
613,0.000634897701849506
614,-0.00683110160877181
615,-0.007841835577734216
616,0.00031261679723711437
617,-0.00010804266820821126
618,-0.00010779168015182998
619,0.0009370844833380359
620,0.00039825855636841344
621,0.00039373076223390475
622,-0.00034344004848642915
623,0.0014162168453513027
624,-0.00029750345402282147
625,-2.243297919329574e-06
626,4.397031473140007e-05
627,6.941160564070742e-05
628,-1.869314175572206e-05
629,0.00023201051728906808
630,8.813203748666842e-06
631,6.594311895056361e-05
632,-0.0001215545528311668
633,-1.884456405922436e-05
634,-0.0018740397200604018
635,-0.006270608721365683
636,0.001743884858505256
637,0.0007287405420113155
638,0.0011998032267589325
639,0.010672530845344922
640,0.0005924073249492619
641,0.00016704956260364757
642,0.0009039876990419115
643,0.004410671161789359
644,-0.002594138546448911
645,-0.002874769936741613
646,0.00028018389252159747
647,-0.00010350031941657328
648,0.0002658699400678355
649,-0.0020226591401955197
650,8.468134672454507e-05
651,-0.00377828491583815
652,0.00041779014105507037
653,-4.535929613129198e-05
654,-0.00029319636658769777
655,-0.0003471765388494668
656,0.004212209111097567
657,-0.0022339217250152074
658,-0.002889563397243569
659,-0.003707248818305558
660,0.0011873424136898101
661,0.0004478471058643389
662,0.00038637025689093016
663,0.006442666937176782
664,-0.001302537264009908
665,-0.00014459085527163425
666,0.001903077712605549
667,0.002371864762743514
668,-0.0006063137335744841
669,0.0007795166577234332
670,6.185966463612687e-05
671,0.000847918800348467
672,-0.00023836961473189928
673,-0.0007869481060792047
674,0.0004013966601586114
675,-0.0020132949231835805
676,0.00011257211834536068
677,-0.00035531652775170155
678,-0.0012002463986897046
679,-0.0033099539436897175
680,0.00011464970217949929
681,0.00035285792861021
682,-0.0004181686422873866
683,0.0005532426720652732
684,0.001059648281911253
685,-0.00025353387954487255
686,-0.0004108185182703548
687,0.0005267560816276224
688,-0.0003880104397963875
689,-0.0006631341391304225
690,-7.126942837180718e-06
691,-0.0033145429314661223
692,0.0012533606567952074
693,0.0003491079489383083
694,-0.0021568708884222763
695,-0.0018297387195777826
696,0.0006526155091306664
697,5.4913588022292046e-05
698,0.000103196075119864
699,0.0022151563001959066
700,-0.0020487179483112635
701,0.0032866512069012915
702,0.0002790115865729189
703,0.005231264435896507
704,0.0012816497328343012
705,-0.0028118371351331523
706,-0.0016368480774614034
707,-0.010422459006457552
708,-0.0025649275502112935
709,-3.7640253842142014e-05
710,0.0013587654298423384
711,-0.003237851402007689
712,0.0008637161269818382
713,-0.001719015209670082
714,-0.0002210237553391756
715,-0.004005591231978834
716,0.006296417758176377
717,0.006689150400893129
718,0.004184578801288061
719,0.05216542702518447
720,-2.2801305879926643e-05
721,-2.379137665146276e-06
722,-0.00011415566745263214
723,0.00011912985445966062
724,-0.009182475470821006
725,0.0028326159182134204
726,-0.007981719053856138
727,-0.04249872778296951
728,0.00037189748850719855
729,2.918252358459098e-05
730,-0.00021681649538493765
731,0.00047773858795261234
732,-0.006141817193394464
733,-0.0005760397033875407
734,-6.66725718551371e-05
735,-0.0008348526721315277
736,4.9652520730664905e-05
737,8.786492194863755e-05
738,0.00013896304761603287
739,7.193505142544062e-05
740,-1.2197159652672849e-05
741,-0.00033631893687060237
742,0.0001687924734345781
743,-0.00017824711973538621
744,-0.0029016520613830113
745,0.0007516036842554405
746,0.004578124054406735
747,0.005919723164602931
748,-0.013709557398431499
749,0.004462076099701176
750,0.017376261449238855
751,0.023936432312810313
752,0.005748347300322342
753,0.00673025916424561
754,-0.009740620456972127
755,0.01124956194248022
756,3.728549396711298e-05
757,0.00023853740466680114
758,-0.000983221487541626
759,-0.0009506816701429268
760,0.00017460720465077256
761,-5.802192483565983e-05
762,0.00010703618199183494
763,0.0006762648269265456
764,-0.00019442798355561288
765,0.0001364417873111819
766,2.2791511667897995e-05
767,-0.00039826075560179657
768,-0.0005044834138409575
769,0.0003368605215632723
770,0.0013156277001961554
771,0.003136558280019079
772,7.040388094263873e-05
773,-0.00012148911695585042
774,-0.00010520401655145253
775,-0.0005604006856326051
776,7.516246992181169e-05
777,3.4328816433258924e-05
778,1.508938659187521e-05
779,0.00076897748182747
780,-5.2097960481656373e-05
781,0.0012891150738655339
782,0.0009558090567249985
783,0.006153123554415936
784,3.666459540645437e-05
785,-0.0005263336736950051
786,-0.0028937137334686283
787,-0.011056321580895057
788,-0.00029588852539446465
789,0.000306423516851713
790,-9.620635389157115e-05
791,-0.0002436394578695268
792,-0.0009537953246627678
793,-0.0001991102807733907
794,0.0013420767833793924
795,0.0003716532168189407
796,-8.236684467644995e-05
797,0.00013564268034529537
798,0.00010462103308747121
799,0.00042095095534464444
800,-0.0010561360879015526
801,-0.0023966524408451997
802,-0.0008164923331936535
803,-0.012221558279096373
804,0.0007984440231330938
805,0.0006226009459343745
806,-0.0005779132494355279
807,0.002949153920007806
808,-7.14938619329483e-06
809,0.00010481989005025914
810,1.651455000203273e-05
811,0.0003734617254479677
812,0.0001883627142400972
813,-0.0009079534169047271
814,0.0009534541542628797
815,0.00031595681755467126
816,-0.0005836480636697202
817,-0.0007167056127608895
818,-0.00022122876711548668
819,-0.004495607308091869
820,-9.09186978328956e-05
821,0.0027578842079850445
822,-0.00232823546423087
823,-0.0008132320117541574
824,0.00021674309427350706
825,0.0004030563456943169
826,-0.00024399719902036486
827,-2.0454384568901386e-05
828,0.0003899609450292838
829,0.0005394860607135786
830,-0.00040371389295673117
831,0.003682136560312723
832,-8.501286033951556e-05
833,0.00024312187265397632
834,-0.0003419172092602073
835,-0.0007686890443104583
836,0.0004935928929813913
837,0.0003451192588290123
838,-0.0004576403588660751
839,-0.000100652955276923
840,-0.00033878612997462264
841,0.0037608322731267187
842,-0.0009233179746930809
843,0.004938050445527748
844,0.0003396411708216675
845,0.00047691841688335607
846,-6.1573325562092e-07
847,0.006430363564050909
848,0.0006306892366401137
849,-5.17624430965072e-05
850,0.0004359841403724339
851,-0.00017263890169190292
852,-0.0010780818986633012
853,0.0008766964990728314
854,-0.0006998092054208918
855,0.00043843249363152134
856,8.739544303665409e-05
857,0.0008450149501690546
858,-0.0012574440376269835
859,0.0021980899228518334
860,-0.0007843417765611833
861,0.00011097265759532712
862,-0.0010710019624873503
863,0.001175740829640297
864,-0.0005688446102442056
865,0.0009142386752366299
866,-9.809478656038308e-05
867,0.0004926733920955979
868,-0.0009369014904262591
869,-0.0019402235029827982
870,0.003629597273623879
871,0.005952030965587516
872,0.00378644071486042
873,-0.004651655860498087
874,0.0021683483763638013
875,0.005146003541481057
876,-0.002360849087340332
877,-0.0006237779587367085
878,0.0011062364879313327
879,-0.0058191967421489
880,-0.0010459083822824784
881,0.004873427765473522
882,-0.0013486319106123224
883,0.008175420734702923
884,7.740397408514949e-05
