,drop_his_virtual
138,0.0002914627943565021
139,-0.010018496423208872
140,0.00034816129420842205
141,0.00024831829490151757
142,-0.0005593093535098822
143,0.00019379869656200932
144,-0.000986959997135471
145,-0.0013660037834563625
146,-0.0015406890359861826
147,-0.010185510593701923
148,1.1558121237354339e-05
149,-5.6822161958658e-05
150,-3.225047608523008e-05
151,-0.00032835689128960573
152,-1.6501382583865257e-05
153,8.304214948030938e-08
154,5.2109130585403614e-05
155,2.7744754547444743e-05
156,0.004764972293982506
157,0.002088131412508444
158,-0.00090636684325814
159,0.01698341174700187
160,-7.182962483489481e-05
161,-0.0007077699177392637
162,0.00036620381336746854
163,-0.00011960745715542854
164,0.0006758353865535576
165,0.00011581388881455826
166,-3.786335900641423e-05
167,0.0028430547892517592
168,0.0005574523847820896
169,-0.0027311765510939097
170,0.0006745072206795812
171,-0.006017214126993195
172,0.002142261188479027
173,-0.0004249429756418241
174,-0.0041613031944230045
175,-0.013605289098457745
176,0.004020526678580557
177,-0.0017413398463201446
178,-0.006883787162714679
179,-0.01879156319276621
180,0.0014355703468495436
181,0.0005223254944156438
182,-0.00845765971359423
183,-0.02975480660570311
184,0.0011787884932994608
185,0.0008859214150686534
186,-0.003677434458115948
187,-0.009380448627341649
188,-2.633574850870939e-05
189,3.286901546831024e-05
190,-0.00069012970171992
191,-0.0015924058397839302
192,0.0005908483334230445
193,0.000125094982565213
194,0.00016990929326284835
195,0.0028182065168537323
196,-6.239002503868752e-05
197,0.00018418948375817492
198,0.00032740427649632247
199,0.0016712465887424007
200,1.8276942585119693e-05
201,0.00022999789420628087
202,0.0001679823042188291
203,-2.7516607414134144e-06
204,0.0001098903623877636
205,-7.12202366493521e-06
206,0.0002660625803940033
207,-0.00019569618424946538
208,2.145863348402565e-05
209,-0.0002822133098727441
210,0.00020535064666899632
211,-0.0003712728274533163
212,-0.00014544297453880924
213,-0.00019462641043362035
214,-4.529672350587714e-05
215,-0.0015585325366671958
216,0.0005804760059000539
217,0.000961109319725641
218,0.0009749451155027199
219,0.007885472405744508
220,-0.002023560405250696
221,-0.0005980209185355119
222,0.0014756742338388608
223,-0.0017871844299197298
224,-0.00015909205312723666
225,-0.00022976207566439394
226,-7.0638707414877e-05
227,-0.0015061766950026938
228,0.0023775084140106183
229,-0.0010013564950170693
230,-0.0003566973835248869
231,0.0031356164974956175
232,-4.974339864874406e-06
233,-0.0003254199936053712
234,-0.001371094693687269
235,-0.003937278299861353
236,-0.00027914993236263097
237,0.00024277187086400214
238,-0.0015161399075667463
239,-0.005062253436208122
240,0.000888342442431626
241,-0.0002195765922902446
242,0.0006723116436701845
243,0.003891227976087144
244,-0.0003395067408165217
245,0.0002859029929215488
246,-2.202192272736104e-05
247,-6.586660399782483e-05
248,0.0002281664125122166
249,-0.0003860176842299171
250,-6.506911920211329e-05
251,-0.0004889317538339109
252,0.0006737403453436127
253,0.0008723377961973122
254,0.0012116677561379153
255,0.007693720866796236
256,0.07480011972288805
257,0.030723300850900904
258,-0.02840036726720048
259,0.27665848575194063
260,-0.004098923300638461
261,0.002255568616210951
262,0.008475258367238218
263,0.024392317117073268
264,-0.02478014973791709
265,-0.03847429521459848
266,0.02779265325190967
267,-0.10696749395770994
268,-4.108500699138721e-05
269,-1.8825457313890837e-05
270,8.41333754859144e-05
271,8.901349066952568e-05
272,4.562803273420073e-05
273,-1.653937109937387e-05
274,2.2025157562565447e-06
275,-4.837005944556844e-05
276,-0.00031989487753626667
277,-0.0001009887552574822
278,0.00047336904782223805
279,0.0024344980021469395
280,9.501401603238951e-07
281,-5.079805326681595e-05
282,4.478864909552386e-05
283,-0.00023346853195920446
284,0.00031934074651051897
285,-0.0009595882668896646
286,0.00018909112450604876
287,0.0002711270114310168
288,-1.1626319380749808e-05
289,-0.00024751150364603336
290,-0.00035460736931037634
291,-0.0017800413350872706
292,0.0008869057574066931
293,-8.492889831856196e-05
294,9.742162038403643e-05
295,0.002334165352192082
296,-0.0034829483491279583
297,-0.0030210830922139495
298,-0.0024417325570786803
299,-0.02663800348328398
300,0.00011644784977973018
301,-0.0004688387142994972
302,0.0006832412554475238
303,0.0013815217979370239
304,-0.00010047038141563168
305,-0.0001254436706090561
306,0.0003773011959182219
307,0.0006743275088841002
308,0.00015782402434320043
309,-0.00043489561183114556
310,-0.0006536416714791642
311,-0.0022693992665188084
312,9.224146765169403e-05
313,0.00014643206971538404
314,-2.3929906701670756e-05
315,0.0008033189473047131
316,-1.263909335381199e-05
317,0.00019195629899606772
318,0.0004445549004630362
319,0.001867908565749496
320,1.671476817393632e-06
321,-5.150488275451019e-06
322,-6.624243505649733e-05
323,3.373779218708269e-05
324,0.0005532418414697879
325,0.008357434907269078
326,-0.008600028899299905
327,0.0015254118315137597
328,0.0006979858480490856
329,0.00011660091166264203
330,-0.0005410239700243536
331,0.0007678915792398301
332,0.00042924494151982663
333,-5.918847452442647e-05
334,-0.002094907702088962
335,-0.004980510364459879
336,0.0007369110187347296
337,0.0003320774716837246
338,0.0010215356088742397
339,0.008605153051018383
340,1.222303439322672e-06
341,-1.4923537550595737e-06
342,-3.3226694182526115e-05
343,6.997155125235383e-05
344,0.0002083329561141803
345,0.0009087234034025336
346,-0.0003234198698918307
347,0.002735320823426694
348,-0.00016953024095182076
349,-8.904054331020003e-05
350,0.0002431916689646116
351,0.00021808695230155772
352,0.00031361303398867924
353,0.0019759986942520158
354,-0.0013634284270215608
355,0.00222510400682353
356,-0.00021255707926535352
357,0.005646543434350643
358,-0.004059911339731424
359,0.0054778045823572815
360,-0.0009726927807053747
361,-0.0003038542294449659
362,0.0003241506851469388
363,-0.0024650521115543392
364,0.009215726809411628
365,-0.0007880220051093072
366,-0.005028584485649673
367,0.0117120479506617
368,0.0031824832663092484
369,0.004625020432188259
370,0.000946742181561599
371,0.027106954170047378
372,0.011162729301819304
373,-0.004266081279338104
374,-0.001183358450707419
375,0.021002361795188853
376,0.0029861427244882287
377,0.0007096620709816102
378,0.0024617922637735034
379,0.018255827791454224
380,0.0002825633259654662
381,-0.00042406127709942
382,0.0007227268901950559
383,0.001965377454130581
384,-3.0916190427409843e-05
385,-0.0004334184917906308
386,0.0010018854727432947
387,0.001076003611685101
388,0.003098691404370556
389,0.0003942177600814045
390,-0.00037485863116196443
391,0.0030830041528017702
392,0.00011322609980366019
393,-6.72450663216644e-06
394,0.0005378637917348247
395,0.002579622883082559
396,0.00031094903888135276
397,-8.041050518515364e-05
398,0.0009552457705493056
399,0.00350736717036171
400,-0.00022109317994652088
401,0.00029476077300607465
402,0.0005164393074968715
403,0.0017158103544175078
404,-0.0011279248625763155
405,0.0001989621688022243
406,2.8086653660839172e-05
407,-0.002325387537827217
408,0.0002074137286609734
409,-0.00017167781306735847
410,-0.0005461677925651411
411,-0.0021485852062662412
412,-0.0005391296093679249
413,8.76703175648468e-05
414,0.0013594974253650094
415,0.0026052897419358086
416,0.0022005495309001706
417,0.000923668778386233
418,4.027334185792003e-05
419,0.009636533315124667
420,-0.009479339027755725
421,0.009433151484594131
422,-0.0066726121444411046
423,-0.02320399339082178
424,-0.01811454442882561
425,-0.01713086302679444
426,-0.01124258961673118
427,-0.1446409951108827
428,-0.0001382889705060622
429,0.00014886891841834888
430,6.591519559066164e-05
431,0.00031418393079136233
432,0.00039421420887347607
433,-0.00022759883880617946
434,-0.0010778066999947828
435,-0.003469770916167178
436,-9.495935436481645e-05
437,-0.0001683579066997443
438,-0.00025368921982793296
439,-0.001856605174323965
440,0.00017860151363068892
441,-0.0011174485964688648
442,0.00032187606859405987
443,-0.0018947469383440738
444,7.607479161505396e-05
445,-0.00022347584359776654
446,7.29355406371564e-06
447,-0.0005617255718273016
448,-1.6450602301931403e-05
449,0.00015637360871860044
450,4.1991977768598954e-05
451,0.00017561502047421123
452,0.00043217246241432854
453,0.0005551838799745364
454,-7.046883975008889e-05
455,0.0010260641476671152
456,-0.0003507470297814635
457,0.0009665218976861624
458,-4.203063805173589e-05
459,0.0029125565890328192
460,-0.0009692595357244019
461,0.00027474232826733933
462,0.0011134162925901792
463,0.0011677857439036025
464,0.001016123435728219
465,0.002426208436858759
466,0.0025137422667192966
467,0.017631992931067125
468,-0.005170173503588741
469,0.00044962950345798857
470,-0.0027447597269506137
471,-0.023660928643846484
472,6.812166923379814e-06
473,5.371344163777647e-06
474,-0.00021817965510279353
475,-0.00028006498005115965
476,3.531060427779377e-05
477,-0.0002143118581563227
478,-0.0005374185635848717
479,-0.0014197294540778016
480,0.000270878474962447
481,-6.55671039548011e-05
482,0.0003340840747601032
483,0.0016833846615454213
484,-0.0006142303881169652
485,0.00036413757297068544
486,-0.001588599431270043
487,-0.005202000667950035
488,-2.72714184763039e-05
489,-0.0004782477009984734
490,0.0001364509534795015
491,-0.00022121875758758885
492,0.00012792810842848364
493,-8.175908184574415e-05
494,-0.0002800796155143368
495,-0.0002979115269998948
496,-0.0002716587415154837
497,0.00033707917953149617
498,0.00012664030997304706
499,0.000963715470437288
500,-4.679714703594749e-05
501,0.00026565381234302057
502,0.0006974212014551829
503,0.0021075111836974486
504,-0.000593328562509626
505,0.00028687198278682074
506,0.00017258591655680742
507,-0.00038375073099640406
508,0.0038510780802741354
509,0.0032942938546221567
510,0.0003484649170494884
511,0.023868425000887344
512,0.0006594824701632007
513,0.002627759688619753
514,-0.002612444745457326
515,0.0023208217441558075
516,-0.002891120103054832
517,-0.0014809551289255568
518,0.0017873071743220302
519,-0.006731215684974037
520,-0.0015801359608911675
521,0.0007320719611883208
522,3.572190536313244e-06
523,-0.0022086264071719437
524,4.292251555318195e-05
525,7.641657359461375e-06
526,3.432002189143751e-05
527,0.0004000597512313599
528,0.00010386474546248735
529,7.056095724239138e-05
530,-0.0009018108960807272
531,-0.004869677956296412
532,-0.00038200048559174624
533,-0.0019259780503546918
534,-0.00045087584753365285
535,-0.007336969314631677
536,0.0015922654230651348
537,0.0076375751748124325
538,-0.005813036476077688
539,0.008895166289462453
540,0.010562672654666167
541,0.009403123876507899
542,-0.013895883047166678
543,0.022558053088906505
544,-6.75999114344463e-05
545,-6.483441591327003e-05
546,7.216969110765673e-05
547,-0.00018189503412881214
548,-0.00015328211187830973
549,-1.5651535820042967e-05
550,4.351359516782602e-05
551,-0.0003414837376819099
552,-0.002404648104060576
553,-0.00042365779327228935
554,0.0007582727022802221
555,-0.00444876819310929
556,9.348468524209386e-05
557,4.993982778250932e-05
558,2.8380841356376505e-05
559,0.000631629069948373
560,-0.00021818893585388925
561,5.139706741502165e-05
562,-0.0008843412166974562
563,-0.0024708170041820273
564,0.001064094449481397
565,-0.00045332024028343714
566,-0.0009693709857363173
567,0.002724536464618732
568,-0.00015159080295174668
569,0.0020533293246802063
570,-0.000787537619925656
571,-0.0007131089027350173
572,8.329522363853708e-06
573,-0.0002778497403743419
574,6.749088669854685e-05
575,-4.586351273100678e-05
576,8.220929364809146e-05
577,-0.0008984542092306143
578,0.0016151129779530407
579,0.0036955105856362816
580,8.397731748372463e-05
581,-0.0003861753082411432
582,0.00012428832384660325
583,3.898745622743946e-05
584,-0.009046749872436362
585,0.0011292884618816696
586,0.005914085395003337
587,-0.006766068004218874
588,-0.007061478356438057
589,-0.00479871366395008
590,9.70786192976994e-05
591,-0.035776132635416
592,-0.000496400596437652
593,0.0004319968298103012
594,0.0016100695459310861
595,0.005620824160972019
596,0.0013700069043101103
597,-0.0018584080230262313
598,0.00040128524711239937
599,-0.0005489848431604939
600,-0.00036520512606129797
601,0.0018265971827263216
602,0.0003485369792218787
603,0.006558477042944691
604,0.0004584548546221626
605,-0.00162757609889837
606,0.0010170060302495492
607,-0.000992681452427607
608,0.00018013896013539883
609,0.0003791803821243791
610,0.00022120133457427502
611,0.002798311181555734
612,0.0001075387851261475
613,2.8725066332890143e-05
614,-0.0005064646750284507
615,-0.00039877292495052425
616,0.000848306219669147
617,-9.005809411597277e-05
618,-7.769340058187296e-05
619,0.0011187302877009877
620,-0.000263252676144634
621,-0.0001747385442794718
622,0.00019071938001494275
623,-0.0007864184389358922
624,0.0007967428070708536
625,-5.059370194307054e-05
626,-0.000327212586522877
627,-0.00035624522744508044
628,0.0004774630674391725
629,-0.0030039250195974237
630,0.0021357922220304718
631,-0.0017801381197996586
632,0.00012270304446782517
633,1.7317765348777867e-05
634,0.0017702943420599476
635,0.005986360630658861
636,0.0008617278332074307
637,0.0003575818659444638
638,0.00050120770122613
639,0.004975171456916052
640,-0.00040385683770351877
641,-0.00014349795744584404
642,-0.0007419958767386388
643,-0.0034988419103429026
644,-0.0007608677591668658
645,0.0035300051989422495
646,-0.0003954823717625181
647,0.002337894803871981
648,-0.00010867797117918303
