,hispanic_elapass_hybridper_inf
222,7.799456875588974e-05
223,-1.2828978566292129e-05
224,-9.90904935828988e-06
225,-0.0004176292642111939
226,-5.448311972206219e-05
227,-7.075642959182668e-05
228,0.0002295444325613553
229,-0.000325227377431353
230,-0.0010733258734153394
231,-0.00012776764041180698
232,-9.989604428747931e-06
233,-3.0753548187631914e-05
234,3.93504870973116e-06
235,-8.11150147263601e-05
236,-1.8586261217327776e-06
237,0.00013535106462830016
238,0.00028586930696513426
239,-0.00018609219382494007
240,0.0002706806562540692
241,-1.0743225190452327e-05
242,-1.611438082059622e-05
243,0.00018532437202546103
244,-0.00028174416366735187
245,0.00032176624224300297
246,-0.0013940836577542599
247,-0.00028278097169476404
248,0.0003568448596525582
249,1.632697684320266e-05
250,-7.9454321717518e-05
251,0.0005794062476564893
252,0.00014162103986513702
253,-0.00034450742651211363
254,0.00042727477839115286
255,0.0007358259789356963
256,0.0007494249871775214
257,-0.0004917024189569526
258,0.0025141876061649518
259,0.009333536406729289
260,-9.900255296014033e-05
261,-4.2957849373457366e-05
262,-0.00044930535520105563
263,0.0009458134574356584
264,0.0006003833533745077
265,-6.232450596950246e-05
266,-8.422576797942432e-05
267,0.0007199466050608589
268,-0.004117232266438865
269,-0.00010842381150490128
270,-0.0005198376547911886
271,-0.0021390326980577213
272,-4.271303756880194e-05
273,0.0001638847206690878
274,0.0002011830116044433
275,0.0015638029302894756
276,-0.0005315296720235798
277,-0.00020801228117355277
278,0.0005679413723412056
279,-0.001212204365183048
280,0.0005659482449743094
281,-0.00013029737178748104
282,5.113738204558153e-06
283,-0.00013915170591121545
284,-5.5357549610926105e-05
285,-7.639847567715304e-06
286,2.975087245794518e-05
287,-8.296408891716535e-07
288,-0.00013320476642822315
289,-1.3492920528673175e-05
290,-2.9924542197446564e-05
291,-0.0001098432652557036
292,0.00021381927766416788
293,0.00018383599263401413
294,7.305964698679222e-05
295,0.00010945810596814323
296,0.0014354341006796768
297,-0.0022375218947954345
298,0.0015472582077353501
299,0.0019136493011402591
300,-0.0001616911110907539
301,0.00039371069872278544
302,0.00013543018620028219
303,0.00045893992278256906
304,-0.0002000602350557547
305,3.083119151665285e-05
306,-3.297111518937121e-05
307,6.156680851552427e-05
308,-5.084503879665473e-05
309,0.0001760332890317205
310,-0.0005907038906565596
311,0.00040922065119880404
312,0.0010732385567587682
313,0.00015473619158651913
314,-0.00018854519302219928
315,0.0005636401179767809
316,-0.00017737998038903864
317,-1.0522533897282255e-05
318,-0.00016032157978499928
319,4.8157672304399204e-05
320,-5.0951605292337764e-05
321,2.6376303025635474e-05
322,-0.00019674629399371376
323,0.00014744718355604394
324,-7.281544253409762e-05
325,-3.6380057345112e-06
326,5.978791879318073e-05
327,0.00016245862427930054
328,0.0003960962138668847
329,-1.0246494800094159e-05
330,-5.328152466596753e-05
331,0.0007285240976160578
332,-0.00022646229275020787
333,6.616760934265993e-05
334,-0.00020398870103720225
335,-2.9828539289542395e-05
336,-0.0001537449258962697
337,-0.0003992365556026719
338,-0.0005447621770846464
339,-0.003472356803813481
340,6.647177943790179e-05
341,-4.0781477894639065e-05
342,-1.9168795241153605e-05
343,0.0010391087211104788
344,0.00013261194588085648
345,0.000902978923340418
346,0.0002771050156750321
347,0.003746693125372756
348,1.151103916425917e-05
349,0.0002736727881945534
350,6.723947769929914e-05
351,0.0003433982879555312
352,-0.0009173593083661132
353,0.0007955202658357837
354,0.000421135079307097
355,0.002811309719026705
356,-7.255302970972892e-08
357,0.0004679395230654541
358,-0.0007967616313413937
359,0.0009314724393660615
360,0.0003982957050128289
361,-4.2381440856368494e-05
