,wi_elapass_hybridper_inf
118,-5.1617177778185365e-05
119,-0.0005128147185703715
120,8.995388235385485e-05
121,-1.7221594921854637e-07
122,0.0001540442529727718
123,0.000675784077516798
124,0.0008033122736734081
125,0.00026695794853125843
126,-0.00045240796516843573
127,-0.0007119731998856118
128,-0.00011236579990228471
129,-7.160408874923677e-05
130,-6.85653846966833e-05
131,-0.00010021369335253932
132,0.00018310575318729628
133,0.0008956886221347666
134,8.141334399452028e-05
135,-0.00019573465321168055
136,0.00021831416542117532
137,0.00021275711762820844
138,0.00017940464111385222
139,-2.206138560816769e-05
140,-0.00029298004933413316
141,2.241670434085815e-05
142,5.25278990447417e-05
143,0.0002951969473626405
144,-0.0007102439608361243
145,-6.576860801863773e-05
146,-1.0570160769336235e-06
147,2.527891921043863e-05
148,-2.3417405908879794e-05
149,-6.759360022359929e-05
150,8.198629576890397e-06
151,-0.0006792210866914142
152,-9.632841330307069e-05
153,0.0005174258818178398
154,-0.0002452105670724659
155,0.00045571053485855026
156,0.00011189790513613805
157,3.99317094307302e-05
158,5.338614004413745e-05
159,7.320859567314179e-05
160,0.00038324132236944834
161,-0.00018384324878382207
162,0.0001297933615989813
163,-0.00016562109165260298
164,-0.003480212937715476
165,-1.4653751617176535e-06
166,-6.845724665751391e-05
167,-0.0026808214867388076
168,-0.0007648436352604659
169,3.9830994503632254e-05
170,0.000364590405154088
171,-0.0006740734669180516
172,-0.00016799705396320676
173,3.431135206847689e-05
174,-9.59109312934594e-05
175,0.00023048038409989135
176,-0.000683699999569569
177,-5.332070911935395e-05
178,2.861027933800715e-05
179,-0.0008951855551235312
180,-0.00027768928876547997
181,0.0002464949661719374
182,-0.00041907127622532725
183,9.811646682089536e-05
184,-0.0003625011824722499
185,2.6962431428045036e-05
186,-4.540331599024703e-05
187,-1.6710120999030024e-05
188,-0.00022156817297355315
189,-4.491516807592475e-05
190,6.96626302346753e-05
191,0.00010528177109625077
192,-6.186068036787003e-05
193,-0.00014151919871469636
194,-0.00014027353129043675
195,-8.249870656875207e-05
196,0.00027664347827787946
197,0.0003277487786205997
198,0.00043121333360529086
199,0.00019226785485139855
200,-0.0015213081072310626
201,-0.0001496288561155594
202,1.0287837422069638e-05
203,-0.0021723567806928652
204,-1.0426110883598903e-05
205,0.00013950904407621594
206,2.5670904421379744e-05
207,-0.00041653387375943424
208,0.0001604670450506968
209,0.0002519305243440852
210,-0.00016719164419008386
211,0.0007699154886716143
212,-9.004814463702717e-05
213,-5.582141548965723e-05
214,0.00018808127445961992
215,0.0004868795454474534
216,-0.00033245075689799456
217,-0.00016048692370037036
218,0.00011298981225661678
219,-0.00020111118776863993
220,0.00021018522257634068
221,-6.72402399296963e-05
222,1.8987832076640523e-05
223,-0.0002940207892837409
224,-0.00010153619029776051
225,-0.0004996956436957902
226,0.000770280252814076
227,-0.0003266448109345853
228,-0.0002950447766117978
229,0.0006136530630412628
230,-0.00048747955755366277
231,-0.00018347318614395932
232,1.306056324286869e-05
233,4.5495264409358e-05
234,1.668347752059166e-06
235,0.00014622068800066362
236,-0.00035790307905422494
237,5.393689743475691e-05
238,-0.0011086456973548725
239,-0.0022398212947608645
240,7.124649175849718e-05
241,-7.367424574403431e-06
242,5.249858024136005e-07
243,0.00013126773652900536
244,-0.001077818809561258
245,0.0003540991472321604
246,0.0008253314490909168
247,0.00263978878271942
248,-0.0006217829432454547
249,-1.4555881165520816e-05
250,-6.28940636919039e-05
251,-0.0016568206451622368
252,-0.00011517922825503663
253,-0.0003563359012547244
254,-0.00033656862947358386
255,-0.000158386531030015
256,0.0007871242778527514
257,-0.00019657306295716768
258,0.001361278864074391
259,0.005371834698183647
260,-0.0009590620458349768
261,0.00012810752997561393
262,0.0001578382543135982
263,-0.0010400554889067072
264,-0.0004514350853485217
265,2.5897113200169646e-05
266,-0.0003246926248841489
267,-0.0015030321477784458
268,-0.0013786120376154919
269,0.0002823096595385006
270,0.00021327550583269102
271,-0.0017671292555585198
272,4.967504232869403e-05
273,6.739175038453116e-05
274,-0.00040911295791972184
275,-0.001712347109584851
276,-0.00019601686406299482
277,-0.0004658284628369603
278,0.0009824715098065795
279,-0.0018592746902787605
280,7.694773529298788e-05
281,-0.0001569434612109603
282,-0.0002714918420279853
283,-0.0001318831938388172
284,-0.00022893707943540885
285,-4.504086779330026e-05
286,-5.533562939597626e-05
287,-0.0010940629641386559
288,-0.0001336055867048516
289,-3.7868006282858115e-05
290,0.00014438585655375148
291,-0.000653781872876616
292,0.00023124349806894235
293,1.4857271397012603e-05
294,-5.2135283480159975e-05
295,-0.0010812672069249356
296,0.0010017068687487656
297,-0.0018230616925474753
298,0.0010802122937625107
299,0.001407311568697133
300,0.00028940088434363726
301,-0.00027353898051386144
302,-0.00011998515009330058
303,-0.00043260516375179605
304,-0.00030076180517790864
305,0.00032916663784816576
306,2.7874970066553064e-05
307,-0.0004623065737949112
308,0.0003966729240079327
309,7.008449787987746e-05
310,-2.3347096569614913e-05
311,0.00029204682832668075
312,-6.810192660614411e-05
313,0.00012403056885641292
314,0.0005508516500143888
315,-2.0223741771326853e-05
316,0.0002333490378287687
317,7.704584229256318e-05
318,-0.0003871903244164231
319,-0.00019621654988133315
320,0.0002801742212286802
321,-6.343266337190717e-05
322,0.00029139646896252455
323,-0.0013633568896312311
324,2.8769863744627554e-05
325,3.4830682189613864e-05
326,0.00014049912603738193
327,-0.00032729339760747704
328,0.0001752270060810016
329,5.9487618701564626e-05
330,-0.00016627511408544903
331,-0.0006275739044940353
332,0.0004380455148708566
333,-0.0002669047497256995
334,0.0011534687611116478
335,-0.000284431031899834
336,-0.0002882421945631569
337,-0.00022747211593160787
338,-0.0006329214039569959
339,-0.0034094470725899687
340,-4.6806696726862875e-05
341,-6.240590546530681e-05
342,-0.0002503581496904326
343,-0.0016493139654886056
344,0.00013741447681839893
345,0.000563282583544115
346,0.00035052588835918756
347,0.0036880953088298174
348,-9.165163484592158e-05
349,8.031190024221672e-05
350,2.5719823424674612e-05
351,0.00016842449782497254
352,-0.00042838532723861586
353,0.0007869720286166062
354,0.0006006282808042971
355,0.002350433946162169
356,1.683548443600741e-08
357,6.432052355406759e-05
358,8.528832069823861e-05
359,-0.00010183846644669748
360,-0.00014928343145529093
361,-0.000523868095503696
362,-0.000751286874800934
363,-5.778855706531235e-05
364,-0.00031699544818243093
365,2.3794394693574915e-05
366,0.00030136542358274044
367,0.0007784401748165117
368,0.0016240105661480939
369,0.0018100265226761857
370,-0.003110006961563824
371,0.0015911406178304094
372,0.0009691139226337122
373,-6.724115739981675e-05
374,-1.4844220523392633e-05
375,0.0005487022769663964
376,0.0032169312824400346
377,0.0006946568003062441
378,-0.0023493514187996225
379,0.0006289179417012591
380,0.0008409798875247402
381,-0.0002568560115378115
382,-9.735917936825453e-05
383,-0.00035829741617067414
384,-0.0008843301411092136
385,-6.342998395084853e-05
386,0.0006625949054724307
387,-0.0013883895611585754
388,-0.00010839235319126676
389,-0.00073990237909798
390,0.0002550808492066997
391,-0.0006258327940171344
392,-6.389970577545451e-05
393,5.231185651170331e-05
394,-8.647355569822676e-05
395,8.188990036566599e-06
396,0.00029823713323071056
397,-4.3903831121573395e-05
398,9.430543091963416e-05
399,5.979251748177269e-05
400,0.00011198428707884547
401,-9.5934689109238e-05
402,-6.522646149021515e-06
403,-0.0006667537894819224
404,0.00010060079408658404
405,-0.0001891921375699891
406,-5.236248317598451e-05
407,-0.00023115398180068323
408,4.253445152181607e-05
409,1.2441320643066272e-05
410,2.58597379385796e-05
