,elapass_ed_virtualper_inf
224,-4.189817651540167e-05
225,0.0002444921563341216
226,5.054503455513268e-05
227,-2.059479216163905e-05
228,0.00022446673987975635
229,0.0011394031653916513
230,-0.0003363611145390659
231,-0.000568526384109272
232,1.1081915428245117e-05
233,3.7211983812921706e-05
234,-8.536753383527575e-06
235,7.488524426627019e-05
236,-0.00010360516050253162
237,-0.00020109079015150498
238,-0.0005800015384980432
239,-0.00017777732717628878
240,-6.624288589998318e-05
241,-1.3480434718869466e-05
242,2.5269552136421353e-05
243,0.0002979873072109706
244,2.0212350829899808e-05
245,-0.000325773316121577
246,0.000631834785560174
247,-2.8905151748644197e-05
248,-0.0006242981827406219
249,8.949547755576808e-05
250,0.00013254276152256504
251,-0.0005588546803490401
252,7.768328986297045e-05
253,-0.0009816565274625953
254,0.00045750827065708856
255,0.0010408321203007648
256,0.0001687070597736068
257,0.00016063178572553265
258,-0.0008259309013832349
259,-0.0023015643665933237
260,-0.00036421588363824654
261,0.00020665577182086572
262,0.000296042928198748
263,-0.0006035698223469997
264,-0.0004591975708645199
265,-6.547002547510431e-05
266,-9.260539537130916e-05
267,-0.0005355077053719432
268,0.0004023589798313059
269,-6.38922659570973e-05
270,0.0008108838779922966
271,-0.00497252703325515
272,5.0804869004080816e-05
273,0.00028404725044138204
274,-0.00013285414571381088
275,-0.000750383809838025
276,-0.005854907777546288
277,-0.0019425584305465947
278,0.004340411886265714
279,-0.01110484517193767
280,-0.0008504101077666611
281,0.00021637160665339915
282,0.00032354029485010785
283,0.00028691778732603854
284,0.00011407562311683388
285,5.873892750120422e-05
286,5.423709374589814e-05
287,0.000988351829015725
288,0.00016293234880881987
289,0.00010483234666577115
290,7.932985177630948e-05
291,0.00015490598490282439
292,-0.00019603829928785106
293,0.0007806737632505152
294,4.811030579041097e-05
295,0.0015675975483137278
296,0.0001861848143286067
297,-0.0003136197215239416
298,9.72691814679221e-05
299,0.000209654683412985
300,-0.0006701689094353703
301,0.0005437624126459719
302,0.0006647135829203089
303,0.0012265938502144537
304,9.073041510636976e-05
305,2.7548038371471773e-05
306,2.4893855797914817e-05
307,-0.00010289356659639089
308,4.736713606729439e-05
309,-0.00018029163963973128
310,0.0006777937231065293
311,-0.00045835401766852757
312,0.0009518935180251276
313,0.0004444248394912373
314,-0.0009451371457691446
315,0.0010980088301944593
316,0.0001712383671739273
317,-7.635452926473701e-05
318,0.0002288951755829454
319,2.42506978219293e-06
320,0.00015327049321331971
321,8.027740671914116e-05
322,0.0007171111605424578
323,0.0001721994441605945
324,2.2949513923094924e-05
325,0.00030834749379573
326,-2.152068305129201e-05
327,0.000110932836197946
328,0.00014833649484601036
329,-1.1162114911401328e-05
330,0.00019377532760659258
331,0.0007355475356827109
332,0.00032916315972904216
333,2.7190918479514286e-06
334,0.0005726518744831416
335,4.7453829354007844e-07
336,-0.00026929099818771027
337,5.8647421673659826e-05
338,-0.00024249459947854306
339,-0.0012042936804166314
340,-6.812211634088206e-05
341,3.624339071071137e-05
342,2.5908299772634016e-05
343,-0.0010825238954719615
344,5.7018924845101695e-05
345,-0.00012474191169830723
346,9.599812822123009e-05
347,0.0007888437077311558
348,0.00010691167370722382
349,-0.0006093332873844641
350,-9.817599563352535e-05
351,-0.0006595521943765566
352,0.0004692638830264609
353,-0.0002982582879859931
354,0.00010142985131329774
355,-0.0008250971147050557
356,6.644024570601883e-08
357,-0.0002937420506672701
358,0.0004462436646283167
359,-0.0006516265486593317
360,-0.0032307336887847592
361,-0.007350009217191598
362,0.006677460227889926
363,-0.00928656408421872
364,-9.309168816237284e-06
365,-0.0006814458731344216
366,-0.00010206923512888734
367,-0.0007033235460464743
368,7.030529993960089e-05
369,0.0007322071202163337
370,-0.001208584044349245
371,0.0004865030536029659
372,0.00026869848035002435
373,0.00040387328265388913
374,-0.0001391868362016694
375,-0.0005110448272661163
376,0.0027240153682164293
377,0.0007080374822456965
378,-0.0031815194364659804
379,0.0006518981048530873
380,-0.0019223041728451589
381,-0.00024201502516416008
382,-0.0009044734816753745
383,3.79963242831873e-05
384,-0.0006658524385493103
385,7.561694968093065e-05
386,0.0003215854468771265
387,-0.0004381386501007752
388,-9.137609062495418e-05
389,4.660021927436724e-05
390,-0.00045553364595164286
391,-0.0001612939267147315
392,8.657273587455705e-06
393,-0.00027715668819669687
394,0.00012967061850714432
395,-1.1432843502300307e-05
396,0.00011093450009469771
397,0.0001571319448746377
398,1.598875363924051e-05
399,9.655022585539145e-07
400,0.0001079696288020404
401,-1.4204743813277968e-05
402,0.00011434995956178448
403,-0.00024030126142613804
404,-0.0012504157561761605
405,-0.000582621874921516
406,0.0005122014797900963
407,-0.004397576175837614
408,9.012143499713598e-06
409,-5.309069674365111e-05
410,0.00025306465825658666
411,0.0001289751447767015
412,4.3882155454267844e-05
413,1.8612394165279474e-05
414,-0.0001598340022087288
415,-0.000245179164757519
416,-0.0008766381367567539
417,0.00012461749533499493
418,-6.260268732173182e-05
419,-0.00017076753430668885
420,-8.955191365054368e-07
421,0.00019421268953775426
422,4.0271812463017776e-05
423,0.0004818357719921644
424,-0.00012965658814611728
425,0.0002465189493846019
426,3.856793564378985e-05
427,0.0007329135742984342
428,0.0004981440467117024
429,0.00020075862814395438
430,-0.00010802316176466927
431,4.708269548333495e-06
432,-5.376686395903896e-06
433,0.0002260668389212601
434,-5.440514799787746e-05
435,0.0006506800317299472
436,-3.574169404546391e-05
437,-0.0002707151604533655
438,1.4935033466066918e-05
439,-0.0003723906346230498
440,-0.000769754070942954
441,1.513763157465652e-05
442,-6.521785677620064e-05
443,-0.0021452943923360624
444,-4.395303876329782e-05
