,mathpass_ed_hybridper_inf
80,-0.000689617543122111
81,-0.0011325918169627002
82,0.0002635590872407572
83,-0.0038516609001651436
84,0.0002147176681477798
85,0.0008074311736529381
86,-0.0005320373487700484
87,0.0014274998269173075
88,0.001417523855158484
89,-8.282302367104088e-05
90,-0.0009599161596585781
91,0.0010600886526499034
92,0.0003997204828256123
93,-0.0004324673474477363
94,-0.0013889627590858006
95,-0.00398354106731415
96,-0.0010082405106150239
97,-1.1341565909275243e-05
98,0.00023242465652821106
99,-0.0010470747020305611
100,1.8349061870253454e-06
101,-4.6563879028769365e-05
102,9.047989725799773e-05
103,8.30327726454605e-06
104,0.00017904616822019817
105,-0.00015783175925413042
106,-0.00027912802853896786
107,0.0003565106964086774
108,0.0019021284413751269
109,-0.0005202085622308617
110,0.00017715012921534832
111,-0.007370195754635962
112,2.025015648454741e-05
113,0.00021951413539194096
114,-1.9422351124902684e-05
115,0.000292652604151796
116,0.00011769596755365692
117,0.0005619583297497326
118,-0.00015861879797906848
119,0.001387287634207964
120,0.0017350288217037081
121,2.589703571614542e-05
122,-9.426803223242238e-05
123,0.0013916064693867834
124,-1.8574685875250734e-05
125,0.00017712368040426616
126,0.00041257004141438274
127,0.001434128430098968
128,-1.6359811095483536e-05
129,3.9503838266686e-05
130,-0.00014039733529688892
131,-0.0002601227189569781
132,3.4647961555816833e-06
133,-1.8238134631801276e-05
134,-0.000115988077737418
135,-0.00046115858179491
136,1.4273030088952709e-05
137,4.18691776779222e-05
138,0.00023556962323053164
139,-3.726134786228603e-05
140,-5.657106528496722e-05
141,-0.00035088595374536865
142,0.00023041256090776738
143,-0.0002136035375858345
144,-0.0003380069088686311
145,-0.0001336729092816452
146,-5.920730491454565e-05
147,1.797057670327159e-06
148,2.8979365435139677e-05
149,-5.680654690075883e-06
150,5.255530025997912e-05
151,-0.00013510787659143833
152,5.227067155146573e-05
153,-0.000153862172661196
154,0.0007038787261478452
155,0.002163307292392923
156,-0.00011818745857710549
157,-1.568453657765337e-05
158,1.3211301526424122e-05
159,-0.00013580172928830093
160,3.044059965298726e-05
161,-4.285024275834215e-05
162,2.376539686066238e-05
163,9.10358386029221e-05
164,8.797258283184547e-05
165,-5.94150938489063e-05
166,6.5288558657106e-05
167,-8.217188570801297e-06
168,0.00030566486463798245
169,1.1102754249644588e-05
170,2.5362189146094607e-06
171,0.0007647429029437034
172,-0.00015078989777208372
173,6.728269201561933e-05
174,4.069542517506132e-05
175,6.9847692791755e-05
176,-0.0005749101032710705
177,0.0003336682582791156
178,0.0002305604273998744
179,0.0005071515905617155
180,-0.0002644392711373447
181,-0.00032263901144189273
182,0.0004259102572573864
183,-0.0001918601934142061
184,-0.00023958379345008122
185,0.0004284014894183475
186,-3.6187095835676873e-06
187,0.00022311737933857634
188,-0.00010451464854175781
189,0.0004376895520972242
190,-6.150676072143837e-05
191,0.0008175461978941447
192,7.882346549892122e-05
193,-9.584511261233677e-05
194,2.057041524480985e-05
195,-0.000139918884543695
196,-0.00012080899325844401
197,-3.278201575537585e-06
198,9.439997476318583e-05
199,-0.00018280229199088232
200,-0.0003926176044484778
201,-7.021181528231465e-05
202,-0.00011760548948545743
203,-0.0020435914768463046
204,1.1878270520109139e-05
205,-0.00016565419701974603
206,-3.10148816629068e-05
207,-0.0013245230816864586
208,1.2807306292715037e-05
209,-5.964129342803282e-05
210,-2.0636658347318827e-05
211,-0.0001962145056323065
212,-0.0001904514056371605
213,1.866362310483022e-05
214,6.94786859111471e-05
215,-0.00023022288371363437
216,7.002436523652146e-06
217,-5.60991572854232e-06
218,4.146822454472534e-06
219,6.506006165715844e-05
220,3.150577930026333e-05
221,0.0001496945382126542
222,-0.0002489881403992225
223,0.0009199389784800029
224,1.669254548516145e-05
225,1.1684160277067965e-05
226,-1.5970220575243432e-05
227,5.572537613420553e-06
228,0.00016496802016746932
229,-9.987293684298956e-05
230,0.00023294418105246624
231,0.00015486684389868425
232,-0.00019860498939974983
233,0.0003839491668658435
234,6.443703844324853e-07
235,0.0004640425088586605
236,-6.32797659412212e-05
237,8.683713947502069e-07
238,-0.00010348634914345859
239,-0.0003458981869197678
240,-0.0002429767924705681
241,0.0001298317224724199
242,-1.4067227219751111e-05
243,0.0003541595371195781
244,5.8876729584809854e-05
245,-4.067090066786949e-06
246,0.0005382479061479043
247,8.447110897279454e-05
248,-3.5958608106196193e-05
