,elapass_hybridper_inf
208,0.00033810594081525817
209,0.0015278261061305808
210,-0.0007301311241175429
211,0.0027399793930682364
212,-0.000337568236245886
213,-0.00018978963471161955
214,0.001185586300383988
215,0.0020189879977069686
216,-0.000562237989407573
217,-0.0006184511568792236
218,0.0010316186400469215
219,-0.0006306550527789953
220,0.0004562399314780593
221,-0.0010144603556154828
222,0.0001231916338362436
223,-0.0012666236243440703
224,-0.00024216227568844023
225,-0.002247111102934955
226,0.0021375486572125604
227,-0.0009954523460534057
228,-0.001917535662831358
229,-0.0021686082836445317
230,0.004818279384018819
231,0.0022962956293783574
232,3.263503650170016e-05
233,0.00010710737672088317
234,3.403051289460477e-05
235,0.0004968286019311635
236,-0.0007333048940683404
237,0.0008240272995626704
238,-0.0026345733067471675
239,-0.007249309202740938
240,-0.0006083690205773085
241,9.502696554126193e-05
242,-4.9256380865915274e-05
243,-0.001831290316236537
244,-0.002358645387442112
245,0.001892025828334204
246,0.003831517083153708
247,0.009295525531079008
248,-0.0008699017640491796
249,-0.00047203818451548545
250,-0.0005638877064174787
251,-0.0058070040129787545
252,-0.0004904758634215083
253,0.0019890391007254507
254,-0.0023101341434426
255,-0.003446288888327794
256,-0.0007089783274237863
257,0.0002262023317284925
258,-0.0008733167025288607
259,-0.0043658163033166485
260,-0.0037609884340137605
261,-0.001488989638924472
262,0.001566928127190313
263,-0.011514474768391693
264,-0.0015937225542011022
265,0.0005422409105891442
266,-0.000654256481940892
267,-0.00572572321833814
268,-0.0034528930489220425
269,-0.001164906391579293
270,0.0007427096473725523
271,-0.01410191181559345
272,0.0001703791993381899
273,-0.0016147541347638554
274,-0.0012513778276222215
275,-0.008961705962853181
276,0.00080114620796022
277,0.00037853936509219747
278,-0.0009584294216378697
279,0.0020415568806290787
280,-0.00020184675194375102
281,0.0001084614253874757
282,0.00018119679860101207
283,0.0001129134803526408
284,-0.0006703176970982888
285,-0.00017293889018380186
286,-0.0001929613444556511
287,-0.003709021940117897
288,-0.0008876504038181395
289,-0.0007064728935651303
290,0.0003321852117481531
291,-0.003273262220035772
292,0.00048619555851764444
293,-0.0018433842210549552
294,-0.00022511257892969698
295,-0.004667208284713641
296,0.0009609753270365115
297,-0.0014192358603163024
298,0.0008531711419556783
299,0.0011801323194169271
300,0.0009540763508709471
301,-0.0008423109952346232
302,-0.0006493971512355297
303,-0.0015732495628643722
304,-0.0013626026113234598
305,0.0007351956408974444
306,0.00010851426500042133
307,-0.0014716670800698905
308,0.0005011805296696018
309,0.00028157234384258587
310,-0.0006145543085836272
311,0.0008177251757015011
312,-0.0021793657450126323
313,-0.0005858517699876714
314,0.0018857303620075305
315,-0.001900952970996381
316,0.00072595883301714
317,0.000706430000600957
318,-0.0017891912051644658
319,-0.0009073211569821445
320,0.00045397078600266713
321,-0.0007386402288363323
322,-0.0018663132462174536
323,-0.006529027225428894
324,0.00024418718742830095
325,-0.0014368364147093647
326,0.00047601079018956267
327,-0.002443141160118093
328,-0.001585123030245457
329,0.0002671313958883863
330,-0.0015430913187456854
331,-0.008516408542041753
332,-0.0010456738919889287
333,-0.0010046223047546904
334,0.001296754850570379
335,-0.00163868522246137
336,-0.0004412491430310888
337,-0.0003780053976169397
338,-0.0006610958914896433
339,-0.004570086691173128
340,-8.684323945550653e-05
341,-0.00029445894983851713
342,-0.0009291992963203013
343,-0.004769063655922952
344,0.00017294204475421548
345,0.0010883664576004934
346,0.00037579061570216073
347,0.004835699473995375
348,-0.0006434024645711361
349,0.0007228839246718853
350,9.371832608416707e-05
351,0.0009660796806161937
352,-0.0008663003125866919
353,0.001486869551268188
354,0.0006541476708485438
355,0.003749927845235624
356,1.1108386196050266e-07
357,-0.0016860831512674277
358,0.0011008231755879438
359,-0.0016974326220673156
360,-0.0015179977586737591
361,-0.003869860210753606
362,0.004221671665642688
