,drop_ga_virtual
142,0.00033126578853842864
143,-0.0001507409300740174
144,7.813601405684591e-05
145,0.00019708519800798748
146,0.0003208232554722566
147,0.001473664138584847
148,-0.00013818317030453618
149,5.173124465899464e-05
150,-0.0008269243887965387
151,4.012881865513105e-05
152,0.0001176536717796485
153,-6.254023053828844e-06
154,-0.0003578713712019718
155,-0.00024005154933633306
156,0.0012803602000519638
157,0.00032932668418205293
158,-5.629241957126875e-05
159,0.002502313681581519
160,0.00013525217652870372
161,-0.0009545174425330668
162,0.0009477375493745475
163,-0.0003189993560748156
164,0.0003578025331790814
165,4.856914937586151e-05
166,-1.4625542414777512e-05
167,0.0012395424351889209
168,0.00018683660957941856
169,0.0006055229278448391
170,-7.801236064699241e-05
171,-0.00020884231951598416
172,-3.763408816730016e-05
173,4.555449451384687e-05
174,0.0007723462461735572
175,0.0013351345888858225
176,1.160186862978281e-05
177,2.0506448046366914e-05
178,0.0005634742927222203
179,0.0005474141664778285
180,2.9910590362381512e-05
181,4.989390683592424e-06
182,0.001778211887040251
183,0.00152109837400126
184,-0.00010439382998957291
185,1.8365009439085013e-05
186,0.0004496954881834645
187,0.0005516441595747995
188,0.0001685563019943532
189,-8.49300840825222e-05
190,0.0009453474901675167
191,0.004201642374826084
192,0.0005544178859793805
193,9.257880097110469e-05
194,9.424001505072876e-05
195,0.001981005304836333
196,-0.00027324797439918217
197,0.0005045452819193209
198,0.002257842049825066
199,0.0069011978810910425
200,-0.0005811089586102879
201,0.002957393854108101
202,-0.003527557873000318
203,-0.003294025690829593
204,0.0004294038273161428
205,0.0007796018553911244
206,-0.0031710904827299195
207,-0.00460339967449142
208,-3.717516284037626e-07
209,-0.00011159370338068435
210,0.00014547392015893139
211,-0.00015616551392925573
212,-0.0002881331954927587
213,-1.7305434105409908e-05
214,-1.176089093106698e-05
215,-0.000772772834942119
216,0.0005939411667048393
217,0.0010013726937711004
218,0.0010187619472395695
219,0.008176101827370537
220,-0.0013955002210097323
221,-0.00046478377508547695
222,0.0013989613209205696
223,-0.0014335632393855824
224,-0.0002927802934665217
225,-0.00045963586721595943
226,-8.583290828087048e-05
227,-0.002485254559840183
228,-0.0010687626306459129
229,0.0006257408817764005
230,0.00016070774635483753
231,-0.0015826149033049154
232,-8.210888585613518e-06
233,-0.00045094463390957246
234,-0.0016474656461718529
235,-0.005416458813475527
236,-0.0008118543204252552
237,0.0006668343908000826
238,-0.003308208065293007
239,-0.013341492436917584
240,-4.078905224594703e-05
241,7.428997271088914e-05
242,-0.00024023587647238826
243,-0.0009219841253504898
244,-0.0005724402513249455
245,0.0004935049323593419
246,-2.9028778240998633e-05
247,-0.0001029756445285187
248,0.00027812680513245524
249,-0.0005440242274435289
250,-8.18105305360958e-05
251,-0.00063640069720104
252,-0.00012188509249141687
253,-0.0002623205945528861
254,-0.00011976100628592116
255,-0.0014968060796951203
256,0.012791815204435208
257,0.005295172148017902
258,-0.004943064750094733
259,0.04771013630993913
260,-0.0006656642296892163
261,0.0003693379399875787
262,0.0014022453988678822
263,0.003995671818574426
264,-0.003604454684628501
265,-0.005635195503206809
266,0.004128876337123051
267,-0.01571732535934765
268,-7.915613116797574e-05
269,-3.577937555799396e-05
270,0.00015427705448779055
271,0.00016801638898644538
272,1.0555129628709125e-05
273,-7.188880648165363e-06
274,-9.992239198199534e-06
275,-0.00017896676476027957
276,4.943070793103218e-05
277,1.4036846106562496e-05
278,-0.0004623807845271666
279,-0.000644936808471252
280,5.382073580396604e-07
