,mathpass_hispanic_virtualper_inf
416,0.0004666996118264451
417,-6.16427047314687e-05
418,0.00037608762261333035
419,-0.0002523353488926132
420,-0.0003036194860033428
421,-0.0003684214125312568
422,0.0006950921497176418
423,0.001916108191641245
424,0.0017567369044719486
425,-0.0009012878244884006
426,0.00013228254312061029
427,0.00324832251842161
428,0.0007023642949735811
429,-2.5662195038488064e-06
430,-7.498929619562194e-05
431,0.0005878941680540621
432,0.0020406059366074613
433,0.0010530164789359457
434,-0.0007084249818621025
435,0.003036410218489648
436,2.1023792363048653e-05
437,0.00047587776910071474
438,-0.00036931249349510524
439,0.0006542420407868174
440,-2.4724040859860243e-05
441,-0.0002822300455420785
442,0.0008802419083971051
443,0.00011883560978699104
444,0.00019258969285409296
445,9.006976967187674e-05
446,0.00011569640039566843
447,0.00017921000247128223
448,-0.0004920807323572369
449,-0.00033570613166354775
450,0.00015990624333552745
451,0.00046207976364411637
452,0.002679232443993023
453,-0.0035230753728352493
454,0.0021266819337219934
455,0.00874171307890219
456,-0.00019399180748768378
457,0.0008905757657338342
458,-0.00023435036795250294
459,0.00016531280986455406
460,0.0006721330717850003
461,-2.7903726661897364e-06
462,0.0005626550423715544
463,0.0017341108652272294
464,0.000935396182747032
465,-0.0005698155967373597
466,5.452047021960016e-05
467,-0.0006992215635456512
468,-0.00015135031527270082
469,0.00015822681849702593
470,-5.386069833147895e-05
471,-0.00016357042342151064
472,8.894299494387531e-05
473,-0.0006162009795481792
474,0.0007592331394052151
475,0.0006016074151255084
476,0.00035321742492320525
477,-4.76955899126119e-06
478,0.00018784168310726813
479,0.0009389297009483022
480,-0.0007903357184635858
481,-0.001776844284386168
482,6.34028318512572e-05
483,-0.004532495236334436
484,-5.930149376372732e-05
485,-4.195928549772979e-05
486,6.3377782288026e-05
487,-0.0003078259473553688
488,-0.00011387589688292072
489,5.8903312913749526e-05
490,9.350459764508698e-06
491,-0.00012065245574074553
492,0.00068617086344462
493,-3.446353198986253e-05
494,-0.00054053541580127
495,-0.00011748354044233354
496,-6.473755267289494e-05
497,0.0004937386737537415
498,-0.0004467092337260842
499,-0.0010314982207214195
500,-0.0003758081695071579
501,0.0003587504147666438
502,0.0006334491992908928
503,-0.003975817226182633
504,0.0002552105567688602
505,6.689469619448162e-05
506,-9.904858861899998e-05
507,0.00031396972117775075
508,0.0014661015587513183
509,-0.0005018011754443108
510,-0.00042814916743815694
511,0.0022395182208101204
512,0.0027929507169258544
