,mathpass_virtualper_inf
89,2.0989023504620178e-05
90,0.001132176647697894
91,-0.0007254259429119133
92,0.0005172532496089618
93,-0.000740009749370805
94,-0.0012559098988680956
95,-0.005092322677853782
96,-0.0026268296968868766
97,0.00020083179177536722
98,0.0007197730224611522
99,-0.00491271229607564
100,-5.207555724720873e-05
101,0.000722788196612579
102,-0.0005860173839769193
103,-9.572780099083858e-05
104,0.0013353506021254865
105,-0.0004303268035001295
106,-0.0010657009014503633
107,0.0013285641154259739
108,-0.001676492105259792
109,0.0006150716169465423
110,-0.00045776102627603544
111,0.007265095515534355
112,-9.545740000412718e-05
113,-0.00029571560500970954
114,0.0002987613988866745
115,-0.001130307444593149
116,-8.46937494687465e-05
117,6.737883181370502e-05
118,-0.00012300832319215235
119,-2.729602893003266e-05
120,-0.00026707703700533814
121,0.00013427642893984302
122,-0.0005438339443610461
123,0.0012283725700587844
124,-8.667576645559828e-05
125,0.0006159463689429652
126,0.00016528244950332721
127,0.0024968547982672784
128,-1.0632179188802423e-05
129,9.367201573591104e-05
130,-0.0002103355610780859
131,-0.0003504234353608218
132,6.811986655180314e-06
133,-0.0011570525117644947
134,-0.0010748108237448367
135,-0.005029704980914739
136,-0.00027729943954663786
137,-0.0009904035947883225
138,0.0007029866825961553
139,-0.0007180044450932685
140,7.458454191464253e-05
141,0.0011926187282871666
142,-0.0008576986003913646
143,0.0005224606265843596
144,0.001127305629210966
145,-0.0006359672870901149
146,-0.0002995575147033215
147,-0.000286165800977302
148,2.8354211738310275e-05
149,-9.251068473041016e-05
150,-0.0005390111167233945
151,-0.0012797766307378626
152,-8.824629728013751e-05
153,0.00025298679992641983
154,-0.0010479722044585726
155,-0.0034790809893257887
156,-0.00045590719076837817
157,-0.000534049395955348
158,0.000554970261631298
159,-0.0016598784580303624
160,0.0006863528209310129
161,-0.0008486112043660397
162,0.0004303162311616386
163,0.0018006546255835405
164,-0.0009202752364698622
165,0.0005628499905615943
166,0.0005973309851943456
167,0.0002391232295814505
168,0.001029698452424344
169,8.17412731137828e-05
170,1.3419223958525543e-05
171,0.003768226385523674
172,-0.0006202862714954799
173,0.00032697442327281334
174,0.0006200555004952099
175,0.0004329155731909502
176,-0.0012138883716194043
177,0.0011325950631602881
178,0.0013905768882195968
179,0.0017252984151547646
180,0.0002827206306591816
181,-0.00014750648562480303
182,0.0003785922273466584
183,-4.0813445633933614e-06
184,-7.109002843966176e-05
185,0.0001894360352220291
186,-1.256115573072385e-05
187,0.0001964996830885275
188,-8.773183736959192e-05
189,0.00040020884080976815
190,-8.696640070933581e-05
191,0.0008532971580600393
192,0.0001762556553403114
193,-0.0008061610011990377
194,0.0005144930460377232
