,mathpass_black_virtualper_inf
411,0.0005738357356729558
412,-5.42291234610527e-05
413,-4.042861380676054e-05
414,2.2635348318205245e-06
415,-1.5109945044672942e-05
416,-2.352189109684623e-05
417,3.858730037313721e-05
418,0.0002010148876735075
419,0.00022702111449786537
420,-0.0003668054523914496
421,-0.0005384163969387257
422,0.0009772486868502715
423,0.0024707896043546108
424,0.0017832198212582708
425,-0.0009514708817415843
426,9.785480641073494e-05
427,0.003277917608502271
428,0.000578694448725703
429,-0.00015164976356202254
430,-2.5453948511858126e-05
431,0.0006752748225222974
432,0.0023237825667436814
433,0.001697801728287192
434,-0.0007744501023338744
435,0.003956152960899169
436,2.914917773609861e-05
437,0.0004995591755615286
438,-0.00038119285799207634
439,0.0007372789533231623
440,-2.4208022554349413e-05
441,-0.00032844475177616053
442,0.0007652994242179784
443,0.000113600622599145
444,0.00017414623102914256
445,0.0001089717130650808
446,1.7082629262843198e-05
447,0.00026149249869992825
448,-0.00041059229344509677
449,-4.559495414583955e-05
450,0.00015241400486779212
451,0.0006063876877771326
452,0.0030428093906080494
453,-0.0033760348835185643
454,0.0021579760349812916
455,0.008944096086687876
456,-0.00019294384247820802
457,0.000895287523569377
458,-0.0002280236137198427
459,0.0001646758710400891
460,0.0006289167169107722
461,7.495236082707538e-06
462,0.0005603356626073049
463,0.0016409511169077527
464,0.0008085511820493871
465,-0.00048218767498119975
466,5.083986301182546e-05
467,-0.0006124398518519156
468,-9.635642818689082e-05
469,0.00021919374635859622
470,-3.377561052058677e-05
471,-0.00014332217342887535
472,9.33453175298085e-05
473,-0.00024078810052981646
474,0.0007232638585456184
475,0.0009600331382058428
476,0.0003854996233348583
477,-4.166964341673e-05
478,0.00019597750831111977
479,0.001124925379706406
480,-0.0003376372234352416
481,-0.0009876403203078823
482,8.919232167636367e-05
483,-0.002468359868056793
484,-7.264071603375221e-05
485,-9.820813170153289e-05
486,7.065441212500595e-05
487,-0.000420677513959443
488,-0.00022323153242245948
489,0.0001209232327068043
490,-1.5513659387205795e-07
491,-0.0001405524617599747
492,0.0005193356270665212
493,-1.5187456794454833e-05
494,-0.0003468439067315508
495,4.1051934686568065e-07
496,-3.3033859895622914e-05
497,0.00031398015466245396
498,-0.00042312594119187975
499,-0.000715620602531236
500,-0.0002455182485929675
501,0.0002748588563409714
502,5.01093148137202e-05
503,-0.0031921861413766136
504,0.0002682066172104508
505,-1.7718228660631796e-06
506,-9.300165342762009e-05
507,0.00041379679360749517
508,0.0015609444385455353
509,-0.0004960584607453387
510,-0.00044831537550492427
511,0.002310501525689245
512,0.0025833029368407187
513,-0.00023666462194980655
514,-0.0012240772520071958
515,0.0021553862982426116
516,0.0009146249134139074
517,0.0009034781394396103
518,-0.00016367021738415919
519,0.005289160288815133
520,0.003648524159722253
521,-0.0013551356647663697
522,-0.001167101880503786
523,-0.001698585791130436
524,0.0003312072642574298
525,-3.805245418021889e-05
526,-8.572479611226512e-05
527,8.364336295659399e-05
528,0.0009004232543465711
529,-0.0020819136141188004
530,-0.0008227851213546599
531,-0.006152392542501769
532,7.672200152005134e-05
533,8.992011990931126e-05
534,0.0006508049447657796
535,0.0023382223083246254
536,0.0009940705186521272
537,0.00011799231810167073
538,-0.0002771361797344896
539,0.0004316334218954888
540,-0.00038225019743105105
541,-0.0007733984311242672
542,0.00013179526754667875
543,-0.003319069507448503
544,0.0002066447211959132
545,7.685272312862399e-05
546,-1.3001089829793931e-05
547,7.27996247224228e-05
548,0.00014593933155412385
549,-9.962366654803071e-05
550,-9.903385542889864e-05
551,-0.0006339676843703955
552,-0.0004939992831809397
553,6.651136584017678e-05
554,5.968989055669129e-05
555,-0.00014608062585968947
556,0.0005647000235145821
557,9.57551533750141e-05
558,2.6730938511271475e-05
559,0.00228092465580923
560,8.643439882105219e-05
561,-0.00047998007298797745
562,8.260693902351785e-05
563,-0.0005018133356168075
564,0.0002809048989735865
565,-7.288857357067721e-05
566,2.7621121643267615e-05
567,0.0007313352648829696
568,-0.0003055460912190884
569,0.0004901102690376788
570,5.812300048231956e-05
571,0.0006383557850975361
572,-4.005598481662013e-06
573,-8.877784644022444e-06
574,-0.0005041376060667452
575,-0.0009131293999978051
576,-2.7814888115810872e-05
577,6.987882019688695e-05
578,-8.765775531238912e-05
579,7.634805332725226e-05
580,0.0008447641389649469
581,0.00025858539686374784
582,0.0003367374049176866
583,0.004653617013183428
584,0.012219523668283883
585,-0.004538614022553361
586,-0.00072472684432029
587,0.02304469879765725
588,0.019987050774900865
589,-0.01769786839077475
590,0.0007276279938951092
591,0.01699192922831818
592,-0.0013523238300675651
593,0.002188605006118249
594,0.0004361359249395341
595,0.006022912422943679
596,0.0004778028288084826
597,0.001293862779358052
598,-0.0011190897772303061
599,0.0024925928680388826
600,0.006213801429872118
601,0.005375599460870004
602,-0.0053181228422237966
603,0.03533196865398625
604,0.003109455562003925
605,-0.0035319365070756474
606,0.005446588511230646
607,0.020923456868061487
608,-0.0037126972186381254
609,-0.002413260278663914
610,0.00045265360043702043
611,-0.015465732818943048
612,0.0032446305561863067
613,0.0003254280405870729
614,0.00045714322654895047
615,-0.0005077154585609153
616,0.00028167454527530845
617,0.00020077691710924844
618,-0.0029548777259071728
619,-0.002609759176410943
620,-0.0014427371447492915
621,0.00025968492779400524
622,-0.0021284978222202108
623,-0.010820933187633882
624,-0.0053719258372562
625,0.003984885789969139
626,-0.004231121505691219
627,-0.010712294327554996
628,0.005473352321668858
629,-9.48684528106515e-06
630,-0.001415251077328939
631,0.01180463232103376
632,0.00044498538374259186
633,-0.0007546420742251357
634,-9.101903093128502e-05
635,-0.0005088687622874303
636,0.007351877222164156
637,0.008402973196827805
638,0.002268578125704456
639,0.05180729615347418
640,0.0002588111940628142
641,0.0001723322315253727
642,-0.00026823545306073365
643,0.00031474217289700153
644,-9.97035045928927e-05
645,0.0012683764187582359
646,0.00013578551511897414
647,0.0021170925163550886
648,-0.00010890423768235477
649,-7.170800070008321e-06
650,8.913745148271349e-05
