,drop_co_hybrid
249,0.0013175690554942678
250,0.0002706964177580324
251,0.0018807153654149444
252,0.0009328464734979351
253,0.0009367950192618134
254,0.0015331969013339527
255,0.009613370684845229
256,-0.0049110631348639145
257,-0.0023556773543673745
258,0.002437866739144872
259,-0.021011559600218048
260,0.0002609516519815596
261,-0.00016882253684950073
262,-0.0007131816774377977
263,-0.0018012865123733682
264,0.0015371188553965753
265,0.002715227863132082
266,-0.002132421586584708
267,0.007516148951565512
268,0.00029334761237790924
269,0.00011002383197782459
270,-0.000652365299017386
271,-0.0006162603006243081
272,-0.0002801165082674295
273,-3.46455403335558e-05
274,-1.8144431953184827e-05
275,-0.0008401776390086029
276,-0.0007289982408583614
277,-0.00021981987717530334
278,0.0025790990749048315
279,0.006541783256656194
280,-8.618739525293887e-06
281,0.0013119340579864373
282,-0.000306455368608338
283,0.0024951234465360873
284,-0.0002251988036018378
285,-0.0008136670270247312
286,8.345253193559274e-06
287,6.553456567389234e-05
288,-1.9215268832832516e-05
289,-0.00013632891058265936
290,0.0002215941700107837
291,-0.0011182378697906499
292,0.0005711141749678953
293,-3.821342476635162e-05
294,3.8152741861949404e-05
295,0.0011846730854970131
296,-0.002572632796729187
297,-0.0034338516038240267
298,-0.003459262124477781
299,-0.028249668340660096
300,0.00010888285340773519
301,-0.000700608452595935
302,0.0006628152197095294
303,0.0015675978930028438
304,-8.348260851335847e-05
305,-0.00023383563956906833
306,0.0004297718953687856
307,0.0008148473917341878
308,0.0004307260807654127
309,-0.0007750135849325039
310,-0.0012203522446058563
311,-0.004639689717714026
312,0.0017413222923620224
313,0.0016307947615367214
314,-0.00025992057059395524
315,0.010170420950917821
316,-5.4811313647002895e-05
317,0.0007736287325108973
318,0.00193355409252973
319,0.007915515763984284
320,0.001276331926128507
321,-0.0005334309582696889
322,-0.0006532930848392761
323,0.0007830485065906068
324,4.608187890395269e-05
325,0.0009377151010709338
326,-0.0013051510286508547
327,0.0001797356917276468
328,0.00011301819756804693
329,1.9388724588556136e-05
330,-4.1107663383659065e-05
331,0.0001046947443234396
332,5.0053906097259855e-05
333,-7.379063636230573e-06
334,-0.00031814691678680484
335,-0.000655885328571075
336,0.0009118211733773893
337,0.00034596191926051096
338,0.0012144583747027448
339,0.009922976473171348
340,2.99524637626193e-05
341,-0.0017284230880312878
342,0.00036731401856924145
343,-0.004383451171289471
344,0.0004148251860048611
345,0.0019886596383407638
346,-0.0006581111193426446
347,0.0056811897421456545
348,-0.0011283031406256177
349,-0.0007059350059738276
350,0.0023813276704171206
351,0.0017347581419255656
352,-6.60902830199932e-05
353,0.0003670163881135644
354,-0.0005318266140999128
355,0.0006013511905944022
356,-0.00020966445534942896
357,0.0025099336897176938
358,-0.0013469606409163243
359,0.002472841953358813
360,-0.0010248525245592464
361,-0.00041228675602511235
362,-5.373280937258131e-05
363,-0.0017462906420501725
364,-0.0060534866161873055
365,0.0004020207094591979
366,0.0024828049676253526
367,-0.006461902912878731
368,-0.00046726939527479963
369,-0.0014967563567047468
370,-0.0002636891710463189
371,-0.006787085699793804
372,-0.006840412414544421
373,0.002285408415983845
374,0.0002337163466755069
375,-0.009239710238384173
376,-0.0008272033063384483
377,-0.0005176444560997909
378,-0.0013074824949994407
379,-0.009244389386362985
380,4.16224218515688e-05
381,4.131796324143687e-05
382,-4.216819989918055e-05
383,-2.7083387142203574e-05
384,-5.54182838755403e-05
385,-0.0007925111413001619
386,0.0012805527921677102
387,0.0017203527491980197
388,0.0023530872507945113
389,0.0017845844688176558
390,-0.001873867757543394
391,0.008456984171964292
392,0.00018474579250052557
393,-1.2499735819583373e-05
394,0.0012329983176993726
395,0.0048917549894592505
396,0.0007781706014767779
397,-0.0001379802015210328
398,0.002234004339094698
399,0.0075430641116891834
400,0.0008670026507950104
401,0.0005210233846105747
402,0.0012484011320973544
403,0.0007782127389512149
404,-0.000991223174640297
405,0.00010785154474938776
406,2.6391418183948992e-05
407,-0.0018097504042040502
408,9.352536248390529e-05
409,-0.00012540262394577327
410,-0.00032223878367587406
411,-0.0011890946284670299
412,0.0004475636596794292
413,-0.00010859065065505405
414,-0.0012714737790601133
415,-0.0025321951443802912
416,-0.001062715809918308
417,-0.00030470039231851283
418,-1.9859850913116312e-05
419,-0.0041942221194979385
420,0.0005546946941486846
421,-0.0007930794987294441
422,0.0006181090923196576
423,0.0018363264047272893
424,0.0008448369914580576
