,drop_black_hybrid
348,0.00026068216046720645
349,0.00020621125877737223
350,-0.0007032818671242979
351,-0.0004730779867266513
352,-0.00012325555611635312
353,0.00015974133677209093
354,-0.0002249293475814925
355,0.0002189861684980814
356,-1.6103067097767292e-05
357,0.00032864747230902165
358,-0.00031537343903273327
359,0.0003858112124932523
360,-0.0006876623670950015
361,-0.0002150040156602877
362,0.0002606557185694585
363,-0.001828841053882775
364,0.003140773733547193
365,-0.00029559584547042745
366,-0.0017958303523157254
367,0.004191060579070354
368,0.0007138518667728036
369,0.0011446942689147823
370,0.00023927175737273941
371,0.006557657953517054
372,0.00236976556315093
373,-0.000952621671747278
374,-0.00023965650446267054
375,0.004462450669290164
376,0.0011443098608867126
377,0.00024902795116731437
378,0.0007549385161353827
379,0.006354013975929607
380,7.163928401527532e-05
381,-0.00010830374532894972
382,0.00015303881315474437
383,0.00046740735582625966
384,-2.7670236366686783e-05
385,-0.000354864317058059
386,0.0005249943608896625
387,0.0007834059267995442
388,0.004546793872914733
389,0.0013160186929737445
390,-0.003295869215896447
391,0.009789387894554972
392,2.5565626694737727e-05
393,-1.6451431321379265e-06
394,7.912541080591782e-05
395,0.0005400225153318627
396,0.00021901135285359052
397,-6.070292769468249e-05
398,0.0008891554992566163
399,0.0028541552671463
400,-0.0006735947799693958
401,2.8788537012526145e-05
402,1.7949489746073067e-06
403,0.0014781849372843467
404,-0.0011648325568575804
405,0.00021640610838246952
406,3.565609075739083e-05
407,-0.0025995846407695297
408,0.0005385628640817392
409,-0.0006111119355632037
410,-0.0018789132427127983
411,-0.006587823917630372
412,6.733809214664908e-07
413,-2.0042622167410066e-06
414,2.0733803666425858e-05
415,-2.927686901160754e-06
416,-0.0024970048443773186
417,-0.0009298777077850516
418,-4.6271914757856687e-05
419,-0.010567180246743664
420,0.0007543166410266743
421,-0.000649225818245495
422,0.00045106353266334033
423,0.0016642157448855872
424,0.0017609809673653333
425,0.0014315718933369463
426,0.000934572953826117
427,0.012703926582753895
428,-0.00013253130896486947
429,0.00013308186466255015
430,7.184278533869323e-05
431,0.00030691606489631034
432,0.0005010951012190697
433,-0.00042639960150805045
434,-0.0016029557463200165
435,-0.005209173498302477
436,-8.295161133182467e-05
437,-0.00014880711131988163
438,-0.0003376133367886763
439,-0.0018656258815172209
440,6.463251286952348e-05
441,-0.0003800816913198228
442,9.956997784443784e-05
443,-0.0006371081181533814
444,7.78463729670171e-05
445,-0.0005495723311459938
446,-3.6953104981925066e-05
447,-0.0016350010767416717
448,-8.097261354314651e-05
449,5.200886102396753e-05
450,1.3208656291590635e-05
451,9.682143829477858e-05
452,3.971366579396157e-05
453,-7.509152890523756e-05
454,8.924978925639216e-05
455,-2.89451695241425e-05
456,-2.3956894899436597e-05
457,-2.32075821490452e-05
458,-6.420314498124518e-07
459,6.933914543396218e-05
460,0.0002993333290004956
461,-5.1555423328818435e-05
462,-0.0002910061337022962
463,-0.0002916883744760737
464,-2.4577325753729325e-05
465,-8.376680598625224e-05
466,-0.00012175721026905269
467,-0.0006237379231479183
468,0.0005963546383183139
469,-3.001827947682097e-05
470,0.00023679804917637072
471,0.0021143198390233646
472,-5.720170858592259e-05
473,-9.207622325739742e-06
474,0.00016660643815382079
475,0.0004976647852155021
476,-0.00013292895559854779
477,0.0003804613711337535
478,0.0005154205655014763
479,0.00228305949307026
480,0.00024254160940619156
481,-4.776038062646533e-05
482,0.0002191487869895015
483,0.0012643117312673118
484,0.00011059094395470184
485,-3.380488790127518e-05
486,0.00011830252455773619
487,0.0005863042726503651
488,-0.0001080052817455976
489,0.0014190674241822898
490,-0.0006507135665251182
491,0.0026740206658996484
492,0.00199580270590259
493,-0.0012279075854176767
494,-0.001971137490189355
495,-0.0031859880234067863
496,-0.0004307961039661356
497,0.0007116633470940558
498,0.0003850632677000054
499,0.0020123523579047026
500,-8.363183536243919e-05
501,0.00037831014904981245
502,0.0008001435048342915
503,0.0029481648120987082
504,-0.0010693627103484473
505,0.0004708282125456653
506,0.0003230853412404792
507,-0.000678627392069361
508,-0.007348928371750745
509,-0.0065225347429211395
510,-0.0006899735409677876
511,-0.046652435856989825
512,-0.0013040132420434759
513,-0.004788832129596315
514,0.004615453404737927
515,-0.004299555150295683
516,-0.0021705159643611465
517,-0.0010291657376272766
518,0.001423330144820031
519,-0.005015793105687198
520,-0.0006340232521879701
521,0.00032722562391618515
522,1.427843556468355e-06
523,-0.0009148620265279752
524,-0.00011812300335489939
525,-4.796000203593444e-06
526,-0.00013318722589011745
527,-0.0006458210633841355
528,-0.0006030553417109103
529,4.94476810321701e-05
530,-0.0005705070316359273
531,-0.004253514999889208
532,-0.00036940724776227
533,-0.001607273204571939
534,-0.0006699010903838258
535,-0.007670118608898173
536,5.500995729173499e-06
537,-5.209284346575081e-05
538,0.00028606654684288404
539,-0.00014662572868334682
540,1.317247569254757e-05
541,-0.0009247781432172561
542,0.0007951555129808436
543,-0.0010872773972982683
544,0.00021640422968042223
545,-2.553646330194172e-05
546,1.9222521975127038e-05
547,0.0003016700277068732
548,-0.0002977395564591708
549,-0.00011020679352890309
550,-0.00026339588504887125
551,-0.002092166831339385
552,0.00029484391368814417
553,9.255561285653409e-05
554,-0.0001815122553031968
555,0.0008778828674988469
556,5.932606809912097e-05
557,3.132182358281314e-05
558,1.5063368763516501e-05
559,0.00037629550953411056
