,drop_virtual
121,0.002075020845691171
122,-0.002335402482018739
123,0.0069656829576721715
124,-0.0006755947752846773
125,-1.3192997903368408e-06
126,-0.000722300320411165
127,0.00036361126341548876
128,7.036153890763398e-05
129,0.0002498227713598896
130,0.000329085981254214
131,0.0018086473513575243
132,-0.00021360521039836424
133,-0.0004465977321677913
134,-0.00019900978767158458
135,-1.950956520970202e-05
136,-0.0004994131281237467
137,7.070683467443533e-07
138,-4.363695300584944e-05
139,4.518675496737826e-05
140,0.00021497778485645073
141,0.00029644936533591474
142,-0.00036840498621630005
143,0.0001548135584885009
144,-8.242029298035616e-05
145,-0.00011084758974299124
146,-7.056995259008289e-05
147,-0.0007090295180810632
148,0.00011011066197966558
149,-7.5207685749334114e-06
150,0.00035807078435339505
151,-0.0002458647694937043
152,-0.0001317283402294996
153,4.159800364468606e-06
154,0.0004707438880972266
155,0.0002703159547102959
156,-0.002690462843798256
157,-0.0008592243155159295
158,0.00022944537770808434
159,-0.006561120027815611
160,-0.0003195593793517349
161,0.0012086516116360433
162,-0.0010241612895875451
163,0.00041872384455495545
164,-0.0004478737940808903
165,-6.638270064167532e-05
166,2.7027087218110633e-05
167,-0.0018604531284823146
168,-0.0002223957116983537
169,-0.0007335961918590323
170,1.8112718798677926e-05
171,0.0004495756122669656
172,-0.0004641917272694894
173,7.670678990249073e-05
174,0.0003319765328806294
175,0.0022254680851140594
176,-0.0006932645896695603
177,0.000402968986901027
178,0.0011852584983020787
179,0.003607315309690387
180,-0.0003467343764763442
181,-0.00014329491833417268
182,0.0009602586238286954
183,0.006419373468458262
184,-0.00025702780080766346
185,-0.00037048935437401293
186,0.0010691262673832263
187,0.0029240234337426
188,-0.0002390150442928077
189,0.00011682627757798152
190,-0.0009618632313546928
191,-0.005475004906427827
192,-0.000723664344610064
193,-0.0001142932261818103
194,-0.00011617450061841966
195,-0.002495223550938256
196,0.00034624483015058716
197,-0.0007469788786723142
198,-0.003242297764773675
199,-0.00964762013032051
200,0.0006014389464364799
201,-0.0037279902422993013
202,0.005377257139913026
203,0.004254605221083555
204,-0.000492530300695872
205,-0.0008560983166991079
206,0.004701644817276919
207,0.005806846841337698
208,-1.972972848009702e-05
209,0.0003597446859440424
210,-0.00028428798309024114
211,0.0004556096131011277
212,0.00028674886534223366
213,0.0001105016654030885
214,2.905781772560205e-05
215,0.0013176590221555201
216,-0.0009411608715400057
217,-0.0015987859753629186
218,-0.0016122852223408894
219,-0.01298348169825355
220,0.002212531031274957
221,0.0007728881996107965
222,-0.002602371765873885
223,0.0024580372340948617
224,0.00041691730055485313
225,0.0006214485158304536
226,0.00010767885695595258
227,0.00336314405484325
228,0.0008390573085230893
229,-0.0006137483569779917
230,-0.00012008045104415336
231,0.0013429857634381104
232,1.0839291089903283e-05
233,0.0006191170645821814
234,0.002322328239153071
235,0.007422125191546357
236,0.001110403456887212
237,-0.0009350200093172098
238,0.0028397658857896115
239,0.016713431524105603
240,-3.12256863573879e-05
241,-3.0322805426146563e-05
242,0.00019569952937201128
243,0.0004797943285939015
244,0.0007465629077503885
245,-0.000658604035091934
246,3.817199880206174e-05
247,0.0001356288575257949
248,-0.000395545135935732
249,0.0007324099679321958
250,0.00011235755789119882
251,0.0008760897681218194
252,-6.906912117196133e-05
253,0.0002692253961965181
254,-0.00015108174060031275
255,0.0001708106625389587
256,-0.029587827110286624
257,-0.01199894377662455
258,0.0110012548324055
259,-0.10822753955898576
260,0.0015659304560163075
261,-0.0008501888590511571
262,-0.0031669131281473824
263,-0.009212818690518857
264,0.008766091476286375
265,0.013459191672043607
266,-0.00971684914330333
267,0.037538752835356785
268,9.524077414964954e-05
269,5.095397574757692e-05
270,-0.00019459960217260488
271,-0.00021738968046700155
272,-0.000913697611120769
273,-0.00013039760429175997
274,-7.834596597553445e-05
275,-0.0031354874095283368
276,5.897877521853538e-05
277,1.8937151171073925e-05
278,0.00032514034595997624
279,-0.0001508704345704289
280,-7.824696994966277e-07
281,-0.00019758327974015057
282,6.684397982636711e-06
283,-9.602338795149254e-05
284,-0.00011814669798767828
285,0.001929003630870949
286,-0.00021087134940942713
287,-0.00036785223764522544
288,3.3388842755680074e-05
289,0.00042041975779617775
290,0.0005976197865421829
291,0.003750652970337439
292,-0.0011686679473432591
293,8.009130560980007e-05
294,-0.00011365298236147548
295,-0.00270873439099681
296,-8.724623955735227e-05
297,0.0007020639079290958
298,-0.00017506358828191568
299,0.0012373890037862588
300,-8.132735994518081e-05
